DIST COUNTY AREA TOTAL DEM REP CPF REF LPF OverVotes GRE UnderVotes WriteinVotes
NA Alachua 36 0 1577 525 3 3 99 1 42 5 24
NA Alachua 37 0 1005 682 2 0 49 0 19 15 16
NA Alachua 38 0 1540 849 10 0 88 2 26 10 42
NA Alachua 39 0 1484 459 4 3 70 0 34 3 29
NA Alachua 40 0 1009 687 4 0 60 2 16 17 27
NA Alachua 41 0 868 1017 4 1 65 2 10 12 29
NA Alachua 42 0 1187 983 4 1 80 0 8 13 36
NA Alachua 43 0 1400 705 4 4 74 3 27 11 14
NA Alachua 44 0 3176 762 11 2 177 1 49 26 55
NA Alachua 45 0 2392 1748 5 2 144 3 41 30 44
NA Alachua 46 0 1448 1346 6 4 76 2 20 19 49
NA Alachua 47 0 1364 1227 5 1 77 1 10 16 32
NA Alachua 48 0 1131 658 5 1 80 1 43 5 28
NA Alachua 49 0 779 1038 5 1 47 1 10 13 19
NA Alachua 50 0 969 456 5 1 50 0 21 22 16
NA Alachua 51 0 1414 958 9 1 74 1 23 17 25
NA Alachua 52 0 1002 313 2 0 38 4 22 11 18
NA Alachua 53 0 1085 956 10 4 27 2 35 21 15
NA Alachua 54 0 1775 562 6 4 104 0 47 16 35
NA Alachua 55 0 704 126 1 1 16 3 12 7 6
NA Alachua 56 0 1121 942 1 0 86 0 19 15 28
NA Alachua 57 0 1282 658 6 3 69 1 38 14 28
NA Alachua 58 0 1900 1447 9 3 134 4 29 17 43
NA Alachua 59 0 2899 1198 6 4 176 1 75 9 47
NA Alachua 60 0 618 1827 5 2 58 0 16 13 29
NA Alachua 61 0 1145 607 1 3 44 0 19 8 19
NA Alachua 62 0 1159 594 3 0 59 1 25 13 27
NA Alachua 63 0 799 1133 5 3 50 2 17 15 16
NA Baker 1A 0 727 1277 2 0 24 1 3 13 5
NA Baker 2A 0 498 1903 6 0 38 3 10 9 15
NA Baker 3A 0 363 2281 6 1 42 2 5 14 17
NA Baker 4A 0 8 153 0 0 2 0 1 0 0
NA Baker 4B 0 34 430 0 2 17 0 0 1 1
NA Baker 4C 0 147 1330 4 2 14 0 1 5 6
NA Baker 4D 0 59 745 0 0 5 0 2 1 4
NA Baker 5A 0 212 2029 5 1 26 4 4 7 22
NA Baker 6A 0 64 146 0 0 1 1 4 1 1
NA Bay 1 0 189 1122 0 0 25 1 6 6 10
NA Bay 10 0 731 2550 0 1 86 0 19 15 25
NA Bay 11 0 996 2620 11 3 112 2 24 14 44
NA Bay 12 0 812 2647 9 5 126 1 27 13 21
NA Bay 13 0 330 1298 1 0 54 0 17 12 15
NA Bay 14 0 721 2406 9 0 123 1 29 15 22
NA Bay 15 0 409 1990 1 1 48 2 10 11 12
NA Bay 16 0 113 1049 2 2 22 3 3 7 12
NA Bay 17 0 491 1937 1 1 68 2 13 12 20
NA Bay 18 0 336 1608 1 1 62 2 11 10 12
NA Bay 19 0 537 908 1 0 46 0 5 7 10
NA Bay 2 0 99 764 1 0 20 2 4 3 8
NA Bay 20 0 237 1020 4 0 44 3 7 9 16
NA Bay 21 0 611 2535 7 6 90 2 17 15 36
NA Bay 22 0 667 2382 5 1 111 2 14 12 35
NA Bay 23 0 953 2487 10 3 118 0 31 19 47
NA Bay 24 0 273 789 3 1 34 0 8 4 7
NA Bay 25 0 418 1393 4 1 57 0 14 14 25
NA Bay 26 0 422 1539 2 2 71 3 11 8 21
NA Bay 27 0 658 1845 4 5 83 2 20 11 27
NA Bay 28 0 508 980 3 4 66 0 19 7 16
NA Bay 29 0 888 1261 4 2 59 5 18 14 14
NA Bay 3 0 64 434 0 0 4 0 2 1 2
NA Bay 30 0 314 574 2 0 38 3 3 6 16
NA Bay 31 0 1104 1938 21 4 143 4 25 16 44
NA Bay 32 0 1082 168 5 0 10 6 7 8 4
NA Bay 33 0 797 453 8 2 36 1 10 3 6
NA Bay 34 0 256 724 0 0 33 1 12 7 11
NA Bay 35 0 437 1198 3 2 79 2 17 18 27
NA Bay 36 0 274 392 2 0 20 2 3 3 5
NA Bay 37 0 1034 1506 10 1 75 3 17 15 18
NA Bay 38 0 376 801 1 1 36 2 6 3 9
NA Bay 39 0 668 2072 12 2 95 2 14 14 19
NA Bay 4 0 289 1956 1 3 68 1 10 10 17
NA Bay 40 0 450 972 3 2 42 1 10 8 16
NA Bay 41 0 569 1232 1 2 66 2 16 7 14
NA Bay 42 0 428 1074 4 3 79 2 10 3 19
NA Bay 43 0 347 879 3 0 34 0 7 4 9
NA Bay 44 0 204 665 1 0 30 0 8 5 10
NA Bay 5 0 256 1763 6 2 50 2 13 10 13
NA Bay 6 0 343 2356 4 1 70 1 9 17 20
NA Bay 7 0 52 306 1 0 6 0 1 1 0
NA Bay 8 0 516 1920 5 1 60 1 17 8 24
NA Bay 9 0 538 1681 3 0 53 1 18 11 15
NA Bradford 1 0 121 1130 3 0 19 1 4 14 6
NA Bradford 10 0 96 629 2 0 3 0 5 1 3
NA Bradford 11 0 175 673 4 0 19 0 3 4 4
NA Bradford 12 0 359 966 6 0 31 0 4 10 4
NA Bradford 13 0 42 361 0 0 5 1 1 0 1
NA Bradford 14 0 106 438 4 0 5 0 4 2 1
NA Bradford 2 0 283 282 3 0 12 0 3 0 3
NA Bradford 3 0 59 418 1 0 7 1 2 1 2
NA Bradford 4 0 156 817 1 0 9 0 3 7 6
NA Bradford 5 0 415 780 3 1 22 1 11 11 8
NA Bradford 6 0 64 517 0 0 13 0 1 3 1
NA Bradford 7 0 478 321 2 1 7 2 2 1 2
NA Bradford 8 0 267 970 3 0 17 1 2 3 14
NA Bradford 9 0 303 611 1 2 8 1 2 8 5
NA Brevard 100 0 431 1083 3 1 42 5 6 13 13
NA Brevard 102 0 242 433 0 1 18 0 4 7 1
NA Brevard 103 0 793 1855 5 3 84 2 13 24 28
NA Brevard 104 0 902 2405 4 5 70 5 19 23 26
NA Brevard 105 0 1393 2588 8 4 131 4 30 27 45
NA Brevard 106 0 350 1478 4 3 42 2 14 6 8
NA Brevard 107 0 541 994 3 2 67 2 12 16 9
NA Brevard 108 0 1904 1387 12 3 74 9 25 19 24
NA Brevard 109 0 1407 2396 6 4 117 3 39 32 38
NA Brevard 111 0 684 1203 2 3 74 2 18 12 24
NA Brevard 112 0 693 1452 8 2 81 2 11 17 36
NA Brevard 113 0 787 1475 3 4 105 1 17 14 18
NA Brevard 114 0 1367 2231 7 3 112 1 31 29 45
NA Brevard 115 0 882 1586 6 3 89 4 25 12 26
NA Brevard 116 0 880 2299 4 7 62 0 16 25 33
NA Brevard 118 0 1056 2710 8 3 106 2 26 21 30
NA Brevard 120 0 787 91 1 1 10 6 4 2 3
NA Brevard 121 0 459 1210 9 1 61 0 16 8 23
NA Brevard 122 0 513 1102 9 2 64 0 12 8 14
NA Brevard 123 0 777 1471 3 5 83 2 17 7 23
NA Brevard 124 0 955 1674 6 3 123 3 15 15 36
NA Brevard 125 0 899 1836 9 6 96 1 22 17 33
NA Brevard 126 0 0 0 0 0 0 0 0 0 0
NA Brevard 127 0 235 459 0 1 8 1 4 9 10
NA Brevard 128 0 0 2 0 0 0 0 1 0 0
NA Brevard 129 0 2 1 0 0 0 0 0 2 0
NA Brevard 130 0 0 0 0 0 0 0 0 0 0
NA Brevard 131 0 382 650 3 1 32 0 7 9 10
NA Brevard 132 0 0 0 0 0 0 0 0 0 0
NA Brevard 133 0 0 0 0 0 0 0 0 0 0
NA Brevard 134 0 0 0 0 0 0 0 0 0 0
NA Brevard 135 0 428 963 2 1 30 0 6 7 12
NA Brevard 136 0 0 0 0 0 0 0 0 0 0
NA Brevard 200 0 557 790 4 4 45 1 8 13 30
NA Brevard 201 0 757 1689 6 1 88 0 16 25 28
NA Brevard 202 0 697 1393 5 0 68 0 19 14 14
NA Brevard 203 0 1016 1725 12 4 100 4 29 22 35
NA Brevard 204 0 1339 1879 3 5 71 3 44 28 43
NA Brevard 205 0 1470 3549 5 6 162 2 39 32 54
NA Brevard 206 0 645 1323 2 0 69 1 30 7 19
NA Brevard 207 0 681 1035 9 0 66 4 13 8 14
NA Brevard 208 0 598 927 2 1 41 2 18 12 19
NA Brevard 209 0 584 663 6 0 41 2 12 5 8
NA Brevard 210 0 288 357 1 2 18 2 2 3 5
NA Brevard 211 0 1115 1335 8 5 78 2 33 20 26
NA Brevard 212 0 699 516 3 2 36 1 17 7 15
NA Brevard 213 0 344 150 1 0 11 4 5 2 7
NA Brevard 214 0 942 768 2 3 49 4 15 10 17
NA Brevard 215 0 374 674 2 0 38 0 8 5 12
NA Brevard 216 0 1792 2930 10 2 142 4 43 29 65
NA Brevard 217 0 889 1844 5 2 84 0 29 20 25
NA Brevard 218 0 178 287 0 0 14 0 8 3 3
NA Brevard 219 0 1658 1487 12 6 93 3 24 26 39
NA Brevard 220 0 200 339 2 1 12 2 1 5 7
NA Brevard 221 0 919 1411 2 1 51 3 10 19 16
NA Brevard 222 0 1056 1501 2 2 81 1 26 26 31
NA Brevard 223 0 203 287 4 1 28 0 13 7 4
NA Brevard 224 0 1530 2005 9 2 152 3 38 24 55
NA Brevard 225 0 4 2 0 0 1 0 0 0 0
NA Brevard 226 0 916 1380 4 3 66 2 29 15 29
NA Brevard 227 0 51 84 0 1 2 0 3 0 1
NA Brevard 228 0 327 503 1 0 26 0 10 2 10
NA Brevard 229 0 118 280 0 0 17 0 3 3 5
NA Brevard 230 0 2 6 0 0 0 0 0 0 0
NA Brevard 231 0 523 202 0 2 7 0 7 1 7
NA Brevard 233 0 428 34 1 0 5 1 3 0 0
NA Brevard 234 0 94 115 2 0 3 0 5 2 1
NA Brevard 235 0 607 1241 3 0 54 1 22 13 20
NA Brevard 236 0 195 304 0 0 7 1 6 0 3
NA Brevard 237 0 10 30 0 0 1 0 0 0 0
NA Brevard 238 0 9 26 0 0 0 0 0 1 0
NA Brevard 239 0 2 0 0 0 0 0 0 0 0
NA Brevard 240 0 275 744 0 0 34 0 7 5 16
NA Brevard 300 0 1071 571 6 2 34 4 23 6 15
NA Brevard 301 0 512 1222 6 0 64 2 12 8 18
NA Brevard 302 0 738 1940 7 2 63 1 18 24 22
NA Brevard 303 0 2372 2415 15 5 142 8 66 26 38
NA Brevard 304 0 1225 2246 7 4 63 5 16 35 22
NA Brevard 305 0 834 1240 3 0 67 0 30 24 24
NA Brevard 306 0 723 203 0 2 15 1 7 9 13
NA Brevard 307 0 403 688 2 0 27 0 9 6 7
NA Brevard 308 0 1066 1419 10 4 93 4 40 17 42
NA Brevard 309 0 3086 4270 32 9 251 4 59 59 113
NA Brevard 310 0 827 1032 7 2 72 2 30 15 31
NA Brevard 311 0 790 1226 1 0 50 0 23 33 22
NA Brevard 312 0 582 1177 0 0 40 3 17 9 16
NA Brevard 313 0 2495 2913 15 7 143 5 51 38 49
NA Brevard 314 0 1103 1348 8 3 87 7 28 11 26
NA Brevard 315 0 1545 1459 12 3 92 2 34 27 40
NA Brevard 316 0 1161 1315 13 5 74 5 36 15 26
NA Brevard 317 0 1797 1955 11 2 114 10 30 30 46
NA Brevard 318 0 963 1527 2 1 64 3 15 30 29
NA Brevard 319 0 1 3 0 0 0 0 0 0 0
NA Brevard 320 0 24 50 0 0 0 0 2 0 3
NA Brevard 321 0 133 119 3 1 9 1 1 4 7
NA Brevard 322 0 1700 1636 10 9 87 6 35 26 35
NA Brevard 323 0 147 131 0 0 15 0 7 0 3
NA Brevard 324 0 226 407 2 0 17 0 3 1 6
NA Brevard 400 0 1500 1770 5 10 132 4 33 23 43
NA Brevard 402 0 1084 1781 12 4 110 4 34 26 29
NA Brevard 403 0 311 607 6 1 47 1 9 4 12
NA Brevard 404 0 1659 2741 6 4 166 1 50 38 57
NA Brevard 405 0 1426 2381 3 3 156 0 35 35 53
NA Brevard 406 0 1749 2823 7 3 130 2 32 28 43
NA Brevard 407 0 88 212 0 0 6 1 4 2 5
NA Brevard 408 0 428 578 2 2 36 0 26 7 15
NA Brevard 409 0 1647 2896 5 4 170 2 41 37 48
NA Brevard 410 0 211 412 2 2 17 1 8 2 3
NA Brevard 411 0 364 444 1 0 32 1 8 3 3
NA Brevard 412 0 331 546 0 0 34 0 5 7 8
NA Brevard 414 0 1401 1864 11 4 139 2 37 27 46
NA Brevard 415 0 840 1422 8 4 118 1 19 20 30
NA Brevard 416 0 459 1063 7 1 35 2 6 9 12
NA Brevard 417 0 1430 1983 6 3 101 1 16 21 41
NA Brevard 418 0 809 1510 3 2 68 0 19 18 20
NA Brevard 419 0 686 1274 0 1 50 1 12 12 26
NA Brevard 420 0 944 1493 3 0 69 1 13 26 41
NA Brevard 421 0 1096 2127 3 0 78 0 8 24 45
NA Brevard 422 0 1379 2609 10 4 163 3 28 36 42
NA Brevard 424 0 1050 1587 7 1 107 2 18 16 29
NA Brevard 425 0 220 337 1 0 14 0 3 7 9
NA Brevard 426 0 404 1035 1 2 42 1 6 9 30
NA Brevard 427 0 1182 2214 8 4 135 0 22 25 46
NA Brevard 428 0 1483 2390 10 3 106 4 23 24 44
NA Brevard 429 0 812 1275 1 1 27 1 4 17 16
NA Brevard 430 0 242 550 0 0 15 0 3 7 7
NA Brevard 431 0 427 726 5 0 26 2 14 11 6
NA Brevard 432 0 43 88 0 1 1 0 1 3 2
NA Brevard 433 0 6 17 0 0 0 0 0 0 0
NA Brevard 434 0 3 3 0 0 0 0 0 0 0
NA Brevard 435 0 22 36 0 0 7 0 0 0 0
NA Brevard 436 0 0 0 0 0 0 0 0 0 0
NA Brevard 437 0 155 274 3 1 25 0 6 4 7
NA Brevard 438 0 0 0 0 0 0 0 0 0 0
NA Brevard 439 0 0 0 0 0 0 0 0 0 0
NA Brevard 440 0 4 3 0 0 1 0 0 0 0
NA Brevard 441 0 207 255 2 0 12 0 3 6 6
NA Brevard 442 0 0 0 0 0 0 0 0 0 0
NA Brevard 443 0 0 0 0 0 0 0 0 0 0
NA Brevard 500 0 508 704 7 0 22 4 8 15 15
NA Brevard 501 0 207 252 2 0 22 0 4 6 12
NA Brevard 502 0 834 1345 8 4 103 2 25 20 31
NA Brevard 503 0 957 1497 5 3 86 1 18 19 34
NA Brevard 504 0 212 408 3 0 8 2 4 2 2
NA Brevard 505 0 969 1754 1 3 86 1 23 23 21
NA Brevard 506 0 769 1142 1 1 62 2 22 18 19
NA Brevard 507 0 1177 1937 18 5 126 3 46 25 40
NA Brevard 508 0 561 934 1 3 64 0 17 8 18
NA Brevard 509 0 274 268 2 0 17 4 11 2 4
NA Brevard 510 0 2613 3183 23 4 145 11 53 46 81
NA Brevard 511 0 554 1382 10 0 76 2 14 20 17
NA Brevard 512 0 596 1706 5 2 49 2 18 13 21
NA Brevard 513 0 163 271 1 0 4 1 2 3 4
NA Brevard 515 0 961 1548 2 3 65 2 22 18 28
NA Brevard 516 0 2070 2066 14 3 98 9 47 21 56
NA Brevard 517 0 1943 1999 6 8 111 4 38 29 53
NA Brevard 518 0 996 1597 10 3 83 0 18 13 22
NA Brevard 519 0 2155 2074 14 9 93 5 47 24 46
NA Brevard 520 0 1476 1602 14 3 96 7 30 18 28
NA Brevard 521 0 1577 1781 12 1 112 6 38 22 34
NA Brevard 522 0 122 187 0 0 10 1 1 0 0
NA Brevard 523 0 284 352 3 0 19 0 10 7 13
NA Brevard 524 0 4 4 0 0 0 0 0 0 0
NA Brevard 525 0 229 401 2 0 18 1 2 4 13
NA Brevard 527 0 690 917 2 1 50 1 9 4 16
NA Brevard 528 0 339 388 4 0 29 1 9 9 3
NA Brevard 529 0 488 674 7 0 45 0 19 10 12
NA Brevard 530 0 245 410 2 1 19 1 2 5 5
NA Brevard 531 0 1 5 0 0 0 0 0 0 0
NA Brevard 999 0 238 373 2 3 33 1 8 5 21
NA Broward A001 0 1224 1859 2 2 69 1 24 14 29
NA Broward A002 0 528 412 1 3 24 2 9 5 7
NA Broward A003 0 669 636 0 0 8 0 4 12 4
NA Broward A004 0 582 467 3 0 26 2 10 4 4
NA Broward A005 0 552 686 0 0 18 0 14 11 12
NA Broward A006 0 1058 446 1 3 32 4 14 8 9
NA Broward A007 0 672 571 1 0 16 0 12 12 15
NA Broward A008 0 303 27 2 0 1 1 2 0 1
NA Broward A009 0 1236 906 2 2 15 15 6 16 7
NA Broward A010 0 359 437 1 1 17 4 14 2 1
NA Broward A011 0 1321 40 0 0 9 3 3 6 4
NA Broward A012 0 831 606 1 1 16 2 10 11 11
NA Broward A013 0 1219 1044 0 3 43 2 18 16 22
NA Broward A014 0 1341 821 5 1 46 6 19 10 14
NA Broward A015 0 1234 86 0 1 10 4 6 10 10
NA Broward A016 0 817 605 0 0 15 8 7 11 8
NA Broward A017 0 154 144 1 0 4 1 1 2 3
NA Broward A018 0 766 136 0 0 3 3 1 5 3
NA Broward A019 0 674 545 0 0 14 0 15 11 11
NA Broward A020 0 791 511 4 0 12 1 9 7 8
NA Broward A021 0 889 238 3 0 18 2 16 9 5
NA Broward A022 0 877 85 0 0 7 6 4 6 2
NA Broward A023 0 502 83 1 0 9 2 6 1 3
NA Broward A024 0 678 109 1 1 7 4 7 4 3
NA Broward B001 0 201 744 1 0 13 0 2 5 5
NA Broward B002 0 491 898 0 1 24 1 3 11 8
NA Broward B003 0 328 642 1 0 12 1 1 11 4
NA Broward B004 0 583 1323 2 0 32 0 3 13 25
NA Broward B005 0 266 310 0 0 14 2 2 3 4
NA Broward B006 0 217 355 0 0 6 0 1 4 8
NA Broward C001 0 988 1279 1 1 27 5 9 30 14
NA Broward C002 0 282 461 0 0 10 1 3 2 5
NA Broward C003 0 331 366 1 3 10 2 3 5 2
NA Broward C004 0 477 644 0 0 17 2 9 10 9
NA Broward C005 0 1590 37 1 0 7 5 5 11 6
NA Broward C006 0 2020 113 3 0 15 8 5 3 10
NA Broward C007 0 156 217 1 0 9 0 4 5 2
NA Broward C008 0 370 477 1 0 16 0 1 2 3
NA Broward C009 0 193 74 0 0 4 1 3 2 0
NA Broward C010 0 818 784 2 1 30 1 15 8 18
NA Broward C011 0 580 721 0 0 22 2 3 11 6
NA Broward C012 0 539 632 0 0 9 2 6 18 9
NA Broward C013 0 388 419 2 0 6 3 4 1 4
NA Broward C014 0 359 469 0 3 10 3 10 3 3
NA Broward C015 0 1513 98 3 0 10 2 12 7 5
NA Broward C016 0 952 1252 2 0 40 0 14 19 19
NA Broward C017 0 343 550 0 0 7 0 3 3 2
NA Broward C018 0 517 694 2 1 11 0 7 7 8
NA Broward C019 0 413 680 2 0 21 1 10 6 11
NA Broward C020 0 557 85 2 0 8 0 6 0 4
NA Broward C021 0 750 515 0 1 20 1 7 11 2
NA Broward C022 0 413 738 0 1 29 0 4 8 10
NA Broward C023 0 2608 1415 2 1 43 2 30 22 32
NA Broward C024 0 1196 641 3 0 17 6 10 10 3
NA Broward C025 0 475 54 1 0 2 6 0 2 2
NA Broward C026 0 260 87 0 0 5 0 3 1 3
NA Broward C027 0 237 65 0 1 6 2 2 1 2
NA Broward C028 0 1815 61 0 1 8 5 9 8 5
NA Broward C029 0 301 324 0 0 7 4 1 11 1
NA Broward C030 0 832 597 1 1 23 0 8 9 7
NA Broward C031 0 944 536 1 3 24 7 12 13 8
NA Broward C032 0 256 41 0 0 3 1 2 1 3
NA Broward C033 0 369 195 3 3 8 6 7 2 5
NA Broward C034 0 1082 609 2 1 22 5 10 7 11
NA Broward C035 0 833 115 0 0 4 3 7 2 1
NA Broward C036 0 189 53 0 2 2 2 2 3 2
NA Broward C037 0 346 347 1 0 8 8 2 5 2
NA Broward C038 0 64 83 0 0 2 0 0 3 1
NA Broward D001 0 680 443 2 2 20 1 3 8 9
NA Broward D002 0 820 338 2 0 13 3 10 3 10
NA Broward D003 0 795 506 2 0 21 2 11 7 19
NA Broward D004 0 706 303 2 0 14 0 3 7 6
NA Broward D005 0 1309 243 0 2 18 3 13 6 10
NA Broward D006 0 733 376 0 1 20 2 6 7 10
NA Broward D007 0 698 82 1 1 7 0 3 1 3
NA Broward D008 0 756 395 1 0 22 4 2 9 14
NA Broward D009 0 1673 265 1 2 21 1 23 4 15
NA Broward D010 0 421 97 1 0 6 1 1 1 0
NA Broward D011 0 179 27 0 0 1 1 0 0 1
NA Broward D012 0 344 50 0 0 2 0 2 1 1
NA Broward D013 0 828 186 4 1 11 0 2 3 2
NA Broward D014 0 632 331 0 0 13 6 5 3 7
NA Broward D015 0 902 516 1 1 21 3 8 7 12
NA Broward D016 0 1401 815 4 1 33 8 14 12 14
NA Broward E001 0 310 51 1 0 4 1 3 1 2
NA Broward E002 0 966 382 1 1 25 0 16 11 6
NA Broward E003 0 770 705 0 1 24 1 13 11 28
NA Broward E004 0 1772 810 5 1 42 4 23 18 11
NA Broward E005 0 1167 496 2 1 23 3 9 12 12
NA Broward E006 0 1976 1313 3 4 49 3 17 21 36
NA Broward E007 0 1799 988 8 1 53 2 24 11 34
NA Broward E008 0 1391 710 5 3 34 1 13 12 18
NA Broward E009 0 691 489 0 2 23 1 3 12 12
NA Broward E010 0 1835 1087 11 1 43 3 22 22 17
NA Broward E011 0 1524 862 0 1 21 0 17 13 14
NA Broward E012 0 780 302 4 1 16 1 16 2 12
NA Broward E013 0 1115 686 4 2 41 2 11 7 15
NA Broward E014 0 1498 1227 1 1 33 2 9 13 10
NA Broward E015 0 619 520 0 0 15 2 8 12 7
NA Broward E016 0 715 526 1 1 21 3 12 5 10
NA Broward E017 0 1389 849 3 3 27 1 11 13 18
NA Broward E018 0 435 408 3 0 8 0 3 7 4
NA Broward E019 0 913 416 2 0 20 2 7 11 13
NA Broward E020 0 1688 825 4 3 34 10 18 16 10
NA Broward E021 0 860 517 0 2 24 1 8 11 13
NA Broward E022 0 1309 954 1 1 35 3 13 21 21
NA Broward E023 0 855 619 2 0 24 2 12 8 18
NA Broward E024 0 1656 961 3 1 29 2 12 11 22
NA Broward E025 0 583 292 2 0 14 0 10 7 5
NA Broward E026 0 848 492 1 0 17 1 7 7 10
NA Broward E027 0 1678 887 1 2 44 3 14 15 20
NA Broward E028 0 929 348 3 1 19 3 8 7 10
NA Broward E029 0 712 189 2 0 14 1 6 4 3
NA Broward E030 0 368 77 0 1 0 1 5 2 1
NA Broward E031 0 910 658 0 2 16 1 8 8 12
NA Broward E032 0 1007 618 4 0 25 0 11 9 14
NA Broward E033 0 911 585 2 1 25 1 5 7 9
NA Broward E034 0 404 296 1 0 23 0 2 6 7
NA Broward F001 0 856 744 2 0 34 2 20 8 13
NA Broward F002 0 737 337 1 0 12 3 6 7 12
NA Broward F003 0 703 349 2 0 16 3 5 2 7
NA Broward F004 0 2438 1168 1 3 26 14 14 27 7
NA Broward F005 0 1835 1180 5 3 52 5 19 7 20
NA Broward F006 0 1186 537 3 2 23 2 17 16 10
NA Broward F007 0 1301 664 4 2 26 3 7 8 9
NA Broward F008 0 1113 551 1 0 24 1 19 11 13
NA Broward F009 0 1067 440 1 0 22 4 5 7 9
NA Broward F010 0 1238 671 1 1 42 3 21 13 12
NA Broward F011 0 500 429 0 1 13 0 11 1 5
NA Broward F012 0 1677 1222 6 3 48 10 6 12 19
NA Broward F013 0 512 297 5 0 15 0 2 1 10
NA Broward F014 0 755 363 2 0 14 0 12 7 10
NA Broward G001 0 1063 335 1 1 22 6 8 9 4
NA Broward G002 0 1279 865 2 1 30 3 18 12 12
NA Broward G003 0 1128 616 4 1 25 5 9 12 10
NA Broward G004 0 1393 735 2 1 25 2 4 13 15
NA Broward G005 0 919 389 1 0 14 0 4 7 5
NA Broward G006 0 1454 756 6 3 29 12 14 10 11
NA Broward G007 0 304 139 0 0 6 3 0 1 2
NA Broward G008 0 1697 439 0 3 30 5 12 10 10
NA Broward G009 0 526 92 0 0 5 3 3 1 5
NA Broward G010 0 869 715 0 2 25 4 11 7 7
NA Broward G011 0 1049 520 4 0 28 2 7 9 11
NA Broward G012 0 871 425 2 1 12 1 3 7 9
NA Broward G013 0 502 131 2 0 5 1 1 4 0
NA Broward G014 0 1081 511 3 0 15 4 14 10 12
NA Broward G015 0 944 413 0 2 13 2 3 14 5
NA Broward G016 0 1627 845 1 5 23 4 14 16 10
NA Broward H001 0 1559 245 4 0 11 6 8 6 12
NA Broward H002 0 652 59 2 0 1 2 4 6 3
NA Broward H003 0 2044 265 4 2 27 3 22 12 17
NA Broward H004 0 814 129 3 0 11 3 5 7 1
NA Broward H005 0 1880 187 0 1 12 7 13 10 11
NA Broward H006 0 1085 214 0 3 10 0 7 10 3
NA Broward H007 0 1286 198 0 0 5 1 6 4 6
NA Broward H008 0 1011 176 3 2 14 0 6 2 6
NA Broward H009 0 585 103 1 1 10 0 3 4 2
NA Broward H010 0 207 39 0 0 1 0 2 0 1
NA Broward H011 0 1453 303 3 2 13 4 10 11 13
NA Broward J001 0 877 324 2 1 15 0 6 9 7
NA Broward J002 0 857 367 2 2 21 3 6 6 12
NA Broward J003 0 800 462 5 1 11 1 11 11 8
NA Broward J004 0 1079 341 4 3 28 1 10 6 11
NA Broward J005 0 926 291 3 1 12 5 9 7 2
NA Broward J006 0 408 143 1 0 7 4 5 5 1
NA Broward J007 0 1100 315 1 2 12 3 6 9 7
NA Broward J008 0 242 112 0 0 3 1 0 5 5
NA Broward J009 0 825 359 0 3 2 1 10 6 2
NA Broward J010 0 785 331 1 0 28 2 9 8 11
NA Broward J011 0 1581 628 1 2 26 9 31 15 18
NA Broward J012 0 2572 834 1 0 39 13 18 25 19
NA Broward J013 0 1045 306 0 2 10 1 8 6 2
NA Broward J014 0 761 375 2 0 7 3 2 9 5
NA Broward J015 0 818 386 1 1 15 0 13 3 5
