COUNTY AREA TOTAL DEM REP LIB WI
Baldwin "DAPHNE CIVIC CENTER 1" 0 182 538 12 3
Baldwin "DAPHNE CIVIC CENTER 2" 0 209 594 14 1
Baldwin "DAPHNE HIGH SCHOOL .1" 0 398 1189 28 7
Baldwin "DAPHNE HIGH SCHOOL .2" 0 0 0 0 0
Baldwin "DAPHNE INTERMEDIATE SCHOOL .1" 0 794 946 30 1
Baldwin "DAPHNE INTERMEDIATE SCHOOL .2" 0 0 0 0 0
Baldwin "DAPHNE ST_PAUL EPISCOPAL CHRCH" 0 338 846 33 1
Baldwin "ELBERTA CIVIC CENTER" 0 269 607 24 7
Baldwin "ELSANOR COMMUNITY CENTER" 0 132 308 8 1
Baldwin "FAIRHOPE CIVIC CENTER .1" 0 282 686 23 3
Baldwin "FAIRHOPE CIVIC CENTER .2" 0 298 683 26 1
Baldwin "FAIRHOPE CIVIC CENTER .3" 0 524 1060 51 6
Baldwin "FAIRHOPE CIVIC CENTER .4" 0 342 683 29 1
Baldwin "FERGUSON STORE - LITTLE RIVER" 0 43 55 1 0
Baldwin "FOLEY CIVIC CENTER .1" 0 304 679 12 2
Baldwin "FOLEY CIVIC CENTER .2" 0 376 826 38 5
Baldwin "FORT MORGAN VFD STATION .2" 0 74 194 8 0
Baldwin "GATESWOOD FIRE STATION" 0 10 15 0 0
Baldwin "GATESWOOD HAMILTON CHURCH" 0 30 78 0 0
Baldwin "GULF SHORES ACTIVITY CENTER .1" 0 262 845 19 3
Baldwin "GULF SHORES ACTIVITY CENTER .2" 0 373 1128 37 4
Baldwin "JOSEPHINE FIRE HOUSE" 0 72 203 6 0
Baldwin "LILLIAN COMMINUTY HALL .1" 0 0 0 0 0
Baldwin "LILLIAN COMMUNITY HALL .2" 0 690 1303 46 2
Baldwin "LOTTIE FIRE DEPARTMENT" 0 32 51 2 0
Baldwin "LOXLEY ELLISVILLE COMM CENTER" 0 96 75 3 0
Baldwin "LOXLEY TOWN HALL" 0 138 442 18 1
Baldwin "MAGNOLIA SPRINGS WESLEYAN" 0 342 910 35 3
Baldwin "MARLOW VOLUNTEER FIRE" 0 256 684 25 4
Baldwin "MIFLIN COMMUNITY CENTER" 0 277 667 22 1
Baldwin "ORANGE BEACH COMM CENTER .1" 0 431 1457 34 5
Baldwin "ORANGE BEACH COMM CENTER .2" 0 0 0 0 0
Baldwin "PERDIDO BEACH FIRE HOUSE" 0 102 234 6 0
Baldwin "PERDIDO ELEMENTARY SCHOOL" 0 111 198 10 3
Baldwin "PINE GROVE SCHOOL" 0 173 302 8 0
Baldwin "RABUN FIRE HOUSE" 0 91 158 6 2
Baldwin "ROBERTSDALE CITY HALL" 0 363 891 34 6
Baldwin "ROSINTON ELEMENTARY SCHOOL" 0 167 485 10 1
Baldwin "S_ RIVERPORT CHURCH OF GOD .1" 0 291 862 19 1
Baldwin "S_ RIVERPORT CHURCH OF GOD .2" 0 203 621 20 6
Baldwin "SEMINOLE FIRE HOUSE" 0 60 188 2 1
Baldwin "SILVERHILL TOWN HALL" 0 199 678 26 7
Baldwin "SPANISH FORT FIRE DEPARTMENT" 0 188 742 11 3
Baldwin "SPANISH FORT SCHOOL .1" 0 413 1355 37 3
Baldwin "SPANISH FORT SCHOOL .2" 0 0 0 0 0
Baldwin "STAPELTON COMMUNITY HALL" 0 109 348 6 0
Baldwin "STOCKTON FIRE HOUSE" 0 66 204 6 0
Baldwin "SUMMERDALE COMMUNITY HALL" 0 181 572 16 1
Baldwin "TENSAW COMMUNITY CENTER" 0 66 17 1 0
Baldwin "VAUGHN COMMUNITY CENTER" 0 156 98 6 0
Baldwin "WHITE HOUSE VOLUNTEER FIRE" 0 113 312 6 3
Baldwin "Bay Minette City Hall Civic 3" 0 224 511 16 3
Baldwin "ROCKWELL ELEM. SCHOOL" 0 197 612 14 3
Barbour "ABSENTEE VOTERS" 0 285 166 3 0
Barbour "BAKERHILL VOLUNTEER FIRE" 0 191 105 2 1
Barbour "BAKERS STORE" 0 31 44 0 0
Barbour "BEVILL CENTER" 0 181 282 7 2
Barbour "BLUE SPRINGS CITY HALL" 0 90 133 1 1
Barbour "CLAYTON COURTHOUSE" 0 580 248 11 1
Barbour "CLIO CITY HALL" 0 319 170 2 2
Barbour "COGGINS STORE VOTING HOUSE" 0 21 44 0 0
Barbour "COWIKEE VOLUNTEER FIRE" 0 50 24 0 0
Barbour "ELAMVILLE VOLUNTEER FIRE" 0 33 52 1 0
Barbour "EUFAULA WATER BOARD" 0 449 212 3 0
Barbour "FELLOWSHIP BAPTIST CHURCH" 0 272 279 9 2
Barbour "GREENS CROSSROADS" 0 61 61 0 0
Barbour "JOHNNY BOYDS STORE" 0 67 47 7 0
Barbour "JUNIOR TURNER STORE" 0 50 21 0 0
Barbour "LOUISVILLE CITY HALL" 0 278 149 10 1
Barbour "MCCOO SCHOOL" 0 504 222 6 0
Barbour "MT_ ANDREW RECREATION CENTER" 0 117 12 1 0
Barbour "NEW ARMORY" 0 426 357 12 2
Barbour "RICHARDS CABINET SHOP" 0 48 37 3 0
Barbour "SANFORD GYM" 0 434 368 10 4
Barbour "SPRINGHILL VOLUNTEER FIRE" 0 190 51 2 0
Barbour "SUTTONS RESTAURANT" 0 61 32 3 1
Barbour "WHITE OAK METHODIST CHURCH" 0 120 66 1 1
Bibb Absentee 0 57 73 0 0
Bibb Brent-North 0 474 547 11 0
Bibb Brent-South 0 318 142 2 0
Bibb "Cedar Grove" 0 153 147 4 0
Bibb Centreville 0 196 358 6 0
Bibb Centreville-Cent. 0 75 36 0 0
Bibb Eoline 0 129 115 2 0
Bibb Furnace 0 243 290 8 0
Bibb Greenpond 0 450 502 19 0
Bibb Harrisburg 0 111 87 0 0
Bibb Pondville 0 53 124 6 0
Bibb Randolph 0 165 137 2 0
Bibb Tabernacle 0 24 66 3 0
Bibb "West Blocton-East" 0 375 228 8 0
Bibb "West Blocton-West" 0 355 239 5 0
Blount "ABSENTEE VOTERS" 0 98 168 2 2
Blount ALLGOOD 0 125 200 9 1
Blount "BLOUNT SPRINGS" 0 54 124 11 0
Blount BLOUNTSVILLE 0 506 599 23 2
Blount BROOKSVILLE 0 145 154 6 0
Blount CLEVELAND 0 401 340 19 1
Blount "DALLAS - SELFVILLE" 0 316 433 23 4
Blount HAYDEN 0 498 746 25 4
Blount "HOLLY SPRINGS" 0 75 121 3 2
Blount "LOCUST FORK" 0 354 446 16 3
Blount "MT_ HIGH" 0 318 531 28 4
Blount "MURPHREE VALLEY" 0 180 274 9 2
Blount NECTAR 0 296 321 13 5
Blount "ONEONTA . 1" 0 375 436 16 3
Blount "ONEONTA . 2" 0 443 481 21 2
Blount "PINE MOUNTAIN" 0 88 193 9 2
Blount REMLAP 0 223 401 18 4
Blount "ROCK SPRINGS" 0 154 195 12 1
Blount ROSA 0 217 245 13 2
Blount ROYAL 0 115 155 9 0
Blount "SMOKE RISE" 0 256 523 19 1
Blount SNEAD 0 303 468 16 3
Blount "ST_ MOUNTAIN" 0 366 684 24 1
Blount "SUGAR CREEK - BANGOR" 0 146 179 10 0
Blount SUMMIT 0 135 111 5 0
Blount "SUSAN MOORE" 0 206 338 10 0
Bullock Absentee 0 72 58 2 0
Bullock Akerfoil 0 112 40 3 0
Bullock Armory-1 0 151 48 2 0
Bullock Armory-2 0 106 34 0 0
Bullock Armory-3 0 187 36 3 0
Bullock Armory-4 0 93 44 1 0
Bullock Armory-5 0 176 36 2 0
Bullock Armory-6 0 95 57 3 0
Bullock Armory-7 0 121 27 3 0
Bullock Armory-8 0 66 40 1 0
Bullock Armory-9 0 171 41 3 0
Bullock Armory-10 0 144 48 3 0
Bullock Gurreyton 0 65 2 0 0
Bullock Cornerstone 0 147 37 1 0
Bullock Cornith 0 32 17 0 0
Bullock Fitzpatrick 0 106 124 6 0
Bullock "Indian Creek" 0 64 18 2 0
Bullock Inverness 0 39 37 0 0
Bullock Midway-1 0 150 17 4 0
Bullock Midway-2 0 179 16 2 0
Bullock Midway-3 0 103 3 0 0
Bullock Peachburg 0 75 23 1 0
Bullock Perote 0 64 52 4 0
Bullock "Post Oak" 0 84 120 1 0
Bullock Sardis 0 101 25 0 0
Bullock Thompson 0 60 36 2 0
Bullock "Three Notch" 0 62 15 0 0
Butler "ABSENTEE VOTERS" 0 156 110 3 0
Butler "BOLLING VOTING HOUSE" 0 47 51 1 0
Butler "CENTER HILL - VOTING HOUSE" 0 69 25 1 1
Butler "CENTRAL VOL_ FIRE DEPT_" 0 206 137 6 1
Butler "CHAPMAN POST OFFICE" 0 71 94 2 0
Butler "DUNBAR COMMUNITY CENTER .1" 0 241 74 4 2
Butler "DUNBAR COMMUNITY CENTER .2" 0 251 79 5 2
Butler "FOREST HOME - VOTING HOUSE" 0 60 52 3 0
Butler FRIENDSHIP 0 19 108 0 0
Butler "GARLAND - VOTING HOUSE" 0 85 101 1 0
Butler "GEORGIANA ARMORY .1" 0 148 107 6 2
Butler "GEORGIANA ARMORY .2" 0 305 131 2 0
Butler "HARRISON - VOTING HOUSE" 0 52 109 5 0
Butler "HEALTH DEPARTMENT .1" 0 149 305 3 1
Butler "HEALTH DEPARTMENT .2" 0 165 329 5 0
Butler INDUSTRY 0 29 94 2 0
Butler "MANNINGHAM - VOTING HOUSE" 0 103 58 1 0
Butler "MCKENZIE TOWN HALL" 0 133 162 8 1
Butler "MCLAINS - VOTING HOUSE" 0 112 215 7 2
Butler "MIDWAY - VOTING HOUSE" 0 86 102 2 0
Butler "MONTEREY-OLD SCHOOL HOUSE" 0 17 15 0 0
Butler "NEW ARMORY .1" 0 103 88 0 0
Butler "NEW ARMORY .2" 0 435 351 13 2
Butler "PROVIDENCE - VOTING HOUSE" 0 167 156 3 0
Butler "ROCKY CREEK - VOTING HOUSE" 0 62 153 5 1
Butler "SEARCY - VOLUNTEER FIRE DEPT_" 0 37 85 4 0
Butler "STEINERS STORE" 0 46 85 1 0
Calhoun "ABSENTEE VOTERS" 0 298 362 9 3
Calhoun "1ST UNITED METHODIST-WEAVER #1" 0 352 358 8 0
Calhoun "1ST UNITED METHODIST-WEAVER #2" 0 411 336 13 1
Calhoun "ALEXANDRIA-CIVITAN CLUB CNTR" 0 658 768 18 3
Calhoun "ANNISTON - CARVER CENTER" 0 415 10 3 0
Calhoun "ANNISTON - FIRST PRESBYTERIAN" 0 452 283 11 3
Calhoun "ANNISTON - MEETING CENTER" 0 448 45 3 0
Calhoun "ANNISTON - MENTAL HEALTH CNTR" 0 173 218 5 0
Calhoun "ANNISTON - THANKFUL BAPTIST" 0 295 13 4 0
Calhoun "ANNISTON-F & WILMER FIRE ST." 0 479 65 0 1
Calhoun "ANNISTON-GOLDEN SPRINGS COMM 1" 0 593 792 14 5
Calhoun "ANNISTON-GOLDEN SPRINGS COMM 2" 0 397 510 8 3
Calhoun "ASBERRY BAPTIST CHURCH" 0 342 295 9 2
Calhoun "BETHEL UNITED METHODIST CHURCH" 0 93 62 2 0
Calhoun "BYNUM SCHOOL" 0 693 749 22 6
Calhoun "CALHOUN COUNTY HEALTH DEPT." 0 299 150 6 0
Calhoun "CHOCCOLOCCO COMMUNITY CENTER" 0 161 223 9 2
Calhoun "CHURCH OF THE COVENANT" 0 221 96 5 1
Calhoun "COOSA VALLEY SADDLE CLUB" 0 132 147 5 0
Calhoun "DEARMANVILLE SCHOOL" 0 254 377 7 2
Calhoun "EULATON-UNITED METHODIST" 0 261 248 4 1
Calhoun "FOUR MILE - METHODIST CHURCH" 0 156 151 7 0
Calhoun "FRIENDSHIP BAPTIST CHURCH" 0 286 255 13 1
Calhoun "FRIENDSHIP COMMUNITY CENTER" 0 362 569 17 3
Calhoun "GLENWOOD MEADOWS MEETING ROOM" 0 441 296 15 0
Calhoun "GODS COVENANT MINISTRY" 0 179 124 3 0
Calhoun "HOBSON CITY - CITY HALL" 0 254 13 1 0
Calhoun "HOLLEYS CROSSROADS BAPTIST" 0 186 154 7 0
Calhoun "JACKSONVILLE-FIRST BAPTIST" 0 530 614 18 0
Calhoun "JACKSONVILLE-WESTSIDE BAPTIST" 0 239 222 16 2
Calhoun "LEATHERWOOD RD CIVIL DEFENSE" 0 361 473 6 3
Calhoun "MOORE AVENUE CHURCH OF CHRIST" 0 443 43 5 0
Calhoun "NATIONAL GUARD ARMORY" 0 480 334 17 0
Calhoun "OHATCHEE FIRE STATION" 0 512 367 13 3
Calhoun "OXFORD - CHEAHA CLUBHOUSE C.C." 0 229 254 1 1
Calhoun "OXFORD - OXFORD LAKE PARK C.C." 0 270 223 3 0
Calhoun "OXFORD CITY HALL" 0 272 215 8 3
Calhoun "OXFORD ELEMENTARY SCHOOL #1" 0 415 526 9 1
Calhoun "OXFORD ELEMENTARY SCHOOL #2" 0 336 379 7 1
Calhoun "PIEDMONT COMMUNITY BUILDING" 0 191 77 3 0
Calhoun "PIEDMONT FIRE STATION" 0 281 203 7 0
Calhoun "PIEDMONT NATIONAL GUARD ARMORY" 0 277 177 7 1
Calhoun "PIEDMONT RECREATION BUILDING" 0 179 92 3 0
Calhoun "READS MILL - READS STORE" 0 201 232 3 1
Calhoun "S.M. MCCURRY RESIDENCE" 0 173 171 10 0
Calhoun "SAKS - HIGH SCHOOL #1" 0 719 848 17 2
Calhoun "SAKS - HIGH SCHOOL #2" 0 372 438 8 2
Calhoun "THE DONOHO SCHOOL" 0 244 459 10 1
Calhoun "WEBSTERS CHAPEL METHODIST" 0 273 238 12 1
Calhoun "WELLBORN HIGH SCHOOL" 0 582 429 15 0
Calhoun "WELLINGTON - MT.VIEW BAPTIST" 0 178 218 5 1
Calhoun "WHITE PLAINS HIGH SCHOOL" 0 224 265 13 2
Calhoun "WIGGINS COMMUNITY CENTER" 0 439 14 4 0
Chambers Absentee 0 85 121 4 0
Chambers Buffalo 0 92 98 2 0
Chambers Culebra 0 132 27 4 0
Chambers Cusseta 0 103 150 2 0
Chambers Fairfax 0 581 732 12 0
Chambers "Five Points" 0 160 59 1 0
Chambers Fredonia 0 109 106 7 0
Chambers Huguley 0 279 310 11 0
Chambers Lafayette 0 542 348 15 0
Chambers Lakeview 0 58 115 1 0
Chambers Lanett 0 1121 787 12 0
Chambers Langdale 0 293 358 8 0
Chambers Milltown 0 79 63 2 0
Chambers "Mount Olive" 0 59 38 2 0
Chambers Penton 0 35 93 1 0
Chambers Rescue 0 172 199 5 0
Chambers "Ridge Grove" 0 110 106 0 0
Chambers "River View" 0 229 209 5 0
Chambers Shawmut 0 206 511 9 0
Chambers "Sparkling Springs" 0 6 21 0 0
Chambers "Standing Rock" 0 45 68 2 0
Chambers Stroud 0 92 50 3 0
Chambers Sturkie 0 115 90 3 0
Chambers "Union Hall" 0 36 98 4 0
Chambers Waverly 0 28 80 5 0
Cherokee "ABSENTEE VOTERS" 0 88 70 4 0
Cherokee "ADRIANS STORE" 0 87 32 1 0
Cherokee "AMERICAN LEGION BUILDING .1" 0 377 271 11 0
Cherokee "AMERICAN LEGION BUILDING .2" 0 575 387 20 0
Cherokee "BARRETTS CHAPEL FELLOWSHIP" 0 39 28 1 0
Cherokee "BLANCHE CLUBHOUSE" 0 40 64 1 0
Cherokee "BROOMTOWN FIRE DEPARTMENT" 0 34 59 1 1
Cherokee "CEDAR BLUFF COMMUNITY CENTER" 0 352 231 12 2
Cherokee "CURTIS VAUGHN STORE" 0 107 28 1 0
Cherokee "DANIELS CHAPEL FELLOWSHIP HALL" 0 49 30 1 0
Cherokee "ELLISVILLE CLUBHOUSE" 0 44 44 3 1
Cherokee "FRIENDSHIP BAPTIST FELLOWSHIP" 0 28 39 0 0
Cherokee "GAYLESVILLE CITY HALL" 0 66 58 1 0
Cherokee "GOSHEN METHODIST CHURCH" 0 68 44 3 1
Cherokee "LEESBURG CLUBHOUSE" 0 331 188 6 0
Cherokee "LINDSEYS STORE" 0 62 31 0 0
Cherokee "MAYS STORE" 0 127 58 1 0
Cherokee "MCCORDS CROSSROADS FIRE HALL" 0 81 76 1 0
Cherokee "MILL CREEK BAPTIST CHURCH" 0 14 27 1 0
Cherokee "MT CALVARY BAPT_ CHURCH  PAPER" 0 20 19 1 0
Cherokee "MT_ SPRINGS FELLOWSHIP HALL" 0 29 34 2 0
Cherokee "MT_ WEISNER FIRE HALL" 0 60 55 2 1
Cherokee "NEW HOPE METHODIST CHURCH" 0 101 80 1 0
Cherokee "PLEASANT VALLEY BAPTIST .2" 0 59 38 3 0
Cherokee "ROCK RUN CHURCH" 0 46 23 1 0
Cherokee "SAND ROCK TOWN HALL" 0 219 147 3 1
Cherokee "SCHOONHOVEN STORE PAPER" 0 12 15 0 0
Cherokee "SLACKLAND CLUBHOUSE" 0 47 31 1 0
Cherokee "SPRING CREEK FIRE HALL" 0 149 93 8 0
Cherokee "SPRING GARDEN FIRE STATION" 0 122 108 5 0
Cherokee "TUCKERS CHAPEL FIRE DEPARTMENT" 0 35 37 1 0
Cherokee "WATSONS CHAPEL" 0 32 44 2 1
Chilton "ABSENTEE VOTERS" 0 284 220 5 2
Chilton "CANE CREEK-GAP OF MT_ FIRE" 0 226 267 5 2
Chilton "CLANTON FACILITY BLDG_" 0 472 895 20 1
Chilton "COLLINS CHAPEL-FIRE STATION" 0 99 177 4 0
Chilton COURTHOUSE-CLANTON 0 287 520 11 4
Chilton "ENTERPRISE-FIRE STATION" 0 235 452 11 3
Chilton "FAIRVIEW-FIRE STATION" 0 149 313 3 2
Chilton "ISABELLA-FIRE STATION" 0 186 248 7 2
Chilton "JEMISON FIRE DEPARTMENT" 0 628 675 26 4
Chilton LIBRARY-CLANTON 0 311 619 12 2
Chilton "MAPLESVILLE-NEW FIRE STATION" 0 299 228 1 0
Chilton "MARS HILL-W CHILTON FIRE" 0 245 307 11 2
Chilton "PROVIDENCE-E CHILTON FIRE" 0 282 399 19 2
Chilton "PROVIDENCE-N CHILTON FIRE" 0 171 274 9 2
Chilton "SOUTH CHILTON FIRE STATION" 0 154 370 2 1
Chilton "THORSBY TOWN HALL" 0 330 524 17 2
Chilton "UNION GROVE-FIRE STATION" 0 312 468 17 2
Chilton "VERBENA-FIRE STATION" 0 318 443 13 0
Chilton "VETERANS CLUB-CLANTON" 0 691 388 4 2
Choctaw Absentee 0 79 65 4 0
Choctaw Ararat 0 49 48 2 0
Choctaw Barrytown 0 23 132 1 0
Choctaw "Bladon Sprgs." 0 78 8 0 0
Choctaw Bogueloosa 0 71 150 1 0
Choctaw Branch 0 150 32 0 0
Choctaw Butler 0 443 610 9 0
Choctaw "Chappell Hill" 0 36 108 0 0
Choctaw Cromwell 0 49 19 0 0
Choctaw Crossroads 0 64 21 4 0
Choctaw Cullomburg 0 34 47 1 0
Choctaw Gilbertown 0 104 174 0 0
Choctaw Halsell 0 41 11 2 0
Choctaw Hurricane 0 16 10 0 0
Choctaw Intersection 0 47 0 0 0
Choctaw Isney 0 11 40 0 0
Choctaw Lavaca 0 108 52 1 0
Choctaw Lisman 0 196 23 2 0
Choctaw Lusk 0 55 89 0 0
Choctaw Melvin 0 63 20 0 0
Choctaw "Mt. Sterling" 0 105 29 1 0
Choctaw Pelham 0 89 17 0 0
Choctaw Pennington 0 196 67 0 0
Choctaw "Pleasant Valley" 0 26 91 1 0
Choctaw Pushmataha 0 95 10 0 0
Choctaw Riderwood 0 72 11 0 0
Choctaw "Rock Springs" 0 13 37 1 0
Choctaw Silas 0 97 128 3 0
Choctaw Souwilpa 0 13 28 0 0
Choctaw Toomey 0 49 61 2 0
Choctaw Toxey 0 78 95 0 0
Choctaw "Womack Hill" 0 33 44 1 0
Choctaw Yantley 0 197 10 1 0
Clarke "ABSENTEE VOTERS" 0 57 116 0 0
Clarke "ANTIOCH FIRE STATION" 0 97 122 4 1
Clarke "BASHI - METHODIST CHURCH" 0 23 40 0 1
Clarke "CHOCTAW BLUFF FIRE STATION" 0 151 48 1 0
Clarke "COFFEEVILLE HIGH SCHOOL GYM" 0 213 241 2 1
Clarke "GOOD HOPE AME CHRCH GAINSTOWN" 0 220 34 3 0
Clarke "GOSPORT FIRE STATION" 0 125 21 2 0
Clarke "GROVE HILL - COURTHOUSE" 0 137 224 2 1
Clarke "GROVE HILL-CITY HALL" 0 101 284 0 2
Clarke "GROVE HILL-NATIONAL GUARD" 0 163 51 4 0
Clarke "HELLWESTERN FIRE STATION" 0 38 159 1 1
Clarke "HOPEWELL CHURCH - CHILTON" 0 14 71 1 0
Clarke "JACKSON CITY HALL" 0 546 294 6 4
Clarke "JACKSON-FIRE STATION NO_2" 0 125 299 6 0
Clarke "JACKSON-NATIONAL GUARD ARMORY" 0 169 358 2 0
Clarke "JACKSON-SKIPPERS FIRE STATION" 0 192 284 8 1
Clarke "MORNING STAR BAPTIST CHURCH" 0 110 25 0 0
Clarke "MORVIN CAMP MORVIN" 0 102 24 0 0
Clarke "NETTLESBORO FIRE STATION" 0 49 67 1 0
Clarke "OLD FULTON SCHOOL" 0 183 293 3 1
Clarke "OVERSTREET GROCERY" 0 156 92 3 0
Clarke "SALITPA-ALABAMA SANDBLASTING" 0 79 51 3 0
Clarke "SALTWORKS VOTING HOUSE-CARLTON" 0 78 38 0 0
Clarke "SPRINGFIELD UNITED METHODIST" 0 19 174 3 1
Clarke "TALLAHATTA SPR_-COMM_ HOUSE" 0 10 76 0 0
Clarke "THOMASVILLE FIRE STATION" 0 183 349 4 4
Clarke "THOMASVILLE FIRE STATION .2" 0 87 296 2 0
Clarke "THOMASVILLE-NATIONAL GUARD" 0 594 321 3 1
Clarke "WHATLEY - GARRICKS STORE" 0 91 67 1 1
Clarke "WINN & ZIMCO-FIRE STATION" 0 133 44 2 0
Clay Absentee 0 96 151 2 0
Clay "Ashland National Guard 17" 0 233 477 8 1
Clay "Ashland National Guard 18A" 0 48 140 3 0
Clay "Ashland National Guard 18B" 0 32 65 2 0
Clay "Ashland National Guard 21" 0 165 91 2 0
Clay "Barfield Volunteer" 0 178 241 8 1
Clay "Bluff Springs F.D." 0 107 188 4 1
Clay "Coleta Valley F.D." 0 27 69 6 3
Clay "Cragford F.D." 0 64 139 1 0
Clay "Delta Community Center" 0 79 88 2 1
Clay "Highland/Coppermine FD" 0 53 72 3 0
Clay "Highland/Coppermine FD 2" 0 64 123 3 0
Clay "Hipine F.D." 0 20 81 1 0
Clay "Hollins Community Center" 0 109 96 1 1
Clay "Idaho F.D." 0 65 144 2 0
Clay "Lineville Armory" 0 117 237 6 0
Clay "Lineville National Guard 15" 0 103 200 1 0
Clay "Lineville National Guard 20" 0 243 69 2 1
Clay "Mellow Valley High 01" 0 22 38 2 0
Clay "Mellow Valley High 02" 0 73 158 1 0
Clay "Millerville F.D. 08" 0 26 100 1 0
Clay "Millerville F.D. 22" 0 70 82 2 2
Clay "Tri-Community F.D. 10" 0 49 72 3 0
Clay "Tri-Community F.D. 23" 0 51 55 3 0
Clay Challenged 0 0 0 0 0
Cleburne "ABSENTEE VOTERS" 0 101 88 1 2
Cleburne ABEL 0 45 83 3 0
Cleburne "BEASON MILL" 0 52 77 0 1
Cleburne "BELLS MILL" 0 109 139 5 0
Cleburne "BORDEN SPRINGS VOL_ FIRE" 0 46 42 4 0
Cleburne "BUD BLAKE" 0 56 45 3 1
Cleburne CAVENDER 0 35 54 2 2
Cleburne CHULAFINNIE 0 221 264 7 2
Cleburne EDWARDSVILLE 0 101 141 13 0
Cleburne FRUITHURST 0 91 116 3 0
Cleburne "HEFLIN NATIONAL GUARD ARMORY 1" 0 383 344 15 2
Cleburne "HEFLIN NATIONAL GUARD ARMORY 2" 0 307 303 7 1
Cleburne HIGHTOWER 0 127 213 3 0
Cleburne HOPEWELL 0 67 126 3 0
Cleburne MUSCADINE 0 91 87 7 1
Cleburne "OAK LEVEL VOL FIRE DEPARTMENT" 0 104 77 6 0
Cleburne "PLAINVIEW COMMUNITY CENTER" 0 44 83 1 2
Cleburne "RANBURNE RESCUE SQUAD BUILDING" 0 192 398 6 2
Coffee "ABSENTEE VOTERS" 0 137 191 7 0
Coffee BASIN 0 61 57 3 0
Coffee "BLUFF SPRINGS" 0 28 18 1 0
Coffee "CHESTNUT GROVE" 0 26 61 5 1
Coffee "COOL SPRINGS" 0 111 203 1 0
Coffee DAMASCUS 0 147 204 5 2
Coffee "DANLEYS CROSS ROADS" 0 80 41 2 0
Coffee EANON 0 55 135 8 1
Coffee "ELBA MULBERRY HEIGHTS" 0 198 8 4 0
Coffee "ELBA RESERVE ARMORY" 0 320 227 9 0
Coffee "ENTERPRISE CIVIC CENTER" 0 320 377 12 2
Coffee "ENTERPRISE RECREATION CENTER 1" 0 494 976 20 6
Coffee "ENTERPRISE RECREATION CENTER 2" 0 202 419 7 2
Coffee "ENTERPRISE YMCA 1" 0 234 438 7 0
Coffee "ENTERPRISE YMCA 2" 0 435 747 21 3
Coffee FAIRVIEW 0 12 31 0 0
Coffee FRESCO 0 143 128 4 0
Coffee GOODMAN 0 100 167 5 1
Coffee "HERITAGE CHURCH - ENTERPRISE" 0 266 339 11 0
Coffee "HOLLEYS STORE" 0 24 17 2 0
Coffee "INO COMMUNITY" 0 39 83 5 0
Coffee "JOHNS CHAPEL AME CHURCH 1" 0 703 198 7 3
Coffee "JOHNS CHAPEL AME CHURCH 2" 0 0 0 0 0
Coffee KINSTON 0 112 104 3 1
Coffee "LEE COMMUNITY" 0 66 47 1 0
Coffee "MOUNT PLEASANT" 0 145 286 10 0
