COUNTY AREA TOTAL DEM REP SCATTERING
ASHLAND "Town of SHANAGOLDEN Ward 1" 23 16 7 0
ASHLAND "Town of WHITE RIVER Ward 1" 139 52 86 1
ASHLAND "Town of WHITE RIVER Ward 2" 18 5 13 0
ASHLAND "Village of BUTTERNUT Ward 1" 7 6 1 0
ASHLAND "Village of BUTTERNUT Ward 2" 65 40 25 0
ASHLAND "City of ASHLAND Ward 1" 197 106 91 0
ASHLAND "City of ASHLAND Ward 2" 88 67 21 0
ASHLAND "City of ASHLAND Ward 3" 123 85 38 0
ASHLAND "City of ASHLAND Ward 4" 195 144 51 0
ASHLAND "City of ASHLAND Ward 5" 201 165 36 0
ASHLAND "City of ASHLAND Ward 6" 88 67 21 0
ASHLAND "City of ASHLAND Ward 7" 129 112 17 0
ASHLAND "City of ASHLAND Ward 8" 116 87 29 0
ASHLAND "City of ASHLAND Ward 9" 93 78 15 0
ASHLAND "City of ASHLAND Ward 10" 91 65 25 1
ASHLAND "City of ASHLAND Ward 11" 126 83 43 0
ASHLAND "City of MELLEN Ward 1" 72 48 24 0
BARRON "Town of ALMENA Ward 1-2" 91 43 48 0
BARRON "Town of ARLAND Ward 1" 81 45 36 0
BARRON "Town of BARRON Ward 1-2" 110 26 84 0
BARRON "Town of BEAR LAKE Ward 1" 95 49 46 0
BARRON "Town of CEDAR LAKE Ward 1" 199 77 122 0
BARRON "Town of CHETEK Wards 1-2" 208 98 110 0
BARRON "Town of CLINTON Ward 1" 75 23 52 0
BARRON "Town of CRYSTAL LAKE Ward 1" 110 32 78 0
BARRON "Town of CUMBERLAND Ward 1" 130 50 80 0
BARRON "Town of DALLAS Ward 1" 76 25 51 0
BARRON "Town of DOVRE Ward 1" 92 48 44 0
BARRON "Town of DOYLE Ward 1-2" 57 25 32 0
BARRON "Town of LAKELAND Ward 1-2" 153 78 75 0
BARRON "Town of MAPLE GROVE Ward 1-2" 118 40 78 0
BARRON "Town of MAPLE PLAIN Ward 1" 138 55 83 0
BARRON "Town of OAK GROVE Ward 1-2" 115 46 69 0
BARRON "Town of PRAIRIE FARM Wards 1-2" 124 60 63 1
BARRON "Town of PRAIRIE LAKE Ward 1-2" 217 95 122 0
BARRON "Town of RICE LAKE Wards 1-4" 371 194 177 0
BARRON "Town of SIOUX CREEK Ward 1" 84 24 60 0
BARRON "Town of STANFOLD Ward 1" 99 36 63 0
BARRON "Town of STANLEY Ward 1-4" 297 118 179 0
BARRON "Town of SUMNER Ward 1" 83 37 46 0
BARRON "Town of TURTLE LAKE Ward 1" 84 36 48 0
BARRON "Town of VANCE CREEK Ward 1" 92 48 44 0
BARRON "Village of ALMENA Ward 1" 57 20 37 0
BARRON "Village of CAMERON Wards 1-3" 140 67 73 0
BARRON "Village of DALLAS Ward 1" 35 13 22 0
BARRON "Village of HAUGEN Ward 1" 25 10 15 0
BARRON "VILLAGE OF NEW AUBURN Wards 2-3" 2 2 0 0
BARRON "Village of PRAIRIE FARM Ward 1" 62 33 29 0
BARRON "Village of TURTLE LAKE Ward 1" 86 50 36 0
BARRON "City of BARRON Ward 1-7" 560 245 315 0
BARRON "City of CHETEK Wards 1-4" 222 112 110 0
BARRON "City of CUMBERLAND Ward 1-4" 342 186 156 0
BARRON "City of RICE LAKE Wards 1-13" 1059 616 440 3
BAYFIELD "Town of BARKSDALE Ward 1" 175 122 53 0
BAYFIELD "Town of BARNES Ward 1" 227 132 95 0
BAYFIELD "Town of BAYFIELD Ward 1" 309 214 95 0
BAYFIELD "Town of BAYVIEW Ward 1" 188 111 77 0
BAYFIELD "Town of BELL Ward 1" 175 110 65 0
BAYFIELD "Town of CABLE Ward 1" 174 100 74 0
BAYFIELD "Town of CLOVER Ward 1" 98 66 32 0
BAYFIELD "Town of DELTA Ward 1" 101 47 54 0
BAYFIELD "Town of DRUMMOND Ward 1" 119 69 50 0
BAYFIELD "Town of EILEEN Ward 1" 178 91 87 0
BAYFIELD "Town of EILEEN Ward 2" 0 0 0 0
BAYFIELD "Town of GRAND VIEW Ward 1" 102 66 36 0
BAYFIELD "Town of HUGHES Ward 1" 155 80 75 0
BAYFIELD "Town of IRON RIVER Ward 1-2" 322 171 151 0
BAYFIELD "Town of KELLY Ward 1" 88 44 44 0
BAYFIELD "Town of KEYSTONE Ward 1" 73 39 34 0
BAYFIELD "Town of LINCOLN Ward 1" 75 41 34 0
BAYFIELD "Town of MASON Ward 1" 73 37 36 0
BAYFIELD "Town of NAMAKAGON Ward 1" 77 50 27 0
BAYFIELD "Town of ORIENTA Ward 1" 42 25 17 0
BAYFIELD "Town of OULU Ward 1" 153 75 78 0
BAYFIELD "Town of PILSEN Ward 1" 64 46 18 0
BAYFIELD "Town of PORT WING Ward 1" 152 102 50 0
BAYFIELD "Town of RUSSELL Ward 1-2" 182 150 32 0
BAYFIELD "Town of TRIPP Ward 1" 56 33 23 0
BAYFIELD "Town of WASHBURN Ward 1" 184 138 46 0
BAYFIELD "Village of MASON Ward 1" 16 11 5 0
BAYFIELD "CITY OF ASHLAND Ward 12" 0 0 0 0
BAYFIELD "City of BAYFIELD Ward 1,3" 69 59 10 0
BAYFIELD "City of BAYFIELD Ward 2" 43 40 3 0
BAYFIELD "City of BAYFIELD Ward 4" 60 56 4 0
BAYFIELD "City of WASHBURN Ward 1" 275 222 53 0
BAYFIELD "City of WASHBURN Ward 2" 98 84 14 0
BAYFIELD "City of WASHBURN Ward 3" 85 70 15 0
BAYFIELD "City of WASHBURN Ward 4" 224 161 63 0
BROWN "Town of EATON Ward 1-2" 219 100 119 0
BROWN "Town of GLENMORE Ward 1" 119 44 75 0
BROWN "Town of GLENMORE Ward 2" 66 27 39 0
BROWN "Town of GREEN BAY Ward 1-3" 636 296 340 0
BROWN "Town of HOLLAND Ward 1-2" 249 97 151 1
BROWN "Town of HUMBOLDT Ward 1-2" 324 137 187 0
BROWN "Town of LAWRENCE Ward 1-3" 299 170 129 0
BROWN "Town of LAWRENCE Ward 4-6" 417 178 239 0
BROWN "Town of LEDGEVIEW Ward 1" 21 10 11 0
BROWN "Town of LEDGEVIEW Wards 2-10" 1159 603 555 1
BROWN "Town of MORRISON Ward 1-2" 297 100 197 0
BROWN "Town of NEW DENMARK Ward 1-2" 197 94 103 0
BROWN "Town of NEW DENMARK Ward 3" 78 37 41 0
BROWN "Town of PITTSFIELD Ward 1-3" 427 182 245 0
BROWN "Town of ROCKLAND Ward 1" 88 32 56 0
BROWN "Town of ROCKLAND Ward 2-3" 227 106 121 0
BROWN "Town of SCOTT Wards 1-4" 605 342 263 0
BROWN "Town of WRIGHTSTOWN Ward 1" 150 73 77 0
BROWN "Town of WRIGHTSTOWN Ward 2-3" 190 63 127 0
BROWN "Village of ALLOUEZ Ward 1-2" 735 466 269 0
BROWN "Village of ALLOUEZ Ward 3" 181 105 76 0
BROWN "Village of ALLOUEZ Ward 4" 485 300 185 0
BROWN "Village of ALLOUEZ Ward 5-6" 779 423 355 1
BROWN "Village of ALLOUEZ Ward 7-9" 585 352 233 0
BROWN "Village of ALLOUEZ Ward 10" 0 0 0 0
BROWN "Village of ASHWAUBENON Wards 1-2" 327 176 151 0
BROWN "Village of ASHWAUBENON Wards 3-4" 339 171 168 0
BROWN "Village of ASHWAUBENON Wards 5-6" 397 213 184 0
BROWN "Village of ASHWAUBENON Ward 7" 232 115 117 0
BROWN "Village of ASHWAUBENON Ward 8" 212 131 81 0
BROWN "Village of ASHWAUBENON Wards 9-10" 517 291 226 0
BROWN "Village of ASHWAUBENON Wards 11-12" 423 246 177 0
BROWN "Village of BELLEVUE Wards 1-4" 462 252 210 0
BROWN "Village of BELLEVUE Wards 5-6" 412 228 184 0
BROWN "Village of BELLEVUE Wards 7-10" 1227 632 595 0
BROWN "Village of DENMARK Ward 1-3" 307 151 156 0
BROWN "Village of DENMARK Ward 4" 0 0 0 0
BROWN "Village of HOBART Ward 1-5" 737 337 400 0
BROWN "Village of HOBART Ward 6-9" 305 129 176 0
BROWN "Village of HOWARD Ward 1-2" 307 152 154 1
BROWN "Village of HOWARD Ward 3-4" 151 71 80 0
BROWN "Village of HOWARD Ward 5-6" 346 182 163 1
BROWN "Village of HOWARD Wards 7-8" 722 368 352 2
BROWN "Village of HOWARD Ward 9-10" 669 368 301 0
BROWN "Village of HOWARD Ward 11-12" 625 316 309 0
BROWN "Village of HOWARD Ward 13" 276 148 128 0
BROWN "Village of HOWARD Ward 14" 150 55 95 0
BROWN "Village of HOWARD Ward 15" 472 230 241 1
BROWN "Village of HOWARD Ward 16" 205 113 92 0
BROWN "Village of HOWARD Ward 18" 163 96 67 0
BROWN "Village of PULASKI Ward 1-3,6" 457 243 214 0
BROWN "Village of SUAMICO Wards 1-4" 1404 633 766 5
BROWN "Village of SUAMICO Ward 5" 451 220 231 0
BROWN "Village of SUAMICO Wards 6-8" 1218 587 629 2
BROWN "Village of WRIGHTSTOWN Wards 1-3" 302 135 167 0
BROWN "City of DE PERE Wards 1-2,4" 895 545 349 1
BROWN "City of DE PERE Wards 3,5" 340 225 114 1
BROWN "City of DE PERE Wards 6-8" 684 419 265 0
BROWN "City of DE PERE Ward 9" 146 87 59 0
BROWN "City of DE PERE Wards 10-12" 604 374 227 3
BROWN "City of DE PERE Ward 13" 243 135 108 0
BROWN "City of DE PERE Wards 14-15" 465 248 217 0
BROWN "City of DE PERE Ward 16" 3 1 2 0
BROWN "City of DE PERE Ward 17" 0 0 0 0
BROWN "City of DE PERE Ward 18" 0 0 0 0
BROWN "City of GREEN BAY Ward 1" 4 1 3 0
BROWN "City of GREEN BAY Ward 2" 422 274 147 1
BROWN "City of GREEN BAY Ward 3" 412 246 166 0
BROWN "City of GREEN BAY Ward 4" 509 289 217 3
BROWN "City of GREEN BAY Ward 5" 259 152 107 0
BROWN "City of GREEN BAY Ward 6" 591 324 266 1
BROWN "City of GREEN BAY Ward 7" 287 159 128 0
BROWN "City of GREEN BAY Ward 8" 588 358 228 2
BROWN "City of GREEN BAY Ward 9" 104 66 37 1
BROWN "City of GREEN BAY Ward 10" 221 128 92 1
BROWN "City of GREEN BAY Ward 11" 197 110 87 0
BROWN "City of GREEN BAY Ward 12" 167 95 70 2
BROWN "City of GREEN BAY Ward 13" 156 105 50 1
BROWN "City of GREEN BAY Ward 14" 168 103 65 0
BROWN "City of GREEN BAY Ward 15" 438 300 133 5
BROWN "City of GREEN BAY Ward 16" 420 303 117 0
BROWN "City of GREEN BAY Ward 17" 229 151 78 0
BROWN "City of GREEN BAY Ward 18" 303 187 114 2
BROWN "City of GREEN BAY Ward 19" 123 75 48 0
BROWN "City of GREEN BAY Ward 20" 159 104 55 0
BROWN "City of GREEN BAY Ward 21" 117 79 38 0
BROWN "City of GREEN BAY Ward 22" 87 59 28 0
BROWN "City of GREEN BAY Ward 23" 149 102 46 1
BROWN "City of GREEN BAY Ward 24" 225 147 76 2
BROWN "City of GREEN BAY Ward 25" 224 155 69 0
BROWN "City of GREEN BAY Ward 26" 227 174 53 0
BROWN "City of GREEN BAY Ward 27" 45 35 10 0
BROWN "City of GREEN BAY Ward 28" 189 137 50 2
BROWN "City of GREEN BAY Ward 29" 380 237 142 1
BROWN "City of GREEN BAY Ward 30" 398 286 110 2
BROWN "City of GREEN BAY Ward 31" 374 229 142 3
BROWN "City of GREEN BAY Ward 32" 266 160 106 0
BROWN "City of GREEN BAY Ward 33" 199 127 71 1
BROWN "City of GREEN BAY Ward 34" 415 245 168 2
BROWN "City of GREEN BAY Ward 35" 293 163 129 1
BROWN "City of GREEN BAY Ward 36" 104 57 47 0
BROWN "City of GREEN BAY Ward 37" 199 116 83 0
BROWN "City of GREEN BAY Ward 38" 339 238 101 0
BROWN "City of GREEN BAY Ward 39" 372 228 144 0
BROWN "City of GREEN BAY Ward 40" 270 161 107 2
BROWN "City of GREEN BAY Ward 41" 166 92 74 0
BROWN "City of GREEN BAY Ward 42" 136 72 64 0
BROWN "City of GREEN BAY Ward 43" 298 180 118 0
BROWN "City of GREEN BAY Ward 44" 472 252 219 1
BROWN "City of GREEN BAY Ward 45" 617 293 323 1
BROWN "City of GREEN BAY Ward 46" 357 237 120 0
BROWN "City of GREEN BAY Ward 47" 559 294 264 1
BUFFALO "Town of ALMA Ward 1" 91 52 39 0
BUFFALO "Town of BELVIDERE Ward 1" 113 47 66 0
BUFFALO "Town of BUFFALO Ward 1" 91 45 46 0
BUFFALO "Town of CANTON Ward 1" 64 35 29 0
BUFFALO "Town of CROSS Ward 1" 60 28 32 0
BUFFALO "Town of DOVER Ward 1" 72 43 29 0
BUFFALO "Town of GILMANTON Ward 1" 71 34 37 0
BUFFALO "Town of GLENCOE Ward 1" 147 56 91 0
BUFFALO "Town of LINCOLN Ward 1" 63 28 35 0
BUFFALO "Town of MAXVILLE Ward 1" 75 32 43 0
BUFFALO "Town of MILTON Ward 1" 120 67 53 0
BUFFALO "Town of MODENA Ward 1" 92 42 50 0
BUFFALO "Town of MONDOVI Ward 1" 117 54 63 0
BUFFALO "Town of MONTANA Ward 1" 59 26 33 0
BUFFALO "Town of NAPLES Ward 1" 146 56 90 0
BUFFALO "Town of NELSON Ward 1" 145 55 90 0
BUFFALO "Town of WAUMANDEE Ward 1" 177 73 104 0
BUFFALO "Village of COCHRANE Ward 1" 61 34 27 0
BUFFALO "Village of NELSON Ward 1" 79 43 35 1
BUFFALO "City of ALMA Wards 1-2" 182 96 86 0
BUFFALO "City of BUFFALO CITY Ward 1" 199 100 98 1
BUFFALO "City of FOUNTAIN CITY Ward 1-2" 192 103 89 0
BUFFALO "City of MONDOVI Ward 1-3" 695 314 380 1
BURNETT "Town of ANDERSON Ward 1" 44 20 24 0
BURNETT "Town of BLAINE Ward 1" 32 14 18 0
BURNETT "Town of DANIELS Ward 1" 103 39 64 0
BURNETT "Town of DEWEY Ward 1" 119 30 89 0
BURNETT "Town of GRANTSBURG Wards 1-3" 151 50 101 0
BURNETT "Town of JACKSON Ward 1" 132 68 64 0
BURNETT "Town of LA FOLLETTE Wards 1-2" 83 46 37 0
BURNETT "Town of LINCOLN Ward 1" 40 14 26 0
BURNETT "Town of MEENON Wards 1-3" 107 42 65 0
BURNETT "Town of OAKLAND Wards 1-2" 122 67 55 0
BURNETT "Town of ROOSEVELT Ward 1" 42 15 27 0
BURNETT "Town of RUSK Ward 1" 63 24 39 0
BURNETT "Town of SAND LAKE Ward 1" 72 39 33 0
BURNETT "Town of SCOTT Wards 1-2" 122 62 60 0
BURNETT "Town of SIREN Wards 1-2" 161 59 102 0
BURNETT "Town of SWISS Wards 1-2" 91 59 32 0
BURNETT "Town of TRADE LAKE Wards 1-2" 191 67 124 0
BURNETT "Town of UNION Ward 1" 36 14 22 0
BURNETT "Town of WEBB LAKE Ward 1" 142 70 72 0
BURNETT "Town of WEST MARSHLAND Wards 1-2" 56 17 39 0
BURNETT "Town of WOOD RIVER Wards 1-3" 152 49 103 0
BURNETT "Village of GRANTSBURG Ward 1-3" 180 78 102 0
BURNETT "Village of SIREN Ward 1-2" 122 47 75 0
BURNETT "Village of WEBSTER Wards 1-2" 63 30 33 0
CALUMET "Town of BRILLION Wards 1-2" 253 98 155 0
CALUMET "Town of BROTHERTOWN Wards 1-2" 195 61 134 0
CALUMET "Town of CHARLESTOWN Ward 1" 132 52 80 0
CALUMET "Town of CHILTON Ward 1" 65 27 38 0
CALUMET "Town of CHILTON Ward 2" 107 32 75 0
CALUMET "Town of CHILTON Ward 3" 13 2 11 0
CALUMET "Town of HARRISON Ward 10" 0 0 0 0
CALUMET "Town of NEW HOLSTEIN Wards 1,3" 221 88 132 1
CALUMET "Town of NEW HOLSTEIN Ward 2" 52 21 31 0
CALUMET "Town of RANTOUL Ward 1" 102 28 74 0
CALUMET "Town of STOCKBRIDGE Wards 1-2" 222 78 144 0
CALUMET "Town of STOCKBRIDGE Ward 3" 46 27 19 0
CALUMET "Town of WOODVILLE Ward 1" 140 49 91 0
CALUMET "Village of HARRISON Wards 3-4" 233 96 137 0
CALUMET "Village of HARRISON Wards 5-6,10" 239 118 121 0
CALUMET "Village of HARRISON Wards 7-9,14" 274 147 127 0
CALUMET "Village of HARRISON Wards 11-13" 394 191 203 0
CALUMET "Village of HARRISON Ward 15" 33 18 15 0
CALUMET "Village of HARRISON Ward 16" 98 43 55 0
CALUMET "Village of HARRISON Ward 17" 24 11 13 0
CALUMET "Village of HARRISON Ward 18" 105 65 40 0
CALUMET "Village of HILBERT Ward 1-2" 138 44 94 0
CALUMET "Village of HILBERT Ward 3" 0 0 0 0
CALUMET "Village of POTTER Ward 1" 34 12 22 0
CALUMET "Village of SHERWOOD Ward 1" 59 28 31 0
CALUMET "Village of SHERWOOD Wards 2-4" 518 262 256 0
CALUMET "Village of SHERWOOD Ward 5" 2 0 2 0
CALUMET "Village of STOCKBRIDGE Ward 1" 171 95 76 0
CALUMET "CITY OF APPLETON Ward 12" 85 60 24 1
CALUMET "CITY OF APPLETON Ward 13" 205 128 77 0
CALUMET "CITY OF APPLETON Ward 14" 194 119 75 0
CALUMET "CITY OF APPLETON Ward 26" 252 147 105 0
CALUMET "CITY OF APPLETON Ward 44" 249 155 93 1
CALUMET "CITY OF APPLETON Ward 45" 398 250 148 0
CALUMET "CITY OF APPLETON Ward 46" 29 16 13 0
CALUMET "CITY OF APPLETON Ward 47" 0 0 0 0
CALUMET "City of BRILLION Ward 1" 109 57 52 0
CALUMET "City of BRILLION Wards 2-4" 361 158 203 0
CALUMET "City of CHILTON Ward 1" 94 38 56 0
CALUMET "City of CHILTON Wards 2,5" 242 105 137 0
CALUMET "City of CHILTON Ward 3" 122 53 69 0
CALUMET "City of CHILTON Ward 4" 104 54 50 0
CALUMET "CITY OF KAUKAUNA Ward 11" 0 0 0 0
CALUMET "CITY OF KIEL Ward 7" 54 33 21 0
CALUMET "CITY OF MENASHA Wards 16-20" 438 260 178 0
CALUMET "City of NEW HOLSTEIN Wards 1-2" 111 49 62 0
CALUMET "City of NEW HOLSTEIN Ward 3" 106 50 56 0
CALUMET "City of NEW HOLSTEIN Ward 4" 116 69 47 0
CALUMET "City of NEW HOLSTEIN Ward 5" 110 51 59 0
CHIPPEWA "Town of ANSON Ward 1-4" 499 265 234 0
CHIPPEWA "Town of ARTHUR Ward 1" 102 45 57 0
CHIPPEWA "Town of AUBURN Ward 1" 111 56 55 0
CHIPPEWA "Town of BIRCH CREEK Ward 1" 111 49 62 0
CHIPPEWA "Town of BLOOMER Wards 1-2" 110 44 66 0
CHIPPEWA "Town of CLEVELAND Ward 1" 125 61 64 0
CHIPPEWA "Town of COLBURN Ward 1" 120 39 81 0
CHIPPEWA "Town of COOKS VALLEY Ward 1" 100 45 55 0
CHIPPEWA "Town of DELMAR Ward 1" 167 71 96 0
CHIPPEWA "Town of EAGLE POINT Wards 1-5" 614 285 329 0
CHIPPEWA "Town of EDSON Wards 1-2" 132 62 70 0
CHIPPEWA "Town of ESTELLA Ward 1" 59 16 43 0
CHIPPEWA "Town of GOETZ Wards 1-3" 111 61 50 0
CHIPPEWA "Town of HALLIE Ward 1" 48 27 21 0
CHIPPEWA "Town of HOWARD Ward 1" 130 61 69 0
CHIPPEWA "Town of LAFAYETTE Wards 1-9" 1357 734 623 0
CHIPPEWA "Town of LAKE HOLCOMBE Wards 1-2" 168 72 96 0
CHIPPEWA "Town of RUBY Ward 1" 50 18 32 0
CHIPPEWA "Town of SAMPSON Ward 1" 170 66 104 0
CHIPPEWA "Town of SIGEL Wards 1-2" 121 55 66 0
CHIPPEWA "Town of TILDEN Wards 1-3" 372 163 209 0
CHIPPEWA "Town of WHEATON Wards 1-3" 581 275 306 0
CHIPPEWA "Town of WOODMOHR Wards 1-2" 196 87 109 0
CHIPPEWA "Village of BOYD Ward 1" 87 51 36 0
CHIPPEWA "Village of CADOTT Wards 1-3" 147 95 52 0
CHIPPEWA "Village of LAKE HALLIE Wards 1-8" 1004 514 490 0
CHIPPEWA "Village of NEW AUBURN Ward 1" 67 28 39 0
CHIPPEWA "City of BLOOMER Wards 1-4" 423 189 234 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 1" 229 135 94 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 2" 347 190 157 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 3" 429 242 187 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 3A" 0 0 0 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 3B" 0 0 0 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 4" 275 179 96 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 5" 208 136 72 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 6" 204 117 87 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 7" 333 190 143 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 7A" 0 0 0 0
CHIPPEWA "City of CORNELL Wards 1-4" 195 93 102 0
CHIPPEWA "CITY OF EAU CLAIRE Ward 16" 206 131 75 0
CHIPPEWA "CITY OF EAU CLAIRE Ward 40" 0 0 0 0
CHIPPEWA "CITY OF EAU CLAIRE Ward 41" 29 23 6 0
CHIPPEWA "City of STANLEY Wards 1-4,6-7" 370 188 182 0
CLARK "Town of BEAVER Ward 1" 100 43 57 0
CLARK "Town of BUTLER Ward 1" 24 9 15 0
CLARK "Town of COLBY Ward 1" 4 1 3 0
CLARK "Town of COLBY Ward 2" 75 37 38 0
CLARK "Town of COLBY Ward 3" 21 8 13 0
CLARK "Town of DEWHURST Ward 1" 61 26 35 0
CLARK "Town of EATON Ward 1" 94 26 68 0
CLARK "Town of EATON Ward 2" 21 9 12 0
CLARK "Town of FOSTER Ward 1" 40 13 27 0
CLARK "Town of FREMONT Ward 1" 103 41 62 0
CLARK "Town of FREMONT Ward 2" 44 9 35 0
CLARK "Town of GRANT Ward 1" 130 56 74 0
CLARK "Town of GRANT Ward 2" 26 10 16 0
CLARK "Town of GREEN GROVE Ward 1" 51 24 27 0
CLARK "Town of GREEN GROVE Ward 2" 4 2 2 0
CLARK "Town of HENDREN Ward 1" 101 42 59 0
CLARK "Town of HEWETT Ward 1" 62 33 29 0
CLARK "Town of HEWETT Ward 2" 13 10 3 0
CLARK "Town of HIXON Ward 1" 60 28 32 0
CLARK "Town of HIXON Ward 2" 9 5 4 0
CLARK "Town of HOARD Ward 1" 40 5 35 0
CLARK "Town of HOARD Ward 2" 46 21 25 0
CLARK "Town of LEVIS Ward 1" 47 18 29 0
CLARK "Town of LEVIS Ward 2" 42 9 33 0
CLARK "Town of LONGWOOD Ward 1" 25 7 18 0
CLARK "Town of LONGWOOD Ward 2" 47 23 24 0
CLARK "Town of LOYAL Ward 1" 17 2 15 0
CLARK "Town of LOYAL Ward 2" 92 23 69 0
CLARK "Town of LYNN Ward 1" 50 20 30 0
CLARK "Town of LYNN Ward 2" 33 11 22 0
CLARK "Town of MAYVILLE Ward 1" 25 11 14 0
CLARK "Town of MAYVILLE Ward 2" 55 18 37 0
CLARK "Town of MEAD Ward 1" 40 18 22 0
CLARK "Town of MENTOR Ward 1" 65 34 31 0
CLARK "Town of PINE VALLEY Wards 1-2" 304 133 171 0
CLARK "Town of RESEBURG Ward 1" 66 37 29 0
CLARK "Town of RESEBURG Ward 2" 9 8 1 0
CLARK "Town of SEIF Ward 1" 53 31 22 0
CLARK "Town of SHERMAN Ward 1" 10 3 7 0
CLARK "Town of SHERMAN Ward 2" 104 42 62 0
CLARK "Town of SHERWOOD Ward 1" 61 28 33 0
CLARK "Town of THORP Ward 1" 101 46 55 0
CLARK "Town of UNITY Ward 1" 93 38 55 0
CLARK "Town of WARNER Ward 1" 85 31 54 0
CLARK "Town of WARNER Ward 2" 14 6 8 0
CLARK "Town of WASHBURN Ward 1" 74 21 53 0
CLARK "Town of WESTON Ward 1" 72 33 39 0
CLARK "Town of WESTON Ward 2" 93 41 52 0
CLARK "Town of WITHEE Ward 1" 83 31 52 0
CLARK "Town of WORDEN Ward 1" 79 34 45 0
CLARK "Town of YORK Ward 1" 103 45 58 0
CLARK "Town of YORK Ward 2" 35 9 26 0
CLARK "Village of CURTISS Ward 1" 24 3 21 0
CLARK "Village of DORCHESTER Ward 1" 93 47 45 1
CLARK "Village of GRANTON Ward 1" 90 45 45 0
CLARK "VILLAGE OF UNITY Ward 2" 14 3 11 0
CLARK "Village of WITHEE Ward 1" 75 37 38 0
CLARK "City of ABBOTSFORD Ward 2" 67 38 29 0
CLARK "City of ABBOTSFORD Ward 3" 30 17 13 0
CLARK "City of ABBOTSFORD Ward 4" 85 49 36 0
CLARK "City of ABBOTSFORD Ward 5" 22 10 12 0
CLARK "City of ABBOTSFORD Ward 7" 0 0 0 0
CLARK "City of COLBY Ward 2" 51 22 28 1
CLARK "City of COLBY Ward 3" 53 26 27 0
CLARK "City of COLBY Ward 4" 50 16 34 0
CLARK "City of GREENWOOD Ward 1" 117 69 48 0
CLARK "City of GREENWOOD Ward 2" 93 35 58 0
CLARK "City of LOYAL Ward 1" 115 49 66 0
CLARK "City of LOYAL Ward 2" 142 60 82 0
CLARK "City of NEILLSVILLE Ward 1" 98 50 48 0
CLARK "City of NEILLSVILLE Ward 2" 136 58 77 1
CLARK "City of NEILLSVILLE Ward 3" 144 81 62 1
