COUNTY AREA TOTAL DEM REP LIB WRI
"Arlington County" "14 - Clarendon" 750 547 199 4 0
"Arlington County" "15 - Lyon Park" 640 456 179 4 1
"Arlington County" "16 - Lyon Village" 1041 728 304 4 5
"Arlington County" "17 - Overlee Knolls" 1307 911 389 2 5
"Arlington County" "18 - Park Lane" 1268 879 376 11 2
"Arlington County" "19 - Rosslyn" 989 696 284 8 1
"Arlington County" "20 - Thrifton" 900 562 334 3 1
"Arlington County" "21 - Virginia Highlands" 630 450 178 2 0
"Arlington County" "22 - Abingdon" 1181 873 295 9 4
"Arlington County" "23 - Westover" 1197 890 300 3 4
"Arlington County" "24 - Woodlawn" 1401 1033 359 8 1
"Arlington County" "25 - Arlington Forest" 1033 750 276 6 1
"Arlington County" "26 - Fillmore" 1207 893 301 13 0
"Arlington County" "27 - Jefferson" 1145 845 291 9 0
"Arlington County" "28 - Wakefield" 1176 888 281 5 2
"Arlington County" "29 - Dominion Hills" 1135 823 307 5 0
"Arlington County" "30 - Glebe" 971 747 222 2 0
"Arlington County" "31 - Lexington" 1246 911 329 3 3
"Arlington County" "32 - Oakridge" 476 293 179 4 0
"Arlington County" "33 - Rock Spring" 1103 670 430 3 0
"Arlington County" "34 - Yorktown" 1075 725 347 2 1
"Arlington County" "35 - Madison" 989 552 434 1 2
"Arlington County" "36 - Marshall" 1105 738 351 14 2
"Arlington County" "37 - Nottingham" 1109 749 356 3 1
"Arlington County" "38 - Arlington View" 839 631 189 17 2
"Arlington County" "39 - Ashlawn" 679 502 174 2 1
"Arlington County" "40 - Virginia Square" 1241 859 373 8 1
"Arlington County" "41 - Navy League" 742 529 207 4 2
"Arlington County" "42 - Shirlington" 798 604 189 5 0
"Arlington County" "43 - Campbell" 755 578 164 10 3
"Arlington County" "44 - Dawson Terrace" 715 539 170 3 3
"Arlington County" "45 - Buckingham" 748 536 206 5 1
"Arlington County" "46 - Central" 1236 852 374 9 1
"Arlington County" "47 - Four Mile Run" 775 601 169 5 0
"Arlington County" "48 - Ausa" 671 446 223 2 0
"Arlington County" "49 - Monroe" 771 550 219 0 2
"Arlington County" "50 - Crystal Plaza" 940 643 290 6 1
"Arlington County" "51 - Taylor" 367 283 83 1 0
"Arlington County" "52 - Gunston" 780 592 184 4 0
"Arlington County" "53 - Met Park" 1190 870 311 8 1
"Arlington County" "54 - Garfield Park" 487 351 132 2 2
"Augusta County" "# Ab - Central Absentee Precinct" 1918 1024 881 10 3
"Augusta County" "# Ev - Central Absentee Precinct" 8269 2297 5941 26 5
"Augusta County" "# Pe - Central Absentee Precinct" 64 33 29 2 0
"Augusta County" "## Provisional" 44 22 21 1 0
"Augusta County" "101 - Jolivue" 580 123 454 3 0
"Augusta County" "102 - Stuarts Draft Elementary" 737 167 563 6 1
"Augusta County" "103 - Verona" 979 172 794 13 0
"Augusta County" "201 - Crimora" 1261 161 1093 7 0
"Augusta County" "202 - New Hope" 856 116 735 5 0
"Augusta County" "203 - Weyers Cave" 1249 232 1009 6 2
"Augusta County" "301 - Fort Defiance" 1478 280 1187 11 0
"Augusta County" "302 - North River" 527 64 463 0 0
"Augusta County" "303 - Mount Solon" 795 62 726 7 0
"Augusta County" "304 - Churchville Fire Station" 631 91 537 3 0
"Augusta County" "401 - Buffalo Gap" 740 89 644 7 0
"Augusta County" "402 - Churchville Elementary" 719 87 628 4 0
"Augusta County" "403 - Craigsville" 596 59 535 2 0
"Augusta County" "404 - Deerfield" 299 44 253 2 0
"Augusta County" "405 - Cedar Green" 822 177 643 2 0
"Augusta County" "501 - Greenville" 1165 157 1004 3 1
"Augusta County" "502 - Middlebrook" 664 94 567 3 0
"Augusta County" "503 - Spottswood" 711 93 614 4 0
"Augusta County" "504 - White Hill" 1094 144 945 5 0
"Augusta County" "601 - Sherando" 922 137 782 3 0
"Augusta County" "602 - Ridgeview" 1719 248 1462 7 2
"Augusta County" "603 - Lyndhurst" 1190 238 945 7 0
"Augusta County" "801 - Dooms" 935 152 777 6 0
"Augusta County" "802 - Fishersville" 1485 345 1130 8 2
"Augusta County" "803 - Wilson" 1164 323 834 7 0
"Bath County" "# Ab - Central Absentee Precinct" 66 37 28 1 0
"Bath County" "# Ev - Central Absentee Precinct" 262 86 175 1 0
"Bath County" "# Pe - Central Absentee Precinct" 7 1 5 1 0
"Bath County" "## Provisional" 0 0 0 0 0
"Bath County" "101 - Warm Springs" 276 64 210 1 1
"Bath County" "102 - Mountain Grove" 61 9 52 0 0
"Bath County" "201 - Hot Springs" 225 54 169 2 0
"Bath County" "301 - Fairview" 266 24 241 1 0
"Bath County" "302 - Burnsville" 66 7 59 0 0
"Bath County" "401 - Millboro" 369 42 324 3 0
"Bath County" "501 - Healing Springs" 349 72 276 1 0
"Bedford County" "# Ab - Central Absentee Precinct" 1014 629 376 9 0
"Bedford County" "# Ab - Central Absentee Precinct" 1284 688 581 15 0
"Bedford County" "# Ev - Central Absentee Precinct" 5147 1315 3816 16 0
"Bedford County" "# Ev - Central Absentee Precinct" 3484 880 2598 5 1
"Bedford County" "# Pe - Central Absentee Precinct" 76 32 44 0 0
"Bedford County" "# Pe - Central Absentee Precinct" 85 50 35 0 0
"Bedford County" "## Provisional" 15 4 11 0 0
"Bedford County" "## Provisional" 32 7 25 0 0
"Bedford County" "101 - Goodview Elem School" 1307 178 1123 5 1
"Bedford County" "102 - Hardy Vol Fire Co" 619 106 509 2 2
"Bedford County" "103 - Chamblissburg Baptist Church" 910 140 760 9 1
"Bedford County" "104 - Stewartsville Rescue Squad" 865 126 736 2 1
"Bedford County" "201 - Bedford Christian Church" 399 57 338 4 0
"Bedford County" "202 - Staunton River High School" 695 91 602 2 0
"Bedford County" "203 - Moneta Elem School" 1202 190 1008 3 1
"Bedford County" "204 - Quaker Baptist Church" 428 59 365 4 0
"Bedford County" "205 - Saunders Vol Fire Co" 1048 193 850 4 1
"Bedford County" "301 - New London Academy" 1262 151 1105 4 2
"Bedford County" "302 - Bedford Regional Water Auth" 662 99 559 2 2
"Bedford County" "303 - Bethesda United Methodist Church" 547 68 477 2 0
"Bedford County" "304 - Riverside Church" 559 95 463 1 0
"Bedford County" "305 - Huddleston Elem School" 464 61 401 1 1
"Bedford County" "306 - Forest Fire Station #2" 728 68 658 2 0
"Bedford County" "401 - Forest Elementary School" 1451 234 1211 5 1
"Bedford County" "402 - Thomas Jefferson Elem School" 767 158 601 8 0
"Bedford County" "403 - Knights Of Columbus Bldg" 1676 302 1367 6 1
"Bedford County" "404 - Forest Recreation Center" 1155 148 1003 2 2
"Bedford County" "502 - Big Island Elem School" 372 58 312 2 0
"Bedford County" "503 - Sedalia Center" 492 65 422 4 1
"Bedford County" "504 - Suck Springs Baptist Church" 655 88 567 0 0
"Bedford County" "505 - Boonsboro Elementary School" 1287 333 948 6 0
"Bedford County" "506 - Boonsboro Ruritan Club" 1873 322 1550 1 0
"Bedford County" "601 - Montvale Elem School" 894 116 775 2 1
"Bedford County" "602 - Shady Grove Fire Department" 986 132 851 3 0
"Bedford County" "603 - Thaxton Baptist Church #1" 241 34 207 0 0
"Bedford County" "604 - Bedford Welcome Center" 1011 193 813 5 0
"Bedford County" "701 - Goode Vol Rescue Squad" 1358 157 1197 2 2
"Bedford County" "702 - Liberty High School" 544 70 474 0 0
"Bedford County" "703 - Thaxton Baptist Church #2" 501 61 438 2 0
"Bedford County" "704 - Bedford Central Library" 984 243 736 5 0
"Bland County" "# Ab - Central Absentee Precinct" 116 63 50 3 0
"Bland County" "# Ev - Central Absentee Precinct" 466 78 386 2 0
"Bland County" "# Pe - Central Absentee Precinct" 0 0 0 0 0
"Bland County" "## Provisional" 0 0 0 0 0
"Bland County" "101 - Bastian" 244 30 213 0 1
"Bland County" "102 - Ceres" 294 36 257 1 0
"Bland County" "201 - Davis" 89 16 73 0 0
"Bland County" "202 - Seddon" 478 49 428 1 0
"Bland County" "301 - Hollybrook" 287 20 265 2 0
"Bland County" "302 - Mechanicsburg" 149 13 136 0 0
"Bland County" "401 - Rocky Gap" 528 59 466 3 0
"Botetourt County" "# Ab - Central Absentee Precinct" 1000 551 435 12 2
"Botetourt County" "# Ev - Central Absentee Precinct" 4603 1414 3182 5 2
"Botetourt County" "# Pe - Central Absentee Precinct" 40 17 23 0 0
"Botetourt County" "## Provisional" 3 0 3 0 0
"Botetourt County" "101 - Daleville" 1255 281 969 4 1
"Botetourt County" "102 - Greenfield" 1291 203 1082 5 1
"Botetourt County" "201 - Blue Ridge" 1281 217 1059 5 0
"Botetourt County" "202 - Rainbow Forest" 1265 230 1031 4 0
"Botetourt County" "301 - Buchanan" 1096 157 936 3 0
"Botetourt County" "302 - Mill Creek" 1025 169 848 7 1
"Botetourt County" "403 - Eagle Rock" 753 104 642 7 0
"Botetourt County" "406 - Fincastle" 1282 197 1083 2 0
"Botetourt County" "501 - Troutville" 817 144 671 1 1
"Botetourt County" "502 - Cloverdale" 1414 306 1102 6 0
"Bristol City" "# Ab - Central Absentee Precinct" 500 298 196 5 1
"Bristol City" "# Ev - Central Absentee Precinct" 1208 394 807 6 1
"Bristol City" "# Pe - Central Absentee Precinct" 9 3 6 0 0
"Bristol City" "## Provisional" 5 2 3 0 0
"Bristol City" "1 - First Ward" 612 111 497 4 0
"Bristol City" "2 - Second Ward" 880 204 674 2 0
"Bristol City" "3 - Third Ward" 445 130 311 4 0
"Bristol City" "4 - Fourth Ward" 1488 200 1279 9 0
"Brunswick County" "# Ab - Central Absentee Precinct" 408 309 93 5 1
"Brunswick County" "# Ev - Central Absentee Precinct" 1678 989 679 9 1
"Brunswick County" "# Pe - Central Absentee Precinct" 3 2 1 0 0
"Brunswick County" "## Provisional" 4 2 2 0 0
"Brunswick County" "101 - Brodnax" 243 108 131 3 1
"Brunswick County" "102 - Rock Store" 364 101 263 0 0
"Brunswick County" "103 - Tillman" 481 150 331 0 0
"Brunswick County" "201 - Dromgoole" 145 57 88 0 0
"Brunswick County" "202 - Edgerton" 297 200 96 1 0
"Brunswick County" "203 - Fitzhugh" 297 163 132 2 0
"Brunswick County" "301 - Alberta" 117 59 58 0 0
"Brunswick County" "302 - Danieltown" 447 152 291 4 0
"Brunswick County" "303 - Elmore" 201 81 118 2 0
"Brunswick County" "304 - Seymour" 209 89 117 3 0
"Brunswick County" "401 - Sturgeon" 549 263 285 1 0
"Brunswick County" "402 - King's Store" 219 144 75 0 0
"Brunswick County" "501 - Totaro" 422 296 120 4 2
"Buchanan County" "# Ab - Central Absentee Precinct" 258 118 138 2 0
"Buchanan County" "# Ev - Central Absentee Precinct" 797 170 626 0 1
"Buchanan County" "# Pe - Central Absentee Precinct" 4 0 4 0 0
"Buchanan County" "## Provisional" 1 0 1 0 0
"Buchanan County" "102 - Blackey" 247 11 235 1 0
"Buchanan County" "103 - Hurley" 468 39 429 0 0
"Buchanan County" "201 - Grassy" 72 17 55 0 0
"Buchanan County" "202 - Bull" 331 32 299 0 0
"Buchanan County" "203 - Rocklick" 314 29 281 1 3
"Buchanan County" "301 - Slate" 368 51 317 0 0
"Buchanan County" "302 - North Grundy" 304 38 266 0 0
"Buchanan County" "403 - South Grundy" 479 53 425 1 0
"Buchanan County" "404 - Oakwood" 57 11 46 0 0
"Buchanan County" "501 - Prater" 344 57 287 0 0
"Buchanan County" "502 - Fox" 92 21 71 0 0
"Buchanan County" "503 - Vansant" 346 45 300 0 1
"Buchanan County" "601 - Council" 234 27 207 0 0
"Buchanan County" "602 - Garden" 343 46 295 2 0
"Buchanan County" "603 - Hurricane" 220 49 170 1 0
"Buchanan County" "701 - Whitewood" 400 57 343 0 0
"Buchanan County" "702 - Contrary" 321 32 288 0 1
"Buckingham County" "# Ab - Central Absentee Precinct" 394 269 118 7 0
"Buckingham County" "# Ev - Central Absentee Precinct" 1635 722 903 9 1
"Buckingham County" "# Pe - Central Absentee Precinct" 8 4 4 0 0
"Buckingham County" "## Provisional" 5 3 2 0 0
"Buckingham County" "101 - New Canton" 613 206 403 4 0
"Buckingham County" "102  - Georgia Creek" 190 53 137 0 0
"Buckingham County" "201 - White Hall" 342 126 213 2 1
"Buckingham County" "301 - Curdsville" 450 133 315 2 0
"Buckingham County" "302 - New Store" 350 56 293 1 0
"Buckingham County" "401 - Maysville" 622 156 464 2 0
"Buckingham County" "501 - Wrights" 258 45 212 1 0
"Buckingham County" "502 - Glenmore" 398 130 267 1 0
"Buckingham County" "601 - Slate River" 522 212 308 2 0
"Buckingham County" "701 - Gold Hill" 366 107 255 4 0
"Buena Vista City" "# Ab - Central Absentee Precinct" 148 89 54 5 0
"Buena Vista City" "# Ev - Central Absentee Precinct" 571 182 388 1 0
"Buena Vista City" "# Pe - Central Absentee Precinct" 6 5 1 0 0
"Buena Vista City" "## Provisional" 1 0 1 0 0
"Buena Vista City" "1 - First Ward" 712 112 590 9 1
"Buena Vista City" "2 - Second Ward" 525 93 425 7 0
"Campbell County" "# Ab - Central Absentee Precinct" 956 588 354 14 0
"Campbell County" "# Ev - Central Absentee Precinct" 5188 1474 3699 10 5
"Campbell County" "# Pe - Central Absentee Precinct" 11 4 7 0 0
"Campbell County" "## Provisional" 0 0 0 0 0
"Campbell County" "101 - Brookville" 1426 234 1185 6 1
"Campbell County" "102 - New London" 1451 198 1248 5 0
"Campbell County" "201 - Walker" 1060 203 853 4 0
"Campbell County" "202 - Bedford Springs" 1593 215 1371 6 1
"Campbell County" "301 - Evington" 631 106 519 6 0
"Campbell County" "302 - Otter River" 512 72 440 0 0
"Campbell County" "303 - Altavista" 1328 329 986 10 3
"Campbell County" "401 - Three Forks" 972 101 870 0 1
"Campbell County" "402 - Court House" 1463 204 1254 4 1
"Campbell County" "501 - Spring Hill" 1363 219 1140 3 1
"Campbell County" "502 - Yellow Branch" 883 179 702 2 0
"Campbell County" "601 - Kings" 900 177 723 0 0
"Campbell County" "602 - Concord" 1312 212 1096 2 2
"Campbell County" "701 - Brookneal" 723 140 581 2 0
"Campbell County" "702 - Gladys" 935 191 743 1 0
"Campbell County" "703 - Morris Church" 528 84 442 2 0
"Caroline County" "# Ab - Central Absentee Precinct" 797 580 205 10 2
"Caroline County" "# Ev - Central Absentee Precinct" 2407 1278 1112 15 2
"Caroline County" "# Pe - Central Absentee Precinct" 24 16 8 0 0
"Caroline County" "## Provisional" 21 14 7 0 0
"Caroline County" "101 - Bowling Green" 810 196 612 2 0
"Caroline County" "102 - Sparta" 696 173 520 2 1
"Caroline County" "201 - North Madison" 695 297 395 2 1
"Caroline County" "202 - South Madison" 927 312 603 12 0
"Caroline County" "301 - Port Royal" 428 152 273 3 0
"Caroline County" "302 - Woodford" 1046 319 722 5 0
"Caroline County" "401 - Dawn" 1029 481 537 10 1
"Caroline County" "402 - Carmel Church" 404 202 200 2 0
"Caroline County" "501 - West Mattaponi" 675 316 347 12 0
"Caroline County" "502 - Milford" 573 173 397 3 0
"Caroline County" "601 - Chilesburg" 897 321 568 7 1
"Caroline County" "602 - Lake" 632 215 411 6 0
"Carroll County" "# Ab - Central Absentee Precinct" 717 348 362 7 0
"Carroll County" "# Ev - Central Absentee Precinct" 1757 425 1325 5 2
"Carroll County" "# Pe - Central Absentee Precinct" 16 8 8 0 0
"Carroll County" "## Provisional" 11 3 8 0 0
"Carroll County" "101 - Mt Bethel" 392 52 338 2 0
"Carroll County" "102 - St Paul" 568 57 510 1 0
"Carroll County" "103 - Lambsburg" 335 35 300 0 0
"Carroll County" "105 - Fancy Gap" 482 76 406 0 0
"Carroll County" "201 - Hillsville B" 905 143 761 1 0
"Carroll County" "202 - Laurel Fork" 436 64 369 3 0
"Carroll County" "203 - Gladesboro" 552 73 477 2 0
"Carroll County" "301 - Hillsville C" 1080 124 949 7 0
"Carroll County" "302 - Sylvatus" 475 52 423 0 0
"Carroll County" "303 - Dugspur" 254 33 220 1 0
"Carroll County" "401 - Oakland" 921 109 808 3 1
"Carroll County" "402 - Woodlawn D" 785 72 707 5 1
"Carroll County" "406 - Woodlawn F" 151 26 124 1 0
"Carroll County" "501 - Vaughan" 331 32 299 0 0
"Carroll County" "502 - Gladeville" 813 77 733 3 0
"Carroll County" "503 - Woodlawn E" 390 46 342 2 0
"Carroll County" "504 - Laurel" 454 55 399 0 0
"Charles City County" "# Ab - Central Absentee Precinct" 293 244 47 2 0
"Charles City County" "# Ev - Central Absentee Precinct" 1135 705 428 2 0
"Charles City County" "# Pe - Central Absentee Precinct" 15 11 4 0 0
"Charles City County" "## Provisional" 7 6 1 0 0
"Charles City County" "101 - Precinct 1-1" 790 295 489 6 0
"Charles City County" "201 - Precinct 2-1" 555 283 269 3 0
"Charles City County" "301 - Precinct 3-1" 592 278 312 2 0
"Charlotte County" "# Ab - Central Absentee Precinct" 237 171 64 2 0
"Charlotte County" "# Ev - Central Absentee Precinct" 1087 419 665 3 0
"Charlotte County" "# Pe - Central Absentee Precinct" 3 0 3 0 0
"Charlotte County" "## Provisional" 3 3 0 0 0
"Charlotte County" "101 - County Seat" 488 117 365 6 0
"Charlotte County" "201 - Red Oak Wylliesburg" 586 147 437 1 1
"Charlotte County" "302 - Drakes Branch" 414 87 324 2 1
"Charlotte County" "401 - Keysville" 573 126 444 3 0
"Charlotte County" "501 - Cullen/Red House" 422 111 310 1 0
"Charlotte County" "602 - Phenix" 599 102 497 0 0
"Charlotte County" "702 - Bacon/Saxe" 362 113 245 3 1
"Charlottesville City" "# Ab - Central Absentee Precinct" 2070 1859 180 28 3
"Charlottesville City" "# Ev - Central Absentee Precinct" 4531 4010 492 27 2
"Charlottesville City" "# Pe - Central Absentee Precinct" 164 138 20 5 1
"Charlottesville City" "## Provisional" 58 49 8 1 0
"Charlottesville City" "101 - Key Recreation" 1316 1042 255 16 3
"Charlottesville City" "102 - Clark" 1491 1210 260 17 4
"Charlottesville City" "201 - Carver" 1115 950 152 13 0
"Charlottesville City" "202 - Walker" 1739 1289 437 11 2
"Charlottesville City" "301 - Benjamin Tonsler" 1095 924 153 17 1
"Charlottesville City" "302 - Johnson" 1585 1188 371 23 3
"Charlottesville City" "303 - Buford" 604 496 98 8 2
"Charlottesville City" "401 - Venable" 636 545 90 1 0
