COUNTY AREA TOTAL DEM REP Walters Schiess SCATTERING
ASHLAND "Town of MORSE Wards 1-3" 253 147 106 0 0 0
ASHLAND "Town of PEEKSVILLE Wards 1-2" 74 33 41 0 0 0
ASHLAND "Town of SANBORN Wards 1-2" 448 390 58 0 0 0
ASHLAND "Town of SHANAGOLDEN Ward 1" 65 37 28 0 0 0
ASHLAND "Town of WHITE RIVER Wards 1-2" 413 164 249 0 0 0
ASHLAND "Village of BUTTERNUT Wards 1-2" 134 79 55 0 0 0
ASHLAND "City of ASHLAND Ward 1" 397 224 173 0 0 0
ASHLAND "City of ASHLAND Ward 2" 217 162 55 0 0 0
ASHLAND "City of ASHLAND Ward 3" 257 178 79 0 0 0
ASHLAND "City of ASHLAND Ward 4" 396 285 111 0 0 0
ASHLAND "City of ASHLAND Ward 5" 361 284 77 0 0 0
ASHLAND "City of ASHLAND Ward 6" 250 196 53 0 0 1
ASHLAND "City of ASHLAND Ward 7" 382 299 82 0 0 1
ASHLAND "City of ASHLAND Ward 8" 286 209 77 0 0 0
ASHLAND "City of ASHLAND Ward 9" 235 179 54 0 0 2
ASHLAND "City of ASHLAND Ward 10" 273 192 80 0 0 1
ASHLAND "City of ASHLAND Ward 11" 335 233 102 0 0 0
ASHLAND "City of MELLEN Ward 1" 226 149 77 0 0 0
BARRON "Town of ALMENA Wards 1-2" 389 165 224 0 0 0
BARRON "Town of ARLAND Ward 1" 243 132 111 0 0 0
BARRON "Town of BARRON Wards 1-2" 320 103 217 0 0 0
BARRON "Town of BEAR LAKE Ward 1" 310 153 157 0 0 0
BARRON "Town of CEDAR LAKE Ward 1" 637 239 398 0 0 0
BARRON "Town of CHETEK Wards 1-2" 914 403 511 0 0 0
BARRON "Town of CLINTON Ward 1" 271 127 144 0 0 0
BARRON "Town of CRYSTAL LAKE Ward 1" 328 137 191 0 0 0
BARRON "Town of CUMBERLAND Ward 1" 390 174 216 0 0 0
BARRON "Town of DALLAS Ward 1" 240 91 149 0 0 0
BARRON "Town of DOVRE Ward 1" 321 141 180 0 0 0
BARRON "Town of DOYLE Wards 1-2" 231 93 137 0 1 0
BARRON "Town of LAKELAND Wards 1-2" 479 211 268 0 0 0
BARRON "Town of MAPLE GROVE Wards 1-2" 380 131 249 0 0 0
BARRON "Town of MAPLE PLAIN Ward 1" 408 210 198 0 0 0
BARRON "Town of OAK GROVE Wards 1-2" 407 194 213 0 0 0
BARRON "Town of PRAIRIE FARM Wards 1-2" 224 111 113 0 0 0
BARRON "Town of PRAIRIE LAKE Wards 1-2" 723 287 436 0 0 0
BARRON "Town of RICE LAKE Wards 1-4" 1374 675 698 0 0 1
BARRON "Town of SIOUX CREEK Ward 1" 274 114 160 0 0 0
BARRON "Town of STANFOLD Ward 1" 319 129 190 0 0 0
BARRON "Town of STANLEY Wards 1-4" 1105 449 653 0 0 3
BARRON "Town of SUMNER Ward 1" 317 141 176 0 0 0
BARRON "Town of TURTLE LAKE Ward 1" 239 106 132 0 0 1
BARRON "Town of VANCE CREEK Ward 1" 271 133 138 0 0 0
BARRON "Village of ALMENA Ward 1" 204 73 131 0 0 0
BARRON "Village of CAMERON Wards 1-3" 601 277 322 0 0 2
BARRON "Village of DALLAS Ward 1" 118 48 70 0 0 0
BARRON "Village of HAUGEN Ward 1" 127 66 61 0 0 0
BARRON "VILLAGE OF NEW AUBURN Ward 2" 8 6 2 0 0 0
BARRON "VILLAGE OF NEW AUBURN Ward 3" 0 0 0 0 0 0
BARRON "Village of PRAIRIE FARM Ward 1" 146 66 80 0 0 0
BARRON "Village of TURTLE LAKE Ward 1" 265 120 145 0 0 0
BARRON "City of BARRON Wards 1-7" 1067 567 499 0 0 1
BARRON "City of CHETEK Wards 1-4" 787 372 413 0 0 2
BARRON "City of CUMBERLAND Wards 1-4" 934 492 442 0 0 0
BARRON "City of RICE LAKE Wards 1-13" 3122 1635 1487 0 0 0
BAYFIELD "Town of BARKSDALE Ward 1" 425 258 167 0 0 0
BAYFIELD "Town of BARNES Ward 1" 518 267 251 0 0 0
BAYFIELD "Town of BAYFIELD Ward 1" 486 359 127 0 0 0
BAYFIELD "Town of BAYVIEW Ward 1" 326 203 123 0 0 0
BAYFIELD "Town of BELL Ward 1" 224 152 72 0 0 0
BAYFIELD "Town of CABLE Ward 1" 479 255 224 0 0 0
BAYFIELD "Town of CLOVER Ward 1" 175 105 70 0 0 0
BAYFIELD "Town of DELTA Ward 1" 206 105 101 0 0 0
BAYFIELD "Town of DRUMMOND Ward 1" 285 164 121 0 0 0
BAYFIELD "Town of EILEEN Wards 1-2" 379 205 174 0 0 0
BAYFIELD "Town of GRAND VIEW Ward 1" 275 164 110 0 0 1
BAYFIELD "Town of HUGHES Ward 1" 261 145 116 0 0 0
BAYFIELD "Town of IRON RIVER Wards 1-2" 649 352 297 0 0 0
BAYFIELD "Town of KELLY Ward 1" 210 107 103 0 0 0
BAYFIELD "Town of KEYSTONE Ward 1" 178 90 88 0 0 0
BAYFIELD "Town of LINCOLN Ward 1" 152 83 69 0 0 0
BAYFIELD "Town of MASON Ward 1" 155 86 69 0 0 0
BAYFIELD "Town of NAMAKAGON Ward 1" 225 109 116 0 0 0
BAYFIELD "Town of ORIENTA Ward 1" 81 42 39 0 0 0
BAYFIELD "Town of OULU Ward 1" 314 173 141 0 0 0
BAYFIELD "Town of PILSEN Ward 1" 128 79 49 0 0 0
BAYFIELD "Town of PORT WING Ward 1" 251 154 97 0 0 0
BAYFIELD "Town of RUSSELL Wards 1-2" 523 457 66 0 0 0
BAYFIELD "Town of TRIPP Ward 1" 131 67 64 0 0 0
BAYFIELD "Town of WASHBURN Ward 1" 312 227 85 0 0 0
BAYFIELD "Village of MASON Ward 1" 30 17 13 0 0 0
BAYFIELD "CITY OF ASHLAND Ward 12" 0 0 0 0 0 0
BAYFIELD "City of BAYFIELD Wards 1-4" 329 271 58 0 0 0
BAYFIELD "City of WASHBURN Wards 1-4" 1068 845 223 0 0 0
BROWN "Town of EATON Wards 1-2" 822 358 463 0 0 1
BROWN "Town of GLENMORE Wards 1-2" 533 223 310 0 0 0
BROWN "Town of GREEN BAY Wards 1-3" 1140 425 715 0 0 0
BROWN "Town of HOLLAND Wards 1-2" 806 326 480 0 0 0
BROWN "Town of HUMBOLDT Wards 1-2" 697 280 416 0 0 1
BROWN "Town of LAWRENCE Wards 1-3" 1366 613 752 0 0 1
BROWN "Town of LAWRENCE Wards 4-6" 1660 632 1026 0 0 2
BROWN "Town of LEDGEVIEW Wards 1-3,8-10" 2207 958 1248 0 0 1
BROWN "Town of LEDGEVIEW Wards 4-7" 1878 881 996 0 0 1
BROWN "Town of MORRISON Wards 1-2" 766 225 540 0 0 1
BROWN "Town of NEW DENMARK Wards 1-3" 829 350 479 0 0 0
BROWN "Town of PITTSFIELD Wards 1-3" 1511 552 954 0 0 5
BROWN "Town of ROCKLAND Wards 1-3" 977 365 612 0 0 0
BROWN "Town of SCOTT Wards 1-4" 2030 957 1070 0 0 3
BROWN "Town of WRIGHTSTOWN Wards 1-3" 1106 432 673 0 0 1
BROWN "Village of ALLOUEZ Wards 1-2" 1822 1109 704 0 0 9
BROWN "Village of ALLOUEZ Wards 3-4" 1642 947 693 0 0 2
BROWN "Village of ALLOUEZ Wards 5-6" 2076 1028 1043 0 0 5
BROWN "Village of ALLOUEZ Wards 7-9" 1634 882 751 0 0 1
BROWN "Village of ALLOUEZ Ward 10" 0 0 0 0 0 0
BROWN "Village of ASHWAUBENON Wards 1-2" 1090 585 504 0 0 1
BROWN "Village of ASHWAUBENON Wards 3-4" 1055 539 515 0 0 1
BROWN "Village of ASHWAUBENON Wards 5-6" 1310 682 619 0 0 9
BROWN "Village of ASHWAUBENON Wards 7-8" 1558 762 793 0 0 3
BROWN "Village of ASHWAUBENON Wards 9-10" 1704 825 875 0 0 4
BROWN "Village of ASHWAUBENON Wards 11-12" 1514 822 689 0 0 3
BROWN "Village of BELLEVUE Wards 1-6" 3234 1743 1487 0 0 4
BROWN "Village of BELLEVUE Wards 7-10" 3856 1854 1997 0 0 5
BROWN "Village of DENMARK Wards 1-4" 925 413 509 0 0 3
BROWN "Village of HOBART Wards 1-8" 4146 1816 2325 0 0 5
BROWN "Village of HOBART Ward 9" 35 18 17 0 0 0
BROWN "Village of HOWARD Wards 1,12" 1022 459 563 0 0 0
BROWN "Village of HOWARD Wards 2,8,11" 2243 1071 1171 0 0 1
BROWN "Village of HOWARD Wards 3-4,6" 1142 604 535 0 0 3
BROWN "Village of HOWARD Ward 5" 336 153 181 0 0 2
BROWN "Village of HOWARD Ward 7" 624 292 330 0 0 2
BROWN "Village of HOWARD Wards 9-10,18" 1616 798 816 0 0 2
BROWN "Village of HOWARD Wards 13-14" 992 440 552 0 0 0
BROWN "Village of HOWARD Wards 15-16" 1465 609 855 0 0 1
BROWN "Village of PULASKI Wards 1-3,6" 1288 592 696 0 0 0
BROWN "Village of SUAMICO Wards 1-4" 2996 1184 1807 0 0 5
BROWN "Village of SUAMICO Wards 5-8" 3659 1477 2180 0 0 2
BROWN "Village of WRIGHTSTOWN Wards 1-3" 1179 466 710 0 0 3
BROWN "City of DE PERE Wards 1-4" 3351 1827 1516 0 0 8
BROWN "City of DE PERE Ward 5" 240 156 84 0 0 0
BROWN "City of DE PERE Wards 6-8" 2296 1281 1012 0 0 3
BROWN "City of DE PERE Wards 9,18" 605 328 277 0 0 0
BROWN "City of DE PERE Wards 10-12" 2403 1337 1062 0 0 4
BROWN "City of DE PERE Wards 13-15" 2936 1438 1495 0 0 3
BROWN "City of DE PERE Wards 16-17" 5 0 5 0 0 0
BROWN "City of GREEN BAY Ward 1" 9 3 6 0 0 0
BROWN "City of GREEN BAY Ward 2" 1172 615 557 0 0 0
BROWN "City of GREEN BAY Ward 3" 1452 928 522 0 0 2
BROWN "City of GREEN BAY Ward 4" 1776 894 878 0 0 4
BROWN "City of GREEN BAY Ward 5" 660 348 312 0 0 0
BROWN "City of GREEN BAY Ward 6" 1477 737 740 0 0 0
BROWN "City of GREEN BAY Ward 7" 877 465 411 0 0 1
BROWN "City of GREEN BAY Ward 8" 1478 809 669 0 0 0
BROWN "City of GREEN BAY Ward 9" 493 309 184 0 0 0
BROWN "City of GREEN BAY Ward 10" 548 344 203 0 0 1
BROWN "City of GREEN BAY Ward 11" 606 322 284 0 0 0
BROWN "City of GREEN BAY Ward 12" 536 357 176 0 0 3
BROWN "City of GREEN BAY Ward 13" 576 432 141 0 0 3
BROWN "City of GREEN BAY Ward 14" 603 376 226 0 0 1
BROWN "City of GREEN BAY Ward 15" 1080 712 366 0 0 2
BROWN "City of GREEN BAY Ward 16" 909 626 281 0 0 2
BROWN "City of GREEN BAY Ward 17" 727 505 222 0 0 0
BROWN "City of GREEN BAY Ward 18" 757 457 299 0 0 1
BROWN "City of GREEN BAY Ward 19" 547 365 180 0 0 2
BROWN "City of GREEN BAY Ward 20" 621 431 188 0 0 2
BROWN "City of GREEN BAY Ward 21" 527 381 145 0 0 1
BROWN "City of GREEN BAY Ward 22" 278 165 113 0 0 0
BROWN "City of GREEN BAY Ward 23" 592 397 195 0 0 0
BROWN "City of GREEN BAY Ward 24" 730 468 261 0 0 1
BROWN "City of GREEN BAY Ward 25" 708 418 285 0 0 5
BROWN "City of GREEN BAY Ward 26" 710 485 224 0 0 1
BROWN "City of GREEN BAY Ward 27" 260 191 68 0 0 1
BROWN "City of GREEN BAY Ward 28" 676 464 209 0 0 3
BROWN "City of GREEN BAY Ward 29" 996 595 395 0 0 6
BROWN "City of GREEN BAY Ward 30" 882 621 258 0 0 3
BROWN "City of GREEN BAY Ward 31" 876 562 310 0 0 4
BROWN "City of GREEN BAY Ward 32" 745 461 283 0 0 1
BROWN "City of GREEN BAY Ward 33" 530 328 201 0 0 1
BROWN "City of GREEN BAY Ward 34" 1053 590 461 0 0 2
BROWN "City of GREEN BAY Ward 35" 740 374 364 0 0 2
BROWN "City of GREEN BAY Ward 36" 407 267 139 0 0 1
BROWN "City of GREEN BAY Ward 37" 737 439 296 0 0 2
BROWN "City of GREEN BAY Ward 38" 967 607 358 0 0 2
BROWN "City of GREEN BAY Ward 39" 1080 642 436 0 0 2
BROWN "City of GREEN BAY Ward 40" 741 435 305 0 0 1
BROWN "City of GREEN BAY Ward 41" 428 239 188 0 0 1
BROWN "City of GREEN BAY Ward 42" 585 360 223 0 0 2
BROWN "City of GREEN BAY Ward 43" 1018 567 448 0 0 3
BROWN "City of GREEN BAY Ward 44" 1380 768 611 0 0 1
BROWN "City of GREEN BAY Ward 45" 1608 751 856 0 0 1
BROWN "City of GREEN BAY Ward 46" 1183 724 458 0 0 1
BROWN "City of GREEN BAY Ward 47" 1398 684 713 0 0 1
BUFFALO "Town of ALMA Ward 1" 148 95 53 0 0 0
BUFFALO "Town of BELVIDERE Ward 1" 218 105 113 0 0 0
BUFFALO "Town of BUFFALO Ward 1" 360 181 179 0 0 0
BUFFALO "Town of CANTON Ward 1" 134 68 66 0 0 0
BUFFALO "Town of CROSS Ward 1" 172 75 97 0 0 0
BUFFALO "Town of DOVER Ward 1" 172 91 81 0 0 0
BUFFALO "Town of GILMANTON Ward 1" 166 88 78 0 0 0
BUFFALO "Town of GLENCOE Ward 1" 208 76 132 0 0 0
BUFFALO "Town of LINCOLN Ward 1" 110 53 57 0 0 0
BUFFALO "Town of MAXVILLE Ward 1" 145 48 97 0 0 0
BUFFALO "Town of MILTON Ward 1" 267 140 127 0 0 0
BUFFALO "Town of MODENA Ward 1" 150 81 69 0 0 0
BUFFALO "Town of MONDOVI Ward 1" 191 95 96 0 0 0
BUFFALO "Town of MONTANA Ward 1" 123 41 82 0 0 0
BUFFALO "Town of NAPLES Ward 1" 316 135 180 0 0 1
BUFFALO "Town of NELSON Ward 1" 274 116 158 0 0 0
BUFFALO "Town of WAUMANDEE Ward 1" 248 107 141 0 0 0
BUFFALO "Village of COCHRANE Ward 1" 164 85 79 0 0 0
BUFFALO "Village of NELSON Ward 1" 130 76 53 0 0 1
BUFFALO "City of ALMA Wards 1-2" 365 192 173 0 0 0
BUFFALO "City of BUFFALO CITY Ward 1" 499 258 240 0 0 1
BUFFALO "City of FOUNTAIN CITY Wards 1-2" 368 200 168 0 0 0
BUFFALO "City of MONDOVI Wards 1-3" 989 539 449 0 0 1
BURNETT "Town of ANDERSON Ward 1" 175 60 115 0 0 0
BURNETT "Town of BLAINE Ward 1" 94 37 57 0 0 0
BURNETT "Town of DANIELS Ward 1" 316 123 193 0 0 0
BURNETT "Town of DEWEY Ward 1" 224 92 132 0 0 0
BURNETT "Town of GRANTSBURG Wards 1-3" 493 181 312 0 0 0
BURNETT "Town of JACKSON Ward 1" 494 245 249 0 0 0
BURNETT "Town of LA FOLLETTE Wards 1-2" 249 128 121 0 0 0
BURNETT "Town of LINCOLN Ward 1" 154 49 105 0 0 0
BURNETT "Town of MEENON Wards 1-3" 492 211 281 0 0 0
BURNETT "Town of OAKLAND Wards 1-2" 511 265 246 0 0 0
BURNETT "Town of ROOSEVELT Ward 1" 95 38 57 0 0 0
BURNETT "Town of RUSK Ward 1" 201 70 131 0 0 0
BURNETT "Town of SAND LAKE Ward 1" 265 136 129 0 0 0
BURNETT "Town of SCOTT Wards 1-2" 392 187 205 0 0 0
BURNETT "Town of SIREN Wards 1-2" 474 193 281 0 0 0
BURNETT "Town of SWISS Wards 1-2" 346 191 155 0 0 0
BURNETT "Town of TRADE LAKE Wards 1-2" 454 174 280 0 0 0
BURNETT "Town of UNION Ward 1" 184 83 101 0 0 0
BURNETT "Town of WEBB LAKE Ward 1" 239 113 126 0 0 0
BURNETT "Town of WEST MARSHLAND Wards 1-2" 168 50 118 0 0 0
BURNETT "Town of WOOD RIVER Wards 1-3" 454 149 305 0 0 0
BURNETT "Village of GRANTSBURG Wards 1-3" 483 202 281 0 0 0
BURNETT "Village of SIREN Wards 1-2" 320 147 173 0 0 0
BURNETT "Village of WEBSTER Wards 1-2" 251 115 136 0 0 0
CALUMET "Town of BRILLION Wards 1-2" 711 248 463 0 0 0
CALUMET "Town of BROTHERTOWN Wards 1-2" 632 211 421 0 0 0
CALUMET "Town of CHARLESTOWN Ward 1" 398 136 262 0 0 0
CALUMET "Town of CHILTON Wards 1-3" 545 182 363 0 0 0
CALUMET "Town of HARRISON Ward 10" 0 0 0 0 0 0
CALUMET "Town of NEW HOLSTEIN Wards 1-3" 727 262 465 0 0 0
CALUMET "Town of RANTOUL Ward 1" 356 113 243 0 0 0
CALUMET "Town of STOCKBRIDGE Wards 1-3" 782 286 496 0 0 0
CALUMET "Town of WOODVILLE Ward 1" 446 164 282 0 0 0
CALUMET "Village of HARRISON Wards 3-4" 975 439 536 0 0 0
CALUMET "Village of HARRISON Wards 5-6,10" 1073 501 572 0 0 0
CALUMET "Village of HARRISON Wards 7-9,14" 1042 471 571 0 0 0
CALUMET "Village of HARRISON Wards 11-13" 1519 653 866 0 0 0
CALUMET "Village of HARRISON Ward 15" 162 54 108 0 0 0
CALUMET "Village of HARRISON Ward 16" 280 120 160 0 0 0
CALUMET "Village of HARRISON Ward 17" 77 48 29 0 0 0
CALUMET "Village of HARRISON Ward 18" 497 254 243 0 0 0
CALUMET "Village of HILBERT Wards 1-2" 459 169 290 0 0 0
CALUMET "Village of HILBERT Ward 3" 0 0 0 0 0 0
CALUMET "Village of POTTER Ward 1" 125 33 92 0 0 0
CALUMET "Village of SHERWOOD Wards 1-5" 1720 753 967 0 0 0
CALUMET "Village of STOCKBRIDGE Ward 1" 322 141 181 0 0 0
CALUMET "CITY OF APPLETON Ward 12" 330 182 148 0 0 0
CALUMET "CITY OF APPLETON Ward 13" 802 464 338 0 0 0
CALUMET "CITY OF APPLETON Ward 14" 742 421 321 0 0 0
CALUMET "CITY OF APPLETON Ward 26" 916 519 397 0 0 0
CALUMET "CITY OF APPLETON Ward 44" 923 531 392 0 0 0
CALUMET "CITY OF APPLETON Ward 45" 1171 636 535 0 0 0
CALUMET "CITY OF APPLETON Ward 46" 100 52 48 0 0 0
CALUMET "CITY OF APPLETON Ward 47" 0 0 0 0 0 0
CALUMET "City of BRILLION Wards 1-4" 1325 586 739 0 0 0
CALUMET "City of CHILTON Wards 1-5" 1453 655 798 0 0 0
CALUMET "CITY OF KAUKAUNA Ward 11" 0 0 0 0 0 0
CALUMET "CITY OF KIEL Ward 7" 119 58 61 0 0 0
CALUMET "CITY OF MENASHA Wards 16-20" 1433 745 688 0 0 0
CALUMET "City of NEW HOLSTEIN Wards 1-5" 1401 654 747 0 0 0
CHIPPEWA "Town of ANSON Wards 1-3" 1202 555 647 0 0 0
CHIPPEWA "Town of ANSON Ward 4" 4 2 2 0 0 0
CHIPPEWA "Town of ARTHUR Ward 1" 294 115 179 0 0 0
CHIPPEWA "Town of AUBURN Ward 1" 316 134 182 0 0 0
CHIPPEWA "Town of BIRCH CREEK Ward 1" 277 138 139 0 0 0
CHIPPEWA "Town of BLOOMER Wards 1-2" 475 181 294 0 0 0
CHIPPEWA "Town of CLEVELAND Ward 1" 404 162 242 0 0 0
CHIPPEWA "Town of COLBURN Ward 1" 362 130 232 0 0 0
CHIPPEWA "Town of COOKS VALLEY Ward 1" 329 135 194 0 0 0
CHIPPEWA "Town of DELMAR Ward 1" 387 177 210 0 0 0
CHIPPEWA "Town of EAGLE POINT Wards 1-5" 1580 764 816 0 0 0
CHIPPEWA "Town of EDSON Wards 1-2" 371 180 191 0 0 0
CHIPPEWA "Town of ESTELLA Ward 1" 191 64 127 0 0 0
CHIPPEWA "Town of GOETZ Wards 1-2" 364 178 186 0 0 0
CHIPPEWA "Town of GOETZ Ward 3" 11 8 3 0 0 0
CHIPPEWA "Town of HALLIE Ward 1" 103 60 43 0 0 0
CHIPPEWA "Town of HOWARD Ward 1" 376 187 189 0 0 0
CHIPPEWA "Town of LAFAYETTE Wards 1-9" 3117 1574 1543 0 0 0
CHIPPEWA "Town of LAKE HOLCOMBE Wards 1-2" 495 201 294 0 0 0
CHIPPEWA "Town of RUBY Ward 1" 181 74 107 0 0 0
CHIPPEWA "Town of SAMPSON Ward 1" 464 184 280 0 0 0
CHIPPEWA "Town of SIGEL Wards 1-2" 455 216 238 0 1 0
CHIPPEWA "Town of TILDEN Wards 1-3" 780 360 420 0 0 0
CHIPPEWA "Town of WHEATON Wards 1-3" 1359 683 676 0 0 0
CHIPPEWA "Town of WOODMOHR Wards 1-2" 514 213 301 0 0 0
CHIPPEWA "Village of BOYD Ward 1" 224 121 103 0 0 0
CHIPPEWA "Village of CADOTT Wards 1-3" 552 302 250 0 0 0
CHIPPEWA "Village of LAKE HALLIE Wards 1-8" 3013 1552 1461 0 0 0
CHIPPEWA "Village of NEW AUBURN Ward 1" 177 77 100 0 0 0
CHIPPEWA "City of BLOOMER Wards 1-4" 1496 632 864 0 0 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 1" 742 419 323 0 0 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 2" 929 520 409 0 0 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 3" 975 545 430 0 0 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 3A" 1 0 1 0 0 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 3B" 0 0 0 0 0 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 4" 681 435 246 0 0 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 5" 745 460 285 0 0 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 6" 709 427 282 0 0 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 7" 835 479 356 0 0 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 7A" 0 0 0 0 0 0
CHIPPEWA "City of CORNELL Wards 1-4" 521 240 281 0 0 0
CHIPPEWA "CITY OF EAU CLAIRE Ward 16" 800 486 314 0 0 0
CHIPPEWA "CITY OF EAU CLAIRE Ward 40" 0 0 0 0 0 0
CHIPPEWA "CITY OF EAU CLAIRE Ward 41" 89 58 31 0 0 0
CHIPPEWA "City of STANLEY Wards 1-4,6-7" 729 370 359 0 0 0
CLARK "Town of BEAVER Ward 1" 232 93 139 0 0 0
CLARK "Town of BUTLER Ward 1" 48 23 25 0 0 0
CLARK "Town of COLBY Wards 1-3" 236 97 139 0 0 0
CLARK "Town of DEWHURST Ward 1" 189 75 114 0 0 0
CLARK "Town of EATON Wards 1-2" 232 81 151 0 0 0
CLARK "Town of FOSTER Ward 1" 75 28 47 0 0 0
CLARK "Town of FREMONT Wards 1-2" 426 137 289 0 0 0
CLARK "Town of GRANT Wards 1-2" 321 135 186 0 0 0
CLARK "Town of GREEN GROVE Wards 1-2" 177 67 110 0 0 0
CLARK "Town of HENDREN Ward 1" 178 83 95 0 0 0
CLARK "Town of HEWETT Wards 1-2" 160 76 84 0 0 0
CLARK "Town of HIXON Wards 1-2" 185 79 106 0 0 0
CLARK "Town of HOARD Wards 1-2" 186 62 124 0 0 0
CLARK "Town of LEVIS Wards 1-2" 222 88 134 0 0 0
CLARK "Town of LONGWOOD Wards 1-2" 187 84 103 0 0 0
CLARK "Town of LOYAL Wards 1-2" 225 83 142 0 0 0
CLARK "Town of LYNN Wards 1-2" 235 89 146 0 0 0
CLARK "Town of MAYVILLE Wards 1-2" 287 93 194 0 0 0
CLARK "Town of MEAD Ward 1" 116 49 67 0 0 0
CLARK "Town of MENTOR Ward 1" 197 102 95 0 0 0
CLARK "Town of PINE VALLEY Wards 1-2" 527 231 296 0 0 0
CLARK "Town of RESEBURG Wards 1-2" 147 83 64 0 0 0
CLARK "Town of SEIF Ward 1" 92 49 43 0 0 0
CLARK "Town of SHERMAN Wards 1-2" 274 98 176 0 0 0
CLARK "Town of SHERWOOD Ward 1" 132 79 53 0 0 0
CLARK "Town of THORP Ward 1" 249 109 140 0 0 0
CLARK "Town of UNITY Ward 1" 255 101 154 0 0 0
CLARK "Town of WARNER Wards 1-2" 200 74 126 0 0 0
CLARK "Town of WASHBURN Ward 1" 135 47 88 0 0 0
CLARK "Town of WESTON Wards 1-2" 263 110 153 0 0 0
CLARK "Town of WITHEE Ward 1" 270 113 157 0 0 0
CLARK "Town of WORDEN Ward 1" 218 77 141 0 0 0
CLARK "Town of YORK Wards 1-2" 287 136 151 0 0 0
CLARK "Village of CURTISS Ward 1" 41 7 34 0 0 0
CLARK "Village of DORCHESTER Ward 1" 236 91 145 0 0 0
CLARK "Village of GRANTON Ward 1" 153 79 72 1 0 1
CLARK "VILLAGE OF UNITY Ward 2" 44 15 29 0 0 0
CLARK "Village of WITHEE Ward 1" 209 105 104 0 0 0
CLARK "City of ABBOTSFORD Wards 2-5,7" 536 225 311 0 0 0
CLARK "City of COLBY Wards 2-4" 442 200 242 0 0 0
CLARK "City of GREENWOOD Wards 1-2" 409 225 184 0 0 0
CLARK "City of LOYAL Wards 1-2" 487 225 262 0 0 0
CLARK "City of NEILLSVILLE Ward 1" 191 96 95 0 0 0
CLARK "City of NEILLSVILLE Ward 2" 236 131 105 0 0 0
CLARK "City of NEILLSVILLE Ward 3" 258 150 108 0 0 0
CLARK "City of NEILLSVILLE Ward 4" 144 69 75 0 0 0
CLARK "City of NEILLSVILLE Ward 5" 99 51 48 0 0 0
CLARK "City of OWEN Wards 1-3" 377 202 175 0 0 0
CLARK "CITY OF STANLEY Ward 5" 2 2 0 0 0 0
CLARK "CITY OF STANLEY Ward 8" 0 0 0 0 0 0
CLARK "City of THORP Wards 1-4" 617 280 337 0 0 0
COLUMBIA "Town of ARLINGTON Ward 1" 441 240 201 0 0 0
COLUMBIA "Town of CALEDONIA Wards 1-2" 840 500 339 0 0 1
COLUMBIA "Town of COLUMBUS Ward 1" 333 153 180 0 0 0
