DIST COUNTY AREA TOTAL DEM REP CPF REF GRE LPF PSL OverVotes UnderVotes WriteinVotes
NA Bay 22 0 862 2314 4 2 1 37 0 2 4 3
NA Bay 23 0 1117 2534 6 7 12 41 0 2 11 11
NA Bay 24 0 384 885 0 0 1 22 0 0 4 4
NA Bay 25 0 465 1328 0 1 2 16 4 3 3 9
NA Bay 26 0 522 1583 2 6 4 32 2 2 8 4
NA Bay 27 0 687 1754 0 3 2 31 1 1 6 9
NA Bay 28 0 548 975 1 2 3 24 3 0 3 4
NA Bay 29 0 839 1188 1 1 3 31 2 6 4 4
NA Bay 3 0 90 479 0 0 0 10 1 1 0 0
NA Bay 30 0 388 538 0 2 2 18 0 0 2 0
NA Bay 31 0 1128 1866 1 1 5 32 4 3 9 10
NA Bay 32 0 1010 138 0 0 1 4 1 3 3 2
NA Bay 33 0 802 443 0 0 2 5 1 6 3 3
NA Bay 34 0 290 591 0 1 2 10 1 2 0 2
NA Bay 35 0 539 1137 2 0 3 41 0 3 6 8
NA Bay 36 0 260 376 0 1 2 3 1 2 3 2
NA Bay 37 0 910 1305 3 2 5 22 3 10 5 4
NA Bay 38 0 383 826 1 0 2 14 0 1 2 1
NA Bay 39 0 788 2000 0 1 2 32 0 2 8 8
NA Bay 4 0 362 2130 1 1 3 23 3 3 5 2
NA Bay 40 0 537 925 3 1 2 23 2 3 5 4
NA Bay 41 0 631 1180 2 2 7 28 2 4 3 4
NA Bay 42 0 298 773 4 0 1 18 0 1 2 0
NA Bay 43 0 458 861 2 1 1 12 0 4 3 4
NA Bay 44 0 205 591 1 1 0 9 0 1 2 1
NA Bay 5 0 324 2286 1 0 5 16 0 2 3 2
NA Bay 6 0 497 2799 3 0 2 26 0 2 7 3
NA Bay 7 0 75 400 0 0 0 2 0 0 1 0
NA Bay 8 0 688 2167 1 0 5 15 0 2 6 1
NA Bay 9 0 796 2086 0 2 4 26 2 0 6 8
NA Bradford 1 0 128 1258 0 0 1 9 0 0 9 1
NA Bradford 10 0 81 741 0 0 2 1 1 0 1 1
NA Bradford 11 0 172 825 0 0 1 9 1 1 3 5
NA Bradford 12 0 431 1181 1 0 1 10 1 5 3 3
NA Bradford 13 0 43 393 0 0 0 5 0 0 0 0
NA Bradford 14 0 109 530 0 0 0 3 0 0 2 1
NA Bradford 2 0 298 303 1 1 2 3 0 0 4 1
NA Bradford 3 0 58 461 1 0 1 2 0 0 0 0
NA Bradford 4 0 177 929 0 0 0 8 0 0 2 1
NA Bradford 5 0 469 916 0 2 0 20 0 0 4 1
NA Bradford 6 0 72 599 1 0 0 3 0 0 2 0
NA Bradford 7 0 474 385 2 2 1 8 0 1 2 3
NA Bradford 8 0 327 1122 0 1 0 23 0 1 3 2
NA Bradford 9 0 321 691 0 1 2 6 0 4 2 0
NA Brevard 100 0 509 1265 2 0 1 15 0 1 4 2
NA Brevard 102 0 293 462 0 0 0 6 0 1 1 2
NA Brevard 103 0 876 2077 3 2 1 16 2 1 6 7
NA Brevard 104 0 979 2786 1 0 2 11 0 5 10 4
NA Brevard 105 0 1688 2831 0 3 7 53 0 2 11 10
NA Brevard 106 0 392 1686 0 1 3 6 0 4 6 2
NA Brevard 107 0 674 1040 2 1 3 17 2 2 7 6
NA Brevard 108 0 2048 1611 3 3 5 31 3 15 6 14
NA Brevard 109 0 1630 2661 2 3 4 41 3 3 16 7
NA Brevard 111 0 818 1276 2 1 6 18 0 2 6 8
NA Brevard 112 0 861 1595 2 0 5 40 0 0 5 3
NA Brevard 113 0 852 1614 1 0 7 35 1 1 6 12
NA Brevard 114 0 1802 2717 0 1 4 56 1 2 12 11
NA Brevard 115 0 1114 1807 0 0 10 30 1 5 12 11
NA Brevard 116 0 1063 2513 3 1 3 21 1 6 7 7
NA Brevard 118 0 1315 3297 1 1 5 39 1 2 16 11
NA Brevard 120 0 717 111 1 1 1 2 0 1 5 1
NA Brevard 121 0 537 1316 2 0 3 19 1 3 8 5
NA Brevard 122 0 614 1291 2 3 1 24 2 1 2 6
NA Brevard 123 0 923 1588 0 0 8 35 0 4 5 8
NA Brevard 124 0 1161 1835 0 6 8 22 2 1 10 7
NA Brevard 125 0 1013 2056 0 2 8 28 0 2 4 12
NA Brevard 126 0 0 0 0 0 0 0 0 0 0 0
NA Brevard 127 0 311 512 1 0 1 4 0 1 4 2
NA Brevard 128 0 0 4 0 0 0 0 0 0 0 0
NA Brevard 129 0 10 23 0 0 0 0 0 0 0 0
NA Brevard 130 0 0 0 0 0 0 0 0 0 0 0
NA Brevard 131 0 478 797 0 0 0 13 0 0 7 4
NA Brevard 132 0 0 0 0 0 0 0 0 0 0 0
NA Brevard 133 0 0 0 0 0 0 0 0 0 0 0
NA Brevard 135 0 492 1140 1 0 3 11 0 1 4 4
NA Brevard 136 0 0 0 0 0 0 0 0 0 0 0
NA Brevard 200 0 741 867 0 1 1 5 0 0 5 7
NA Brevard 201 0 948 1729 1 1 6 23 2 3 4 7
NA Brevard 202 0 860 1500 1 0 5 18 0 4 3 2
NA Brevard 203 0 1200 1989 0 2 7 32 1 1 7 5
NA Brevard 204 0 1584 2108 5 4 8 26 1 6 11 8
NA Brevard 205 0 1949 4029 2 5 9 47 5 5 19 11
NA Brevard 206 0 772 1433 2 0 3 13 0 3 11 6
NA Brevard 207 0 736 1228 2 0 5 23 1 3 9 2
NA Brevard 208 0 748 1021 0 0 2 19 0 0 7 4
NA Brevard 209 0 1009 1165 2 1 5 20 3 3 4 2
NA Brevard 211 0 1273 1468 3 0 7 37 2 3 10 8
NA Brevard 212 0 777 574 2 1 5 11 2 2 4 4
NA Brevard 213 0 405 181 0 2 1 3 1 1 6 2
NA Brevard 214 0 1078 906 2 0 2 13 0 0 5 4
NA Brevard 215 0 437 722 1 1 1 6 1 0 3 4
NA Brevard 216 0 2114 3231 2 3 4 35 0 8 10 16
NA Brevard 217 0 1039 2029 0 3 3 31 1 1 9 8
NA Brevard 218 0 212 297 0 0 1 4 0 0 2 1
NA Brevard 219 0 1924 1656 4 6 3 32 2 7 9 9
NA Brevard 220 0 263 389 1 0 1 5 0 0 1 2
NA Brevard 221 0 1097 1532 2 2 2 19 1 0 11 9
NA Brevard 222 0 1308 1542 0 2 4 23 1 3 14 8
NA Brevard 223 0 266 338 0 0 2 15 0 0 2 2
NA Brevard 224 0 1921 2320 3 6 4 46 1 2 18 16
NA Brevard 225 0 7 4 0 0 0 0 0 0 0 0
NA Brevard 226 0 1103 1454 1 0 4 21 4 7 6 7
NA Brevard 227 0 77 84 1 0 0 3 0 0 1 0
NA Brevard 228 0 394 500 0 1 3 16 0 0 3 0
NA Brevard 229 0 146 280 0 0 0 4 0 1 1 2
NA Brevard 230 0 4 5 0 0 0 1 0 0 0 0
NA Brevard 231 0 542 224 2 1 3 16 2 0 1 2
NA Brevard 233 0 458 81 0 0 0 1 2 6 1 3
NA Brevard 234 0 105 134 1 0 2 2 0 0 1 2
NA Brevard 235 0 727 1383 0 1 3 26 1 0 5 4
NA Brevard 236 0 211 338 1 0 0 1 1 0 1 1
NA Brevard 237 0 13 39 0 0 0 1 0 0 0 0
NA Brevard 238 0 15 25 0 0 0 0 0 0 0 0
NA Brevard 239 0 2 0 0 0 0 0 0 0 0 0
NA Brevard 240 0 364 735 0 2 0 10 0 0 1 2
NA Brevard 300 0 1247 649 1 3 3 13 3 8 10 4
NA Brevard 301 0 122 326 0 0 0 1 1 0 3 3
NA Brevard 302 0 890 2386 0 1 6 18 1 0 7 6
NA Brevard 303 0 2671 2564 2 3 14 46 5 6 23 11
NA Brevard 304 0 1481 2476 1 1 4 10 2 6 7 6
NA Brevard 305 0 1027 1355 0 3 2 21 0 1 13 16
NA Brevard 306 0 895 289 0 1 0 2 0 5 3 2
NA Brevard 307 0 504 814 0 1 2 10 0 7 5 4
NA Brevard 308 0 1249 1690 5 8 7 35 2 7 8 8
NA Brevard 309 0 4396 5179 1 3 14 105 7 10 34 17
NA Brevard 310 0 944 1138 2 0 2 26 2 3 9 2
NA Brevard 311 0 960 1348 0 2 3 11 0 1 9 8
NA Brevard 312 0 705 1286 0 3 3 6 0 6 7 2
NA Brevard 313 0 3300 3652 3 2 18 57 3 5 23 13
NA Brevard 314 0 1387 1550 0 0 3 34 3 2 6 5
NA Brevard 315 0 1847 1682 2 1 4 34 2 4 11 12
NA Brevard 316 0 1457 1675 3 5 6 22 1 4 13 12
NA Brevard 317 0 2447 2272 4 2 9 48 3 5 20 18
NA Brevard 318 0 1202 1753 1 2 1 16 0 0 16 10
NA Brevard 319 0 5 2 0 0 0 0 0 0 0 0
NA Brevard 320 0 32 55 0 0 0 0 0 0 1 1
NA Brevard 321 0 186 131 0 0 1 3 0 0 0 1
NA Brevard 322 0 2093 2039 0 5 9 39 5 4 15 8
NA Brevard 323 0 151 133 0 0 2 8 0 0 2 1
NA Brevard 324 0 282 438 0 0 1 5 0 1 3 0
NA Brevard 325 0 117 241 1 0 0 1 0 0 1 2
NA Brevard 326 0 103 302 0 0 1 3 0 0 0 0
NA Brevard 327 0 154 303 1 0 0 5 0 0 1 2
NA Brevard 328 0 134 257 1 0 0 5 0 0 0 0
NA Brevard 400 0 1757 1914 1 4 8 46 2 2 10 8
NA Brevard 402 0 1379 1955 2 1 3 39 2 5 12 9
NA Brevard 403 0 367 664 0 1 5 10 2 0 3 3
NA Brevard 404 0 1961 3051 1 1 8 46 4 1 17 14
NA Brevard 405 0 1728 2559 2 3 4 42 1 1 17 23
NA Brevard 406 0 2228 3036 1 4 7 47 4 2 16 7
NA Brevard 407 0 120 254 0 0 0 7 0 0 1 1
NA Brevard 408 0 522 626 2 3 3 14 0 1 2 4
NA Brevard 409 0 2157 3073 2 6 9 59 1 0 19 14
NA Brevard 410 0 294 464 0 1 0 7 1 0 5 0
NA Brevard 411 0 412 513 0 1 4 8 0 1 4 2
NA Brevard 412 0 438 555 1 0 0 10 1 0 5 2
NA Brevard 414 0 1652 2063 4 3 5 36 4 0 9 15
NA Brevard 415 0 1124 1676 0 3 5 32 0 1 10 6
NA Brevard 416 0 606 1130 1 1 0 15 1 1 7 4
NA Brevard 417 0 1842 2505 2 4 6 30 0 1 15 19
NA Brevard 418 0 1069 1752 2 0 0 17 1 2 8 6
NA Brevard 419 0 796 1330 0 1 1 9 1 0 8 4
NA Brevard 420 0 1127 1642 0 1 1 18 0 0 15 5
NA Brevard 421 0 1491 2380 0 2 1 22 2 3 9 16
NA Brevard 422 0 1988 3186 1 6 9 53 1 1 14 19
NA Brevard 424 0 1651 2140 3 3 5 29 3 0 11 7
NA Brevard 425 0 265 355 0 0 0 3 1 3 1 2
NA Brevard 426 0 484 1121 0 0 0 10 1 0 5 2
NA Brevard 427 0 1446 2333 2 3 6 29 2 0 16 8
NA Brevard 428 0 1868 2564 2 2 4 28 3 5 11 20
NA Brevard 429 0 913 1341 2 1 4 10 0 6 9 2
NA Brevard 430 0 281 584 1 0 1 2 0 0 5 3
NA Brevard 431 0 533 729 3 1 3 12 0 2 6 7
NA Brevard 432 0 53 96 0 0 0 1 0 0 0 0
NA Brevard 433 0 6 23 0 0 0 0 0 0 0 0
NA Brevard 434 0 1 5 0 0 0 0 0 0 0 0
NA Brevard 435 0 24 47 0 0 0 1 0 0 0 0
NA Brevard 436 0 0 0 0 0 0 0 0 0 0 0
NA Brevard 437 0 214 320 0 0 0 4 0 0 2 2
NA Brevard 438 0 0 0 0 0 0 0 0 0 0 0
NA Brevard 439 0 0 0 0 0 0 0 0 0 0 0
NA Brevard 440 0 20 22 0 0 0 1 0 0 0 0
NA Brevard 441 0 1314 1770 1 4 4 26 0 2 8 4
NA Brevard 442 0 0 8 0 0 0 0 0 0 0 0
NA Brevard 443 0 0 0 0 0 0 0 0 0 0 0
NA Brevard 500 0 588 725 0 2 2 8 0 2 2 0
NA Brevard 501 0 245 256 2 1 1 10 0 2 2 3
NA Brevard 502 0 1003 1479 1 1 6 35 0 1 6 11
NA Brevard 503 0 1165 1586 2 0 2 22 1 2 9 7
NA Brevard 504 0 262 435 1 0 2 0 0 2 1 1
NA Brevard 505 0 1252 1889 1 4 6 29 0 2 7 5
NA Brevard 506 0 956 1264 1 0 6 18 1 2 11 3
NA Brevard 507 0 1522 2228 2 0 8 36 3 1 7 12
NA Brevard 508 0 678 1077 1 4 3 16 2 0 6 7
NA Brevard 509 0 274 282 1 0 0 5 0 4 5 1
NA Brevard 510 0 3197 3726 10 3 14 70 3 10 23 15
NA Brevard 511 0 677 1527 0 0 3 9 0 5 16 8
NA Brevard 512 0 776 1791 0 0 5 17 1 0 3 4
NA Brevard 513 0 182 322 2 1 1 1 1 0 1 0
NA Brevard 515 0 1225 1670 2 2 2 15 3 3 4 10
NA Brevard 516 0 2797 2697 0 5 16 58 0 7 19 20
NA Brevard 517 0 2372 2349 2 2 7 48 1 3 19 15
NA Brevard 518 0 1157 1736 0 2 6 33 2 2 13 10
NA Brevard 519 0 2579 2510 1 7 6 43 4 16 17 19
NA Brevard 520 0 1922 2155 2 1 8 48 2 6 8 12
NA Brevard 521 0 1883 2032 1 2 4 50 5 10 9 1
NA Brevard 522 0 131 240 0 1 0 2 0 0 1 0
NA Brevard 523 0 344 468 0 1 5 15 0 0 1 3
NA Brevard 525 0 769 1149 0 0 3 12 1 0 10 4
NA Brevard 527 0 876 1134 2 0 5 22 0 1 5 3
NA Brevard 528 0 456 437 1 0 1 19 1 0 4 1
NA Brevard 529 0 555 710 2 2 4 14 0 1 3 8
NA Brevard 530 0 284 494 0 1 1 9 0 1 1 1
NA Brevard 531 0 0 3 0 0 0 0 0 0 0 0
NA Brevard 999 0 304 290 0 0 0 6 0 0 0 1
NA Broward A001 0 1454 2129 0 1 6 16 2 2 14 9
NA Broward A002 0 577 478 0 2 1 4 0 5 1 2
NA Broward A003 0 741 787 0 0 1 2 1 4 7 0
NA Broward A004 0 649 568 0 1 2 8 1 1 4 2
NA Broward A005 0 577 794 0 0 2 6 0 3 6 2
NA Broward A006 0 1083 580 1 1 4 3 2 8 3 2
NA Broward A007 0 786 680 0 0 3 7 0 1 1 4
NA Broward A008 0 363 59 0 0 2 0 0 2 2 2
NA Broward A009 0 1413 1228 0 1 2 3 2 12 8 1
NA Broward A010 0 424 516 0 0 1 2 0 4 0 0
NA Broward A011 0 1423 71 0 0 4 3 1 5 5 4
NA Broward A012 0 948 687 0 0 3 2 4 6 7 3
NA Broward A013 0 1411 1290 1 1 1 11 0 5 6 4
NA Broward A014 0 1583 1106 1 1 4 6 1 8 6 6
NA Broward A015 0 1346 144 0 0 1 6 0 4 3 3
NA Broward A016 0 904 673 0 0 0 4 2 2 4 1
NA Broward A017 0 270 203 1 2 0 3 0 2 2 0
NA Broward A018 0 825 179 0 0 2 2 2 7 6 6
NA Broward A019 0 758 630 0 1 3 2 0 5 6 6
NA Broward A020 0 1111 743 1 0 3 7 2 2 4 5
NA Broward A021 0 929 354 0 0 2 6 0 4 1 3
NA Broward A022 0 946 156 0 1 7 4 2 8 6 2
NA Broward A023 0 511 113 0 1 2 4 0 5 1 2
NA Broward A024 0 744 172 0 1 2 4 2 7 3 1
NA Broward B001 0 269 761 1 0 0 4 0 0 4 1
NA Broward B002 0 539 1040 0 0 2 1 0 0 5 5
NA Broward B003 0 413 712 0 2 2 4 0 1 3 1
NA Broward B004 0 657 1452 0 0 1 5 0 1 6 3
NA Broward B005 0 290 392 0 0 0 4 0 1 1 0
NA Broward B006 0 266 392 0 0 0 3 0 0 3 0
NA Broward C001 0 1117 1384 0 0 2 10 1 3 10 3
NA Broward C002 0 314 521 0 0 1 1 0 0 2 0
NA Broward C003 0 422 450 0 0 1 3 1 0 4 4
NA Broward C004 0 560 717 0 0 3 0 0 1 3 1
NA Broward C005 0 1596 73 0 0 2 9 0 2 7 5
NA Broward C006 0 2145 191 1 1 0 3 3 17 6 7
NA Broward C007 0 188 248 0 0 0 5 1 0 0 1
NA Broward C008 0 421 528 0 0 1 5 0 1 4 4
NA Broward C009 0 464 213 0 1 1 1 0 2 2 1
NA Broward C010 0 1020 917 2 1 2 10 2 6 7 6
NA Broward C011 0 673 824 0 1 1 5 1 1 6 4
NA Broward C012 0 644 754 0 0 0 3 0 3 6 3
NA Broward C013 0 490 522 0 0 2 0 0 0 3 6
NA Broward C014 0 419 582 0 0 0 8 0 3 1 2
NA Broward C015 0 1603 171 0 1 1 1 1 8 7 3
NA Broward C016 0 1182 1408 1 0 4 18 0 3 8 2
NA Broward C017 0 376 606 0 0 2 3 0 1 5 6
NA Broward C018 0 580 783 0 0 1 3 0 3 3 3
NA Broward C019 0 489 806 0 0 1 5 0 1 2 6
NA Broward C020 0 644 135 0 0 1 1 0 1 1 1
NA Broward C021 0 863 627 0 0 1 7 1 3 9 5
NA Broward C022 0 511 815 0 0 2 9 0 1 5 3
NA Broward C023 0 2918 1771 1 2 6 12 0 4 13 7
NA Broward C024 0 1436 879 1 3 1 6 2 8 9 5
NA Broward C025 0 483 75 0 0 0 1 0 2 3 2
NA Broward C026 0 339 166 0 0 1 4 0 2 3 1
NA Broward C027 0 309 99 0 0 1 1 0 3 2 1
NA Broward C028 0 1918 112 2 0 8 4 0 10 8 10
NA Broward C029 0 382 299 0 0 0 0 0 4 6 2
NA Broward C030 0 912 776 0 1 0 10 3 3 3 2
NA Broward C031 0 1024 671 0 3 4 2 1 7 9 4
NA Broward C032 0 247 70 0 0 0 2 0 3 2 1
NA Broward C033 0 392 272 0 0 1 3 0 3 8 2
NA Broward C034 0 1196 786 0 1 3 14 2 4 9 3
NA Broward C035 0 918 146 0 0 0 3 0 3 2 0
NA Broward C036 0 230 69 0 0 0 2 0 1 1 2
NA Broward C037 0 442 395 0 0 2 1 0 2 3 2
NA Broward C038 0 70 84 0 0 0 0 0 1 0 0
NA Broward D001 0 738 521 0 1 0 6 0 2 1 4
NA Broward D002 0 1026 454 0 1 1 3 0 5 4 2
NA Broward D003 0 941 566 2 0 2 9 0 1 1 4
NA Broward D004 0 823 353 1 0 1 5 1 2 1 3
NA Broward D005 0 1418 358 0 0 4 11 4 7 4 4
NA Broward D006 0 921 431 0 0 3 6 0 3 3 7
NA Broward D007 0 794 146 2 0 2 1 1 6 4 1
NA Broward D008 0 809 425 0 2 2 6 0 4 4 4
NA Broward D009 0 1824 339 0 1 5 7 1 2 2 3
NA Broward D010 0 478 136 1 0 0 1 0 3 0 0
NA Broward D011 0 164 49 0 0 0 0 0 3 1 1
NA Broward D012 0 376 56 1 0 1 2 0 1 2 2
NA Broward D013 0 822 218 0 2 0 2 0 1 7 4
NA Broward D014 0 752 387 0 0 3 8 0 5 1 3
NA Broward D015 0 1051 622 0 2 1 6 1 4 7 4
NA Broward D016 0 1499 995 0 0 6 12 2 7 4 3
NA Broward E001 0 358 71 0 0 1 0 1 1 0 0
NA Broward E002 0 1408 559 1 0 4 11 3 4 3 3
NA Broward E003 0 906 779 0 0 2 3 2 4 5 8
NA Broward E004 0 2032 919 1 1 5 10 0 7 4 8
NA Broward E005 0 1279 645 0 0 3 8 0 6 7 6
NA Broward E006 0 2432 1580 0 1 5 19 0 6 10 6
NA Broward E007 0 2030 1117 2 2 5 10 1 5 8 11
NA Broward E008 0 1571 855 0 1 2 6 1 4 5 7
NA Broward E009 0 818 560 0 0 3 6 0 0 5 6
NA Broward E010 0 2137 1221 2 0 6 15 6 5 9 6
NA Broward E011 0 1751 1044 2 3 4 15 1 4 8 7
NA Broward E012 0 841 421 1 1 1 5 1 2 2 1
NA Broward E013 0 1220 757 2 0 2 9 1 0 6 9
NA Broward E014 0 1742 1331 0 1 9 15 1 1 6 2
NA Broward E015 0 675 556 0 0 1 5 0 0 2 2
NA Broward E016 0 900 578 0 2 0 8 0 1 3 5
NA Broward E017 0 1611 990 0 2 4 4 1 5 5 3
NA Broward E018 0 505 443 0 0 5 2 0 2 2 2
NA Broward E019 0 1069 448 0 1 2 10 1 6 7 3
NA Broward E020 0 1825 986 1 0 3 7 2 7 8 10
NA Broward E021 0 945 614 0 1 1 6 1 2 3 5
NA Broward E022 0 1472 1100 0 0 4 11 0 2 6 7
NA Broward E023 0 983 724 0 0 2 7 0 1 3 0
NA Broward E024 0 1921 1095 0 1 8 12 2 2 7 9
NA Broward E025 0 623 353 0 0 0 3 0 2 2 4
NA Broward E026 0 988 517 0 1 0 5 0 4 2 5
NA Broward E027 0 1844 1034 1 1 4 18 2 2 5 6
NA Broward E028 0 900 443 0 1 1 5 0 5 4 1
NA Broward E029 0 806 238 0 1 1 3 0 5 3 2
NA Broward E030 0 400 89 0 0 0 0 1 3 0 3
NA Broward E031 0 1090 754 0 1 0 3 0 1 2 4
NA Broward E032 0 1174 747 0 4 1 3 0 2 8 3
NA Broward E033 0 1099 699 0 3 6 6 0 1 4 3
NA Broward E034 0 462 357 1 1 0 5 0 0 4 2
NA Broward F001 0 986 766 1 2 1 6 1 6 2 6
NA Broward F002 0 838 485 0 1 3 8 0 6 3 2
NA Broward F003 0 750 425 1 0 1 4 0 2 3 3
NA Broward F004 0 2612 1457 2 0 3 6 1 13 12 3
NA Broward F005 0 2053 1424 0 0 3 18 1 5 7 13
NA Broward F006 0 1343 642 0 0 4 5 1 9 4 6
NA Broward F007 0 1501 825 1 0 3 7 0 2 5 2
NA Broward F008 0 1299 633 2 0 5 9 0 1 7 3
NA Broward F009 0 1174 578 0 1 3 6 1 3 3 1
NA Broward F010 0 1518 945 1 3 5 9 0 1 6 4
NA Broward F011 0 588 545 1 0 0 3 1 0 5 0
NA Broward F012 0 1957 1540 0 2 4 19 2 10 8 7
NA Broward F013 0 669 360 0 1 3 3 1 1 0 0
NA Broward F014 0 838 415 0 3 1 3 0 6 5 3
NA Broward G001 0 1213 406 0 1 3 2 1 3 4 4
NA Broward G002 0 1477 954 1 1 2 10 1 7 2 4
NA Broward G003 0 1381 758 0 0 1 8 1 3 4 3
NA Broward G004 0 1534 904 0 2 5 6 1 18 8 3
NA Broward G005 0 1041 435 0 0 2 2 0 4 4 3
NA Broward G006 0 1602 872 1 3 2 10 1 13 12 3
NA Broward G007 0 328 165 0 0 0 3 0 6 2 0
