DIST COUNTY AREA TOTAL DEM REP IND1 IND2 OTH
1 KENOSHA "City of KENOSHA Ward 52" 1142 373 167 30 0 1
1 KENOSHA "City of KENOSHA Ward 53" 454 111 107 9 0 0
1 KENOSHA "City of KENOSHA Ward 54" 1406 376 306 20 0 1
1 KENOSHA "City of KENOSHA Ward 55" 636 177 128 13 0 0
1 KENOSHA "City of KENOSHA Ward 56" 868 247 174 13 0 0
1 KENOSHA "City of KENOSHA Ward 57" 1316 362 264 32 0 0
1 KENOSHA "City of KENOSHA Ward 58" 92 29 16 1 0 0
1 KENOSHA "City of KENOSHA Ward 59" 1698 429 382 32 0 6
1 KENOSHA "City of KENOSHA Ward 60" 1370 379 281 24 0 1
1 KENOSHA "City of KENOSHA Ward 61" 692 174 163 8 0 1
1 KENOSHA "City of KENOSHA Ward 62" 1416 380 297 31 0 0
1 KENOSHA "City of KENOSHA Ward 63" 888 255 174 15 0 0
1 KENOSHA "City of KENOSHA Ward 64" 1182 279 286 26 0 0
1 KENOSHA "City of KENOSHA Ward 65" 58 16 12 1 0 0
1 KENOSHA "City of KENOSHA Ward 66" 2120 519 491 50 0 0
1 KENOSHA "City of KENOSHA Ward 67" 1320 367 271 22 0 0
1 KENOSHA "City of KENOSHA Ward 68" 616 147 144 17 0 0
1 KENOSHA "City of KENOSHA Ward 69" 126 33 29 1 0 0
1 KENOSHA "City of KENOSHA Ward 70" 24 10 2 0 0 0
1 KENOSHA "City of KENOSHA Ward 71" 520 166 85 9 0 0
1 KENOSHA "City of KENOSHA Ward 72" 1184 281 281 27 0 3
1 KENOSHA "City of KENOSHA Ward 73" 1030 268 233 12 0 2
1 KENOSHA "City of KENOSHA Ward 74" 0 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 75" 958 212 250 15 0 2
1 KENOSHA "City of KENOSHA Ward 76" 858 177 232 19 0 1
1 KENOSHA "City of KENOSHA Ward 77" 1412 348 340 18 0 0
1 KENOSHA "City of KENOSHA Ward 78" 1262 326 286 18 0 1
1 KENOSHA "City of KENOSHA Ward 79" 1430 366 318 31 0 0
1 KENOSHA "City of KENOSHA Ward 80" 308 110 38 6 0 0
1 KENOSHA "City of KENOSHA Ward 81" 538 175 88 6 0 0
1 KENOSHA "City of KENOSHA Ward 82" 290 93 46 6 0 0
1 KENOSHA "City of KENOSHA Ward 83" 0 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 84" 492 148 90 7 0 1
1 KENOSHA "City of KENOSHA Ward 85" 68 22 11 1 0 0
1 KENOSHA "City of KENOSHA Ward 86" 348 100 65 9 0 0
1 KENOSHA "City of KENOSHA Ward 87" 782 176 199 16 0 0
1 KENOSHA "City of KENOSHA Ward 88" 0 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 89" 0 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 90" 0 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 91" 0 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 92" 4 2 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 93" 0 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 94" 0 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 95" 0 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 96" 0 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 97" 0 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 98" 0 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 99" 0 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 100" 0 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 101" 6 0 3 0 0 0
1 MILWAUKEE "Village of GREENDALE Wards 1-2" 3072 529 958 42 0 7
1 MILWAUKEE "Village of GREENDALE Wards 3-4" 3368 791 837 53 0 3
1 MILWAUKEE "Village of GREENDALE Wards 5-6" 3096 633 852 62 0 1
1 MILWAUKEE "Village of GREENDALE Wards 7-8" 3040 633 832 54 0 1
1 MILWAUKEE "Village of GREENDALE Wards 9-10" 3508 739 945 70 0 0
1 MILWAUKEE "Village of HALES CORNERS Wards 1-3" 2742 512 820 38 0 1
1 MILWAUKEE "Village of HALES CORNERS Wards 4-6" 2668 523 753 58 0 0
1 MILWAUKEE "Village of HALES CORNERS Wards 7-9" 2420 495 675 38 0 2
1 MILWAUKEE "City of FRANKLIN Ward 1" 0 0 0 0 0 0
1 MILWAUKEE "City of FRANKLIN Ward 2" 2520 431 786 40 0 3
1 MILWAUKEE "City of FRANKLIN Ward 3" 2694 510 792 44 0 1
1 MILWAUKEE "City of FRANKLIN Ward 4" 1240 213 400 7 0 0
1 MILWAUKEE "City of FRANKLIN Ward 5" 1106 200 331 21 0 1
1 MILWAUKEE "City of FRANKLIN Ward 6" 1746 298 555 17 0 3
1 MILWAUKEE "City of FRANKLIN Ward 7" 2406 420 751 31 0 1
1 MILWAUKEE "City of FRANKLIN Ward 8" 1330 320 319 26 0 0
1 MILWAUKEE "City of FRANKLIN Ward 9" 1594 374 393 30 0 0
1 MILWAUKEE "City of FRANKLIN Ward 10" 690 135 198 11 0 1
1 MILWAUKEE "City of FRANKLIN Ward 11" 1956 337 612 28 0 1
1 MILWAUKEE "City of FRANKLIN Ward 12" 1432 249 449 18 0 0
1 MILWAUKEE "City of FRANKLIN Ward 13" 1946 342 595 36 0 0
1 MILWAUKEE "City of FRANKLIN Ward 14" 1738 308 537 19 0 5
1 MILWAUKEE "City of FRANKLIN Ward 15A" 920 152 296 12 0 0
1 MILWAUKEE "City of FRANKLIN Ward 15B" 674 137 193 7 0 0
1 MILWAUKEE "City of FRANKLIN Ward 16" 2010 340 633 30 0 2
1 MILWAUKEE "City of FRANKLIN Ward 17" 1240 261 344 13 0 2
1 MILWAUKEE "City of FRANKLIN Ward 18" 786 136 240 16 0 1
1 MILWAUKEE "City of FRANKLIN Ward 19" 2138 380 662 27 0 0
1 MILWAUKEE "City of FRANKLIN Ward 20" 1052 241 271 14 0 0
1 MILWAUKEE "City of FRANKLIN Ward 21" 514 138 106 13 0 0
1 MILWAUKEE "City of FRANKLIN Ward 22A" 1222 230 352 28 0 1
1 MILWAUKEE "City of FRANKLIN Ward 22B" 1176 213 350 23 0 2
1 MILWAUKEE "City of FRANKLIN Ward 23" 2104 375 649 26 0 2
1 MILWAUKEE "City of OAK CREEK Wards 1-3" 5494 1163 1516 67 0 1
1 MILWAUKEE "City of OAK CREEK Wards 4-6" 4862 1149 1206 76 0 0
1 MILWAUKEE "City of OAK CREEK Wards 7-9" 5562 1172 1513 93 0 3
1 MILWAUKEE "City of OAK CREEK Wards 10-12" 5792 1183 1629 81 0 3
1 MILWAUKEE "City of OAK CREEK Wards 13-15" 5978 1115 1801 71 0 2
1 MILWAUKEE "City of OAK CREEK Wards 16-19" 4452 1086 1056 82 0 2
1 RACINE "Town of BURLINGTON Wards 1-7" 3790 582 1255 55 0 3
1 RACINE "Town of BURLINGTON Wards 8-10" 1828 302 582 28 0 2
1 RACINE "Town of BURLINGTON Ward 11" 760 142 228 9 0 1
1 RACINE "Town of DOVER Wards 1-8" 3576 539 1197 51 0 1
1 RACINE "Town of NORWAY Wards 1-11" 8732 1046 3226 91 0 3
1 RACINE "Town of RAYMOND Wards 1-6" 4580 657 1559 73 0 1
1 RACINE "Town of WATERFORD Wards 1-10" 6898 857 2510 79 0 3
1 RACINE "Village of CALEDONIA Wards 1-2" 3460 543 1133 53 0 1
1 RACINE "Village of CALEDONIA Wards 3-5" 4518 810 1387 62 0 0
1 RACINE "Village of CALEDONIA Ward 3B" 0 0 0 0 0 0
1 RACINE "Village of CALEDONIA Wards 6-8" 3846 787 1057 76 0 3
1 RACINE "Village of CALEDONIA Wards 9-10,12-13" 5308 1235 1345 69 0 5
1 RACINE "Village of CALEDONIA Wards 11,14-15,17" 5374 1024 1567 92 0 4
1 RACINE "Village of CALEDONIA Wards 16,18-19" 3362 645 965 68 0 3
1 RACINE "Village of CALEDONIA Ward 20" 1014 182 310 15 0 0
1 RACINE "Village of ELMWOOD PARK Ward 1" 618 133 167 9 0 0
1 RACINE "Village of MOUNT PLEASANT Wards 1,17,20" 2778 630 707 51 0 1
1 RACINE "Village of MOUNT PLEASANT Wards 2-4,11" 3812 1011 820 74 0 1
1 RACINE "Village of MOUNT PLEASANT Ward 5" 1534 338 392 36 0 1
1 RACINE "Village of MOUNT PLEASANT Wards 6-8" 3638 785 973 57 0 4
1 RACINE "Village of MOUNT PLEASANT Wards 9,13-14" 4374 799 1320 67 0 1
1 RACINE "Village of MOUNT PLEASANT Wards 10,12,15-16" 5832 1197 1614 105 0 0
1 RACINE "Village of MOUNT PLEASANT Wards 18,23" 1320 417 220 22 0 1
1 RACINE "Village of MOUNT PLEASANT Wards 19,21-22" 4580 986 1220 82 0 2
1 RACINE "Village of NORTH BAY Ward 1" 314 73 79 5 0 0
1 RACINE "Village of ROCHESTER Wards 1-6" 4234 580 1481 55 0 1
1 RACINE "Village of STURTEVANT Wards 1-8" 4462 995 1172 64 0 0
1 RACINE "Village of UNION GROVE Wards 1-7" 4234 715 1342 60 0 0
1 RACINE "Village of WATERFORD Wards 1-7" 5312 822 1768 66 0 0
1 RACINE "Village of WIND POINT Wards 1-3" 2272 473 623 40 0 0
1 RACINE "Village of Yorkville Wards 1-5" 3462 530 1157 44 0 0
1 RACINE "City of BURLINGTON Wards 1-4" 4604 903 1322 75 0 2
1 RACINE "City of BURLINGTON Wards 5-8" 5022 930 1513 65 0 3
1 RACINE "City of RACINE Ward 1" 1336 489 158 19 0 2
1 RACINE "City of RACINE Ward 2" 1176 499 72 16 0 1
1 RACINE "City of RACINE Ward 3" 2272 827 276 32 0 1
1 RACINE "City of RACINE Ward 4" 998 461 28 9 0 1
1 RACINE "City of RACINE Ward 5" 784 358 23 11 0 0
1 RACINE "City of RACINE Ward 6" 986 365 114 14 0 0
1 RACINE "City of RACINE Ward 7" 784 333 43 16 0 0
1 RACINE "City of RACINE Ward 8" 970 405 62 16 0 2
1 RACINE "City of RACINE Ward 9" 1576 575 168 43 0 2
1 RACINE "City of RACINE Ward 10" 1674 498 300 39 0 0
1 RACINE "City of RACINE Ward 11" 1470 475 221 38 0 1
1 RACINE "City of RACINE Ward 12" 1414 407 263 37 0 0
1 RACINE "City of RACINE Ward 13" 1742 481 351 39 0 0
1 RACINE "City of RACINE Ward 14" 1858 581 292 55 0 1
1 RACINE "City of RACINE Ward 15" 1366 464 183 35 0 1
1 RACINE "City of RACINE Ward 16" 2358 630 503 44 0 2
1 RACINE "City of RACINE Ward 17" 704 274 64 13 0 1
1 RACINE "City of RACINE Ward 18" 618 276 27 6 0 0
1 RACINE "City of RACINE Ward 19" 558 249 22 8 0 0
1 RACINE "City of RACINE Ward 20" 2470 700 473 57 0 5
1 RACINE "City of RACINE Ward 21" 1586 557 197 36 0 3
1 RACINE "City of RACINE Ward 22" 2436 794 371 53 0 0
1 RACINE "City of RACINE Ward 23" 2092 712 297 34 0 3
1 RACINE "City of RACINE Ward 24" 1870 566 336 32 0 1
1 RACINE "City of RACINE Ward 25" 1732 599 236 28 0 3
1 RACINE "City of RACINE Ward 26" 318 62 92 5 0 0
1 RACINE "City of RACINE Ward 27" 2760 776 539 61 0 4
1 RACINE "City of RACINE Ward 28" 2276 635 460 43 0 0
1 RACINE "City of RACINE Ward 29" 2096 650 356 41 0 1
1 RACINE "City of RACINE Ward 30" 1548 529 216 28 0 1
1 RACINE "City of RACINE Ward 31" 1024 299 196 17 0 0
1 RACINE "City of RACINE Ward 32" 1218 425 163 20 0 1
1 RACINE "City of RACINE Ward 33" 1480 465 254 21 0 0
1 RACINE "City of RACINE Ward 34" 1722 462 360 38 0 1
1 RACINE "City of RACINE Ward 35" 1546 437 308 27 0 1
1 RACINE "City of RACINE Ward 36" 1122 354 177 30 0 0
1 ROCK "Town of BRADFORD Wards 1-2" 968 169 304 11 0 0
1 ROCK "Town of CLINTON Ward 1" 818 117 281 11 0 0
1 ROCK "Town of HARMONY Wards 2-5" 1952 486 472 18 0 0
1 ROCK "Town of HARMONY Ward 6" 4 0 2 0 0 0
1 ROCK "Town of JANESVILLE Wards 7-9" 382 95 91 5 0 0
1 ROCK "Town of JOHNSTOWN Ward 1" 854 179 238 10 0 0
1 ROCK "Town of LA PRAIRIE Ward 1" 602 131 161 8 0 1
1 ROCK "Town of LIMA Wards 1-2" 1110 263 274 18 0 0
1 ROCK "Town of MILTON Ward 1" 810 167 230 8 0 0
1 ROCK "Town of ROCK Wards 5,7" 356 89 84 5 0 0
1 ROCK "Town of ROCK Ward 8" 0 0 0 0 0 0
1 ROCK "Town of TURTLE Wards 2-3" 1402 260 429 12 0 0
1 ROCK "Village of CLINTON Wards 1-3" 1678 329 472 38 0 0
1 ROCK "City of BELOIT Ward 25" 0 0 0 0 0 0
1 ROCK "City of JANESVILLE Ward 1" 2376 684 465 38 0 1
1 ROCK "City of JANESVILLE Ward 2" 2316 654 468 35 0 1
1 ROCK "City of JANESVILLE Ward 3" 1528 528 206 24 2 4
1 ROCK "City of JANESVILLE Ward 4" 1200 419 157 23 0 1
1 ROCK "City of JANESVILLE Ward 5" 2136 631 415 18 2 2
1 ROCK "City of JANESVILLE Ward 6" 1456 397 302 27 0 2
1 ROCK "City of JANESVILLE Ward 7" 2374 738 420 29 0 0
1 ROCK "City of JANESVILLE Ward 8" 1854 589 316 22 0 0
1 ROCK "City of JANESVILLE Ward 9" 1668 515 295 24 0 0
1 ROCK "City of JANESVILLE Ward 10" 1378 439 228 22 0 0
1 ROCK "City of JANESVILLE Ward 11" 1836 624 256 36 0 2
1 ROCK "City of JANESVILLE Ward 12" 2848 760 639 25 0 0
1 ROCK "City of JANESVILLE Ward 13" 2368 747 401 35 0 1
1 ROCK "City of JANESVILLE Ward 14" 2570 758 484 42 0 1
1 ROCK "City of JANESVILLE Ward 15" 1834 589 297 29 0 2
1 ROCK "City of JANESVILLE Ward 16" 1482 431 294 15 0 1
1 ROCK "City of JANESVILLE Ward 17" 2540 734 503 32 0 1
1 ROCK "City of JANESVILLE Ward 18" 2406 710 460 29 0 4
1 ROCK "City of JANESVILLE Ward 19" 748 190 169 15 0 0
1 ROCK "City of JANESVILLE Ward 20" 1006 240 253 10 0 0
1 ROCK "City of JANESVILLE Ward 21" 2240 575 521 24 0 0
1 ROCK "City of JANESVILLE Ward 22" 2492 606 611 28 0 1
1 ROCK "City of JANESVILLE Ward 23" 1238 328 275 15 0 1
1 ROCK "City of JANESVILLE Ward 24" 1576 513 246 28 0 1
1 ROCK "City of JANESVILLE Ward 25" 2238 603 478 37 0 1
1 ROCK "City of JANESVILLE Ward 26" 0 0 0 0 0 0
1 ROCK "City of JANESVILLE Ward 27" 3162 813 737 29 0 2
1 ROCK "City of JANESVILLE Ward 28" 2634 728 557 32 0 0
1 ROCK "City of JANESVILLE Ward 29" 24 8 4 0 0 0
1 ROCK "City of JANESVILLE Ward 31" 0 0 0 0 0 0
1 ROCK "City of JANESVILLE Ward 32" 0 0 0 0 0 0
1 ROCK "City of JANESVILLE Ward 33" 2 1 0 0 0 0
1 ROCK "City of MILTON Wards 1-12" 5078 1419 1030 89 0 1
1 WALWORTH "Town of BLOOMFIELD Wards 1-2" 1182 247 330 13 0 1
1 WALWORTH "Town of DARIEN Wards 1-3" 1492 221 506 18 0 1
1 WALWORTH "Town of DELAVAN Wards 1-11" 5020 871 1563 71 0 5
1 WALWORTH "Town of EAST TROY Ward 1" 914 111 334 12 0 0
1 WALWORTH "Town of EAST TROY Wards 2-3" 1490 188 536 21 0 0
1 WALWORTH "Town of EAST TROY Wards 4-6" 2024 260 733 19 0 0
1 WALWORTH "Town of GENEVA Wards 1-8" 5098 899 1552 95 0 3
1 WALWORTH "Town of LAFAYETTE Wards 1-3" 2182 317 742 32 0 0
1 WALWORTH "Town of LA GRANGE Wards 1-3" 2510 391 823 39 0 2
1 WALWORTH "Town of LINN Wards 1-4,6" 1950 313 628 33 0 1
1 WALWORTH "Town of LINN Ward 5" 440 66 149 5 0 0
1 WALWORTH "Town of LYONS Wards 1-7" 3326 515 1105 40 0 3
1 WALWORTH "Town of RICHMOND Wards 1-3" 1810 352 528 25 0 0
1 WALWORTH "Town of SHARON Ward 1" 896 124 301 23 0 0
1 WALWORTH "Town of SPRING PRAIRIE Wards 1-4" 2428 313 864 33 0 4
1 WALWORTH "Town of SUGAR CREEK Wards 1-5" 3906 633 1251 67 0 2
1 WALWORTH "Town of TROY Wards 1-3" 2732 393 940 33 0 0
1 WALWORTH "Town of WALWORTH Wards 1-3" 1640 211 582 27 0 0
1 WALWORTH "Town of WHITEWATER Wards 1-2" 1518 304 435 19 0 1
1 WALWORTH "Village of BLOOMFIELD Wards 1-5" 3334 569 1051 46 1 0
1 WALWORTH "Village of DARIEN Wards 1-2" 1194 237 340 20 0 0
1 WALWORTH "Village of EAST TROY Wards 1-5" 4250 677 1377 70 0 1
1 WALWORTH "Village of FONTANA Wards 1-3" 1950 351 602 22 0 0
1 WALWORTH "Village of GENOA CITY Wards 1-4" 1968 344 614 24 0 2
1 WALWORTH "VILLAGE OF MUKWONAGO Ward 11" 160 31 48 1 0 0
1 WALWORTH "Village of SHARON Wards 1-2" 1134 237 311 19 0 0
1 WALWORTH "Village of WALWORTH Wards 1-3" 2232 417 657 40 0 2
1 WALWORTH "Village of WILLIAMS BAY Wards 1-4" 2652 506 773 45 0 2
1 WALWORTH "CITY OF BURLINGTON Ward 9" 0 0 0 0 0 0
1 WALWORTH "CITY OF BURLINGTON Ward 10" 2 0 1 0 0 0
1 WALWORTH "City of DELAVAN Wards 1-14,16" 5970 1359 1499 122 0 5
1 WALWORTH "City of DELAVAN Ward 15" 0 0 0 0 0 0
1 WALWORTH "City of ELKHORN Wards 1-7" 7770 1529 2224 127 0 5
1 WALWORTH "City of ELKHORN Ward 8" 0 0 0 0 0 0
1 WALWORTH "City of LAKE GENEVA Wards 1-2" 1692 397 415 31 2 1
1 WALWORTH "City of LAKE GENEVA Wards 3-4" 1310 298 330 26 0 1
1 WALWORTH "City of LAKE GENEVA Wards 5-6,10" 1936 367 573 28 0 0
1 WALWORTH "City of LAKE GENEVA Wards 7-9,11-14" 1456 320 389 19 0 0
1 WAUKESHA "Town of EAGLE Wards 1-4" 4042 517 1469 35 0 0
1 WAUKESHA "Town of GENESEE Wards 1,3,5,9" 2796 318 1053 26 0 1
1 WAUKESHA "Town of GENESEE Wards 2,4,10" 2900 369 1039 38 0 4
1 WAUKESHA "Town of GENESEE Wards 6-8" 3238 417 1156 46 0 0
1 WAUKESHA "Town of MUKWONAGO Wards 1,7-8" 2232 276 808 32 0 0
1 WAUKESHA "Town of MUKWONAGO Wards 2-3,9-11" 3870 416 1466 52 0 1
1 WAUKESHA "Town of MUKWONAGO Wards 4-6" 2812 311 1070 25 0 0
1 WAUKESHA "Town of OTTAWA Wards 1-5" 4626 650 1620 41 0 2
1 WAUKESHA "Town of VERNON Wards 1,8-11" 4204 472 1583 47 0 0
1 WAUKESHA "Town of VERNON Wards 2-7" 5140 590 1933 46 0 1
1 WAUKESHA "Town of WAUKESHA Wards 2-6" 4726 612 1691 58 0 2
1 WAUKESHA "Town of WAUKESHA Wards 7,9-11" 3944 490 1444 38 0 0
1 WAUKESHA "Village of BIG BEND Wards 1-4" 1464 194 525 13 0 0
1 WAUKESHA "Village of DOUSMAN Wards 1-3" 2366 329 822 32 0 0
1 WAUKESHA "Village of EAGLE Wards 1-2" 2082 234 776 28 0 3
1 WAUKESHA "Village of MUKWONAGO Wards 1-10" 7580 1053 2617 113 0 7
1 WAUKESHA "Village of MUKWONAGO Ward 12" 0 0 0 0 0 0
1 WAUKESHA "Village of NORTH PRAIRIE Wards 1-3" 2456 266 935 26 0 1
1 WAUKESHA "Village of NORTH PRAIRIE Ward 4" 0 0 0 0 0 0
1 WAUKESHA "Village of WALES Wards 1-5" 3256 504 1089 35 0 0
1 WAUKESHA "City of MUSKEGO Wards 1-3" 4398 641 1504 54 0 0
1 WAUKESHA "City of MUSKEGO Wards 4-5" 3658 530 1244 54 0 1
1 WAUKESHA "City of MUSKEGO Wards 6-8" 4434 638 1527 51 0 1
1 WAUKESHA "City of MUSKEGO Wards 9-10" 3378 469 1181 37 0 2
1 WAUKESHA "City of MUSKEGO Wards 11-12" 3818 505 1368 35 0 1
1 WAUKESHA "City of MUSKEGO Wards 13-14" 4030 502 1463 48 0 2
1 WAUKESHA "City of MUSKEGO Wards 15-16" 4170 523 1516 44 0 2
1 WAUKESHA "City of NEW BERLIN Ward 15" 2050 310 687 28 0 0
1 WAUKESHA "City of NEW BERLIN Ward 16" 2780 414 931 44 0 1
1 WAUKESHA "City of NEW BERLIN Ward 19" 348 49 120 5 0 0
1 WAUKESHA "City of NEW BERLIN Ward 21" 2414 355 819 33 0 0
1 WAUKESHA "City of WAUKESHA Ward 39" 4 0 2 0 0 0
1 WAUKESHA "City of WAUKESHA Ward 40" 0 0 0 0 0 0
1 WAUKESHA "City of WAUKESHA Ward 41" 0 0 0 0 0 0
1 WAUKESHA "City of WAUKESHA Ward 42" 0 0 0 0 0 0
1 WAUKESHA "City of WAUKESHA Ward 43" 0 0 0 0 0 0
1 WAUKESHA "City of WAUKESHA Ward 44" 0 0 0 0 0 0
1 WAUKESHA "City of WAUKESHA Ward 45" 0 0 0 0 0 0
1 WAUKESHA "City of WAUKESHA Ward 48" 0 0 0 0 0 0
1 WAUKESHA "City of WAUKESHA Ward 49" 0 0 0 0 0 0
2 DANE "Town of ALBION Wards 1-2" 1562 746 0 0 0 35
2 DANE "Town of BERRY Wards 1-2" 988 472 0 0 0 22
2 DANE "Town of BLACK EARTH Ward 1" 408 200 0 0 0 4
2 DANE "Town of BLOOMING GROVE Wards 1-3" 1500 734 0 0 0 16
2 DANE "Town of BLUE MOUNDS Ward 1" 776 370 0 0 0 18
2 DANE "Town of BRISTOL Wards 1-4" 3188 1506 0 0 0 88
