COUNTY AREA TOTAL DEM REP SCATTERING
BROWN "Town of LEDGEVIEW Ward 1" 40 19 21 0
BROWN "Town of LEDGEVIEW Wards 2-10" 2385 1163 1220 2
BROWN "Town of MORRISON Wards 1-2" 425 125 300 0
BROWN "Town of NEW DENMARK Wards 1-2" 338 150 188 0
BROWN "Town of NEW DENMARK Ward 3" 125 52 73 0
BROWN "Town of PITTSFIELD Wards 1-3" 867 351 515 1
BROWN "Town of ROCKLAND Ward 1" 199 78 121 0
BROWN "Town of ROCKLAND Wards 2-3" 477 184 293 0
BROWN "Town of SCOTT Wards 1-4" 1138 573 565 0
BROWN "Town of WRIGHTSTOWN Ward 1" 359 134 225 0
BROWN "Town of WRIGHTSTOWN Wards 2-3" 391 136 255 0
BROWN "Village of ALLOUEZ Wards 1-2" 1044 659 384 1
BROWN "Village of ALLOUEZ Ward 3" 255 163 92 0
BROWN "Village of ALLOUEZ Ward 4" 737 425 312 0
BROWN "Village of ALLOUEZ Wards 5-6" 1257 690 567 0
BROWN "Village of ALLOUEZ Wards 7-9" 961 542 419 0
BROWN "Village of ALLOUEZ Ward 10" 0 0 0 0
BROWN "Village of ASHWAUBENON Wards 1-2" 580 321 259 0
BROWN "Village of ASHWAUBENON Wards 3-4" 591 294 295 2
BROWN "Village of ASHWAUBENON Wards 5-6" 799 401 397 1
BROWN "Village of ASHWAUBENON Ward 7" 492 236 256 0
BROWN "Village of ASHWAUBENON Ward 8" 483 244 239 0
BROWN "Village of ASHWAUBENON Wards 9-10" 1080 534 546 0
BROWN "Village of ASHWAUBENON Wards 11-12" 814 449 365 0
BROWN "Village of BELLEVUE Wards 1-4" 975 521 454 0
BROWN "Village of BELLEVUE Wards 5-6" 720 390 330 0
BROWN "Village of BELLEVUE Wards 7-10" 2165 1100 1064 1
BROWN "Village of DENMARK Wards 1-3" 555 238 316 1
BROWN "Village of DENMARK Ward 4" 0 0 0 0
BROWN "Village of HOBART Wards 1-5" 1717 785 931 1
BROWN "Village of HOBART Wards 6-9" 716 325 391 0
BROWN "Village of HOWARD Wards 1-2" 430 199 231 0
BROWN "Village of HOWARD Wards 3-4" 303 157 146 0
BROWN "Village of HOWARD Wards 5-6" 416 214 202 0
BROWN "Village of HOWARD Wards 7-8" 912 465 447 0
BROWN "Village of HOWARD Wards 9-10" 760 386 374 0
BROWN "Village of HOWARD Wards 11-12" 841 401 440 0
BROWN "Village of HOWARD Ward 13" 348 180 167 1
BROWN "Village of HOWARD Ward 14" 161 56 105 0
BROWN "Village of HOWARD Ward 15" 575 247 328 0
BROWN "Village of HOWARD Ward 16" 255 124 131 0
BROWN "Village of HOWARD Ward 18" 201 119 82 0
BROWN "Village of PULASKI Wards 1-3,6" 741 326 413 2
BROWN "Village of SUAMICO Wards 1-4" 1607 704 903 0
BROWN "Village of SUAMICO Ward 5" 551 232 317 2
BROWN "Village of SUAMICO Wards 6-8" 1434 626 806 2
BROWN "Village of WRIGHTSTOWN Wards 1-3" 788 320 467 1
BROWN "City of DE PERE Wards 1-2,4" 1560 861 699 0
BROWN "City of DE PERE Wards 3,5" 541 329 211 1
BROWN "City of DE PERE Wards 6-8" 1309 736 572 1
BROWN "City of DE PERE Ward 9" 360 214 146 0
BROWN "City of DE PERE Wards 10-12" 1088 644 443 1
BROWN "City of DE PERE Ward 13" 519 278 241 0
BROWN "City of DE PERE Wards 14-15" 1006 512 494 0
BROWN "City of DE PERE Ward 16" 2 1 1 0
BROWN "City of DE PERE Ward 17" 0 0 0 0
BROWN "City of DE PERE Ward 18" 5 4 1 0
BROWN "City of GREEN BAY Ward 1" 4 2 2 0
BROWN "City of GREEN BAY Ward 2" 491 307 184 0
BROWN "City of GREEN BAY Ward 3" 407 257 150 0
BROWN "City of GREEN BAY Ward 4" 746 425 321 0
BROWN "City of GREEN BAY Ward 5" 310 176 134 0
BROWN "City of GREEN BAY Ward 6" 685 372 313 0
BROWN "City of GREEN BAY Ward 7" 315 185 130 0
BROWN "City of GREEN BAY Ward 8" 594 347 246 1
BROWN "City of GREEN BAY Ward 9" 162 110 52 0
BROWN "City of GREEN BAY Ward 10" 187 107 79 1
BROWN "City of GREEN BAY Ward 11" 253 136 117 0
BROWN "City of GREEN BAY Ward 12" 201 131 70 0
BROWN "City of GREEN BAY Ward 13" 196 147 48 1
BROWN "City of GREEN BAY Ward 14" 187 115 72 0
BROWN "City of GREEN BAY Ward 15" 480 345 134 1
BROWN "City of GREEN BAY Ward 16" 386 288 98 0
BROWN "City of GREEN BAY Ward 17" 245 162 83 0
BROWN "City of GREEN BAY Ward 18" 262 177 85 0
BROWN "City of GREEN BAY Ward 19" 159 102 57 0
BROWN "City of GREEN BAY Ward 20" 178 125 52 1
BROWN "City of GREEN BAY Ward 21" 133 85 48 0
BROWN "City of GREEN BAY Ward 22" 84 58 26 0
BROWN "City of GREEN BAY Ward 23" 176 113 63 0
BROWN "City of GREEN BAY Ward 24" 229 142 86 1
BROWN "City of GREEN BAY Ward 25" 245 166 79 0
BROWN "City of GREEN BAY Ward 26" 294 220 72 2
BROWN "City of GREEN BAY Ward 27" 60 42 18 0
BROWN "City of GREEN BAY Ward 28" 246 175 70 1
BROWN "City of GREEN BAY Ward 29" 363 214 149 0
BROWN "City of GREEN BAY Ward 30" 311 228 83 0
BROWN "City of GREEN BAY Ward 31" 305 171 133 1
BROWN "City of GREEN BAY Ward 32" 257 157 100 0
BROWN "City of GREEN BAY Ward 33" 191 130 61 0
BROWN "City of GREEN BAY Ward 34" 384 223 161 0
BROWN "City of GREEN BAY Ward 35" 291 147 143 1
BROWN "City of GREEN BAY Ward 36" 122 82 39 1
BROWN "City of GREEN BAY Ward 37" 232 130 102 0
BROWN "City of GREEN BAY Ward 38" 360 259 101 0
BROWN "City of GREEN BAY Ward 39" 326 206 119 1
BROWN "City of GREEN BAY Ward 40" 276 182 94 0
BROWN "City of GREEN BAY Ward 41" 180 100 80 0
BROWN "City of GREEN BAY Ward 42" 169 103 66 0
BROWN "City of GREEN BAY Ward 43" 358 208 150 0
BROWN "City of GREEN BAY Ward 44" 560 304 256 0
BROWN "City of GREEN BAY Ward 45" 676 328 348 0
BROWN "City of GREEN BAY Ward 46" 370 240 130 0
BROWN "City of GREEN BAY Ward 47" 548 309 238 1
BUFFALO "Town of ALMA Ward 1" 91 58 33 0
BUFFALO "Town of BELVIDERE Ward 1" 146 54 92 0
BUFFALO "Town of BUFFALO Ward 1" 188 102 86 0
BUFFALO "Town of CANTON Ward 1" 93 49 44 0
BUFFALO "Town of CROSS Ward 1" 90 47 43 0
BUFFALO "Town of DOVER Ward 1" 116 50 66 0
BUFFALO "Town of GILMANTON Ward 1" 85 42 43 0
BUFFALO "Town of GLENCOE Ward 1" 140 44 96 0
BUFFALO "Town of LINCOLN Ward 1" 102 45 57 0
BUFFALO "Town of MAXVILLE Ward 1" 88 36 52 0
BUFFALO "Town of MILTON Ward 1" 175 83 92 0
BUFFALO "Town of MODENA Ward 1" 91 43 48 0
BUFFALO "Town of MONDOVI Ward 1" 127 52 75 0
BUFFALO "Town of MONTANA Ward 1" 58 23 35 0
BUFFALO "Town of NAPLES Ward 1" 209 88 121 0
BUFFALO "Town of NELSON Ward 1" 149 59 90 0
BUFFALO "Town of WAUMANDEE Ward 1" 197 81 116 0
BUFFALO "Village of COCHRANE Ward 1" 96 50 46 0
BUFFALO "Village of NELSON Ward 1" 59 32 27 0
BUFFALO "City of ALMA Wards 1-2" 234 141 93 0
BUFFALO "City of BUFFALO CITY Ward 1" 278 149 129 0
BUFFALO "City of FOUNTAIN CITY Wards 1-2" 209 123 86 0
BUFFALO "City of MONDOVI Wards 1-3" 567 296 271 0
BURNETT "Town of ANDERSON Ward 1" 104 36 68 0
BURNETT "Town of BLAINE Ward 1" 56 15 41 0
BURNETT "Town of DANIELS Ward 1" 182 70 112 0
BURNETT "Town of DEWEY Ward 1" 126 40 86 0
BURNETT "Town of GRANTSBURG Wards 1-3" 232 80 152 0
BURNETT "Town of JACKSON Ward 1" 257 128 129 0
BURNETT "Town of LA FOLLETTE Wards 1-2" 150 72 78 0
BURNETT "Town of LINCOLN Ward 1" 95 27 68 0
BURNETT "Town of MEENON Wards 1-3" 218 94 124 0
BURNETT "Town of MEENON Wards 1-3" 0 0 0 0
BURNETT "Town of MEENON Wards 1-3" 0 0 0 0
BURNETT "Town of OAKLAND Wards 1-2" 271 143 128 0
BURNETT "Town of ROOSEVELT Ward 1" 47 19 28 0
BURNETT "Town of RUSK Ward 1" 122 42 80 0
BURNETT "Town of SAND LAKE Ward 1" 142 66 76 0
BURNETT "Town of SCOTT Wards 1-2" 201 87 114 0
BURNETT "Town of SIREN Wards 1-2" 274 115 159 0
BURNETT "Town of SWISS Wards 1-2" 170 91 79 0
BURNETT "Town of TRADE LAKE Wards 1-2" 264 97 167 0
BURNETT "Town of UNION Ward 1" 105 40 65 0
BURNETT "Town of WEBB LAKE Ward 1" 121 72 49 0
BURNETT "Town of WEST MARSHLAND Wards 1-2" 94 34 60 0
BURNETT "Town of WOOD RIVER Wards 1-3" 290 81 209 0
BURNETT "Village of GRANTSBURG Wards 1-3" 282 113 169 0
BURNETT "Village of SIREN Wards 1-2" 167 80 87 0
BURNETT "Village of WEBSTER Wards 1-2" 134 55 79 0
CALUMET "Town of BRILLION Wards 1-2" 390 131 259 0
CALUMET "Town of BROTHERTOWN Wards 1-2" 355 108 247 0
CALUMET "Town of CHARLESTOWN Ward 1" 215 77 138 0
CALUMET "Town of CHILTON Ward 1" 115 39 76 0
CALUMET "Town of CHILTON Ward 2" 173 41 132 0
CALUMET "Town of CHILTON Ward 3" 25 8 17 0
CALUMET "Town of NEW HOLSTEIN Wards 1,3" 339 104 235 0
CALUMET "Town of NEW HOLSTEIN Ward 2" 119 35 84 0
CALUMET "Town of RANTOUL Ward 1" 194 55 139 0
CALUMET "Town of STOCKBRIDGE Wards 1-2" 364 135 229 0
CALUMET "Town of STOCKBRIDGE Ward 3" 77 29 48 0
CALUMET "Town of WOODVILLE Ward 1" 246 77 168 1
CALUMET "Village of HARRISON Wards 3-4" 557 268 288 1
CALUMET "Village of HARRISON Wards 5-6,10" 599 295 301 3
CALUMET "Village of HARRISON Wards 7-9,14" 525 234 291 0
CALUMET "Village of HARRISON Wards 11-13" 847 448 398 1
CALUMET "Village of HARRISON Ward 15" 70 20 50 0
CALUMET "Village of HARRISON Ward 16" 146 68 78 0
CALUMET "Village of HARRISON Ward 17" 43 19 24 0
CALUMET "Village of HARRISON Ward 18" 255 159 96 0
CALUMET "Village of HILBERT Wards 1-2" 234 80 153 1
CALUMET "Village of HILBERT Ward 3" 0 0 0 0
CALUMET "Village of POTTER Ward 1" 66 18 48 0
CALUMET "Village of SHERWOOD Ward 1" 117 45 72 0
CALUMET "Village of SHERWOOD Wards 2-4" 866 417 449 0
CALUMET "Village of SHERWOOD Ward 5" 0 0 0 0
CALUMET "Village of STOCKBRIDGE Ward 1" 175 80 95 0
CALUMET "CITY OF APPLETON Ward 12" 163 107 56 0
CALUMET "CITY OF APPLETON Ward 13" 452 282 169 1
CALUMET "CITY OF APPLETON Ward 14" 428 262 166 0
CALUMET "CITY OF APPLETON Ward 26" 486 284 202 0
CALUMET "CITY OF APPLETON Ward 44" 521 301 220 0
CALUMET "CITY OF APPLETON Ward 45" 706 415 289 2
CALUMET "CITY OF APPLETON Ward 46" 52 32 20 0
CALUMET "CITY OF APPLETON Ward 47" 0 0 0 0
CALUMET "City of BRILLION Wards 1,5" 139 57 82 0
CALUMET "City of BRILLION Wards 2-4" 468 189 279 0
CALUMET "City of CHILTON Ward 1" 151 76 75 0
CALUMET "City of CHILTON Wards 2,5" 382 153 229 0
CALUMET "City of CHILTON Ward 3" 181 68 113 0
CALUMET "City of CHILTON Ward 4" 180 87 93 0
CALUMET "CITY OF KAUKAUNA Ward 11" 0 0 0 0
CALUMET "CITY OF KIEL Wards 7,10" 69 33 36 0
CALUMET "CITY OF MENASHA Wards 16-20" 888 473 415 0
CALUMET "City of NEW HOLSTEIN Wards 1-2" 276 118 158 0
CALUMET "City of NEW HOLSTEIN Ward 3" 292 143 149 0
CALUMET "City of NEW HOLSTEIN Ward 4" 321 131 190 0
CALUMET "City of NEW HOLSTEIN Ward 5" 231 111 120 0
CHIPPEWA "Town of ANSON Wards 1-3" 694 334 360 0
CHIPPEWA "Town of ANSON Ward 4" 1 0 1 0
CHIPPEWA "Town of ARTHUR Ward 1" 184 62 122 0
CHIPPEWA "Town of AUBURN Ward 1" 208 75 133 0
CHIPPEWA "Town of BIRCH CREEK Ward 1" 163 80 83 0
CHIPPEWA "Town of BLOOMER Wards 1-2" 276 107 169 0
CHIPPEWA "Town of CLEVELAND Ward 1" 257 95 162 0
CHIPPEWA "Town of COLBURN Ward 1" 211 78 133 0
CHIPPEWA "Town of COOKS VALLEY Ward 1" 204 75 129 0
CHIPPEWA "Town of DELMAR Ward 1" 214 87 127 0
CHIPPEWA "Town of EAGLE POINT Wards 1-5" 988 454 533 1
CHIPPEWA "Town of EDSON Wards 1-2" 196 71 125 0
CHIPPEWA "Town of ESTELLA Ward 1" 113 40 73 0
CHIPPEWA "Town of GOETZ Wards 1-2" 238 110 128 0
CHIPPEWA "Town of GOETZ Ward 3" 5 3 2 0
CHIPPEWA "Town of HALLIE Ward 1" 82 50 32 0
CHIPPEWA "Town of HOWARD Ward 1" 213 113 100 0
CHIPPEWA "Town of LAFAYETTE Wards 1-9" 1919 1018 899 2
CHIPPEWA "Town of LAKE HOLCOMBE Wards 1-2" 303 119 184 0
CHIPPEWA "Town of RUBY Ward 1" 120 34 86 0
CHIPPEWA "Town of SAMPSON Ward 1" 315 114 201 0
CHIPPEWA "Town of SIGEL Wards 1-2" 293 131 162 0
CHIPPEWA "Town of TILDEN Wards 1-3" 509 241 268 0
CHIPPEWA "Town of WHEATON Wards 1-3" 870 410 460 0
CHIPPEWA "Town of WOODMOHR Wards 1-2" 307 133 174 0
CHIPPEWA "Village of BOYD Ward 1" 112 50 62 0
CHIPPEWA "Village of CADOTT Wards 1-3" 316 157 158 1
CHIPPEWA "Village of LAKE HALLIE Wards 1-8" 1607 842 763 2
CHIPPEWA "Village of NEW AUBURN Ward 1" 127 43 84 0
CHIPPEWA "City of BLOOMER Wards 1-4" 853 362 491 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 1" 406 234 172 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 2" 539 305 234 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 3" 595 355 238 2
CHIPPEWA "City of CHIPPEWA FALLS Ward 3A" 1 1 0 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 3B" 0 0 0 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 4" 418 255 161 2
CHIPPEWA "City of CHIPPEWA FALLS Ward 5" 400 263 137 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 6" 389 223 166 0
CHIPPEWA "City of CHIPPEWA FALLS Ward 7" 501 282 218 1
CHIPPEWA "City of CHIPPEWA FALLS Ward 7A" 0 0 0 0
CHIPPEWA "City of CORNELL Wards 1-4" 330 148 182 0
CHIPPEWA "CITY OF EAU CLAIRE Ward 16" 420 252 168 0
CHIPPEWA "CITY OF EAU CLAIRE Ward 40" 0 0 0 0
CHIPPEWA "CITY OF EAU CLAIRE Ward 41" 62 39 23 0
CHIPPEWA "CITY OF EAU CLAIRE Ward 78" 0 0 0 0
CHIPPEWA "City of STANLEY Wards 1-4,6-7" 430 216 213 1
CLARK "Town of BEAVER Ward 1" 127 49 78 0
CLARK "Town of BUTLER Ward 1" 42 19 23 0
CLARK "Town of COLBY Ward 1" 9 2 7 0
CLARK "Town of COLBY Ward 2" 95 36 59 0
CLARK "Town of COLBY Ward 3" 26 9 17 0
CLARK "Town of DEWHURST Ward 1" 101 42 59 0
CLARK "Town of EATON Ward 1" 143 54 89 0
CLARK "Town of EATON Ward 2" 31 14 17 0
CLARK "Town of FOSTER Ward 1" 49 18 31 0
CLARK "Town of FREMONT Ward 1" 154 46 108 0
CLARK "Town of FREMONT Ward 2" 79 29 50 0
CLARK "Town of GRANT Ward 1" 164 69 95 0
CLARK "Town of GRANT Ward 2" 36 9 27 0
CLARK "Town of GREEN GROVE Ward 1" 86 30 56 0
CLARK "Town of GREEN GROVE Ward 2" 13 8 5 0
CLARK "Town of HENDREN Ward 1" 132 54 78 0
CLARK "Town of HEWETT Ward 1" 73 32 41 0
CLARK "Town of HEWETT Ward 2" 22 11 11 0
CLARK "Town of HIXON Ward 1" 103 38 65 0
CLARK "Town of HIXON Ward 2" 14 4 10 0
CLARK "Town of HOARD Ward 1" 63 9 54 0
CLARK "Town of HOARD Ward 2" 79 27 52 0
CLARK "Town of LEVIS Ward 1" 61 25 36 0
CLARK "Town of LEVIS Ward 2" 63 24 39 0
CLARK "Town of LONGWOOD Ward 1" 48 17 31 0
CLARK "Town of LONGWOOD Ward 2" 68 26 42 0
CLARK "Town of LOYAL Ward 1" 30 5 25 0
CLARK "Town of LOYAL Ward 2" 86 20 66 0
CLARK "Town of LYNN Ward 1" 64 23 41 0
CLARK "Town of LYNN Ward 2" 55 20 35 0
CLARK "Town of MAYVILLE Ward 1" 65 16 49 0
CLARK "Town of MAYVILLE Ward 2" 116 32 84 0
CLARK "Town of MEAD Ward 1" 68 24 44 0
CLARK "Town of MENTOR Ward 1" 122 51 71 0
CLARK "Town of PINE VALLEY Wards 1-2" 336 138 198 0
CLARK "Town of RESEBURG Ward 1" 85 42 43 0
CLARK "Town of RESEBURG Ward 2" 13 11 2 0
CLARK "Town of SEIF Ward 1" 59 31 28 0
CLARK "Town of SHERMAN Ward 1" 14 3 11 0
CLARK "Town of SHERMAN Ward 2" 134 40 94 0
CLARK "Town of SHERWOOD Ward 1" 100 60 40 0
CLARK "Town of THORP Ward 1" 145 43 102 0
CLARK "Town of UNITY Ward 1" 157 48 109 0
CLARK "Town of WARNER Ward 1" 128 50 78 0
CLARK "Town of WARNER Ward 2" 16 5 11 0
CLARK "Town of WASHBURN Ward 1" 82 26 56 0
CLARK "Town of WESTON Ward 1" 73 36 37 0
CLARK "Town of WESTON Ward 2" 76 20 56 0
CLARK "Town of WITHEE Ward 1" 136 39 97 0
CLARK "Town of WORDEN Ward 1" 112 41 71 0
CLARK "Town of YORK Ward 1" 119 39 80 0
CLARK "Town of YORK Ward 2" 63 30 33 0
CLARK "Village of CURTISS Ward 1" 26 5 21 0
CLARK "Village of DORCHESTER Ward 1" 139 54 85 0
CLARK "Village of GRANTON Ward 1" 88 41 47 0
CLARK "VILLAGE OF UNITY Ward 2" 24 7 17 0
CLARK "Village of WITHEE Ward 1" 137 68 69 0
CLARK "City of ABBOTSFORD Wards 2,5,7" 103 46 57 0
CLARK "City of ABBOTSFORD Ward 3" 42 19 23 0
CLARK "City of ABBOTSFORD Ward 4" 128 55 73 0
CLARK "City of COLBY Ward 2" 88 33 55 0
CLARK "City of COLBY Ward 3" 91 43 48 0
CLARK "City of COLBY Ward 4" 65 28 37 0
CLARK "City of GREENWOOD Ward 1" 155 87 68 0
CLARK "City of GREENWOOD Ward 2" 150 68 82 0
CLARK "City of LOYAL Ward 1" 144 64 80 0
CLARK "City of LOYAL Ward 2" 144 68 76 0
