COUNTY AREA TOTAL DEM REP CST GRE LIB (Write-In) (Miscellaneous)
BRUNSWICK 13 0 880 1794 2 7 28 0 3
BRUNSWICK 14 0 1045 2672 5 8 20 0 10
BRUNSWICK 15 0 1877 3882 4 6 30 0 15
BRUNSWICK 16 0 1589 2809 5 7 13 0 10
BRUNSWICK 17 0 1944 3312 2 8 16 0 6
BRUNSWICK 18 0 311 1133 2 2 10 0 1
BRUNSWICK 19 0 1447 2981 2 6 18 0 10
BRUNSWICK 20 0 765 2164 3 5 20 0 4
BRUNSWICK 21 0 1001 2584 6 7 39 0 4
BRUNSWICK 22 0 862 1627 2 3 17 0 9
BRUNSWICK 23 0 909 1732 2 2 17 0 4
BUNCOMBE 01.1 0 560 76 1 5 7 0 0
BUNCOMBE 02.1 0 834 59 0 5 14 0 2
BUNCOMBE 03.1 0 654 48 0 2 5 0 6
BUNCOMBE 04.1 0 413 78 1 3 4 0 2
BUNCOMBE 05.1 0 750 170 0 4 3 0 7
BUNCOMBE 06.1 0 394 96 0 1 3 0 1
BUNCOMBE 07.1 0 505 77 0 1 10 0 1
BUNCOMBE 08.2 0 550 146 0 6 14 0 0
BUNCOMBE 08.3 0 578 129 1 5 9 0 4
BUNCOMBE 09.1 0 834 274 1 5 20 0 2
BUNCOMBE 10.1 0 319 42 0 2 3 0 4
BUNCOMBE 11.1 0 383 49 1 4 2 0 3
BUNCOMBE 12.1 0 540 100 0 5 10 0 3
BUNCOMBE 13.1 0 559 96 0 5 7 0 3
BUNCOMBE 14.2 0 503 99 1 5 3 0 0
BUNCOMBE 14.3 0 214 76 1 3 6 0 2
BUNCOMBE 15.1 0 570 103 0 3 3 0 5
BUNCOMBE 16.2 0 612 112 1 3 6 0 3
BUNCOMBE 17.1 0 448 90 2 1 7 0 1
BUNCOMBE 18.2 0 1343 469 3 9 15 0 4
BUNCOMBE 19.1 0 369 143 0 4 3 0 2
BUNCOMBE 20.1 0 285 42 2 1 6 0 1
BUNCOMBE 21.1 0 677 225 4 1 7 0 5
BUNCOMBE 22.2 0 750 157 2 5 5 0 3
BUNCOMBE 23.2 0 156 51 1 2 0 0 0
BUNCOMBE 23.3 0 233 79 0 3 2 0 0
BUNCOMBE 24.1 0 414 201 1 3 10 0 3
BUNCOMBE 25.1 0 541 187 1 4 12 0 7
BUNCOMBE 26.1 0 419 105 0 2 5 0 3
BUNCOMBE 27.2 0 241 57 0 1 4 0 1
BUNCOMBE 28.1 0 500 57 0 5 7 0 3
BUNCOMBE 29.2 0 906 289 4 7 11 0 1
BUNCOMBE 30.2 0 510 311 1 2 16 0 4
BUNCOMBE 30.3 0 539 393 2 3 8 0 1
BUNCOMBE 31.1 0 370 298 0 0 5 0 4
BUNCOMBE 32.1 0 329 247 1 4 2 0 3
BUNCOMBE 33.2 0 197 159 0 2 1 0 1
BUNCOMBE 33.3 0 290 209 2 3 9 0 1
BUNCOMBE 34.1 0 242 131 3 2 6 0 1
BUNCOMBE 35.1 0 418 172 1 1 1 0 2
BUNCOMBE 36.1 0 262 195 0 1 12 0 7
BUNCOMBE 37.1 0 194 281 0 2 7 0 3
BUNCOMBE 38.2 0 227 212 1 3 5 0 1
BUNCOMBE 38.3 0 384 458 1 6 13 0 5
BUNCOMBE 39.2 0 199 150 1 0 6 0 3
BUNCOMBE 39.3 0 351 256 0 4 9 0 2
BUNCOMBE 40.2 0 442 454 3 7 18 0 4
BUNCOMBE 41.1 0 334 456 4 3 14 0 3
BUNCOMBE 42.1 0 356 277 0 1 12 0 4
BUNCOMBE 43.2 0 236 147 1 3 10 0 0
BUNCOMBE 44.1 0 1111 452 4 2 19 0 5
BUNCOMBE 45.1 0 604 425 2 9 19 0 4
BUNCOMBE 46.1 0 256 163 2 0 4 0 1
BUNCOMBE 47.1 0 441 696 4 5 19 0 2
BUNCOMBE 48.1 0 516 432 2 1 9 0 5
BUNCOMBE 49.1 0 446 722 3 5 18 0 1
BUNCOMBE 50.1 0 181 398 3 2 5 0 1
BUNCOMBE 51.2 0 257 270 0 3 8 0 0
BUNCOMBE 52.1 0 382 378 6 3 9 0 3
BUNCOMBE 53.1 0 299 344 2 6 7 0 0
BUNCOMBE 54.2 0 649 384 4 6 13 0 1
BUNCOMBE 55.1 0 572 304 1 3 17 0 2
BUNCOMBE 56.2 0 451 174 0 0 11 0 0
BUNCOMBE 57.1 0 536 392 2 1 7 0 7
BUNCOMBE 58.1 0 427 192 1 2 6 0 2
BUNCOMBE 59.1 0 719 382 3 5 12 0 5
BUNCOMBE 60.2 0 230 124 2 5 4 0 1
BUNCOMBE 60.4 0 329 147 0 1 4 0 0
BUNCOMBE 61.1 0 485 277 2 8 7 0 5
BUNCOMBE 62.1 0 525 281 1 1 11 0 5
BUNCOMBE 63.1 0 85 152 0 0 3 0 0
BUNCOMBE 64.1 0 245 252 2 5 10 0 4
BUNCOMBE 65.1 0 479 229 2 2 7 0 3
BUNCOMBE 66.1 0 254 151 1 0 6 0 0
BUNCOMBE 67.1 0 505 155 1 6 2 0 4
BUNCOMBE 68.1 0 546 425 4 6 13 0 1
BUNCOMBE 681 0 62 92 0 0 2 0 0
BUNCOMBE 69.1 0 385 302 1 7 18 0 3
BUNCOMBE 70.1 0 687 269 2 2 11 0 1
BUNCOMBE 71.1 0 850 319 3 7 7 0 5
BUNCOMBE ABSENTEE 0 0 0 0 0 0 0 0
BUNCOMBE AVML 0 6270 2472 15 26 87 1 14
BUNCOMBE AVOM 0 3093 3407 11 18 60 0 8
BUNCOMBE BMBL 0 3644 2837 8 20 53 0 17
BUNCOMBE BTFD 0 2861 2708 10 10 46 0 14
BUNCOMBE ECBL 0 3366 5186 10 13 62 1 18
BUNCOMBE FVCC 0 3313 4047 12 18 54 0 13
BUNCOMBE HACC 0 2468 266 1 12 23 0 6
BUNCOMBE LECC 0 1509 3720 3 8 24 0 2
BUNCOMBE LSKY 0 2496 3262 7 12 37 0 13
BUNCOMBE PROVISIONAL 0 0 0 0 0 0 0 0
BUNCOMBE REYV 0 4327 1897 9 9 60 0 11
BUNCOMBE SBBL 0 4572 4047 11 31 88 0 30
BUNCOMBE TCRK 0 3459 2394 3 10 53 0 10
BUNCOMBE TRANSFER 0 0 0 0 0 0 0 0
BUNCOMBE UNCA 0 4375 427 1 17 37 0 11
BUNCOMBE WACC 0 6023 1413 3 39 45 0 21
BUNCOMBE WGSC 0 4013 272 5 18 13 0 9
BUNCOMBE WVTH 0 4278 5986 7 16 53 0 14
BURKE 0001 0 658 1672 2 4 14 0 4
BURKE 0003 0 195 684 1 0 4 0 0
BURKE 0011 0 362 1843 0 5 8 0 1
BURKE 0012 0 146 1347 3 1 3 0 3
BURKE 0013 0 362 1826 0 3 13 0 1
BURKE 0014 0 221 1326 1 4 7 0 1
BURKE 0015 0 224 866 2 2 2 0 2
BURKE 0018 0 135 272 0 1 0 0 0
BURKE 0019 0 168 329 0 1 1 0 1
BURKE 0020 0 334 437 0 1 6 0 0
BURKE 0021 0 308 806 2 3 5 0 1
BURKE 0022 0 321 1114 0 3 7 0 2
BURKE 0024 0 567 1399 2 3 20 0 2
BURKE 0029-A 0 131 725 1 3 1 0 0
BURKE 0029-B 0 175 672 1 2 3 0 1
BURKE 0031 0 923 521 3 5 16 0 7
BURKE 0034 0 792 677 1 7 7 0 6
BURKE 0035 0 586 474 2 7 8 0 3
BURKE 0036 0 352 1100 3 1 13 0 1
BURKE 0038 0 612 1037 1 3 12 0 6
BURKE 0039 0 595 652 1 2 16 0 3
BURKE 0040 0 432 889 2 2 12 0 0
BURKE 0047-A 0 722 852 1 7 8 0 5
BURKE 0047-B 0 350 676 1 2 3 0 0
BURKE 0048 0 632 991 3 2 10 0 3
BURKE 0051 0 814 1733 5 1 14 0 1
BURKE 0052 0 277 703 0 2 6 0 2
BURKE 0053 0 316 1260 1 0 17 0 1
BURKE 0062 0 158 481 1 2 4 0 3
BURKE 0064 0 153 462 1 1 3 0 2
BURKE 0065 0 161 665 0 0 8 0 0
BURKE 0066 0 401 1128 1 2 10 0 2
BURKE 0070 0 535 1400 1 1 9 0 5
CABARRUS 01-02 0 114 431 1 0 6 0 3
CABARRUS 01-04 0 220 321 0 3 15 0 2
CABARRUS 01-07 0 69 232 0 1 3 0 3
CABARRUS 01-08 0 198 333 0 2 21 0 3
CABARRUS 01-10 0 123 294 0 2 5 0 2
CABARRUS 01-11 0 129 297 0 3 11 0 3
CABARRUS 02-01 0 98 259 1 0 6 0 1
CABARRUS 02-02 0 201 356 0 2 10 1 2
CABARRUS 02-03 0 225 461 0 4 18 0 2
CABARRUS 02-05 0 163 291 2 2 2 0 3
CABARRUS 02-06 0 215 232 2 2 10 0 2
CABARRUS 02-07 0 125 268 1 2 1 0 2
CABARRUS 02-08 0 270 502 0 2 12 0 9
CABARRUS 02-09 0 268 373 1 2 9 0 5
CABARRUS 03-00 0 188 469 5 2 8 0 0
CABARRUS 04-01 0 176 162 1 1 5 0 3
CABARRUS 04-03 0 178 251 1 4 6 0 0
CABARRUS 04-08 0 85 199 1 2 1 0 0
CABARRUS 04-09 0 139 266 0 2 10 0 1
CABARRUS 04-11 0 165 236 1 3 9 0 0
CABARRUS 04-12 0 302 342 1 3 9 0 6
CABARRUS 04-13 0 199 455 2 2 12 0 2
CABARRUS 05-00 0 77 326 0 2 4 0 0
CABARRUS 06-00 0 55 589 0 0 2 0 1
CABARRUS 07-00 0 34 310 0 0 3 0 1
CABARRUS 08-00 0 83 494 0 1 12 0 0
CABARRUS 09-00 0 67 523 1 0 2 0 0
CABARRUS 10-00 0 156 845 4 2 13 1 3
CABARRUS 11-01 0 334 382 2 5 14 0 2
CABARRUS 11-02 0 109 353 2 1 8 0 2
CABARRUS 12-03 0 100 196 0 2 5 0 2
CABARRUS 12-04 0 140 212 2 2 7 0 3
CABARRUS 12-05 0 106 239 0 1 7 0 6
CABARRUS 12-08 0 103 147 0 1 2 0 5
CABARRUS 12-09 0 117 308 0 1 7 0 2
CABARRUS 12-11 0 114 164 1 2 6 0 1
CABARRUS 12-12 0 126 247 0 0 6 0 4
CABARRUS 12-13 0 366 155 0 1 9 1 1
CABARRUS 12-14 0 178 309 3 1 8 0 1
CABARRUS ABSENTEE 0 14166 7184 30 84 212 0 94
CABARRUS "OS CAE" 0 7214 15569 22 26 161 0 32
CABARRUS "OS HAR" 0 9576 8922 23 26 161 0 57
CABARRUS "OS KTD" 0 5810 7831 8 22 99 1 24
CABARRUS "OS NTP" 0 9106 10675 24 25 151 1 35
CABARRUS PROVISIONAL 0 175 227 2 2 8 0 0
CABARRUS TRANSFER 0 0 0 0 0 0 0 0
CALDWELL ABSENTEE 0 2497 2311 11 17 37 0 12
CALDWELL "OS GRANITE REC" 0 2185 11425 15 10 79 0 23
CALDWELL "OS RESOURCE CENTER" 0 4270 12834 19 24 92 0 23
CALDWELL PR01 0 101 312 0 0 1 0 0
CALDWELL PR02 0 48 224 0 0 2 0 3
CALDWELL PR07 0 44 355 1 1 2 0 1
CALDWELL PR08 0 51 236 0 0 1 0 1
CALDWELL PR13 0 49 422 0 0 2 0 0
CALDWELL PR14 0 50 228 1 0 4 0 0
CALDWELL PR16 0 62 75 0 0 1 0 0
CALDWELL PR17 0 60 134 0 0 2 0 0
CALDWELL PR18 0 51 267 1 2 5 0 2
CALDWELL PR21 0 59 380 1 0 5 0 0
CALDWELL PR22 0 65 361 1 0 3 0 0
CALDWELL PR24 0 35 158 0 1 3 0 3
CALDWELL PR25 0 29 179 0 0 3 0 2
CALDWELL PR29 0 88 216 0 0 2 0 1
CALDWELL PR30 0 113 189 0 1 4 0 2
CALDWELL PR31 0 60 106 0 0 0 0 0
CALDWELL PR32 0 66 423 0 2 5 0 1
CALDWELL PR33 0 90 482 2 1 12 0 3
CALDWELL PR34 0 98 441 0 0 4 0 2
CALDWELL PR35 0 40 249 0 1 3 0 0
CALDWELL PROVISIONAL 0 34 112 0 0 1 0 1
CALDWELL TRANSFER 0 0 0 0 0 0 0 0
CAMDEN ABSENTEE 0 272 254 0 0 9 0 3
CAMDEN CH 0 62 283 0 0 10 0 2
CAMDEN "ONE STOP" 0 1057 2870 3 7 42 0 5
CAMDEN PROVISIONAL 0 3 15 0 0 0 0 1
CAMDEN SH 0 53 334 0 0 5 0 1
CAMDEN SM 0 90 556 2 1 10 0 3
CAMDEN TRANSFER 0 0 0 0 0 0 0 0
CARTERET ABCH 0 292 898 2 3 4 0 0
CARTERET ASCI 0 127 493 0 0 1 0 0
CARTERET BCRK 0 320 1198 3 3 9 0 4
CARTERET BFT1 0 695 529 1 3 8 0 1
CARTERET BFT2 0 1121 1751 8 3 15 0 3
CARTERET BOGU 0 510 1889 5 6 19 0 2
CARTERET CCCP 0 609 2061 1 3 26 0 5
CARTERET DASW 0 91 425 0 1 4 0 2
CARTERET EMIS 0 1038 2147 3 4 17 0 6
CARTERET HAIS 0 151 649 1 0 5 0 2
CARTERET ISPK 0 517 925 3 2 9 0 3
CARTERET MASM 0 159 347 0 1 4 0 2
CARTERET MCRK 0 66 379 0 1 5 0 0
CARTERET MERR 0 132 285 0 0 0 0 1
CARTERET MHD1 0 630 1275 2 2 20 0 2
CARTERET MHD2 0 793 1327 3 4 28 0 6
CARTERET MHD3 0 810 1842 4 8 22 0 9
CARTERET MHD4 0 664 1676 2 1 19 0 3
CARTERET NPT1 0 659 1913 9 5 28 0 8
CARTERET NPT2 0 444 1774 6 1 34 0 7
CARTERET NRIV 0 295 235 0 1 0 0 0
CARTERET OTBEG 0 340 1177 2 3 11 0 3
CARTERET PELE 0 257 842 0 0 11 0 4
CARTERET STEL 0 249 1027 1 5 24 0 6
CARTERET WIHA 0 387 1092 0 0 9 0 0
CARTERET WILD 0 737 1872 1 4 41 0 1
CASWELL ANDE 0 177 517 2 1 2 0 0
CASWELL LEAS 0 240 283 0 1 6 0 1
CASWELL LOCU 0 841 716 0 2 6 0 0
CASWELL MILT 0 870 680 1 0 8 0 1
CASWELL PELH 0 659 1573 1 2 10 0 0
CASWELL PH 0 503 947 1 3 9 0 1
CASWELL PROVI 0 221 432 0 1 4 0 0
CASWELL STON 0 527 1215 2 4 6 0 2
CASWELL YANC 0 822 726 1 5 13 0 6
CATAWBA 01 0 434 2385 3 3 13 0 1
CATAWBA 02 0 325 1485 1 2 7 0 2
CATAWBA 03 0 423 1427 4 3 7 0 3
CATAWBA 04 0 308 322 2 1 8 0 0
CATAWBA 05 0 605 1878 3 6 16 0 4
CATAWBA 06 0 537 1418 2 3 9 0 2
CATAWBA 07 0 824 1376 5 10 18 0 6
CATAWBA 08 0 632 1484 1 5 11 0 5
CATAWBA 09 0 313 1694 3 5 6 0 2
CATAWBA 10 0 239 175 0 2 5 0 2
CATAWBA 11 0 370 371 0 4 4 0 2
CATAWBA 12 0 763 254 3 2 9 0 2
CATAWBA 13 0 599 455 4 2 10 0 4
CATAWBA 14 0 612 685 4 3 14 0 5
CATAWBA 15 0 391 33 1 1 4 0 0
CATAWBA 16 0 808 1090 6 5 20 0 5
CATAWBA 17 0 451 741 0 6 17 0 1
CATAWBA 19 0 306 563 1 2 7 0 2
CATAWBA 20 0 596 1963 3 12 19 0 4
CATAWBA 21 0 290 1175 3 2 13 0 2
CATAWBA 22 0 701 1937 4 7 18 0 5
CATAWBA 23 0 998 2414 8 8 27 0 6
CATAWBA 24 0 840 2424 5 9 23 0 3
CATAWBA 25 0 572 925 5 3 15 0 2
CATAWBA 26 0 695 842 1 4 13 0 6
CATAWBA 27 0 607 2446 3 4 27 0 5
CATAWBA 28 0 738 1551 6 7 24 0 4
CATAWBA 29 0 933 2640 4 5 23 0 5
CATAWBA 30 0 1082 1741 3 8 24 0 8
CATAWBA 31 0 968 3015 5 2 38 0 14
CATAWBA 32 0 828 1426 3 4 28 0 10
CATAWBA 33 0 845 2485 8 5 21 0 5
CATAWBA 34 0 909 2482 7 11 25 0 9
CATAWBA 35 0 745 1394 5 6 19 0 7
CATAWBA 36 0 793 1120 5 5 16 0 6
CATAWBA 37 0 899 1074 3 10 24 0 4
CATAWBA 38 0 869 1522 3 7 21 0 5
CATAWBA 39 0 696 1310 1 2 18 0 8
CATAWBA 40 0 467 708 1 5 12 0 2
CATAWBA 41 0 678 2158 1 3 19 0 4
CHATHAM 15 0 1275 715 4 5 9 0 4
CHATHAM 18 0 651 1242 4 5 22 0 2
CHATHAM 20 0 634 969 2 2 17 0 4
CHATHAM 21 0 660 713 1 1 13 0 2
CHATHAM 24 0 61 591 1 0 2 0 0
CHATHAM 3 0 389 1058 2 2 6 0 5
CHATHAM 30 0 641 845 1 6 10 0 5
CHATHAM 42 0 810 1016 2 6 17 0 5
CHATHAM 45 0 321 516 0 3 11 0 0
CHATHAM 6 0 97 564 2 0 0 0 0
CHATHAM 75 0 2335 1852 4 3 17 0 10
CHATHAM 78 0 3046 1562 5 5 36 0 10
CHATHAM 85 0 960 1087 2 6 8 0 3
CHATHAM 9 0 332 867 2 2 8 0 0
CHATHAM ESC114 0 1622 1415 6 3 14 0 4
CHATHAM MCH110 0 5558 2078 8 14 81 0 24
CHATHAM NWM117 0 3666 1572 11 7 36 0 16
