"COUNTY" "AREA" "TOTAL" DEM REP "Castle" "Johnson" "Stein" "Moorehead" "De.La.Fuente" "WRI1" "WRI2" "WRI3" "WRI4" "WRI5" "WRI6" "WRI7" "WRI8" "WRI9" "SCATTERING"
BARRON "TOWN OF CRYSTAL LAKE Ward 1" 411 137 266 2 2 0 1 0 0 3 0 0 0 0 0 0 0 0
BARRON "TOWN OF CUMBERLAND Ward 1" 464 166 269 2 22 0 0 0 0 0 0 0 0 0 0 0 0 5
BARRON "TOWN OF DALLAS Ward 1" 288 78 191 3 15 0 0 0 0 1 0 0 0 0 0 0 0 0
BARRON "TOWN OF DOVRE Ward 1" 387 138 231 2 11 2 0 0 0 2 0 0 0 0 0 0 0 1
BARRON "TOWN OF DOYLE Ward 1-2" 288 67 210 2 8 1 0 0 0 0 0 0 0 0 0 0 0 0
BARRON "TOWN OF LAKELAND Ward 1-2" 563 201 341 1 15 3 0 1 0 1 0 0 0 0 0 0 0 0
BARRON "TOWN OF MAPLE GROVE Ward 1-2" 485 110 342 4 23 2 1 0 0 0 0 0 0 0 0 0 0 3
BARRON "TOWN OF MAPLE PLAIN Ward 1" 480 207 257 1 9 4 0 0 0 1 0 0 0 0 0 0 0 1
BARRON "TOWN OF OAK GROVE Ward 1-2" 491 177 298 1 11 1 0 0 0 1 0 0 0 0 0 0 0 2
BARRON "TOWN OF PRAIRIE FARM Wards 1-2" 278 92 169 3 9 4 0 0 0 0 0 0 0 0 0 0 0 1
BARRON "TOWN OF PRAIRIE LAKE Ward 1-2" 855 261 555 5 25 5 0 0 0 4 0 0 0 0 0 0 0 0
BARRON "TOWN OF RICE LAKE Wards 1-4" 1595 580 947 3 32 12 0 1 0 7 0 0 0 1 0 0 0 12
BARRON "TOWN OF SIOUX CREEK Ward 1" 294 94 184 3 11 0 0 0 0 2 0 0 0 0 0 0 0 0
BARRON "TOWN OF STANFOLD Ward 1" 381 122 243 7 7 1 0 0 0 0 0 0 0 0 0 0 0 1
BARRON "TOWN OF STANLEY Ward 1-4" 1315 407 834 7 40 13 0 1 0 5 0 0 1 0 0 0 0 7
BARRON "TOWN OF SUMNER Ward 1" 393 128 249 0 10 2 0 0 0 2 0 0 0 0 0 0 0 2
BARRON "TOWN OF TURTLE LAKE Ward 1" 296 89 195 2 8 1 1 0 0 0 0 0 0 0 0 0 0 0
BARRON "TOWN OF VANCE CREEK Ward 1" 343 113 210 4 12 2 2 0 0 0 0 0 0 0 0 0 0 0
BARRON "VILLAGE OF ALMENA Ward 1" 303 74 209 1 11 6 1 1 0 0 0 0 0 0 0 0 0 0
BARRON "VILLAGE OF CAMERON Wards 1-3" 792 245 504 3 25 6 0 0 0 1 0 0 0 0 0 0 0 8
BARRON "VILLAGE OF DALLAS Ward 1" 180 60 113 1 5 0 0 1 0 0 0 0 0 0 0 0 0 0
BARRON "VILLAGE OF HAUGEN Ward 1" 159 65 85 3 2 1 0 0 0 2 0 0 0 0 0 0 0 1
BARRON "VILLAGE OF NEW AUBURN Ward 2" 10 2 5 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
BARRON "VILLAGE OF NEW AUBURN Ward 3" 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BARRON "VILLAGE OF PRAIRIE FARM Ward 1" 192 60 122 1 7 2 0 0 0 0 0 0 0 0 0 0 0 0
BARRON "VILLAGE OF TURTLE LAKE Ward 1" 376 129 220 1 17 6 1 0 1 0 0 0 0 0 0 0 0 1
BARRON "CITY OF BARRON Ward 1-7" 1362 511 759 10 46 15 3 2 0 4 0 0 0 0 0 0 0 12
BARRON "CITY OF CHETEK Wards 1-4" 1019 381 582 7 36 6 1 0 0 4 0 0 2 0 0 0 0 0
BARRON "CITY OF CUMBERLAND Ward 1-4" 1118 459 597 3 39 8 1 1 0 3 0 0 0 0 0 0 0 7
BARRON "CITY OF RICE LAKE Wards 1-13" 3892 1554 2116 20 148 43 3 1 0 7 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF BARKSDALE Ward 1" 482 233 220 4 8 7 0 0 0 1 0 0 0 0 0 0 0 9
BAYFIELD "TOWN OF BARNES Ward 1" 574 254 293 1 11 5 0 1 0 3 0 0 0 0 0 0 0 6
BAYFIELD "TOWN OF BAYFIELD Ward 1" 498 327 146 0 6 15 0 0 0 2 0 0 0 0 0 0 0 2
BAYFIELD "TOWN OF BAYVIEW Ward 1" 336 181 141 0 7 1 0 0 0 3 0 0 0 0 0 0 0 3
BAYFIELD "TOWN OF BELL Ward 1" 233 136 83 0 7 6 0 0 0 0 0 0 0 0 0 0 0 1
BAYFIELD "TOWN OF CABLE Ward 1" 516 193 299 2 16 2 0 0 0 1 0 0 0 0 0 0 0 3
BAYFIELD "TOWN OF CLOVER Ward 1" 176 86 76 0 6 5 0 0 0 1 0 0 0 0 0 0 0 2
BAYFIELD "TOWN OF DELTA Ward 1" 208 84 113 0 6 2 0 0 0 0 0 0 0 0 0 0 0 3
BAYFIELD "TOWN OF DRUMMOND Ward 1" 335 153 169 0 4 4 1 0 0 2 0 0 0 0 0 0 0 2
BAYFIELD "TOWN OF EILEEN Ward 1-2" 417 178 220 0 11 5 0 0 0 0 0 0 0 0 0 0 0 3
BAYFIELD "TOWN OF GRAND VIEW Ward 1" 296 131 147 0 6 6 0 1 0 1 0 0 0 0 0 0 0 4
BAYFIELD "TOWN OF HUGHES Ward 1" 301 130 163 0 3 2 1 0 0 0 0 0 0 0 0 0 0 2
BAYFIELD "TOWN OF IRON RIVER Ward 1-2" 736 322 384 2 15 8 0 0 0 1 0 0 0 0 0 0 0 4
BAYFIELD "TOWN OF KELLY Ward 1" 259 97 146 1 4 4 0 0 0 1 4 0 1 0 0 0 0 1
BAYFIELD "TOWN OF KEYSTONE Ward 1" 197 83 104 2 5 1 0 1 0 0 0 0 0 0 0 0 0 1
BAYFIELD "TOWN OF LINCOLN Ward 1" 182 65 103 2 3 6 0 1 0 1 0 0 0 0 0 0 0 1
BAYFIELD "TOWN OF MASON Ward 1" 166 74 88 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1
BAYFIELD "TOWN OF NAMAKAGON Ward 1" 238 100 133 0 2 1 0 0 0 0 0 0 0 0 0 0 0 2
BAYFIELD "TOWN OF ORIENTA Ward 1" 90 39 46 0 1 4 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF OULU Ward 1" 335 147 166 3 10 9 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF PILSEN Ward 1" 139 74 59 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF PORT WING Ward 1" 262 146 109 0 4 1 0 0 0 0 0 0 0 0 0 0 0 2
BAYFIELD "TOWN OF RUSSELL Ward 1-2" 548 405 89 1 4 28 0 1 0 1 0 0 0 0 0 0 0 19
BAYFIELD "TOWN OF TRIPP Ward 1" 140 54 78 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF WASHBURN Ward 1" 346 196 130 0 7 8 0 0 0 3 0 0 0 0 0 0 0 2
BAYFIELD "VILLAGE OF MASON Ward 1" 41 20 18 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "CITY OF ASHLAND Ward 12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "CITY OF BAYFIELD Ward 1-4" 347 253 73 0 8 12 0 0 0 0 0 0 0 0 0 0 0 1
BAYFIELD "CITY OF WASHBURN Ward 1-4" 1214 792 328 3 31 39 2 1 0 7 0 0 0 0 0 0 0 11
BROWN "TOWN OF EATON Wards 1-2" 927 291 591 5 24 9 0 0 0 1 0 0 0 0 0 0 0 6
BROWN "TOWN OF GLENMORE Wards 1-2" 594 167 391 4 22 3 0 1 0 1 0 0 0 0 0 0 0 5
BROWN "TOWN OF GREEN BAY Wards 1-3" 1215 363 800 8 26 10 1 0 0 4 0 0 0 0 0 0 0 3
BROWN "TOWN OF HOLLAND Wards 1-2" 895 273 570 1 37 4 0 2 0 4 0 0 0 0 0 0 0 4
BROWN "TOWN OF HUMBOLDT Wards 1-2" 748 222 488 2 22 5 0 2 0 3 0 0 0 0 0 0 0 4
BROWN "TOWN OF LAWRENCE Wards 1-3" 1408 483 842 6 44 10 0 0 0 8 0 0 0 0 0 0 0 15
BROWN "TOWN OF LAWRENCE Wards 4-6" 1665 507 1064 4 63 11 0 0 0 4 0 0 0 0 0 0 0 12
BROWN "TOWN OF LEDGEVIEW Wards 1-3,8-10" 2318 851 1315 6 100 14 2 1 0 7 0 0 0 0 0 0 0 22
BROWN "TOWN OF LEDGEVIEW Wards 4-7" 2014 729 1154 4 87 19 0 1 0 4 0 0 0 0 0 0 0 16
BROWN "TOWN OF MORRISON Wards 1-2" 879 173 653 4 39 6 2 0 0 0 0 0 0 0 0 0 0 2
BROWN "TOWN OF NEW DENMARK Wards 1-3" 940 294 598 4 30 9 0 0 0 3 0 0 0 0 0 0 0 2
BROWN "TOWN OF PITTSFIELD Wards 1-3" 1647 480 1079 3 64 10 1 0 0 5 0 0 0 0 0 0 0 5
BROWN "TOWN OF ROCKLAND Wards 1-3" 1095 338 692 10 37 7 0 0 0 4 2 0 0 0 0 0 0 5
BROWN "TOWN OF SCOTT Wards 1-4" 2274 868 1294 8 58 18 1 2 0 0 0 0 0 0 0 0 0 25
BROWN "TOWN OF WRIGHTSTOWN Wards 1-3" 1251 365 820 4 39 9 0 0 0 4 1 0 0 0 0 0 0 9
BROWN "VILLAGE OF ALLOUEZ Ward 1-2" 2053 1010 856 11 106 35 0 1 0 12 0 0 0 0 0 0 0 22
BROWN "VILLAGE OF ALLOUEZ Ward 3-4" 1793 852 847 4 55 9 0 2 0 3 0 0 1 0 0 0 0 20
BROWN "VILLAGE OF ALLOUEZ Ward 5-6" 2278 988 1135 6 85 11 2 2 0 17 0 0 0 0 0 0 0 32
BROWN "VILLAGE OF ALLOUEZ Ward 7-9" 1849 801 926 3 64 19 2 2 0 13 0 0 0 0 0 0 0 19
BROWN "VILLAGE OF ALLOUEZ Ward 10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BROWN "VILLAGE OF ASHWAUBENON Wards 1-2" 1234 521 592 12 69 19 1 1 0 2 0 0 0 0 0 0 0 17
BROWN "VILLAGE OF ASHWAUBENON Wards 3-4" 1259 501 668 10 46 21 0 0 0 0 0 0 0 0 0 0 0 13
BROWN "VILLAGE OF ASHWAUBENON Wards 5-6" 1478 643 739 8 60 14 0 1 0 0 0 0 0 0 0 0 0 13
BROWN "VILLAGE OF ASHWAUBENON Wards 7-8" 1747 681 964 3 64 14 0 1 0 6 0 0 0 0 0 0 0 14
BROWN "VILLAGE OF ASHWAUBENON Wards 9-10" 1943 721 1106 5 74 16 0 0 0 5 0 0 0 0 0 0 0 16
BROWN "VILLAGE OF ASHWAUBENON Wards 11-12" 1648 735 804 3 63 16 0 1 0 7 0 0 0 0 0 0 0 19
BROWN "VILLAGE OF BELLEVUE Wards 1-6" 3727 1690 1816 15 137 36 1 1 0 2 0 0 0 0 0 0 0 29
BROWN "VILLAGE OF BELLEVUE Wards 7-10" 4261 1628 2406 15 145 27 1 0 0 0 3 0 0 0 0 0 0 36
BROWN "VILLAGE OF DENMARK Wards 1-3" 1068 361 646 1 38 11 0 2 0 4 0 0 0 0 0 0 0 5
BROWN "VILLAGE OF HOBART Wards 1-8" 4615 1701 2623 16 166 46 3 1 0 1 0 0 0 0 0 0 0 58
BROWN "VILLAGE OF HOBART Ward 9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BROWN "VILLAGE OF HOWARD Wards 1,12" 1108 399 640 5 38 11 1 1 0 2 0 0 0 0 0 0 0 11
BROWN "VILLAGE OF HOWARD Wards 2,8,11" 2487 944 1408 7 80 16 1 0 0 8 0 0 0 0 0 0 0 23
BROWN "VILLAGE OF HOWARD Wards 3-4,6" 1338 555 691 1 54 22 2 0 0 0 0 0 0 0 0 0 0 13
BROWN "VILLAGE OF HOWARD Ward 5" 380 129 230 0 15 2 0 0 0 0 0 0 0 0 0 0 0 4
BROWN "VILLAGE OF HOWARD Ward 7" 678 239 406 4 22 3 0 0 0 0 0 0 0 0 0 0 0 4
BROWN "VILLAGE OF HOWARD Wards 9-10,18" 1768 712 956 2 68 16 1 0 0 9 0 0 0 0 0 0 0 4
BROWN "VILLAGE OF HOWARD Wards 13-14" 1116 382 678 7 37 6 0 0 0 1 0 0 0 0 0 0 0 5
BROWN "VILLAGE OF HOWARD Wards 15-16" 1476 490 908 5 49 12 0 0 0 0 0 0 0 0 0 0 0 12
BROWN "VILLAGE OF PULASKI Wards 1-3,6" 1525 523 912 6 56 15 3 2 0 3 1 0 0 0 0 0 0 4
BROWN "VILLAGE OF SUAMICO Ward 1-4" 3352 959 2234 11 98 13 0 1 0 9 0 0 0 0 0 0 0 27
BROWN "VILLAGE OF SUAMICO Ward 5-8" 3980 1241 2515 10 161 19 1 0 0 8 2 0 0 0 0 0 0 23
BROWN "VILLAGE OF WRIGHTSTOWN Wards 1-3" 1374 448 836 5 61 12 1 1 0 6 0 0 0 0 0 0 0 4
BROWN "CITY OF DE PERE Wards 1-4" 3565 1650 1700 9 136 30 2 0 0 4 1 0 0 0 2 0 0 31
BROWN "CITY OF DE PERE Ward 5" 231 131 88 1 6 3 0 0 0 0 0 0 0 0 0 0 0 2
BROWN "CITY OF DE PERE Wards 6-8" 2511 1113 1189 13 120 36 1 2 0 8 0 0 0 0 0 0 0 29
BROWN "CITY OF DE PERE Wards 9,18" 645 285 312 1 25 9 0 0 0 5 0 0 0 0 0 0 0 8
BROWN "CITY OF DE PERE Wards 10-12" 3070 1348 1485 12 143 37 2 1 0 12 1 0 0 0 0 0 0 29
BROWN "CITY OF DE PERE Wards 13-15" 3220 1292 1712 12 136 22 0 8 0 11 0 0 0 0 0 0 0 27
BROWN "CITY OF DE PERE Wards 16-17" 7 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BROWN "CITY OF GREEN BAY Ward 1" 14 5 8 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
BROWN "CITY OF GREEN BAY Ward 2" 1226 511 641 3 45 8 0 0 0 4 0 0 0 0 0 0 0 14
BROWN "CITY OF GREEN BAY Ward 3" 1769 900 675 8 106 49 1 3 0 4 0 0 0 0 0 0 0 23
BROWN "CITY OF GREEN BAY Ward 4" 1857 760 963 8 77 18 0 2 0 1 0 0 0 0 0 0 0 28
BROWN "CITY OF GREEN BAY Ward 5" 746 311 390 4 28 2 0 0 0 2 0 0 0 0 0 0 0 9
BROWN "CITY OF GREEN BAY Ward 6" 1652 649 907 9 60 11 0 1 0 2 0 0 0 0 0 0 0 13
BROWN "CITY OF GREEN BAY Ward 7" 970 389 526 0 31 11 1 1 0 2 0 0 0 0 0 0 0 9
BROWN "CITY OF GREEN BAY Ward 8" 1600 711 811 2 42 12 0 0 0 5 0 0 0 0 0 0 0 17
BROWN "CITY OF GREEN BAY Ward 9" 638 319 258 3 35 11 1 0 0 3 0 0 0 0 0 0 0 8
BROWN "CITY OF GREEN BAY Ward 10" 692 355 297 3 23 6 0 2 0 3 0 0 0 0 0 0 0 3
BROWN "CITY OF GREEN BAY Ward 11" 711 295 359 3 40 7 0 1 0 3 0 0 0 0 0 0 0 3
BROWN "CITY OF GREEN BAY Ward 12" 613 307 269 3 22 8 0 0 0 1 0 0 0 0 0 0 0 3
BROWN "CITY OF GREEN BAY Ward 13" 724 428 218 1 38 28 2 1 0 0 0 0 0 0 0 0 0 8
BROWN "CITY OF GREEN BAY Ward 14" 728 372 303 3 37 7 0 0 0 0 0 0 0 0 0 0 0 6
BROWN "CITY OF GREEN BAY Ward 15" 1167 620 432 7 70 24 1 0 0 1 0 0 0 0 0 0 0 12
BROWN "CITY OF GREEN BAY Ward 16" 1002 606 304 7 39 31 0 1 0 3 0 0 0 0 0 0 0 11
BROWN "CITY OF GREEN BAY Ward 17" 883 537 302 5 22 11 0 0 0 1 2 0 0 0 0 0 0 3
BROWN "CITY OF GREEN BAY Ward 18" 862 447 361 3 32 7 0 1 0 3 0 0 0 0 0 0 0 8
BROWN "CITY OF GREEN BAY Ward 19" 679 356 269 2 37 10 0 0 0 0 0 0 0 0 0 0 0 5
BROWN "CITY OF GREEN BAY Ward 20" 753 416 281 2 33 8 1 0 0 2 0 0 0 0 0 0 0 10
BROWN "CITY OF GREEN BAY Ward 21" 652 403 207 2 26 9 0 1 0 0 0 0 0 0 0 0 0 4
BROWN "CITY OF GREEN BAY Ward 22" 359 193 134 0 20 6 1 0 0 1 0 0 0 0 0 0 0 4
BROWN "CITY OF GREEN BAY Ward 23" 688 360 269 3 35 13 0 2 0 0 0 0 0 0 0 0 0 6
BROWN "CITY OF GREEN BAY Ward 24" 870 486 328 5 34 8 2 0 0 0 0 0 0 0 0 0 0 7
BROWN "CITY OF GREEN BAY Ward 25" 796 369 347 8 46 13 1 0 0 1 0 0 0 0 0 0 0 11
BROWN "CITY OF GREEN BAY Ward 26" 753 453 222 4 42 23 0 0 0 1 0 0 0 0 2 0 0 6
BROWN "CITY OF GREEN BAY Ward 27" 300 200 77 0 4 10 0 0 0 0 1 0 0 0 0 0 0 8
BROWN "CITY OF GREEN BAY Ward 28" 839 478 283 5 32 25 1 1 0 0 0 0 0 0 0 0 0 14
BROWN "CITY OF GREEN BAY Ward 29" 1128 515 508 6 59 22 1 2 0 2 0 0 0 0 0 0 0 13
BROWN "CITY OF GREEN BAY Ward 30" 980 590 311 5 40 18 4 0 0 0 0 0 0 0 0 0 0 12
BROWN "CITY OF GREEN BAY Ward 31" 1048 497 465 4 51 15 0 2 0 4 0 0 0 0 0 0 0 10
BROWN "CITY OF GREEN BAY Ward 32" 942 469 400 3 43 14 0 0 0 1 0 0 0 0 0 0 0 12
BROWN "CITY OF GREEN BAY Ward 33" 623 300 275 4 31 6 1 1 0 1 0 0 0 0 0 0 0 4
BROWN "CITY OF GREEN BAY Ward 34" 1236 552 598 2 58 13 0 0 0 1 0 0 0 0 0 0 0 12
BROWN "CITY OF GREEN BAY Ward 35" 826 359 421 2 28 10 0 1 0 1 0 0 0 0 0 0 0 4
BROWN "CITY OF GREEN BAY Ward 36" 505 257 208 2 15 13 1 0 0 1 0 0 0 0 0 0 0 8
BROWN "CITY OF GREEN BAY Ward 37" 861 394 418 4 38 4 0 0 0 0 0 0 0 0 0 0 0 3
BROWN "CITY OF GREEN BAY Ward 38" 1083 526 486 5 35 25 1 0 0 1 0 0 0 0 0 0 0 4
BROWN "CITY OF GREEN BAY Ward 39" 1280 587 591 7 51 27 0 0 0 3 0 0 0 0 0 0 0 14
BROWN "CITY OF GREEN BAY Ward 40" 833 407 374 3 34 8 0 0 0 0 0 0 0 0 0 0 0 7
BROWN "CITY OF GREEN BAY Ward 41" 445 185 231 3 16 4 0 0 0 5 0 0 0 0 0 0 0 1
BROWN "CITY OF GREEN BAY Ward 42" 701 349 307 5 23 7 1 0 0 0 0 0 0 0 0 0 0 9
BROWN "CITY OF GREEN BAY Ward 43" 1200 527 608 5 31 16 0 0 0 3 0 0 0 0 0 0 0 10
BROWN "CITY OF GREEN BAY Ward 44" 1563 682 781 5 51 21 1 1 0 0 0 0 0 0 0 0 0 21
BROWN "CITY OF GREEN BAY Ward 45" 1770 675 1005 2 48 11 0 0 0 7 0 0 0 0 0 0 0 22
BROWN "CITY OF GREEN BAY Ward 46" 1294 627 576 6 50 18 0 1 0 4 0 0 0 0 0 0 0 12
BROWN "CITY OF GREEN BAY Ward 47" 1496 569 822 3 58 20 0 0 0 6 4 0 0 0 0 0 0 14
BUFFALO "TOWN OF ALMA Ward 1" 182 78 95 0 5 3 0 1 0 0 0 0 0 0 0 0 0 0
BUFFALO "TOWN OF BELVIDERE Ward 1" 254 94 149 1 6 1 0 0 0 0 0 0 0 0 0 0 0 3
BUFFALO "TOWN OF BUFFALO Ward 1" 397 150 224 3 9 6 0 1 0 1 0 0 0 0 0 0 0 3
BUFFALO "TOWN OF CANTON Ward 1" 141 53 80 0 3 4 1 0 0 0 0 0 0 0 0 0 0 0
BUFFALO "TOWN OF CROSS Ward 1" 202 58 132 0 7 4 0 0 0 0 0 0 0 0 0 0 0 1
BUFFALO "TOWN OF DOVER Ward 1" 221 84 128 2 3 2 0 0 0 1 0 0 0 0 0 0 0 1
BUFFALO "TOWN OF GILMANTON Ward 1" 203 62 128 0 10 3 0 0 0 0 0 0 0 0 0 0 0 0
BUFFALO "TOWN OF GLENCOE Ward 1" 232 64 165 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
BUFFALO "TOWN OF LINCOLN Ward 1" 124 40 78 0 5 0 0 0 0 0 0 0 0 0 0 0 0 1
