COUNTY AREA TOTAL DEM REP LIB OTH
"Alexandria City" "309 - Olympus Condo" 540 387 131 18 4
"Alexandria City" "Ab - Central Absentee Precinct" 65985 55940 8951 639 455
"Alexandria City" Provisional 436 327 97 5 7
"Alleghany County" "101 - Arritt" 612 68 542 0 2
"Alleghany County" "103 - Dameron" 242 27 212 2 1
"Alleghany County" "201 - Humpback Bridge" 336 45 286 3 2
"Alleghany County" "202 - Dolly Ann" 412 66 339 7 0
"Alleghany County" "301 - Callaghan" 379 28 348 3 0
"Alleghany County" "302 - Griffith" 537 95 439 3 0
"Alleghany County" "401 - Low Moor" 358 52 302 4 0
"Alleghany County" "402 - Jackson Heights" 408 63 341 4 0
"Alleghany County" "501 - Iron Gate" 230 62 164 3 1
"Alleghany County" "502 - Peters Switch" 714 124 583 6 1
"Alleghany County" "601 - District 1" 725 197 516 12 0
"Alleghany County" "701 - District 2" 522 166 337 18 1
"Alleghany County" "Ab - Central Absentee Precinct" 2728 1250 1450 24 4
"Alleghany County" Provisional 0 0 0 0 0
"Amelia County" "101 - Number One" 689 114 566 9 0
"Amelia County" "201 - Number Two" 702 135 555 12 0
"Amelia County" "301 - Number Three" 694 123 562 8 1
"Amelia County" "401 - Number Four" 550 90 455 5 0
"Amelia County" "501 - Number Five" 861 211 640 8 2
"Amelia County" "Ab - Central Absentee Precinct" 4360 1719 2595 37 9
"Amelia County" Provisional 37 19 17 1 0
"Amherst County" "101 - Wright Shop" 621 249 362 10 0
"Amherst County" "102 - New Glasgow" 711 123 580 8 0
"Amherst County" "103 - Coolwell" 472 73 378 17 4
"Amherst County" "201 - Court House" 881 213 645 20 3
"Amherst County" "202 - Temperance" 605 86 515 3 1
"Amherst County" "301 - Monroe" 525 89 426 8 2
"Amherst County" "302 - Elon" 1300 209 1073 16 2
"Amherst County" "303 - Pleasant View" 379 68 305 5 1
"Amherst County" "401 - Amelon" 1279 252 993 29 5
"Amherst County" "402 - Lonco" 370 68 294 8 0
"Amherst County" "501 - Madison" 1341 316 979 40 6
"Amherst County" "Ab - Central Absentee Precinct" 8461 3871 4487 86 17
"Amherst County" Provisional 60 55 4 1 0
"Appomattox County" "101 - Vera" 393 48 337 3 5
"Appomattox County" "102 - Pamplin" 643 122 511 7 3
"Appomattox County" "201 - Chap" 267 93 171 2 1
"Appomattox County" "202 - Spout Spring" 720 90 619 10 1
"Appomattox County" "301 - Us 460" 447 59 379 7 2
"Appomattox County" "302 - Stonewall" 583 75 503 3 2
"Appomattox County" "401 - Courthouse" 638 141 469 27 1
"Appomattox County" "501 - Oakville" 644 144 491 5 4
"Appomattox County" "502 - Agee" 305 78 220 7 0
"Appomattox County" "Ab - Central Absentee Precinct" 4617 1565 2995 47 10
"Appomattox County" Provisional 11 3 7 1 0
"Arlington County" "1 - Arlington" 562 372 181 9 0
"Arlington County" "2 - Ashton Heights" 441 265 152 17 7
"Arlington County" "3 - Aurora Hills" 175 86 69 15 5
"Arlington County" "4 - Ballston" 544 322 196 15 11
"Arlington County" "5 - Barcroft" 486 298 165 10 13
"Arlington County" "6 - Crystal City" 313 168 132 7 6
"Arlington County" "7 - Cherrydale" 489 269 204 11 5
"Arlington County" "8 - Hume" 543 328 191 14 10
"Arlington County" "9 - Columbia" 424 252 153 12 7
"Arlington County" "10 - Wilson" 505 282 202 10 11
"Arlington County" "11 - East Falls Church" 328 156 159 6 7
"Arlington County" "12 - Fairlington" 500 275 194 23 8
"Arlington County" "13 - Glen Carlyn" 438 247 179 8 4
"Arlington County" "14 - Clarendon" 334 190 124 13 7
"Arlington County" "15 - Lyon Park" 334 211 111 10 2
"Arlington County" "16 - Lyon Village" 422 249 147 10 16
"Arlington County" "17 - Overlee Knolls" 430 213 191 8 18
"Arlington County" "18 - Park Lane" 449 230 190 18 11
"Arlington County" "19 - Rosslyn" 429 233 172 16 8
"Arlington County" "20 - Thrifton" 313 148 143 14 8
"Arlington County" "21 - Virginia Highlands" 149 78 62 4 5
"Arlington County" "22 - Abingdon" 512 289 192 19 12
"Arlington County" "23 - Westover" 512 303 192 10 7
"Arlington County" "24 - Woodlawn" 446 254 172 13 7
"Arlington County" "25 - Arlington Forest" 452 282 152 11 7
"Arlington County" "26 - Fillmore" 534 327 183 19 5
"Arlington County" "27 - Jefferson" 449 272 158 13 6
"Arlington County" "28 - Wakefield" 627 403 193 22 9
"Arlington County" "29 - Dominion Hills" 405 233 148 19 5
"Arlington County" "30 - Glebe" 552 404 136 10 2
"Arlington County" "31 - Lexington" 428 256 154 11 7
"Arlington County" "32 - Oakridge" 210 102 96 7 5
"Arlington County" "33 - Rock Spring" 415 184 207 15 9
"Arlington County" "34 - Yorktown" 341 152 172 10 7
"Arlington County" "35 - Madison" 309 114 176 9 10
"Arlington County" "36 - Marshall" 440 241 168 21 10
"Arlington County" "37 - Nottingham" 380 179 178 16 7
"Arlington County" "38 - Arlington View" 485 334 131 12 8
"Arlington County" "39 - Ashlawn" 304 161 131 8 4
"Arlington County" "40 - Virginia Square" 552 301 219 21 11
"Arlington County" "41 - Navy League" 264 132 111 11 10
"Arlington County" "42 - Shirlington" 405 261 126 12 6
"Arlington County" "43 - Campbell" 601 453 145 1 2
"Arlington County" "44 - Dawson Terrace" 356 207 127 12 10
"Arlington County" "45 - Buckingham" 445 289 142 9 5
"Arlington County" "46 - Central" 520 298 194 20 8
"Arlington County" "47 - Four Mile Run" 395 272 111 6 6
"Arlington County" "48 - Ausa" 231 112 101 11 7
"Arlington County" "49 - Monroe" 359 229 110 13 7
"Arlington County" "50 - Crystal Plaza" 460 262 183 10 5
"Arlington County" "51 - Taylor" 200 119 73 4 4
"Arlington County" "52 - Gunston" 422 270 131 15 6
"Arlington County" "53 - Met Park" 601 368 204 13 16
"Arlington County" "54 - Garfield Park" 230 146 73 9 2
"Arlington County" "Ab - Central Absentee Precinct" 107822 91963 13899 1168 792
"Arlington County" Provisional 427 300 113 6 8
"Augusta County" "101 - Jolivue" 523 97 417 6 3
"Augusta County" "102 - Stuarts Draft Elementary" 811 169 625 14 3
"Augusta County" "103 - Verona" 674 99 553 19 3
"Augusta County" "201 - Crimora" 1209 149 1046 13 1
"Augusta County" "202 - New Hope" 823 107 706 8 2
"Augusta County" "203 - Weyers Cave" 1169 208 936 21 4
"Augusta County" "301 - Fort Defiance" 1164 162 974 23 5
"Augusta County" "302 - North River" 541 67 463 7 4
"Augusta County" "303 - Mount Solon" 890 69 806 13 2
"Augusta County" "304 - Churchville Fire Station" 602 58 535 8 1
"Augusta County" "401 - Buffalo Gap" 712 73 626 12 1
"Augusta County" "402 - Churchville Elementary" 659 67 580 10 2
"Augusta County" "403 - Craigsville" 709 84 617 7 1
"Augusta County" "404 - Deerfield" 323 47 275 1 0
"Augusta County" "405 - Cedar Green" 616 90 510 13 3
"Augusta County" "501 - Greenville" 1052 110 921 17 4
"Augusta County" "502 - Middlebrook" 639 74 556 9 0
"Augusta County" "503 - Spottswood" 752 97 641 12 2
"Augusta County" "504 - White Hill" 1072 130 917 24 1
"Augusta County" "601 - Sherando" 946 116 816 13 1
"Augusta County" "602 - Ridgeview" 1352 184 1139 22 7
"Augusta County" "603 - Lyndhurst" 986 158 810 14 4
"Augusta County" "801 - Dooms" 839 112 711 14 2
"Augusta County" "802 - Fishersville" 1062 169 865 24 4
"Augusta County" "803 - Wilson" 934 215 696 22 1
"Augusta County" "Ab - Central Absentee Precinct" 21051 7874 12866 256 55
"Augusta County" Provisional 168 55 107 6 0
"Bath County" "101 - Warm Springs" 263 45 216 1 1
"Bath County" "102 - Mountain Grove" 67 10 57 0 0
"Bath County" "201 - Hot Springs" 238 64 172 2 0
"Bath County" "301 - Fairview" 300 26 271 2 1
"Bath County" "302 - Burnsville" 94 5 88 1 0
"Bath County" "401 - Millboro" 424 70 351 3 0
"Bath County" "501 - Healing Springs" 348 68 276 3 1
"Bath County" "Ab - Central Absentee Precinct" 763 358 399 4 2
"Bath County" Provisional 4 0 4 0 0
"Bedford County" "101 - Goodview Elem School" 1241 147 1070 20 4
"Bedford County" "102 - Hardy Vol Fire Co" 653 116 529 8 0
"Bedford County" "103 - Chamblissburg Baptist Church" 910 96 797 16 1
"Bedford County" "104 - Stewartsville Rescue Squad" 831 121 696 13 1
"Bedford County" "201 - Bedford Christian Church" 385 56 317 11 1
"Bedford County" "202 - Staunton River High School" 646 86 550 10 0
"Bedford County" "203 - Moneta Elem School" 1042 139 885 15 3
"Bedford County" "204 - Quaker Baptist Church" 426 64 357 2 3
"Bedford County" "205 - Saunders Vol Fire Co" 913 125 778 7 3
"Bedford County" "301 - New London Academy" 864 99 743 18 4
"Bedford County" "302 - Bedford Regional Water Auth" 504 59 436 6 3
"Bedford County" "303 - Bethesda United Methodist Church" 553 59 489 5 0
"Bedford County" "304 - Riverside Church" 468 55 392 15 6
"Bedford County" "305 - Huddleston Elem School" 491 61 426 4 0
"Bedford County" "306 - Forest Fire Station #2" 524 48 468 7 1
"Bedford County" "401 - Forest Elementary School" 1054 150 879 21 4
"Bedford County" "402 - Thomas Jefferson Elem School" 613 112 472 21 8
"Bedford County" "403 - Knights Of Columbus Bldg" 1274 205 1034 25 10
"Bedford County" "404 - Forest Recreation Center" 934 109 811 8 6
"Bedford County" "502 - Big Island Elem School" 385 48 330 6 1
"Bedford County" "503 - Sedalia Center" 456 46 402 7 1
"Bedford County" "504 - Suck Springs Baptist Church" 591 54 523 9 5
"Bedford County" "505 - Boonsboro Elementary School" 1096 245 821 23 7
"Bedford County" "506 - Boonsboro Ruritan Club" 1546 230 1275 31 10
"Bedford County" "601 - Montvale Elem School" 871 124 739 4 4
"Bedford County" "602 - Shady Grove Fire Department" 1006 101 889 15 1
"Bedford County" "603 - Thaxton Baptist Church #1" 226 17 205 4 0
"Bedford County" "604 - Bedford Welcome Center" 838 146 672 20 0
"Bedford County" "701 - Goode Vol Rescue Squad" 1019 109 895 12 3
"Bedford County" "702 - Liberty High School" 469 56 408 2 3
"Bedford County" "703 - Thaxton Baptist Church #2" 451 51 394 4 2
"Bedford County" "704 - Bedford Central Library" 825 212 586 24 3
"Bedford County" "Ab - Central Absentee Precinct" 13123 4624 8314 151 34
"Bedford County" "Ab - Central Absentee Precinct" 11180 4081 6894 152 53
"Bedford County" Provisional 132 66 61 5 0
"Bedford County" Provisional 129 59 63 7 0
"Bland County" "101 - Bastian" 266 30 232 3 1
"Bland County" "102 - Ceres" 309 34 270 5 0
"Bland County" "201 - Davis" 111 15 96 0 0
"Bland County" "202 - Seddon" 431 41 382 8 0
"Bland County" "301 - Hollybrook" 336 25 305 4 2
"Bland County" "302 - Mechanicsburg" 161 18 143 0 0
"Bland County" "401 - Rocky Gap" 554 55 497 2 0
"Bland County" "Ab - Central Absentee Precinct" 1308 313 976 18 1
"Bland County" Provisional 3 1 2 0 0
"Botetourt County" "101 - Daleville" 901 183 697 18 3
"Botetourt County" "102 - Greenfield" 989 123 843 15 8
"Botetourt County" "201 - Blue Ridge" 1116 173 921 22 0
"Botetourt County" "202 - Rainbow Forest" 1060 185 860 15 0
"Botetourt County" "301 - Buchanan" 1087 172 898 14 3
"Botetourt County" "302 - Mill Creek" 969 158 794 16 1
"Botetourt County" "403 - Eagle Rock" 800 98 693 9 0
"Botetourt County" "406 - Fincastle" 991 105 868 15 3
"Botetourt County" "501 - Troutville" 634 90 534 6 4
"Botetourt County" "502 - Cloverdale" 952 168 767 14 3
"Botetourt County" "Ab - Central Absentee Precinct" 11595 4231 7212 120 32
"Botetourt County" Provisional 26 14 12 0 0
"Bristol City" "1 - First Ward" 695 127 549 16 3
"Bristol City" "2 - Second Ward" 662 131 512 18 1
"Bristol City" "3 - Third Ward" 414 106 300 5 3
"Bristol City" "4 - Fourth Ward" 1287 190 1072 23 2
"Bristol City" "Ab - Central Absentee Precinct" 4719 1746 2898 63 12
"Bristol City" Provisional 29 13 16 0 0
"Brunswick County" "101 - Brodnax" 254 109 145 0 0
"Brunswick County" "102 - Rock Store" 353 106 246 1 0
"Brunswick County" "103 - Tillman" 442 132 308 2 0
"Brunswick County" "201 - Dromgoole" 144 65 76 3 0
"Brunswick County" "202 - Edgerton" 272 184 86 2 0
"Brunswick County" "203 - Fitzhugh" 317 190 125 2 0
"Brunswick County" "301 - Alberta" 111 51 58 2 0
"Brunswick County" "302 - Danieltown" 399 127 269 2 1
"Brunswick County" "303 - Elmore" 195 75 120 0 0
"Brunswick County" "304 - Seymour" 235 93 140 2 0
"Brunswick County" "401 - Sturgeon" 482 239 239 3 1
"Brunswick County" "402 - King's Store" 186 116 69 1 0
"Brunswick County" "501 - Totaro" 367 258 107 2 0
"Brunswick County" "Ab - Central Absentee Precinct" 4190 2807 1368 12 3
"Brunswick County" Provisional 1 0 1 0 0
"Buchanan County" "102 - Blackey" 378 32 345 1 0
"Buchanan County" "103 - Hurley" 794 56 736 1 1
"Buchanan County" "201 - Grassy" 124 27 95 1 1
"Buchanan County" "202 - Bull" 405 37 367 1 0
"Buchanan County" "203 - Rocklick" 486 47 435 4 0
"Buchanan County" "301 - Slate" 532 51 480 1 0
"Buchanan County" "302 - North Grundy" 399 35 359 4 1
"Buchanan County" "403 - South Grundy" 538 57 470 9 2
"Buchanan County" "404 - Oakwood" 57 10 47 0 0
"Buchanan County" "501 - Prater" 458 60 397 0 1
"Buchanan County" "502 - Fox" 158 47 110 1 0
"Buchanan County" "503 - Vansant" 396 57 338 0 1
"Buchanan County" "601 - Council" 345 43 302 0 0
"Buchanan County" "602 - Garden" 462 59 400 2 1
"Buchanan County" "603 - Hurricane" 314 76 236 2 0
"Buchanan County" "701 - Whitewood" 574 74 494 6 0
"Buchanan County" "702 - Contrary" 418 47 370 1 0
"Buchanan County" "Ab - Central Absentee Precinct" 3087 768 2306 10 3
"Buchanan County" Provisional 28 4 24 0 0
"Buckingham County" "101 - New Canton" 632 220 405 7 0
"Buckingham County" "102 - Georgia Creek" 206 48 156 1 1
"Buckingham County" "201 - White Hall" 286 104 180 2 0
"Buckingham County" "301 - Curdsville" 452 120 326 5 1
"Buckingham County" "302 - New Store" 350 73 272 4 1
"Buckingham County" "401 - Maysville" 501 135 355 10 1
"Buckingham County" "501 - Wrights" 309 73 230 5 1
"Buckingham County" "502 - Glenmore" 391 99 282 9 1
"Buckingham County" "601 - Slate River" 528 201 319 5 3
"Buckingham County" "701 - Gold Hill" 333 108 219 6 0
"Buckingham County" "Ab - Central Absentee Precinct" 4128 2285 1795 39 9
"Buckingham County" Provisional 10 5 5 0 0
"Buena Vista City" "1 - First Ward" 542 99 416 22 5
"Buena Vista City" "2 - Second Ward" 429 89 319 17 4
"Buena Vista City" "Ab - Central Absentee Precinct" 1805 637 1128 33 7
"Buena Vista City" Provisional 0 0 0 0 0
"Campbell County" "101 - Brookville" 1269 206 1025 31 7
"Campbell County" "102 - New London" 1412 232 1144 32 4
"Campbell County" "201 - Walker" 1006 202 772 32 0
"Campbell County" "202 - Bedford Springs" 1218 156 1028 31 3
"Campbell County" "301 - Evington" 582 108 464 9 1
"Campbell County" "302 - Otter River" 485 83 395 6 1
"Campbell County" "303 - Altavista" 919 265 635 18 1
"Campbell County" "401 - Three Forks" 859 82 754 21 2
"Campbell County" "402 - Court House" 1185 150 998 32 5
"Campbell County" "501 - Spring Hill" 1113 189 887 28 9
"Campbell County" "502 - Yellow Branch" 749 137 597 14 1
"Campbell County" "601 - Kings" 911 168 728 11 4
"Campbell County" "602 - Concord" 1063 142 895 20 6
"Campbell County" "701 - Brookneal" 698 174 516 8 0
"Campbell County" "702 - Gladys" 833 154 667 10 2
"Campbell County" "703 - Morris Church" 502 86 409 7 0
"Campbell County" "Ab - Central Absentee Precinct" 15088 5536 9331 180 41
"Campbell County" Provisional 0 0 0 0 0
"Caroline County" "101 - Bowling Green" 802 189 597 14 2
"Caroline County" "102 - Sparta" 719 181 529 8 1
"Caroline County" "201 - North Madison" 652 240 391 17 4
"Caroline County" "202 - South Madison" 789 235 519 32 3
"Caroline County" "301 - Port Royal" 402 125 269 8 0
"Caroline County" "302 - Woodford" 977 253 710 12 2
"Caroline County" "401 - Dawn" 942 420 498 20 4
"Caroline County" "402 - Carmel Church" 320 131 187 2 0
"Caroline County" "501 - West Mattaponi" 580 254 314 8 4
"Caroline County" "502 - Milford" 576 163 410 3 0
"Caroline County" "601 - Chilesburg" 879 272 574 29 4
"Caroline County" "602 - Lake" 647 185 440 22 0
"Caroline County" "Ab - Central Absentee Precinct" 7892 4957 2839 84 12
"Caroline County" Provisional 111 52 59 0 0
"Carroll County" "101 - Mt Bethel" 480 65 414 0 1
"Carroll County" "102 - St Paul" 619 54 558 5 2
"Carroll County" "103 - Lambsburg" 423 59 358 3 3
"Carroll County" "105 - Fancy Gap" 442 43 392 6 1
"Carroll County" "201 - Hillsville B" 868 98 762 7 1
"Carroll County" "202 - Laurel Fork" 476 55 411 8 2
"Carroll County" "203 - Gladesboro" 574 80 491 3 0
"Carroll County" "301 - Hillsville C" 1124 118 994 11 1
"Carroll County" "302 - Sylvatus" 511 45 460 5 1
"Carroll County" "303 - Dugspur" 272 23 243 4 2
"Carroll County" "401 - Oakland" 1002 114 875 10 3
"Carroll County" "402 - Woodlawn D" 758 77 672 6 3
"Carroll County" "406 - Woodlawn F" 163 26 133 3 1
"Carroll County" "501 - Vaughan" 416 43 370 3 0
"Carroll County" "502 - Gladeville" 829 75 749 4 1
"Carroll County" "503 - Woodlawn E" 414 57 355 2 0
"Carroll County" "504 - Laurel" 517 46 469 2 0
"Carroll County" "Ab - Central Absentee Precinct" 5692 1740 3909 33 10
"Carroll County" Provisional 71 24 44 3 0
"Charles City County" "101 - Precinct 1-1" 667 200 450 17 0
"Charles City County" "201 - Precinct 2-1" 438 187 243 8 0
"Charles City County" "301 - Precinct 3-1" 467 205 254 8 0
"Charles City County" "Ab - Central Absentee Precinct" 2858 2024 811 21 2
"Charles City County" Provisional 11 8 3 0 0
"Charlotte County" "101 - County Seat" 404 100 296 6 2
"Charlotte County" "201 - Red Oak Wylliesburg" 563 159 399 3 2
"Charlotte County" "302 - Drakes Branch" 438 103 331 3 1
"Charlotte County" "401 - Keysville" 557 134 415 7 1
"Charlotte County" "501 - Cullen/Red House" 423 117 297 6 3
"Charlotte County" "602 - Phenix" 536 85 449 2 0
"Charlotte County" "702 - Bacon/Saxe" 324 87 236 0 1
"Charlotte County" "Ab - Central Absentee Precinct" 2944 1532 1390 21 1
"Charlotte County" Provisional 2 0 2 0 0
"Charlottesville City" "101 - Key Recreation" 619 380 218 11 10
"Charlottesville City" "102 - Clark" 905 638 240 19 8
"Charlottesville City" "201 - Carver" 670 518 121 21 10
"Charlottesville City" "202 - Walker" 827 504 295 20 8
"Charlottesville City" "301 - Benjamin Tonsler" 761 608 126 15 12
"Charlottesville City" "302 - Johnson" 902 552 297 40 13
"Charlottesville City" "303 - Buford" 428 308 100 14 6
"Charlottesville City" "401 - Venable" 551 426 105 15 5
"Charlottesville City" "402 - Alumni Hall" 557 360 174 16 7
"Charlottesville City" "Ab - Central Absentee Precinct" 17851 16289 1399 138 25
"Charlottesville City" Provisional 134 113 19 2 0
"Chesapeake City" "1 - Great Bridge" 576 123 432 19 2
"Chesapeake City" "2 - Bethel" 1050 115 913 19 3
"Chesapeake City" "3 - Camelot" 366 299 53 13 1
"Chesapeake City" "4 - Churchland" 498 96 389 12 1
"Chesapeake City" "5 - Crestwood" 535 391 129 11 4
"Chesapeake City" "6 - Deep Creek" 529 156 358 13 2
"Chesapeake City" "7 - Greenbrier" 402 106 271 20 5
"Chesapeake City" "8 - South Norfolk Recreation" 710 287 402 21 0
"Chesapeake City" "9 - Bells Mill" 890 146 717 26 1
"Chesapeake City" "10 - Oscar Smith" 374 138 221 14 1
"Chesapeake City" "11 - Geneva Park" 717 273 427 14 3
"Chesapeake City" "12 - Georgetown" 275 189 78 6 2
"Chesapeake City" "13 - Gilmerton" 751 246 484 20 1
"Chesapeake City" "14 - Grassfield" 557 137 397 20 3
"Chesapeake City" "15 - Greenbrier Middle School" 622 279 313 24 6
"Chesapeake City" "16 - Hickory Grove" 931 145 766 18 2
"Chesapeake City" "17 - Indian Creek" 811 115 685 11 0
"Chesapeake City" "18 - Indian River" 496 257 218 20 1
"Chesapeake City" "19 - Jolliff" 535 113 401 14 7
"Chesapeake City" "20 - E W Chittum" 587 158 409 17 3
"Chesapeake City" "21 - Fellowship" 636 191 425 18 2
"Chesapeake City" "22 - Norfolk Highlands" 530 173 338 17 2
"Chesapeake City" "23 - Oak Grove" 553 209 321 21 2
"Chesapeake City" "24 - Oaklette" 635 296 312 22 5
"Chesapeake City" "25 - St Julians" 529 243 263 19 4
"Chesapeake City" "26 - Johnson Park" 376 201 158 14 3
"Chesapeake City" "27 - Silverwood" 539 176 347 13 3
"Chesapeake City" "28 - Sunray I" 229 47 178 4 0
"Chesapeake City" "29 - Tanglewood" 561 129 404 27 1
"Chesapeake City" "30 - South Norfolk" 276 246 24 4 2
"Chesapeake City" "31 - Carver School" 609 424 170 12 3
"Chesapeake City" "32 - Providence" 667 586 67 10 4
"Chesapeake City" "33 - Westover" 536 134 391 8 3
"Chesapeake City" "34 - Hickory Middle School" 850 131 693 20 6
"Chesapeake City" "35 - Taylor Road" 423 252 154 14 3
"Chesapeake City" "36 - Great Bridge Baptist Church" 743 185 538 13 7
"Chesapeake City" "37 - Bridgetown" 542 140 387 15 0
"Chesapeake City" "38 - Bailey Creek" 505 90 395 19 1
"Chesapeake City" "39 - Lake Drummond" 562 141 398 23 0
"Chesapeake City" "41 - John T West" 924 315 570 32 7
"Chesapeake City" "42 - Parkways" 497 245 237 9 6
"Chesapeake City" "43 - Pleasant Crossing" 599 91 491 13 4
"Chesapeake City" "44 - Nansemond" 457 202 249 4 2
"Chesapeake City" "45 - Sunray Ii" 236 78 152 5 1
"Chesapeake City" "46 - Bells Mill Ii" 588 152 421 15 0
"Chesapeake City" "48 - Jolliff Middle School" 588 462 110 13 3
"Chesapeake City" "49 - Waterway" 523 139 369 11 4
"Chesapeake City" "50 - River Walk" 626 259 348 15 4
"Chesapeake City" "51 - Coopers Way" 964 164 775 21 4
"Chesapeake City" "52 - Shipyard Road" 385 130 244 9 2
"Chesapeake City" "53 - Fairways" 800 315 454 22 9
"Chesapeake City" "54 - Pughsville" 486 295 172 16 3
"Chesapeake City" "55 - Georgetown East" 183 101 74 7 1
"Chesapeake City" "56 - Green Tree" 439 178 253 5 3
"Chesapeake City" "57 - Cypress" 512 260 236 11 5
"Chesapeake City" "58 - Expressway" 221 128 84 7 2
"Chesapeake City" "59 - Clearfield" 577 178 382 15 2
"Chesapeake City" "60 - Parker Road" 505 103 390 11 1
"Chesapeake City" "61 - Centerville" 905 139 744 20 2
"Chesapeake City" "62 - Fentress" 895 183 685 25 2
"Chesapeake City" "63 - Poplar Branch" 429 60 357 11 1
"Chesapeake City" "64 - Deep Creek Ii" 497 176 303 17 1
"Chesapeake City" "65 - Waterway Ii" 488 152 314 19 3
