COUNTY AREA TOTAL DEM REP LIB GRN IND WI1 WI2 WI3 WI4 WI5 WI6 WI7 WI8 WI9 WI10 WI11 WI12 WI13 WI14 WI15 WI16 WI17 WI18
Adams "LIBERTY NORTH" 388 81 290 7 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "DELPHOS 1A" 540 124 385 17 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "DELPHOS 1B" 478 105 351 9 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "DELPHOS 2A" 512 119 350 18 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "DELPHOS 2B" 226 38 167 11 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 1A" 601 260 294 33 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 1B" 568 199 328 23 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 1C" 447 202 204 15 10 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 2A" 649 265 333 26 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 2B" 704 267 393 21 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 2C" 672 247 385 20 5 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 3A" 469 269 163 14 9 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 3B" 332 199 111 7 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 3C" 468 195 245 13 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 4A" 705 253 399 26 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 4B" 466 261 177 13 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 4C" 480 170 283 15 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 4D" 697 294 351 28 10 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 5A" 281 159 110 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 5B" 291 212 65 3 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 5C" 389 316 51 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 5D" 421 244 149 12 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 6A" 533 300 192 16 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 6B" 490 306 148 10 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 6C" 486 433 30 2 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 7A" 717 318 361 18 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 7B" 619 244 324 28 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "LIMA 7C" 703 254 397 20 10 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "AMANDA E" 778 115 621 24 7 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "AMANDA N" 405 56 329 16 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "AMERICAN A" 601 100 469 15 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "AMERICAN B" 514 149 328 24 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "AMERICAN C" 505 132 343 17 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "AMERICAN D" 474 268 187 8 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "AMERICAN E" 440 155 260 10 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "AMERICAN F" 462 146 293 13 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "AMERICAN G" 648 126 487 19 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "AMERICAN H" 629 132 452 27 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "AMERICAN I" 553 100 416 19 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "AMERICAN J" 573 118 421 19 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "AMERICAN K" 500 149 313 17 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "AMERICAN L" 515 175 303 25 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "ELIDA A" 508 100 378 18 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "ELIDA B" 563 104 428 12 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "AUGLAIZE A" 535 78 434 15 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen HARROD 190 22 162 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "AUGLAIZE B" 693 115 530 27 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "BATH A" 508 92 389 17 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "BATH B" 594 90 477 15 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "BATH C" 467 66 366 21 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "BATH D" 507 81 396 15 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "BATH E" 360 115 218 14 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "BATH F" 499 91 380 21 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "BATH G" 649 176 431 25 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "BATH H" 609 144 430 15 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "BATH I" 444 101 312 14 6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "JACKSON A" 826 103 679 25 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen LAFAYETTE 166 26 131 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "JACKSON B" 763 90 639 18 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "MARION A" 757 102 615 14 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "MARION B" 738 116 580 15 9 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen CAIRO 250 57 181 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "MONROE E" 479 45 416 9 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "MONROE W" 427 47 356 11 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "PERRY C" 624 89 491 20 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "PERRY A" 546 133 365 17 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "PERRY B" 407 130 252 8 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen BEAVERDAM 147 12 121 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "RICHLAND A" 549 114 391 25 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "RICHLAND B" 565 105 427 19 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "BLUFFTON A" 713 277 392 17 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "BLUFFTON B" 612 244 319 22 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "BLUFFTON C" 608 172 381 29 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "SHAWNEE A" 583 130 418 20 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "SHAWNEE B" 550 149 367 16 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "SHAWNEE C" 449 99 322 19 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "SHAWNEE D" 548 130 379 22 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "SHAWNEE E" 527 141 356 17 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "SHAWNEE F" 644 177 440 11 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "SHAWNEE G" 623 138 455 17 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "SHAWNEE H" 579 124 400 28 10 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "SHAWNEE I" 596 114 450 18 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "SHAWNEE J" 660 161 444 32 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "SHAWNEE K" 613 135 430 29 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "SHAWNEE L" 545 105 413 16 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "SPENCER A" 431 58 355 11 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "SPENCERVILLE A" 450 60 351 22 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "SPENCERVILLE B" 426 62 336 10 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Allen "SUGAR CREEK" 667 100 536 17 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 1-A" 718 210 467 14 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 1-B" 394 141 203 26 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 1-C" 439 114 279 16 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 1-D" 784 209 531 17 7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 1-E" 543 109 379 23 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 2-A" 696 161 470 41 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 2-B" 447 131 263 28 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 2-C" 369 111 228 16 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 2-D" 729 195 462 35 2 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 3-A" 508 161 301 29 3 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 3-B" 766 244 458 30 8 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 3-C" 673 196 424 19 1 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 3-D" 318 101 194 15 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 4-A" 492 128 317 20 9 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 4-B" 337 105 201 13 8 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 4-C" 343 95 219 11 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ASHLAND CITY 4-D" 209 52 143 3 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "CLEAR CREEK 1" 416 68 319 15 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "GREEN 1" 765 183 531 28 4 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "GREEN 2" 431 83 316 15 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland HANOVER 468 117 314 25 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "LOUDONVILLE 1" 923 240 610 35 9 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "LOUDONVILLE 2" 353 98 231 14 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "JACKSON 1" 727 197 474 30 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "JACKSON 2" 932 181 704 27 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland LAKE 327 68 224 16 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "MILTON 1" 849 153 648 20 10 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "MILTON 3" 405 65 321 6 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland JEROMESVILLE 230 62 154 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland MOHICAN 806 146 587 36 3 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "MONTGOMERY 1" 529 96 400 19 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "MONTGOMERY 2" 669 126 486 29 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "MONTGOMERY 3" 416 60 329 13 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ORANGE 1" 803 167 585 22 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "ORANGE 2" 466 81 349 20 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland PERRY 959 170 743 27 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland RUGGLES 461 93 342 13 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "SULLIVAN 1" 601 115 453 17 7 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "SULLIVAN 2" 483 120 331 14 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland TROY 600 110 443 30 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "VERMILLION 1" 639 131 470 12 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "VERMILLION 2" 407 71 306 11 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "VERMILLION 3" 427 62 328 14 8 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland MIFFLIN 699 131 527 19 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashland "CLEAR CREEK 2" 548 83 429 15 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 1-A" 581 296 244 20 7 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 1-B" 461 225 202 12 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 1-C" 414 238 145 16 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 1-D" 330 176 136 6 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 2-A" 481 255 188 15 8 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 2-B" 461 250 176 12 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 2-C" 265 137 109 6 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 2-D" 211 128 67 7 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 3-A" 136 83 41 3 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 3-B" 228 127 76 6 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 3-C" 212 115 82 7 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 3-D" 219 165 39 5 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 4-A" 191 105 68 6 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 4-B" 203 115 68 5 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 4-C" 250 109 117 5 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 4-D" 521 248 227 30 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 5-A" 160 79 74 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 5-B" 159 84 59 8 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 5-C" 395 196 177 13 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA 5-D" 272 152 102 3 7 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "CONNEAUT 1-A" 245 111 125 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "CONNEAUT 1-B" 228 74 142 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "CONNEAUT 1-C" 446 164 228 25 10 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "CONNEAUT 2-A" 474 228 205 14 7 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "CONNEAUT 2-B" 563 265 260 15 6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "CONNEAUT 2-C" 457 170 258 16 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "CONNEAUT 3-A" 265 114 133 6 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "CONNEAUT 3-B" 360 159 178 11 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "CONNEAUT 3-C" 339 163 156 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "CONNEAUT 3-D" 333 144 169 8 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "CONNEAUT 4-A" 242 101 112 14 7 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "CONNEAUT 4-B" 430 225 168 12 7 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "CONNEAUT 4-C" 194 92 91 5 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "GENEVA 1" 340 137 184 7 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "GENEVA 2" 619 255 298 34 15 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "GENEVA 3" 305 125 144 13 3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "GENEVA 4" 276 91 162 13 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "GENEVA 5" 245 102 123 11 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "GENEVA 6" 379 163 189 13 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "GENEVA 7" 379 160 189 15 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ANDOVER TWP. 1" 429 129 277 9 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ANDOVER TWP. 2" 362 80 252 8 6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ANDOVER VILLAGE" 388 126 239 15 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA TWP. 1" 356 157 177 13 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA TWP. 2" 549 222 288 14 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA TWP. 3" 246 118 117 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA TWP. 4" 535 255 237 12 10 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA TWP. 5" 407 170 200 10 8 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "ASHTABULA TWP. 6" 358 129 213 6 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "AUSTINBURG TWP. 1" 608 173 410 12 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "AUSTINBURG TWP. 2" 625 225 370 16 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "CHERRY VALLEY" 364 83 266 9 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "COLEBROOK TWP." 379 93 259 13 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "DENMARK TWP." 360 114 232 6 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "DORSET TWP." 363 92 250 9 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "GENEVA TWP. 1" 720 241 421 32 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "GENEVA TWP. 2" 386 133 229 14 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ashtabula "GENEVA TWP. 3" 278 89 169 13 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
