COUNTY AREA TOTAL DEM REP Anderson White Turnbull Enz Cason Boucher Grimek William Hoffman Turtenwald Gehler Davis SCATTERING
BAYFIELD "Town of MASON Ward 1" 157 82 70 2 1 NA 2 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of NAMAKAGON Ward 1" 226 87 134 0 4 NA 1 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of ORIENTA Ward 1" 79 37 39 0 1 NA 2 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of OULU Ward 1" 317 161 151 2 0 NA 3 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of PILSEN Ward 1" 128 74 53 0 0 NA 1 0 0 0 0 0 0 0 0 0
BAYFIELD "Town of PORT WING Ward 1" 253 146 105 1 0 NA 0 1 0 0 0 0 0 0 0 0
BAYFIELD "Town of RUSSELL Wards 1-2" 524 438 78 0 6 NA 1 1 0 0 0 0 0 0 0 0
BAYFIELD "Town of TRIPP Ward 1" 131 61 66 3 0 NA 0 1 0 0 0 0 0 0 0 0
BAYFIELD "Town of WASHBURN Ward 1" 309 212 93 0 1 NA 3 0 0 0 0 0 0 0 0 0
BAYFIELD "Village of MASON Ward 1" 31 17 14 0 0 NA 0 0 0 0 0 0 0 0 0 0
BAYFIELD "CITY OF ASHLAND Ward 12" 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0
BAYFIELD "City of BAYFIELD Wards 1-4" 328 260 60 3 1 NA 3 1 0 0 0 0 0 0 0 0
BAYFIELD "City of WASHBURN Wards 1-4" 1064 801 242 4 7 NA 10 0 0 0 0 0 0 0 0 0
BROWN "Town of EATON Wards 1-2" 827 292 523 5 0 NA 6 1 0 0 0 0 0 0 0 0
BROWN "Town of GLENMORE Wards 1-2" 537 154 372 2 2 NA 5 2 0 0 0 0 0 0 0 0
BROWN "Town of GREEN BAY Wards 1-3" 1151 349 794 2 3 NA 1 2 0 0 0 0 0 0 0 0
BROWN "Town of HOLLAND Wards 1-2" 811 262 543 2 1 NA 2 1 0 0 0 0 0 0 0 0
BROWN "Town of HUMBOLDT Wards 1-2" 698 238 454 3 1 NA 2 0 0 0 0 0 0 0 0 0
BROWN "Town of LAWRENCE Wards 1-3" 1370 506 841 11 5 NA 6 1 0 0 0 0 0 0 0 0
BROWN "Town of LAWRENCE Wards 4-6" 1669 511 1132 10 4 NA 11 1 0 0 0 0 0 0 0 0
BROWN "Town of LEDGEVIEW Wards 1-3,8-10" 2208 805 1356 18 6 NA 19 4 0 0 0 0 0 0 0 0
BROWN "Town of LEDGEVIEW Wards 4-7" 1881 733 1112 17 6 NA 11 2 0 0 0 0 0 0 0 0
BROWN "Town of MORRISON Wards 1-2" 772 166 600 3 0 NA 2 1 0 0 0 0 0 0 0 0
BROWN "Town of NEW DENMARK Wards 1-3" 838 303 516 6 5 NA 8 0 0 0 0 0 0 0 0 0
BROWN "Town of PITTSFIELD Wards 1-3" 1515 471 1024 6 5 NA 7 2 0 0 0 0 0 0 0 0
BROWN "Town of ROCKLAND Wards 1-3" 987 309 667 5 1 NA 5 0 0 0 0 0 0 0 0 0
BROWN "Town of SCOTT Wards 1-4" 2045 835 1178 12 6 NA 14 0 0 0 0 0 0 0 0 0
BROWN "Town of WRIGHTSTOWN Wards 1-3" 1112 348 749 6 2 NA 7 0 0 0 0 0 0 0 0 0
BROWN "Village of ALLOUEZ Wards 1-2" 1827 985 795 20 10 NA 15 2 0 0 0 0 0 0 0 0
BROWN "Village of ALLOUEZ Wards 3-4" 1649 875 756 8 2 NA 7 1 0 0 0 0 0 0 0 0
BROWN "Village of ALLOUEZ Wards 5-6" 2077 930 1111 18 5 NA 11 2 0 0 0 0 0 0 0 0
BROWN "Village of ALLOUEZ Wards 7-9" 1640 779 840 11 2 NA 8 0 0 0 0 0 0 0 0 0
BROWN "Village of ALLOUEZ Ward 10" 0 0 0 0 0 NA 0 0 0 0 0 0 0 0 0 0
BROWN "Village of ASHWAUBENON Wards 1-2" 1094 494 563 19 9 NA 9 0 0 0 0 0 0 0 0 0
BROWN "Village of ASHWAUBENON Wards 3-4" 1055 466 561 11 7 NA 7 3 0 0 0 0 0 0 0 0
BROWN "Village of ASHWAUBENON Wards 5-6" 1316 592 694 13 4 NA 12 1 0 0 0 0 0 0 0 0
BROWN "Village of ASHWAUBENON Wards 7-8" 1569 640 910 8 1 NA 10 0 0 0 0 0 0 0 0 0
BROWN "Village of ASHWAUBENON Wards 9-10" 1717 717 975 11 6 NA 8 0 0 0 0 0 0 0 0 0
BROWN "Village of ASHWAUBENON Wards 11-12" 1520 709 778 15 7 NA 9 2 0 0 0 0 0 0 0 0
BROWN "Village of BELLEVUE Wards 1-6" 3252 1509 1673 27 18 NA 21 4 0 0 0 0 0 0 0 0
BROWN "Village of BELLEVUE Wards 7-10" 3878 1611 2210 25 11 NA 17 4 0 0 0 0 0 0 0 0
BROWN "Village of DENMARK Wards 1-4" 936 353 564 7 1 NA 11 0 0 0 0 0 0 0 0 0
BROWN "Village of HOBART Wards 1-8" 4165 1585 2515 35 12 NA 15 3 0 0 0 0 0 0 0 0
BROWN "Village of HOBART Ward 9" 36 18 18 0 0 NA 0 0 0 0 0 0 0 0 0 0
BROWN "Village of HOWARD Wards 1,12" 1024 380 615 9 9 NA 11 0 0 0 0 0 0 0 0 0
BROWN "Village of HOWARD Wards 2,8,11" 2258 902 1324 14 6 NA 11 1 0 0 0 0 0 0 0 0
BROWN "Village of HOWARD Wards 3-4,6" 1145 526 575 22 8 NA 12 2 0 0 0 0 0 0 0 0
BROWN "Village of HOWARD Ward 5" 335 130 200 2 2 NA 1 0 0 0 0 0 0 0 0 0
BROWN "Village of HOWARD Ward 7" 630 264 360 3 3 NA 0 0 0 0 0 0 0 0 0 0
BROWN "Village of HOWARD Wards 9-10,18" 1620 716 878 9 7 NA 9 1 0 0 0 0 0 0 0 0
BROWN "Village of HOWARD Wards 13-14" 1000 369 611 11 3 NA 5 1 0 0 0 0 0 0 0 0
BROWN "Village of HOWARD Wards 15-16" 1467 521 926 12 4 NA 4 0 0 0 0 0 0 0 0 0
BROWN "Village of PULASKI Wards 1-3,6" 1303 488 787 9 5 NA 11 3 0 0 0 0 0 0 0 0
BROWN "Village of SUAMICO Wards 1-4" 3015 1006 1959 25 12 NA 12 1 0 0 0 0 0 0 0 0
BROWN "Village of SUAMICO Wards 5-8" 3671 1267 2354 20 10 NA 20 0 0 0 0 0 0 0 0 0
BROWN "Village of WRIGHTSTOWN Wards 1-3" 1182 393 766 8 5 NA 4 6 0 0 0 0 0 0 0 0
BROWN "City of DE PERE Wards 1-4" 3368 1624 1689 29 3 NA 22 1 0 0 0 0 0 0 0 0
BROWN "City of DE PERE Ward 5" 242 136 97 6 1 NA 2 0 0 0 0 0 0 0 0 0
BROWN "City of DE PERE Wards 6-8" 2307 1142 1117 17 10 NA 19 2 0 0 0 0 0 0 0 0
BROWN "City of DE PERE Wards 9,18" 604 284 305 2 4 NA 7 2 0 0 0 0 0 0 0 0
BROWN "City of DE PERE Wards 10-12" 2412 1202 1137 27 16 NA 24 6 0 0 0 0 0 0 0 0
BROWN "City of DE PERE Wards 13-15" 2959 1231 1661 28 10 NA 27 2 0 0 0 0 0 0 0 0
BROWN "City of DE PERE Wards 16-17" 5 0 5 0 0 NA 0 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 1" 9 3 6 0 0 NA 0 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 2" 1181 544 619 8 4 NA 5 1 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 3" 1461 855 555 23 7 NA 21 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 4" 1779 785 954 19 8 NA 10 3 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 5" 669 312 345 9 1 NA 2 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 6" 1484 658 800 10 3 NA 11 2 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 7" 881 426 435 10 4 NA 6 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 8" 1491 730 734 14 3 NA 9 1 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 9" 494 282 200 7 1 NA 3 1 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 10" 554 306 241 2 0 NA 5 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 11" 607 272 323 9 1 NA 2 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 12" 542 295 212 12 14 NA 8 1 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 13" 579 387 167 5 6 NA 12 2 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 14" 604 326 268 5 3 NA 1 1 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 15" 1088 675 371 22 6 NA 13 1 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 16" 912 588 299 11 2 NA 11 1 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 17" 731 428 279 8 10 NA 6 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 18" 764 421 333 4 4 NA 2 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 19" 548 336 192 5 4 NA 9 2 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 20" 624 392 213 6 6 NA 6 1 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 21" 527 333 172 7 6 NA 8 1 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 22" 278 147 126 2 1 NA 2 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 23" 599 379 202 6 2 NA 10 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 24" 735 424 277 16 4 NA 11 3 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 25" 708 370 313 13 7 NA 4 1 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 26" 706 451 231 11 5 NA 6 2 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 27" 260 168 82 4 3 NA 2 1 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 28" 683 437 217 8 5 NA 14 2 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 29" 999 530 424 19 12 NA 13 1 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 30" 889 572 282 17 8 NA 6 4 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 31" 881 478 367 17 5 NA 14 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 32" 748 394 327 12 8 NA 6 1 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 33" 530 282 228 8 5 NA 7 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 34" 1049 523 500 11 5 NA 8 2 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 35" 739 325 393 8 8 NA 5 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 36" 410 235 163 4 5 NA 3 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 37" 739 369 340 9 9 NA 9 3 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 38" 974 545 397 7 9 NA 15 1 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 39" 1086 561 491 8 9 NA 13 4 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 40" 746 389 332 9 4 NA 10 2 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 41" 426 216 201 4 2 NA 3 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 42" 586 332 235 7 10 NA 2 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 43" 1019 518 483 7 6 NA 4 1 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 44" 1386 661 699 12 7 NA 6 1 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 45" 1619 655 943 11 4 NA 5 1 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 46" 1196 671 493 18 6 NA 8 0 0 0 0 0 0 0 0 0
BROWN "City of GREEN BAY Ward 47" 1403 612 770 7 7 NA 7 0 0 0 0 0 0 0 0 0
BUFFALO "Town of ALMA Ward 1" 150 80 68 1 1 NA 0 0 0 0 0 0 0 0 0 0
BUFFALO "Town of BELVIDERE Ward 1" 218 84 128 2 1 NA 3 0 0 0 0 0 0 0 0 0
BUFFALO "Town of BUFFALO Ward 1" 360 134 217 6 2 NA 0 1 0 0 0 0 0 0 0 0
BUFFALO "Town of CANTON Ward 1" 135 54 80 0 0 NA 1 0 0 0 0 0 0 0 0 0
BUFFALO "Town of CROSS Ward 1" 174 56 114 1 2 NA 0 1 0 0 0 0 0 0 0 0
BUFFALO "Town of DOVER Ward 1" 173 73 95 1 1 NA 3 0 0 0 0 0 0 0 0 0
BUFFALO "Town of GILMANTON Ward 1" 169 67 100 1 0 NA 1 0 0 0 0 0 0 0 0 0
BUFFALO "Town of GLENCOE Ward 1" 210 54 154 1 0 NA 1 0 0 0 0 0 0 0 0 0
BUFFALO "Town of LINCOLN Ward 1" 110 41 68 0 1 NA 0 0 0 0 0 0 0 0 0 0
BUFFALO "Town of MAXVILLE Ward 1" 145 36 108 1 0 NA 0 0 0 0 0 0 0 0 0 0
BUFFALO "Town of MILTON Ward 1" 274 106 160 2 3 NA 2 1 0 0 0 0 0 0 0 0
BUFFALO "Town of MODENA Ward 1" 149 64 85 0 0 NA 0 0 0 0 0 0 0 0 0 0
BUFFALO "Town of MONDOVI Ward 1" 192 81 110 1 0 NA 0 0 0 0 0 0 0 0 0 0
BUFFALO "Town of MONTANA Ward 1" 123 30 93 0 0 NA 0 0 0 0 0 0 0 0 0 0
BUFFALO "Town of NAPLES Ward 1" 320 114 202 2 0 NA 2 0 0 0 0 0 0 0 0 0
BUFFALO "Town of NELSON Ward 1" 273 103 168 0 0 NA 1 1 0 0 0 0 0 0 0 0
BUFFALO "Town of WAUMANDEE Ward 1" 253 80 169 2 1 NA 1 0 0 0 0 0 0 0 0 0
BUFFALO "Village of COCHRANE Ward 1" 168 70 93 3 2 NA 0 0 0 0 0 0 0 0 0 0
BUFFALO "Village of NELSON Ward 1" 130 65 63 0 1 NA 1 0 0 0 0 0 0 0 0 0
BUFFALO "City of ALMA Wards 1-2" 366 171 184 2 3 NA 4 2 0 0 0 0 0 0 0 0
BUFFALO "City of BUFFALO CITY Ward 1" 507 210 283 7 0 NA 7 0 0 0 0 0 0 0 0 0
BUFFALO "City of FOUNTAIN CITY Wards 1-2" 373 159 204 0 3 NA 6 1 0 0 0 0 0 0 0 0
BUFFALO "City of MONDOVI Wards 1-3" 1003 453 517 7 6 NA 17 3 0 0 0 0 0 0 0 0
BURNETT "Town of ANDERSON Ward 1" 177 51 124 0 1 NA 1 0 0 0 0 0 0 0 0 0
BURNETT "Town of BLAINE Ward 1" 97 33 59 0 1 NA 4 0 0 0 0 0 0 0 0 0
BURNETT "Town of DANIELS Ward 1" 319 101 210 0 1 NA 6 1 0 0 0 0 0 0 0 0
BURNETT "Town of DEWEY Ward 1" 226 73 147 1 1 NA 4 0 0 0 0 0 0 0 0 0
BURNETT "Town of GRANTSBURG Wards 1-3" 495 146 338 1 2 NA 5 3 0 0 0 0 0 0 0 0
BURNETT "Town of JACKSON Ward 1" 498 213 274 1 4 NA 6 0 0 0 0 0 0 0 0 0
BURNETT "Town of LA FOLLETTE Wards 1-2" 251 108 139 0 1 NA 2 1 0 0 0 0 0 0 0 0
BURNETT "Town of LINCOLN Ward 1" 154 41 111 0 1 NA 1 0 0 0 0 0 0 0 0 0
BURNETT "Town of MEENON Wards 1-3" 500 184 305 0 2 NA 8 1 0 0 0 0 0 0 0 0
BURNETT "Town of OAKLAND Wards 1-2" 511 211 287 3 1 NA 8 1 0 0 0 0 0 0 0 0
BURNETT "Town of ROOSEVELT Ward 1" 96 29 64 1 0 NA 2 0 0 0 0 0 0 0 0 0
BURNETT "Town of RUSK Ward 1" 201 69 130 2 0 NA 0 0 0 0 0 0 0 0 0 0
BURNETT "Town of SAND LAKE Ward 1" 266 118 136 5 3 NA 3 1 0 0 0 0 0 0 0 0
