COUNTY AREA TOTAL DEM REP LIB IND GRN OTH
"Alleghany County" "101 - Arritt" 681 138 521 12 7 2 1
"Alleghany County" "103 - Dameron" 254 51 196 2 4 1 0
"Alleghany County" "201 - Humpback Bridge" 408 103 290 3 8 0 4
"Alleghany County" "202 - Dolly Ann" 512 129 360 18 3 0 2
"Alleghany County" "301 - Callaghan" 407 74 325 7 0 1 0
"Alleghany County" "302 - Griffith" 650 176 450 20 2 1 1
"Alleghany County" "401 - Low Moor" 492 137 335 11 6 2 1
"Alleghany County" "402 - Jackson Heights" 632 141 461 14 12 3 1
"Alleghany County" "501 - Iron Gate" 273 104 155 9 3 1 1
"Alleghany County" "502 - Peters Switch" 768 188 551 16 7 6 0
"Alleghany County" "601 - District 1" 964 397 527 27 6 6 1
"Alleghany County" "701 - District 2" 732 324 371 15 9 8 5
"Alleghany County" "Ab - Central Absentee Precinct" 550 203 331 10 2 4 0
"Alleghany County" Provisional 2 1 1 0 0 0 0
"Amelia County" "101 - Number One" 1114 334 740 27 8 3 2
"Amelia County" "201 - Number Two" 1274 400 834 21 10 2 7
"Amelia County" "301 - Number Three" 1222 302 892 22 1 1 4
"Amelia County" "401 - Number Four" 1180 302 839 23 9 1 6
"Amelia County" "501 - Number Five" 1418 497 888 22 6 4 1
"Amelia County" "Ab - Central Absentee Precinct" 822 287 511 14 7 0 3
"Amelia County" Provisional 10 6 4 0 0 0 0
"Amherst County" "101 - Wright Shop" 1006 549 435 13 6 1 2
"Amherst County" "102 - New Glasgow" 1276 426 799 22 18 5 6
"Amherst County" "103 - Coolwell" 641 121 492 14 10 2 2
"Amherst County" "201 - Court House" 1940 721 1112 56 27 14 10
"Amherst County" "202 - Temperance" 799 200 569 13 7 4 6
"Amherst County" "301 - Monroe" 847 217 594 21 10 2 3
"Amherst County" "302 - Elon" 1992 474 1450 36 12 8 12
"Amherst County" "303 - Pleasant View" 450 110 322 11 2 2 3
"Amherst County" "401 - Amelon" 2303 711 1487 53 26 14 12
"Amherst County" "402 - Lonco" 601 194 386 8 9 0 4
"Amherst County" "501 - Madison" 2319 815 1419 50 20 6 9
"Amherst County" "Ab - Central Absentee Precinct" 1222 519 654 20 12 7 10
"Amherst County" Provisional 0 0 0 0 0 0 0
"Appomattox County" "101 - Vera" 572 104 450 10 3 3 2
"Appomattox County" "102 - Pamplin" 1015 282 704 13 7 5 4
"Appomattox County" "201 - Chap" 371 147 210 5 3 5 1
"Appomattox County" "202 - Spout Spring" 1199 208 964 18 2 1 6
"Appomattox County" "301 - Us 460" 733 164 545 8 6 3 7
"Appomattox County" "302 - Stonewall" 870 214 625 14 8 1 8
"Appomattox County" "401 - Courthouse" 1308 329 914 35 9 7 14
"Appomattox County" "501 - Oakville" 1012 299 688 15 3 0 7
"Appomattox County" "502 - Agee" 405 139 254 4 3 2 3
"Appomattox County" "Ab - Central Absentee Precinct" 525 137 360 14 6 4 4
"Appomattox County" Provisional 1 0 1 0 0 0 0
"Arlington County" "1 - Arlington" 1620 1297 245 25 20 16 17
"Arlington County" "2 - Ashton Heights" 1658 1257 275 48 40 12 26
"Arlington County" "3 - Aurora Hills" 1100 730 249 47 42 7 25
"Arlington County" "4 - Ballston" 1689 1180 322 98 41 14 34
"Arlington County" "5 - Barcroft" 1466 1077 280 55 24 7 23
"Arlington County" "6 - Crystal City" 1368 939 333 35 31 8 22
"Arlington County" "7 - Cherrydale" 1612 1170 298 55 51 7 31
"Arlington County" "8 - Hume" 2094 1512 412 83 39 10 38
"Arlington County" "9 - Columbia" 1940 1450 344 62 41 20 23
"Arlington County" "10 - Wilson" 2159 1589 376 81 50 24 39
"Arlington County" "11 - East Falls Church" 1137 786 260 32 22 5 32
"Arlington County" "12 - Fairlington" 1699 1184 333 63 64 8 47
"Arlington County" "13 - Glen Carlyn" 1224 906 256 29 14 9 10
"Arlington County" "14 - Clarendon" 1345 984 224 80 27 8 22
"Arlington County" "15 - Lyon Park" 1883 1359 341 68 64 10 41
"Arlington County" "16 - Lyon Village" 1706 1236 311 71 48 9 31
"Arlington County" "17 - Overlee Knolls" 1737 1251 337 61 50 15 23
"Arlington County" "18 - Park Lane" 2350 1701 401 122 67 15 44
"Arlington County" "19 - Rosslyn" 1942 1466 319 63 35 18 41
"Arlington County" "20 - Thrifton" 1379 893 345 51 37 15 38
"Arlington County" "21 - Virginia Highlands" 2471 1718 486 95 102 26 44
"Arlington County" "22 - Abingdon" 1790 1331 274 65 67 10 43
"Arlington County" "23 - Westover" 1679 1239 310 47 36 12 35
"Arlington County" "24 - Woodlawn" 2018 1492 354 79 58 10 25
"Arlington County" "25 - Arlington Forest" 1374 995 293 40 21 9 16
"Arlington County" "26 - Fillmore" 2331 1771 372 89 43 24 32
"Arlington County" "27 - Jefferson" 1649 1149 353 55 46 13 33
"Arlington County" "28 - Claremont" 2091 1628 323 63 31 20 26
"Arlington County" "29 - Dominion Hills" 1547 1135 281 48 53 9 21
"Arlington County" "30 - Glebe" 1710 1373 215 50 41 12 19
"Arlington County" "31 - Lexington" 1634 1190 320 42 33 13 36
"Arlington County" "32 - Oakridge" 809 523 202 26 32 5 21
"Arlington County" "33 - Rock Spring" 1528 1015 383 46 36 8 40
"Arlington County" "34 - Yorktown" 1460 1012 314 46 43 12 33
"Arlington County" "35 - Madison" 1492 887 488 40 28 14 35
"Arlington County" "36 - Marshall" 1788 1228 412 60 27 11 50
"Arlington County" "37 - Nottingham" 1487 1003 362 44 33 13 32
"Arlington County" "38 - Arlington View" 1534 1223 204 41 35 20 11
"Arlington County" "39 - Ashlawn" 984 689 225 20 18 10 22
"Arlington County" "40 - Virginia Square" 2094 1461 399 107 75 11 41
"Arlington County" "41 - Woodbury" 1590 1166 259 82 41 13 29
"Arlington County" "42 - Shirlington" 1501 1104 270 42 39 17 29
"Arlington County" "43 - Arlington Mill" 1482 1263 171 16 16 11 5
"Arlington County" "44 - Dawson Terrace" 1313 1021 177 47 35 12 21
"Arlington County" "45 - Buckingham" 1584 1218 251 56 32 18 9
"Arlington County" "46 - Central" 2130 1537 386 100 58 12 37
"Arlington County" "47 - Four Mile Run" 1388 1102 193 33 37 10 13
"Arlington County" "48 - Courtlands" 1344 922 296 53 41 10 22
"Arlington County" "49 - Monroe" 1126 845 174 60 19 5 23
"Arlington County" "50 - Crystal Plaza" 1531 1077 323 58 43 6 24
"Arlington County" "51 - Taylor" 509 387 95 16 5 2 4
"Arlington County" "52 - Gunston" 1432 1068 241 38 51 14 20
"Arlington County" "Ab - Central Absentee Precinct" 37665 31140 4488 885 507 189 456
"Arlington County" Provisional 183 137 31 9 5 1 0
"Augusta County" "101 - Jolivue" 903 266 594 21 14 3 5
"Augusta County" "102 - Stuarts Draft Elementary" 1146 310 769 35 18 4 10
"Augusta County" "103 - Verona" 1812 405 1307 50 31 11 8
"Augusta County" "201 - Crimora" 1966 349 1512 56 29 13 7
"Augusta County" "202 - New Hope" 1127 218 845 40 10 7 7
"Augusta County" "203 - Weyers Cave" 1813 416 1279 65 28 13 12
"Augusta County" "301 - Fort Defiance" 2654 623 1866 93 39 14 19
"Augusta County" "302 - North River" 690 113 536 24 12 3 2
"Augusta County" "303 - Mount Solon" 936 120 777 28 7 2 2
"Augusta County" "304 - Churchville Fire Station" 830 151 647 19 8 5 0
"Augusta County" "401 - Buffalo Gap" 991 194 763 18 8 5 3
"Augusta County" "402 - Churchville Elementary" 927 153 723 29 8 9 5
"Augusta County" "403 - Craigsville" 670 113 525 11 6 7 8
"Augusta County" "404 - Deerfield" 310 32 268 5 1 4 0
"Augusta County" "405 - Cedar Green" 1266 331 861 44 14 7 9
"Augusta County" "501 - Greenville" 1535 264 1211 38 10 3 9
"Augusta County" "502 - Middlebrook" 781 166 570 23 12 6 4
"Augusta County" "503 - Spottswood" 824 162 640 16 3 1 2
"Augusta County" "504 - White Hill" 1746 341 1323 49 17 7 9
"Augusta County" "601 - Sherando" 1151 232 856 31 17 6 9
"Augusta County" "602 - Ridgeview" 2514 527 1866 66 34 10 11
"Augusta County" "603 - Lyndhurst" 1706 425 1165 55 38 12 11
"Augusta County" "801 - Dooms" 1318 256 989 43 19 9 2
"Augusta County" "802 - Fishersville" 2287 629 1510 77 47 11 13
"Augusta County" "803 - Wilson" 1808 545 1122 67 38 18 18
"Augusta County" "Ab - Central Absentee Precinct" 2612 827 1628 96 34 10 17
"Augusta County" Provisional 20 9 11 0 0 0 0
"Bath County" "101 - Warm Springs" 361 107 243 7 2 0 2
"Bath County" "102 - Mountain Grove" 75 11 60 0 2 2 0
"Bath County" "201 - Hot Springs" 326 127 180 11 4 2 2
"Bath County" "301 - Fairview" 324 39 268 10 5 2 0
"Bath County" "302 - Burnsville" 101 19 81 1 0 0 0
"Bath County" "401 - Millboro" 444 117 313 7 4 2 1
"Bath County" "501 - Healing Springs" 419 108 288 14 4 4 1
"Bath County" "Ab - Central Absentee Precinct" 202 75 115 6 1 2 3
"Bath County" Provisional 1 0 0 0 0 1 0
"Bedford County" "101 - Goodview Elem School" 1749 310 1366 42 17 3 11
"Bedford County" "102 - Hardy Vol Fire Co" 746 163 553 14 9 1 6
"Bedford County" "103 - Chamblissburg Baptist Church" 1268 263 942 45 8 5 5
"Bedford County" "104 - Stewartsville Rescue Squad" 1127 222 864 26 7 5 3
"Bedford County" "201 - Bedford Christian Church" 646 155 454 19 9 4 5
"Bedford County" "202 - Staunton River High School" 850 179 641 18 7 2 3
"Bedford County" "203 - Moneta Elem School" 1783 406 1303 38 13 13 10
"Bedford County" "204 - Quaker Baptist Church" 567 135 411 9 9 1 2
"Bedford County" "205 - Saunders Vol Fire Co" 1269 305 913 28 10 7 6
"Bedford County" "301 - New London Academy" 2617 439 2055 68 47 2 6
"Bedford County" "302 - Bedford Regional Water Auth" 1195 258 893 23 12 5 4
"Bedford County" "303 - Bethesda United Methodist Church" 763 161 574 17 7 1 3
"Bedford County" "304 - Forest Youth Athletic Assoc" 805 185 578 18 16 1 7
"Bedford County" "305 - Huddleston Elem School" 646 129 489 14 9 2 3
"Bedford County" "401 - Forest Elementary School" 1802 414 1285 47 39 3 14
"Bedford County" "402 - Thomas Jefferson Elem School" 1186 283 827 35 32 5 4
"Bedford County" "403 - Knights Of Columbus Bldg" 2296 526 1632 62 57 11 8
"Bedford County" "404 - St. Paul Baptist Church" 1606 320 1210 29 37 9 1
"Bedford County" "502 - Big Island Elem School" 459 100 336 12 5 1 5
"Bedford County" "503 - Sedalia Center" 611 124 455 19 3 4 6
"Bedford County" "504 - Suck Springs Baptist Church" 883 189 659 19 10 2 4
"Bedford County" "505 - Boonsboro Elementary School" 1709 462 1142 67 14 5 19
"Bedford County" "506 - Boonsboro Ruritan Club" 2428 505 1767 70 62 13 11
"Bedford County" "601 - Montvale Elem School" 1179 237 890 20 17 9 6
"Bedford County" "602 - Shady Grove Fire Department" 1288 241 992 30 11 9 5
"Bedford County" "603 - Thaxton Baptist Church #1" 339 65 260 5 5 3 1
"Bedford County" "604 - Bedford Welcome Center" 1780 499 1191 51 21 10 8
"Bedford County" "701 - Goode Vol Rescue Squad" 1694 269 1349 28 31 10 7
"Bedford County" "702 - Liberty High School" 911 225 656 13 10 3 4
"Bedford County" "703 - Thaxton Baptist Church #2" 726 145 544 24 5 5 3
"Bedford County" "704 - Bedford Central Library" 1850 640 1109 56 27 9 9
"Bedford County" "Ab - Central Absentee Precinct" 1980 649 1246 43 22 7 13
"Bedford County" "Ab - Central Absentee Precinct" 1742 556 1058 65 38 6 19
"Bedford County" Provisional 15 5 9 0 1 0 0
"Bedford County" Provisional 10 4 6 0 0 0 0
"Bland County" "101 - Bastian" 378 48 315 8 1 4 2
"Bland County" "102 - Ceres" 377 52 314 8 0 2 1
"Bland County" "201 - Davis" 124 21 100 1 0 2 0
"Bland County" "202 - Seddon" 682 101 551 17 4 1 8
"Bland County" "301 - Hollybrook" 377 47 319 6 3 1 1
"Bland County" "302 - Mechanicsburg" 194 24 164 4 2 0 0
"Bland County" "401 - Rocky Gap" 797 117 652 12 9 5 2
"Bland County" "Ab - Central Absentee Precinct" 209 43 157 5 2 2 0
"Bland County" Provisional 1 0 1 0 0 0 0
"Botetourt County" "101 - Daleville" 1757 489 1179 50 17 9 13
"Botetourt County" "102 - Greenfield" 1901 390 1419 55 13 12 12
"Botetourt County" "201 - Blue Ridge" 1847 415 1347 54 17 7 7
"Botetourt County" "202 - Rainbow Forest" 1829 394 1358 46 21 6 4
"Botetourt County" "301 - Buchanan" 1591 361 1162 40 16 9 3
"Botetourt County" "302 - Mill Creek" 1504 328 1111 37 11 10 7
"Botetourt County" "403 - Eagle Rock" 1032 205 782 27 8 8 2
"Botetourt County" "406 - Fincastle" 2097 493 1495 57 23 12 17
"Botetourt County" "501 - Troutville" 1107 251 820 19 11 6 0
"Botetourt County" "502 - Cloverdale" 2344 598 1638 58 24 12 14
"Botetourt County" "Ab - Central Absentee Precinct" 1719 568 1058 52 23 10 8
"Botetourt County" Provisional 11 2 6 2 1 0 0
"Bristol City" "1 - First Ward" 1135 278 818 17 9 8 5
"Bristol City" "2 - Second Ward" 1526 454 969 42 20 16 25
"Bristol City" "3 - Third Ward" 1043 343 651 27 9 7 6
"Bristol City" "4 - Fourth Ward" 2547 490 1967 45 17 14 14
"Bristol City" "Ab - Central Absentee Precinct" 770 267 479 5 9 5 5
"Bristol City" Provisional 11 3 8 0 0 0 0
"Brunswick County" "101 - Brodnax" 356 189 158 3 2 3 1
"Brunswick County" "102 - Rock Store" 563 241 309 8 3 2 0
"Brunswick County" "103 - Tillman" 657 228 413 12 1 3 0
"Brunswick County" "201 - Dromgoole" 213 118 93 2 0 0 0
"Brunswick County" "202 - Edgerton" 670 485 176 6 1 2 0
"Brunswick County" "203 - Fitzhugh" 528 350 171 4 3 0 0
"Brunswick County" "301 - Alberta" 152 75 74 1 1 1 0
"Brunswick County" "302 - Danieltown" 650 330 311 5 2 0 2
"Brunswick County" "303 - Elmore" 314 166 144 2 1 1 0
"Brunswick County" "304 - Seymour" 312 176 130 3 2 1 0
"Brunswick County" "401 - Sturgeon" 1033 653 371 6 1 0 2
"Brunswick County" "402 - King's Store" 364 271 93 0 0 0 0
"Brunswick County" "501 - Totaro" 1047 784 237 9 7 5 5
"Brunswick County" "Ab - Central Absentee Precinct" 801 407 366 11 6 7 4
"Brunswick County" Provisional 9 8 0 0 0 0 1
"Buchanan County" "102 - Blackey" 397 52 342 2 1 0 0
"Buchanan County" "103 - Hurley" 865 105 746 5 4 2 3
"Buchanan County" "201 - Grassy" 102 27 73 2 0 0 0
"Buchanan County" "202 - Bull" 532 83 434 8 3 1 3
"Buchanan County" "203 - Rocklick" 597 89 496 7 3 0 2
"Buchanan County" "301 - Slate" 683 134 537 5 3 2 2
"Buchanan County" "302 - North Grundy" 599 109 467 9 5 8 1
"Buchanan County" "403 - South Grundy" 840 140 662 20 14 2 2
"Buchanan County" "404 - Oakwood" 72 13 57 2 0 0 0
"Buchanan County" "501 - Prater" 541 117 412 9 1 1 1
"Buchanan County" "502 - Fox" 159 55 102 1 1 0 0
"Buchanan County" "503 - Vansant" 531 96 415 10 4 3 3
"Buchanan County" "601 - Council" 356 75 277 4 0 0 0
"Buchanan County" "602 - Garden" 502 88 404 6 3 0 1
"Buchanan County" "603 - Hurricane" 338 88 244 2 1 1 2
"Buchanan County" "701 - Whitewood" 670 139 517 5 6 1 2
"Buchanan County" "702 - Contrary" 519 69 435 13 2 0 0
"Buchanan County" "Ab - Central Absentee Precinct" 942 242 674 12 8 3 3
"Buchanan County" Provisional 2 0 2 0 0 0 0
"Buckingham County" "101 - New Canton" 947 437 488 14 5 1 2
"Buckingham County" "102 - Georgia Creek" 248 82 159 2 2 1 2
"Buckingham County" "201 - White Hall" 590 287 294 3 5 0 1
"Buckingham County" "301 - Curdsville" 683 243 411 9 9 1 10
"Buckingham County" "302 - New Store" 506 124 368 9 3 1 1
"Buckingham County" "401 - Maysville" 1080 406 638 19 11 5 1
"Buckingham County" "501 - Wrights" 477 145 318 6 4 2 2
"Buckingham County" "502 - Glenmore" 633 300 306 9 7 9 2
"Buckingham County" "601 - Slate River" 936 549 355 22 1 2 7
"Buckingham County" "701 - Gold Hill" 674 327 334 5 6 1 1
"Buckingham County" "Ab - Central Absentee Precinct" 520 228 278 4 5 4 1
"Buckingham County" Provisional 1 0 1 0 0 0 0
"Buena Vista City" "1 - First Ward" 1293 365 825 33 58 8 4
"Buena Vista City" "2 - Second Ward" 1114 328 605 50 116 5 10
"Buena Vista City" Provisional 0 0 0 0 0 0 0
"Campbell County" "101 - Brookville" 2085 440 1528 49 49 12 7
"Campbell County" "102 - New London" 2181 420 1629 72 40 12 8
"Campbell County" "201 - Walker" 1728 421 1181 53 46 8 19
"Campbell County" "202 - Bedford Springs" 2187 425 1650 60 34 4 14
"Campbell County" "301 - Evington" 772 175 573 17 5 0 2
"Campbell County" "302 - Otter River" 736 163 546 11 11 2 3
"Campbell County" "303 - Altavista" 1882 653 1135 59 15 7 13
"Campbell County" "401 - Three Forks" 1256 216 1000 20 13 4 3
"Campbell County" "402 - Court House" 2274 447 1721 62 26 4 14
"Campbell County" "501 - Spring Hill" 2299 424 1722 73 55 11 14
"Campbell County" "502 - Yellow Branch" 1345 371 921 29 17 4 3
"Campbell County" "601 - Kings" 1498 401 1025 43 26 3 0
"Campbell County" "602 - Concord" 1975 474 1420 39 22 11 9
"Campbell County" "701 - Brookneal" 1067 348 696 10 3 5 5
"Campbell County" "702 - Gladys" 1531 462 1039 10 12 4 4
"Campbell County" "703 - Morris Church" 656 173 454 11 10 2 6
"Campbell County" "Ab - Central Absentee Precinct" 2042 648 1293 47 35 9 10
"Campbell County" Provisional 21 3 18 0 0 0 0
"Caroline County" "101 - Bowling Green" 1166 387 715 35 17 6 6
"Caroline County" "102 - Sparta" 911 328 558 9 5 6 5
"Caroline County" "201 - North Madison" 1027 476 495 31 12 8 5
"Caroline County" "202 - South Madison" 1270 469 723 44 19 15 0
"Caroline County" "301 - Port Royal" 1220 217 361 11 13 6 612
"Caroline County" "302 - Woodford" 1447 617 769 28 15 11 7
"Caroline County" "401 - Dawn" 1707 990 651 52 8 6 0
"Caroline County" "402 - Carmel Church" 594 355 214 13 4 2 6
"Caroline County" "501 - West Mattaponi" 1162 666 451 19 13 9 4
"Caroline County" "502 - Milford" 935 403 498 15 12 4 3
"Caroline County" "601 - Chilesburg" 1206 525 603 50 15 9 4
"Caroline County" "602 - Lake" 857 338 475 26 8 4 6
"Caroline County" "Ab - Central Absentee Precinct" 1350 654 630 35 13 13 5
"Caroline County" Provisional 11 7 4 0 0 0 0
"Carroll County" "101 - Mt Bethel" 532 92 426 7 0 6 1
"Carroll County" "102 - St Paul" 746 104 618 10 6 2 6
"Carroll County" "103 - Lambsburg" 413 70 331 5 5 1 1
"Carroll County" "105 - Fancy Gap" 593 119 446 12 4 3 9
"Carroll County" "201 - Hillsville B" 1374 309 1014 24 10 12 5
"Carroll County" "202 - Laurel Fork" 508 100 387 8 3 3 7
"Carroll County" "203 - Gladesboro" 732 161 549 10 5 4 3
"Carroll County" "301 - Hillsville C" 1598 334 1216 23 9 8 8
"Carroll County" "302 - Sylvatus" 596 99 477 13 3 2 2
"Carroll County" "303 - Dugspur" 304 42 253 2 2 2 3
"Carroll County" "402 - Woodlawn D" 1173 226 893 30 11 8 5
"Carroll County" "403 - Oakland D" 624 98 505 11 5 3 2
"Carroll County" "405 - Oakland A" 551 106 428 11 2 4 0
"Carroll County" "406 - Woodlawn F" 202 38 159 3 1 0 1
"Carroll County" "501 - Vaughan" 396 56 329 8 2 1 0
"Carroll County" "502 - Gladeville" 984 148 805 14 4 3 10
"Carroll County" "503 - Woodlawn E" 533 79 446 6 1 1 0
"Carroll County" "504 - Laurel" 598 91 491 8 1 5 2
"Carroll County" "Ab - Central Absentee Precinct" 1199 285 880 15 14 1 4
"Carroll County" Provisional 12 2 10 0 0 0 0
"Charles City County" "101 - Precinct 1-1" 1229 635 545 30 8 6 5
"Charles City County" "201 - Precinct 2-1" 1117 749 340 15 6 4 3
"Charles City County" "301 - Precinct 3-1" 1149 668 441 15 16 5 4
"Charles City County" "Ab - Central Absentee Precinct" 611 444 149 7 9 0 2
"Charles City County" Provisional 1 0 1 0 0 0 0
"Charlotte County" "101 - County Seat" 863 324 511 19 7 1 1
"Charlotte County" "201 - Red Oak Wylliesburg" 812 305 492 8 4 3 0
"Charlotte County" "302 - Drakes Branch" 656 233 404 12 5 1 1
"Charlotte County" "401 - Keysville" 812 274 505 20 7 2 4
"Charlotte County" "501 - Cullen/Red House" 732 269 451 7 4 0 1
"Charlotte County" "602 - Phenix" 816 247 548 15 3 1 2
"Charlotte County" "702 - Bacon/Saxe" 692 291 373 17 6 1 4
"Charlotte County" "Ab - Central Absentee Precinct" 425 212 195 13 2 2 1
"Charlotte County" Provisional 0 0 0 0 0 0 0
"Charlottesville City" "101 - Recreation" 2489 1952 369 78 34 31 25
"Charlottesville City" "102 - Clark" 2476 1967 334 77 45 34 19
"Charlottesville City" "201 - Carver" 2081 1778 172 67 27 21 16
"Charlottesville City" "202 - Walker" 2660 1977 485 86 52 36 24
"Charlottesville City" "301 - Benjamin Tonsler" 2014 1702 184 61 37 18 12
"Charlottesville City" "302 - Johnson" 2503 1876 425 96 64 16 26
"Charlottesville City" "303 - Buford" 1547 1265 155 74 26 12 15
"Charlottesville City" "401 - Venable" 1675 1312 219 90 30 8 16
"Charlottesville City" "402 - Alumni Hall" 1722 1300 265 70 35 17 35
"Charlottesville City" "Ab - Central Absentee Precinct" 3257 2736 343 85 31 37 25
"Charlottesville City" Provisional 48 36 9 1 2 0 0
"Chesapeake City" "1 - Great Bridge" 1789 536 1135 84 14 7 13
"Chesapeake City" "2 - Bethel" 1710 316 1302 61 17 7 7
"Chesapeake City" "3 - Camelot" 1996 1802 137 22 11 18 6
"Chesapeake City" "4 - Churchland" 1354 407 857 61 14 8 7
"Chesapeake City" "5 - Crestwood" 1578 1340 183 28 12 12 3
"Chesapeake City" "6 - Deep Creek" 2957 1360 1421 117 30 10 19
"Chesapeake City" "7 - Greenbrier" 1970 693 1153 66 34 8 16
"Chesapeake City" "8 - South Norfolk Recreation" 1849 897 868 41 19 12 12
