COUNTY AREA TOTAL DEM REP LIB GRN REF NLP CON WI
Bullock Armory-1 0 181 58 2 1 0 0 0 0
Bullock Armory-2 0 102 45 0 0 0 0 1 0
Bullock Armory-3 0 182 42 1 0 0 0 0 0
Bullock Armory-4 0 97 56 1 2 0 0 0 0
Bullock Armory-5 0 184 48 0 1 0 1 0 0
Bullock Armory-6 0 91 63 2 1 0 0 0 0
Bullock Armory-7 0 130 51 3 0 0 0 0 0
Bullock Armory-8 0 69 44 1 0 0 0 0 0
Bullock Armory-9 0 186 56 4 1 2 0 1 0
Bullock Armory-10 0 159 56 2 2 0 0 0 0
Bullock Akerfoil 0 113 59 0 0 0 0 1 0
Bullock Sardis 0 102 25 1 1 0 0 0 0
Bullock "Indian Creek" 0 85 26 1 3 0 0 0 0
Bullock Perote 0 56 69 2 0 1 0 0 0
Bullock Corinth 0 34 25 0 0 0 0 0 0
Bullock Inverness 0 41 50 0 0 0 0 0 0
Bullock Fitzpatrick 0 107 148 1 4 0 0 0 0
Bullock Thompson 0 61 43 0 1 0 0 0 0
Bullock Cornerstone 0 175 49 1 1 0 0 0 0
Bullock "Post Oak" 0 79 152 2 1 2 0 0 0
Bullock Absentee 0 485 174 2 2 1 0 1 1
Butler "PROVIDENCE - VOTING HOUSE" 0 156 201 0 0 1 0 0 0
Butler INDUSTRY 0 17 105 1 0 0 0 0 0
Butler "STEINERS STORE" 0 47 98 0 0 0 0 0 0
Butler "MIDWAY - VOTING HOUSE" 0 86 115 1 1 0 0 0 0
Butler "HARRISON - VOTING HOUSE" 0 45 144 0 1 0 0 0 0
Butler "SEARCY - VOLUNTEER FIRE DEPT." 0 38 138 0 2 1 0 0 0
Butler "MANNINGHAM - VOTING HOUSE" 0 112 67 2 1 0 0 0 0
Butler "MONTEREY-OLD SCHOOL HOUSE" 0 18 20 0 0 0 0 0 0
Butler "FOREST HOME - VOTING HOUSE" 0 77 93 1 0 0 0 0 0
Butler "NEW ARMORY #1" 0 292 254 0 2 0 0 0 0
Butler "NEW ARMORY #2" 0 370 261 2 0 0 0 0 0
Butler "HEALTH DEPARTMENT #1" 0 198 475 4 5 1 0 0 0
Butler "HEALTH DEPARTMENT #2" 0 111 299 0 1 1 0 0 0
Butler "CENTRAL VOL. FIRE DEPT." 0 194 178 2 3 0 0 1 1
Butler "DUNBAR COMMUNITY CENTER #1" 0 282 97 1 3 0 0 0 0
Butler "DUNBAR COMMUNITY CENTER #2" 0 272 100 1 0 0 0 1 0
Butler "GARLAND - VOTING HOUSE" 0 80 84 0 1 1 0 0 0
Butler "GEORGIANA ARMORY #1" 0 360 193 1 0 1 0 0 0
Butler "GEORGIANA ARMORY #2" 0 134 99 0 0 0 0 0 0
Butler "CHAPMAN POST OFFICE" 0 72 135 1 1 0 0 0 0
Butler FRIENDSHIP 0 25 99 0 0 0 0 0 0
Butler "ROCKY CREEK - VOTING HOUSE" 0 64 176 0 1 0 0 0 0
Butler "CENTER HILL - VOTING HOUSE" 0 83 29 0 0 0 0 0 0
Butler "BOLLING VOTING HOUSE" 0 44 66 0 0 0 0 0 0
Butler "MCLAINS - VOTING HOUSE" 0 100 245 0 4 1 0 1 0
Butler "MCKENZIE CITY HALL" 0 147 196 1 6 1 0 0 2
Butler "ABSENTEE VOTERS" 0 182 160 1 4 1 0 0 0
Calhoun "GLENWOOD MEADOWS MEETING ROOM" 0 413 446 2 18 3 0 0 1
Calhoun "NATIONAL GUARD ARMORY" 0 401 530 5 29 1 0 0 0
Calhoun "JACKSONVILLE-WESTSIDE BAPTIST" 0 317 384 1 22 2 1 0 0
Calhoun "JACKSONVILLE-FIRST BAPTIST" 0 432 776 7 32 4 1 1 0
Calhoun "ALEXANDRIA-CIVITAN CLUB CNTR" 0 510 1107 2 13 8 2 0 0
Calhoun "FOUR MILE - METHODIST CHURCH" 0 106 224 1 6 2 0 0 0
Calhoun "EULATON-UNITED METHODIST" 0 277 486 3 6 3 0 0 1
Calhoun "BYNUM SCHOOL" 0 486 979 9 16 6 0 1 0
Calhoun "WELLBORN HIGH SCHOOL" 0 435 545 0 9 5 0 0 0
Calhoun "OXFORD ELEMENTARY SCHOOL #1" 0 329 742 6 9 1 0 0 0
Calhoun "OXFORD ELEMENTARY SCHOOL #2" 0 233 555 3 8 4 0 1 0
Calhoun "OXFORD CITY HALL" 0 235 338 0 9 4 2 0 0
Calhoun "LLOYDS CHAPEL BAPTIST CHURCH" 0 31 45 2 3 0 0 0 0
Calhoun "1ST UNITED METHODIST-WEAVER #1" 0 278 453 1 10 4 0 0 0
Calhoun "1ST UNITED METHODIST-WEAVER #2" 0 391 673 5 12 7 2 1 1
Calhoun "S.M. MCCURRY RESIDENCE" 0 88 226 0 2 1 0 0 0
Calhoun "FRIENDSHIP BAPTIST CHURCH" 0 185 423 3 14 4 0 1 0
Calhoun "WEBSTERS CHAPEL METHODIST" 0 210 333 3 10 1 0 0 0
Calhoun "ASBERRY BAPTIST CHURCH" 0 215 453 3 9 7 0 0 0
Calhoun "PIEDMONT NATIONAL GUARD ARMORY" 0 274 358 6 1 4 0 1 0
Calhoun "PIEDMONT FIRE STATION" 0 242 357 2 4 9 0 0 0
Calhoun "PIEDMONT RECREATION BUILDING" 0 170 180 0 1 2 1 1 0
Calhoun "PIEDMONT COMMUNITY BUILDING" 0 167 165 1 0 1 0 0 0
Calhoun "HOLLEYS CROSSROADS BAPTIST" 0 114 249 1 7 2 0 0 0
Calhoun "WHITE PLAINS HIGH SCHOOL" 0 116 401 5 3 4 0 2 0
Calhoun "DEARMANVILLE SCHOOL" 0 131 406 3 5 0 0 1 0
Calhoun "OXFORD - OXFORD LAKE PARK C.C." 0 269 349 3 8 1 0 0 1
Calhoun "OXFORD - CHEAHA CLUBHOUSE C.C." 0 179 344 1 2 2 0 0 0
Calhoun "COOSA VALLEY SADDLE CLUB" 0 92 220 4 9 3 0 1 0
Calhoun "HOBSON CITY - CITY HALL" 0 317 13 0 0 0 0 0 0
Calhoun "MOORE AVENUE CHURCH OF CHRIST" 0 561 68 1 5 1 0 1 0
Calhoun "ANNISTON - CARVER CENTER" 0 536 11 1 1 0 0 0 0
Calhoun "ANNISTON-F & WILMER FIRE ST." 0 545 69 2 1 1 0 0 1
Calhoun "ANNISTON - THANKFUL BAPTIST" 0 331 32 0 1 0 0 0 0
Calhoun "CALHOUN COUNTY HEALTH DEPT." 0 365 256 2 12 2 0 0 0
Calhoun "ANNISTON - CITY AUDITORIUM" 0 507 34 1 0 0 0 0 0
Calhoun "WIGGINS COMMUNITY CENTER" 0 485 11 0 2 2 1 0 0
Calhoun "BETHEL UNITED METHODIST CHURCH" 0 68 125 0 2 6 0 0 0
Calhoun "CHOCCOLOCCO - QUAD CITIES FIRE" 0 218 529 4 8 2 0 0 0
Calhoun "OHATCHEE FIRE STATION" 0 413 617 5 15 6 1 0 0
Calhoun "READS MILL - READS STORE" 0 141 349 1 3 3 0 0 0
Calhoun "SAKS - HIGH SCHOOL #1" 0 496 908 6 17 4 1 2 0
Calhoun "SAKS - HIGH SCHOOL #2" 0 476 886 6 11 8 0 0 0
Calhoun "LEATHERWOOD RD CIVIL DEFENSE" 0 354 796 2 16 2 0 0 0
Calhoun "FRIENDSHIP COMMUNITY CENTER" 0 244 703 3 10 6 1 0 0
Calhoun "WELLINGTON - MT.VIEW BAPTIST" 0 134 326 0 8 1 0 0 0
Calhoun "ANNISTON-NATIONAL GUARD ARMORY" 0 247 154 1 3 0 0 0 0
Calhoun "ANNISTON - FIRST PRESBYTERIAN" 0 470 508 6 20 2 0 0 0
Calhoun "ANNISTON - MENTAL HEALTH CNTR" 0 386 920 6 25 3 0 1 0
Calhoun "ANNISTON-GOLDEN SPRINGS COMM 1" 0 483 988 7 22 5 0 2 1
Calhoun "ANNISTON-GOLDEN SPRINGS COMM 2" 0 316 594 5 13 0 0 0 0
Calhoun "ABSENTEE VOTERS" 0 362 662 8 9 4 0 1 2
Chambers "Standing Rock" 0 31 98 0 2 2 0 0 0
Chambers Stroud 0 105 55 0 0 0 0 0 0
Chambers "Mount Olive" 0 55 54 1 2 0 0 0 0
Chambers Milltown 0 65 67 1 4 1 0 0 0
Chambers "Sparkling Springs" 0 2 35 0 0 0 0 0 0
Chambers "Union Hall" 0 57 96 0 2 0 0 0 0
Chambers "Five Points" 0 173 66 1 3 0 0 0 0
Chambers Buffalo 0 114 128 0 0 3 1 0 0
Chambers Penton 0 37 92 0 0 0 0 0 0
Chambers Fredonia 0 108 136 5 4 2 0 0 0
Chambers Lanett 0 1507 1048 6 11 2 0 0 1
Chambers Rescue 0 180 253 2 0 3 0 0 0
Chambers Lakeview 0 47 168 0 3 0 0 0 0
Chambers Lafayette 0 655 411 3 4 1 0 1 0
Chambers "Ridge Grove" 0 120 142 0 4 0 0 0 1
Chambers Culebra 0 166 30 1 1 0 0 0 0
Chambers Waverly 0 34 81 0 5 0 0 0 1
Chambers Sturkie 0 146 108 1 2 0 0 0 0
Chambers Cusseta 0 79 170 1 2 1 0 2 0
Chambers Shawmut 0 251 633 3 6 4 0 1 0
Chambers Langdale 0 380 443 3 7 2 1 0 0
Chambers Fairfax 0 651 889 4 18 7 1 1 0
Chambers "River View" 0 274 240 1 4 3 0 0 0
Chambers Huguley 0 294 402 4 10 4 0 0 0
Chambers Absentee 0 85 192 1 1 0 2 0 0
Cherokee "Lindseys Store" 0 75 62 1 0 0 0 0 0
Cherokee "Mays Store" 0 146 94 0 3 1 0 1 0
Cherokee "McCords Crossroads Fire Hall" 0 99 133 1 2 4 0 0 0
Cherokee "Rock run Church" 0 39 45 0 0 0 0 0 0
Cherokee "Schoonhoven Store" 0 13 26 0 1 2 0 0 0
Cherokee "Spring Garden Fire Sta." 0 100 154 1 5 5 0 2 0
Cherokee "Spring Creek Fire Hall" 0 163 173 1 7 2 1 0 1
Cherokee "Am. Legion Bldg. #1" 0 357 458 2 9 1 0 0 0
Cherokee "Am. Legion Bldg. #2" 0 565 592 12 7 13 1 0 0
Cherokee "Mt. Springs Fellowship Hall" 0 20 43 0 0 0 0 0 0
Cherokee "Goshen Methodist Ch." 0 63 74 0 2 0 0 0 0
Cherokee "Mt. Weisner fire Hall" 0 47 98 0 0 1 0 0 0
Cherokee "Curtis Vaughn Store" 0 103 56 0 0 1 0 0 0
Cherokee "Adrians Store" 0 76 73 0 1 1 0 0 0
Cherokee "Slackland Clubhse." 0 47 34 2 0 1 0 0 0
Cherokee "Daniels Chapel Fellowship Hall" 0 47 56 0 0 0 0 0 0
Cherokee "Sand Rock Town Hall" 0 178 263 0 5 1 0 0 1
Cherokee "Cedar Bluff Comm. Ctr." 0 348 382 1 10 6 0 0 0
Cherokee "Gaylesville City Hall" 0 68 111 0 2 1 0 0 0
Cherokee "Mamie Lou Princes Hse." 0 30 51 2 1 2 0 0 0
Cherokee "Watsons Chapel" 0 40 68 0 0 0 0 0 0
Cherokee "Broomtown Fire Dept." 0 41 97 2 0 1 0 0 0
Cherokee "Friendship Baptist Fellowship" 0 45 78 0 0 0 0 0 0
Cherokee "Mt. Calvery Bapt. Ch." 0 22 33 0 0 0 0 0 0
Cherokee "Mill Creek Bapt. Ch." 0 13 43 0 2 0 0 0 0
Cherokee "New Hope Meth. Ch." 0 131 116 0 4 3 2 0 0
Cherokee "Pleasant Valleyn Bapt. #2" 0 47 66 0 5 2 0 0 0
Cherokee "Ellisville Clubhouse" 0 81 53 0 1 0 0 0 0
Cherokee "Blanch Clubhse." 0 46 85 1 1 4 0 0 0
Cherokee "Leesburg Clubhse." 0 289 308 0 8 4 0 0 0
Cherokee "Turkers Chapel Fire Dept." 0 38 77 0 0 0 0 0 0
Cherokee Absentee 0 120 152 1 1 2 1 0 0
Chilton "MAPLESVILLE-NEW FIRE STATION" 0 258 327 0 1 2 0 0 1
Chilton "SOUTH CHILTON FIRE STATION" 0 127 452 0 4 2 0 0 0
Chilton "FAIRVIEW-FIRE STATION" 0 118 344 0 4 1 0 0 0
Chilton "ENTERPRISE-FIRE STATION" 0 174 529 5 8 4 1 0 0
Chilton "VERBENA-FIRE STATION" 0 236 510 6 1 7 0 1 0
Chilton "PROVIDENCE-E CHILTON FIRE" 0 129 370 4 2 4 0 0 1
Chilton "CANE CREEK-GAP OF MT. FIRE" 0 147 368 3 0 4 0 0 0
Chilton "UNION GROVE-FIRE STATION" 0 259 563 3 4 5 0 0 0
Chilton "JEMISON FIRE DEPARTMENT" 0 474 845 1 6 5 0 0 1
Chilton "PROVIDENCE-N CHILTON FIRE" 0 193 560 3 12 7 0 0 0
Chilton "MARS HILL-W CHILTON FIRE" 0 170 443 6 9 4 0 0 0
Chilton "THORSBY TOWN HALL" 0 256 691 3 3 5 0 0 0
Chilton "COLLINS CHAPEL-FIRE STATION" 0 70 219 1 1 1 0 0 0
Chilton "ISABELLA-FIRE STATION" 0 119 336 2 6 5 0 0 0
Chilton "VETERANS CLUB-CLANTON" 0 507 503 4 3 3 0 0 0
Chilton LIBRARY-CLANTON 0 224 790 0 4 3 0 0 0
Chilton "CLANTON FACILITY BLDG." 0 352 1095 7 12 1 0 0 0
Chilton COURTHOUSE-CLANTON 0 233 592 2 6 3 0 0 0
Chilton "ABSENTEE VOTERS" 0 760 529 3 6 4 0 0 0
Choctaw Pennington 0 266 114 1 4 1 0 0 0
Choctaw Pelham 0 119 23 0 0 0 0 0 0
Choctaw Crossroads 0 94 39 0 0 0 0 0 0
Choctaw Intersection 0 62 1 0 0 0 0 0 0
Choctaw Halsell 0 51 17 0 1 0 0 0 0
Choctaw Yantley 0 273 14 1 0 0 1 0 0
Choctaw Cromwell 0 64 35 1 1 0 0 0 0
Choctaw Lisman 0 304 36 2 1 1 0 0 0
Choctaw Lavaca 0 126 89 0 1 0 0 0 0
Choctaw Bogueloosa 0 53 292 1 2 0 0 0 0
Choctaw Toxey 0 122 134 0 0 2 0 0 0
Choctaw Gilbertown 0 108 285 0 2 0 0 0 0
Choctaw Melvin 0 74 36 0 0 0 0 0 0
Choctaw Hurricane 0 15 19 0 0 1 0 0 0
Choctaw Barrytown 0 12 159 0 1 1 0 0 0
Choctaw "Womack Hill" 0 31 67 0 1 0 0 0 0
Choctaw "Chappell Hill" 0 37 162 0 0 0 0 0 0
Choctaw Cullomburg 0 49 66 0 0 1 0 0 0
Choctaw "Bladon Sprgs." 0 74 14 0 1 1 0 0 0
Choctaw Silas 0 126 187 0 1 1 0 1 1
Choctaw Souwilpa 0 16 36 0 0 0 0 0 0
Choctaw Isney 0 16 46 0 0 0 0 0 0
Choctaw Toomey 0 67 82 0 1 1 0 0 0
Choctaw Lusk 0 33 156 0 0 0 0 0 0
Choctaw "Pleasant Valley" 0 15 138 0 0 0 0 0 0
Choctaw Ararat 0 53 81 1 3 0 0 1 0
Choctaw Branch 0 201 45 0 0 0 0 0 0
Choctaw Pushmataha 0 123 12 0 0 0 0 0 0
Choctaw Butler 0 483 899 1 6 4 1 0 3
Choctaw "Mt. Sterling" 0 127 58 0 0 0 0 0 0
Choctaw Riderwood 0 96 17 0 2 2 0 0 0
Choctaw "Rock Springs" 0 11 52 0 0 0 0 0 0
Choctaw Absentee 0 406 189 0 5 1 0 1 0
Clarke "GOOD HOPE AME CHRCH GAINSTOWN" 0 282 47 1 0 1 0 0 0
Clarke "CHOCTAW BLUFF FIRE STATION" 0 172 66 0 0 0 0 0 0
Clarke "CARLTON - SHERMAN GROCERY" 0 74 49 1 0 0 0 0 0
Clarke "JACKSON CITY HALL" 0 708 390 4 5 3 0 0 0
Clarke "WALKER SPRINGS-OVERSTREETS" 0 147 112 0 0 0 0 0 0
Clarke "VOTING HOUSE 84 & 35" 0 149 38 0 0 0 0 0 0
Clarke "VOTING HOUSE 84 & 35" 0 0 0 0 0 0 0 0 0
Clarke "GOSPORT FIRE STATION" 0 133 20 0 0 0 0 0 0
Clarke "JACKSON-SKIPPERS FIRE STATION" 0 177 410 1 2 0 0 0 0
Clarke "JACKSON-NATIONAL GUARD ARMORY" 0 106 519 0 3 0 0 1 0
Clarke "JACKSON-FIRE STATION NO.2" 0 99 429 1 8 1 0 0 0
Clarke "SALITPA-ALABAMA SANDBLASTING" 0 103 54 0 1 2 0 0 0
Clarke "WINN & ZIMCO-FIRE STATION" 0 157 67 2 1 0 1 0 0
