DIST COUNTY AREA TOTAL DEM REP IND OTH
1 KENOSHA "City of KENOSHA Ward 74" 12 0 6 0 0
1 KENOSHA "City of KENOSHA Ward 75" 1456 284 444 0 0
1 KENOSHA "City of KENOSHA Ward 76" 1122 222 339 0 0
1 KENOSHA "City of KENOSHA Ward 77" 1908 452 500 0 2
1 KENOSHA "City of KENOSHA Ward 78" 1744 441 430 0 1
1 KENOSHA "City of KENOSHA Ward 79" 1916 494 462 0 2
1 KENOSHA "City of KENOSHA Ward 80" 396 126 72 0 0
1 KENOSHA "City of KENOSHA Ward 81" 642 171 150 0 0
1 KENOSHA "City of KENOSHA Ward 82" 320 83 75 0 2
1 KENOSHA "City of KENOSHA Ward 83" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 84" 656 184 143 0 1
1 KENOSHA "City of KENOSHA Ward 85" 64 17 15 0 0
1 KENOSHA "City of KENOSHA Ward 86" 452 118 107 0 1
1 KENOSHA "City of KENOSHA Ward 87" 918 205 254 0 0
1 KENOSHA "City of KENOSHA Ward 88" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 89" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 90" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 91" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 92" 6 2 1 0 0
1 KENOSHA "City of KENOSHA Ward 93" 6 1 2 0 0
1 KENOSHA "City of KENOSHA Ward 94" 2 0 1 0 0
1 KENOSHA "City of KENOSHA Ward 95" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 96" 2 0 1 0 0
1 KENOSHA "City of KENOSHA Ward 97" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 98" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 99" 6 1 2 0 0
1 KENOSHA "City of KENOSHA Ward 100" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 101" 6 0 3 0 0
1 KENOSHA "City of KENOSHA Ward 102" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 103" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 104" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 105" 2 0 1 0 0
1 KENOSHA "City of KENOSHA Ward 106" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 107" 4 0 2 0 0
1 KENOSHA "City of KENOSHA Ward 108" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 109" 4 0 2 0 0
1 KENOSHA "City of KENOSHA Ward 110" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 111" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 112" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 113" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 114" 2 0 1 0 0
1 KENOSHA "City of KENOSHA Ward 115" 0 0 0 0 0
1 KENOSHA "City of KENOSHA Ward 116" 4 2 0 0 0
1 MILWAUKEE "Village of GREENDALE Wards 1-2" 3462 710 1019 0 2
1 MILWAUKEE "Village of GREENDALE Wards 3-4" 3894 940 1005 0 2
1 MILWAUKEE "Village of GREENDALE Wards 5-6" 3478 797 941 0 1
1 MILWAUKEE "Village of GREENDALE Wards 7-8" 3438 804 914 0 1
1 MILWAUKEE "Village of GREENDALE Wards 9-10" 4142 953 1116 0 2
1 MILWAUKEE "Village of HALES CORNERS Wards 1-3" 3176 643 944 0 1
1 MILWAUKEE "Village of HALES CORNERS Wards 4-6" 3140 658 912 0 0
1 MILWAUKEE "Village of HALES CORNERS Wards 7-9" 3030 682 831 0 2
1 MILWAUKEE "City of FRANKLIN Ward 1" 2 0 1 0 0
1 MILWAUKEE "City of FRANKLIN Ward 2" 2996 531 966 0 1
1 MILWAUKEE "City of FRANKLIN Ward 3" 3098 631 918 0 0
1 MILWAUKEE "City of FRANKLIN Ward 4" 1552 272 503 0 1
1 MILWAUKEE "City of FRANKLIN Ward 5" 1286 257 386 0 0
1 MILWAUKEE "City of FRANKLIN Ward 6" 2104 411 641 0 0
1 MILWAUKEE "City of FRANKLIN Ward 7" 2796 553 845 0 0
1 MILWAUKEE "City of FRANKLIN Ward 8" 1906 489 463 0 1
1 MILWAUKEE "City of FRANKLIN Ward 9" 1926 460 501 0 2
1 MILWAUKEE "City of FRANKLIN Ward 10" 854 192 235 0 0
1 MILWAUKEE "City of FRANKLIN Ward 11" 2348 469 705 0 0
1 MILWAUKEE "City of FRANKLIN Ward 12" 1662 298 533 0 0
1 MILWAUKEE "City of FRANKLIN Ward 13" 2338 477 691 0 1
1 MILWAUKEE "City of FRANKLIN Ward 14" 2006 411 591 0 1
1 MILWAUKEE "City of FRANKLIN Ward 15A" 1046 179 344 0 0
1 MILWAUKEE "City of FRANKLIN Ward 15B" 748 155 219 0 0
1 MILWAUKEE "City of FRANKLIN Ward 16" 2434 449 768 0 0
1 MILWAUKEE "City of FRANKLIN Ward 17" 1486 356 386 0 1
1 MILWAUKEE "City of FRANKLIN Ward 18" 916 184 274 0 0
1 MILWAUKEE "City of FRANKLIN Ward 19" 2480 470 770 0 0
1 MILWAUKEE "City of FRANKLIN Ward 20" 1306 301 351 0 1
1 MILWAUKEE "City of FRANKLIN Ward 21" 596 161 137 0 0
1 MILWAUKEE "City of FRANKLIN Ward 22B" 1312 248 408 0 0
1 MILWAUKEE "City of FRANKLIN Ward 22A" 1396 274 424 0 0
1 MILWAUKEE "City of FRANKLIN Ward 23" 2492 418 828 0 0
1 MILWAUKEE "City of OAK CREEK Wards 1-3" 6834 1516 1901 0 0
1 MILWAUKEE "City of OAK CREEK Wards 4-6" 6738 1594 1774 0 1
1 MILWAUKEE "City of OAK CREEK Wards 7-9" 6686 1431 1910 0 2
1 MILWAUKEE "City of OAK CREEK Wards 10-12" 7348 1420 2251 0 3
1 MILWAUKEE "City of OAK CREEK Wards 13-15" 7126 1340 2222 0 1
1 MILWAUKEE "City of OAK CREEK Wards 16-19" 5676 1432 1404 0 2
1 RACINE "Town of BURLINGTON Wards 1-7" 4728 653 1710 0 1
1 RACINE "Town of BURLINGTON Wards 8-10" 2350 338 836 0 1
1 RACINE "Town of BURLINGTON Ward 11" 900 140 310 0 0
1 RACINE "Town of DOVER Wards 1-8" 4418 573 1636 0 0
1 RACINE "Town of NORWAY Wards 1-11" 10872 1214 4216 0 6
1 RACINE "Town of WATERFORD Wards 1-10" 8866 1047 3383 0 3
1 RACINE "Village of CALEDONIA Wards 1-2" 4182 575 1514 0 2
1 RACINE "Village of CALEDONIA Wards 3,4-5" 5230 975 1639 0 1
1 RACINE "Village of CALEDONIA Ward 3B" 0 0 0 0 0
1 RACINE "Village of CALEDONIA Wards 6-8" 4622 925 1384 0 2
1 RACINE "Village of CALEDONIA Wards 9-10,12-13" 6528 1421 1842 0 1
1 RACINE "Village of CALEDONIA Wards 11,14-15,17" 6412 1209 1995 0 2
1 RACINE "Village of CALEDONIA Wards 16,18-19" 4060 708 1319 0 3
1 RACINE "Village of CALEDONIA Ward 20" 1118 209 350 0 0
1 RACINE "Village of ELMWOOD PARK Ward 1" 664 130 202 0 0
1 RACINE "Village of MOUNT PLEASANT Wards 1,17,20" 3342 729 942 0 0
1 RACINE "Village of MOUNT PLEASANT Wards 2-4,11" 4788 1251 1143 0 0
1 RACINE "Village of MOUNT PLEASANT Ward 5" 1698 395 454 0 0
1 RACINE "Village of MOUNT PLEASANT Wards 6-8" 4386 986 1206 0 1
1 RACINE "Village of MOUNT PLEASANT Wards 9,13-14" 5480 1023 1715 0 2
1 RACINE "Village of MOUNT PLEASANT Wards 10,12,15-16" 7174 1433 2152 0 2
1 RACINE "Village of MOUNT PLEASANT Wards 18,23" 1658 506 323 0 0
1 RACINE "Village of MOUNT PLEASANT Wards 19,21-22" 5292 1120 1522 0 4
1 RACINE "Village of NORTH BAY Ward 1" 326 82 81 0 0
1 RACINE "Village of Raymond Wards 1-6" 5406 665 2033 0 5
1 RACINE "Village of ROCHESTER Wards 1-6" 5144 643 1926 0 3
1 RACINE "Village of STURTEVANT Wards 1-8" 5606 1188 1613 0 2
1 RACINE "Village of UNION GROVE Wards 1-7" 5314 818 1838 0 1
1 RACINE "Village of WATERFORD Wards 1-7" 6766 1008 2373 0 2
1 RACINE "Village of WIND POINT Wards 1-3" 2588 606 688 0 0
1 RACINE "Village of Yorkville Wards 1-5" 4150 516 1556 0 3
1 RACINE "City of BURLINGTON Wards 1-4" 5832 1122 1791 0 3
1 RACINE "City of BURLINGTON Wards 5-8" 5912 1093 1862 0 1
1 RACINE "City of RACINE Ward 1" 1714 586 267 0 4
1 RACINE "City of RACINE Ward 2" 1242 498 123 0 0
1 RACINE "City of RACINE Ward 3" 2482 880 361 0 0
1 RACINE "City of RACINE Ward 4" 1098 491 58 0 0
1 RACINE "City of RACINE Ward 5" 884 389 53 0 0
1 RACINE "City of RACINE Ward 6" 1234 438 179 0 0
1 RACINE "City of RACINE Ward 7" 886 366 77 0 0
1 RACINE "City of RACINE Ward 8" 1164 467 113 0 2
1 RACINE "City of RACINE Ward 9" 1634 566 249 0 2
1 RACINE "City of RACINE Ward 10" 1854 548 379 0 0
1 RACINE "City of RACINE Ward 11" 1694 518 327 0 2
1 RACINE "City of RACINE Ward 12" 1718 471 386 0 2
1 RACINE "City of RACINE Ward 13" 2148 587 486 0 1
1 RACINE "City of RACINE Ward 14" 2306 696 455 0 2
1 RACINE "City of RACINE Ward 15" 1810 598 306 0 1
1 RACINE "City of RACINE Ward 16" 2698 705 642 0 2
1 RACINE "City of RACINE Ward 17" 910 311 142 0 2
1 RACINE "City of RACINE Ward 18" 700 301 48 0 1
1 RACINE "City of RACINE Ward 19" 618 262 47 0 0
1 RACINE "City of RACINE Ward 20" 2864 770 659 0 3
1 RACINE "City of RACINE Ward 21" 1792 601 291 0 4
1 RACINE "City of RACINE Ward 22" 3004 871 627 0 4
1 RACINE "City of RACINE Ward 23" 2440 741 476 0 3
1 RACINE "City of RACINE Ward 24" 2238 632 486 0 1
1 RACINE "City of RACINE Ward 25" 2054 696 331 0 0
1 RACINE "City of RACINE Ward 26" 334 77 90 0 0
1 RACINE "City of RACINE Ward 27" 3248 911 710 0 3
1 RACINE "City of RACINE Ward 28" 2628 713 601 0 0
1 RACINE "City of RACINE Ward 29" 2360 672 508 0 0
1 RACINE "City of RACINE Ward 30" 1892 617 328 0 1
1 RACINE "City of RACINE Ward 31" 1192 318 278 0 0
1 RACINE "City of RACINE Ward 32" 1404 469 232 0 1
1 RACINE "City of RACINE Ward 33" 1758 493 386 0 0
1 RACINE "City of RACINE Ward 34" 2004 560 442 0 0
1 RACINE "City of RACINE Ward 35" 1792 498 398 0 0
1 RACINE "City of RACINE Ward 36" 1418 473 236 0 0
1 ROCK "Town of BRADFORD Wards 1-2" 1198 187 412 0 0
1 ROCK "Town of CLINTON Ward 1" 1044 133 389 0 0
1 ROCK "Town of HARMONY Wards 2-5" 2342 520 650 0 1
1 ROCK "Town of HARMONY Ward 6" 4 1 1 0 0
1 ROCK "Town of JANESVILLE Wards 7-9" 448 105 119 0 0
1 ROCK "Town of JOHNSTOWN Ward 1" 974 178 309 0 0
1 ROCK "Town of LA PRAIRIE Ward 1" 692 130 216 0 0
1 ROCK "Town of LIMA Wards 1-2" 1326 295 368 0 0
1 ROCK "Town of MILTON Ward 1" 984 192 297 0 3
1 ROCK "Town of ROCK Wards 5,7" 406 75 128 0 0
1 ROCK "Town of ROCK Ward 8" 0 0 0 0 0
1 ROCK "Town of TURTLE Wards 2-3" 1766 271 612 0 0
1 ROCK "Village of CLINTON Wards 1-3" 2116 381 677 0 0
1 ROCK "City of BELOIT Ward 25" 0 0 0 0 0
1 ROCK "City of JANESVILLE Ward 1" 2896 804 644 0 0
1 ROCK "City of JANESVILLE Ward 2" 2628 717 595 0 2
1 ROCK "City of JANESVILLE Ward 3" 2052 619 406 0 1
1 ROCK "City of JANESVILLE Ward 4" 1586 481 312 0 0
1 ROCK "City of JANESVILLE Ward 5" 2548 673 600 0 1
1 ROCK "City of JANESVILLE Ward 6" 1848 446 477 0 1
1 ROCK "City of JANESVILLE Ward 7" 2884 827 614 0 1
1 ROCK "City of JANESVILLE Ward 8" 2062 550 479 0 2
1 ROCK "City of JANESVILLE Ward 9" 2114 560 497 0 0
1 ROCK "City of JANESVILLE Ward 10" 1738 471 396 0 2
1 ROCK "City of JANESVILLE Ward 11" 2286 694 448 0 1
1 ROCK "City of JANESVILLE Ward 12" 3520 922 836 0 2
1 ROCK "City of JANESVILLE Ward 13" 2746 830 541 0 2
1 ROCK "City of JANESVILLE Ward 14" 3042 895 624 0 2
1 ROCK "City of JANESVILLE Ward 15" 2362 702 478 0 1
1 ROCK "City of JANESVILLE Ward 16" 1852 518 407 0 1
1 ROCK "City of JANESVILLE Ward 17" 3118 862 697 0 0
1 ROCK "City of JANESVILLE Ward 18" 2962 815 665 0 1
1 ROCK "City of JANESVILLE Ward 19" 1050 222 303 0 0
1 ROCK "City of JANESVILLE Ward 20" 1318 303 356 0 0
1 ROCK "City of JANESVILLE Ward 21" 2732 674 692 0 0
1 ROCK "City of JANESVILLE Ward 22" 3046 684 838 0 1
1 ROCK "City of JANESVILLE Ward 23" 1522 375 386 0 0
1 ROCK "City of JANESVILLE Ward 24" 2006 602 401 0 0
1 ROCK "City of JANESVILLE Ward 25" 2754 699 676 0 2
1 ROCK "City of JANESVILLE Ward 26" 0 0 0 0 0
1 ROCK "City of JANESVILLE Ward 27" 3820 980 928 0 2
1 ROCK "City of JANESVILLE Ward 28" 3116 794 762 0 2
1 ROCK "City of JANESVILLE Ward 29" 60 19 11 0 0
1 ROCK "City of JANESVILLE Ward 31" 0 0 0 0 0
1 ROCK "City of JANESVILLE Ward 32" 0 0 0 0 0
1 ROCK "City of JANESVILLE Ward 33" 0 0 0 0 0
1 ROCK "City of JANESVILLE Ward 36" 4 1 1 0 0
1 ROCK "City of MILTON Wards 1-12" 6526 1664 1597 0 2
1 WALWORTH "Town of BLOOMFIELD Wards 1-2" 1604 306 496 0 0
1 WALWORTH "Town of DARIEN Wards 1-3" 1844 241 681 0 0
1 WALWORTH "Town of DELAVAN Wards 1-11" 6146 1063 2007 0 3
1 WALWORTH "Town of EAST TROY Ward 1" 1142 137 434 0 0
1 WALWORTH "Town of EAST TROY Wards 2-3" 2024 242 768 0 2
1 WALWORTH "Town of EAST TROY Wards 4-6" 2448 336 887 0 1
1 WALWORTH "Town of GENEVA Wards 1-8" 6810 1215 2187 0 3
1 WALWORTH "Town of LAFAYETTE Wards 1-3" 2736 389 978 0 1
1 WALWORTH "Town of LA GRANGE Wards 1-3" 3244 500 1122 0 0
1 WALWORTH "Town of LINN Wards 1-4,6" 2624 452 859 0 1
1 WALWORTH "Town of LINN Ward 5" 548 91 183 0 0
1 WALWORTH "Town of LYONS Wards 1-7" 4314 630 1527 0 0
1 WALWORTH "Town of RICHMOND Wards 1-3" 2366 419 764 0 0
1 WALWORTH "Town of SHARON Ward 1" 1086 144 399 0 0
1 WALWORTH "Town of SPRING PRAIRIE Wards 1-4" 2980 347 1142 0 1
1 WALWORTH "Town of SUGAR CREEK Wards 1-5" 4870 753 1682 0 0
1 WALWORTH "Town of TROY Wards 1-3" 3222 427 1184 0 0
1 WALWORTH "Town of WALWORTH Wards 1-3" 2068 248 785 0 1
1 WALWORTH "Town of WHITEWATER Wards 1-2" 1784 347 544 0 1
1 WALWORTH "Village of BLOOMFIELD Wards 1-5" 4600 676 1623 0 1
1 WALWORTH "Village of DARIEN Wards 1-2" 1498 265 483 0 1
1 WALWORTH "Village of EAST TROY Wards 1-5" 5440 872 1847 0 1
1 WALWORTH "Village of FONTANA Wards 1-3" 2590 507 788 0 0
1 WALWORTH "Village of GENOA CITY Wards 1-4" 2944 469 999 0 4
1 WALWORTH "VILLAGE OF MUKWONAGO Ward 11" 216 38 70 0 0
1 WALWORTH "Village of SHARON Wards 1-2" 1468 251 480 0 3
1 WALWORTH "Village of WALWORTH Wards 1-3" 2814 530 877 0 0
1 WALWORTH "Village of WILLIAMS BAY Wards 1-4" 3692 748 1097 0 1
1 WALWORTH "CITY OF BURLINGTON Ward 9" 0 0 0 0 0
1 WALWORTH "CITY OF BURLINGTON Ward 10" 2 1 0 0 0
1 WALWORTH "City of DELAVAN Wards 1-14,16" 7560 1690 2086 0 4
1 WALWORTH "City of DELAVAN Ward 15" 0 0 0 0 0
1 WALWORTH "City of ELKHORN Wards 1-7" 10036 1880 3136 0 2
1 WALWORTH "City of ELKHORN Ward 8" 0 0 0 0 0
1 WALWORTH "City of LAKE GENEVA Wards 1-14" 8456 1843 2382 0 3
1 WAUKESHA "Town of EAGLE Wards 1-4" 4920 607 1853 0 0
1 WAUKESHA "Town of GENESEE Wards 1,3,5,9" 3256 424 1204 0 0
1 WAUKESHA "Town of GENESEE Wards 2,4,10-11" 3372 484 1202 0 0
1 WAUKESHA "Town of GENESEE Wards 6-8" 3772 509 1377 0 0
1 WAUKESHA "Town of MUKWONAGO Wards 1,7-8" 2620 337 970 0 3
1 WAUKESHA "Town of MUKWONAGO Wards 2-3,9-11" 4624 530 1780 0 2
1 WAUKESHA "Town of MUKWONAGO Wards 4-6" 3314 393 1263 0 1
1 WAUKESHA "Town of OTTAWA Wards 1-5" 5406 778 1924 0 1
1 WAUKESHA "Village of BIG BEND Wards 1-4" 1856 222 706 0 0
1 WAUKESHA "Village of DOUSMAN Wards 1-3" 2794 426 968 0 3
1 WAUKESHA "Village of EAGLE Wards 1-2" 2716 302 1055 0 1
1 WAUKESHA "Village of MUKWONAGO Wards 1-10" 9492 1417 3327 0 2
1 WAUKESHA "Village of MUKWONAGO Ward 12" 0 0 0 0 0
1 WAUKESHA "Village of NORTH PRAIRIE Wards 1-3" 2970 358 1127 0 0
1 WAUKESHA "Village of NORTH PRAIRIE Ward 4" 2 0 1 0 0
1 WAUKESHA "Village of VERNON Wards 1-11" 10686 1244 4095 0 4
1 WAUKESHA "Village of WALES Wards 1-5" 3872 615 1321 0 0
1 WAUKESHA "Village of WAUKESHA Wards 2-6" 5390 777 1917 0 1
1 WAUKESHA "Village of WAUKESHA Wards 7,9-11" 4630 649 1665 0 1
1 WAUKESHA "City of MUSKEGO Wards 1-3" 4998 701 1794 0 4
1 WAUKESHA "City of MUSKEGO Wards 4-5" 4342 636 1534 0 1
1 WAUKESHA "City of MUSKEGO Wards 6-8" 5364 742 1938 0 2
1 WAUKESHA "City of MUSKEGO Wards 9-10" 3944 587 1382 0 3
1 WAUKESHA "City of MUSKEGO Wards 11-12" 4504 557 1694 0 1
1 WAUKESHA "City of MUSKEGO Wards 13-14" 5106 671 1880 0 2
1 WAUKESHA "City of MUSKEGO Wards 15-16" 5274 715 1922 0 0
1 WAUKESHA "City of NEW BERLIN Ward 15" 2506 381 871 0 1
1 WAUKESHA "City of NEW BERLIN Ward 16" 3522 626 1135 0 0
1 WAUKESHA "City of NEW BERLIN Ward 19" 522 82 179 0 0
1 WAUKESHA "City of NEW BERLIN Ward 21" 2870 478 956 0 1
1 WAUKESHA "City of WAUKESHA Ward 39" 4 0 2 0 0
1 WAUKESHA "City of WAUKESHA Ward 40" 0 0 0 0 0
1 WAUKESHA "City of WAUKESHA Ward 41" 0 0 0 0 0
1 WAUKESHA "City of WAUKESHA Ward 42" 0 0 0 0 0
1 WAUKESHA "City of WAUKESHA Ward 43" 0 0 0 0 0
1 WAUKESHA "City of WAUKESHA Ward 44" 0 0 0 0 0
1 WAUKESHA "City of WAUKESHA Ward 45" 0 0 0 0 0
1 WAUKESHA "City of WAUKESHA Ward 48" 0 0 0 0 0
1 WAUKESHA "City of WAUKESHA Ward 49" 0 0 0 0 0
2 DANE "Town of ALBION Wards 1-2" 2476 667 569 0 2
2 DANE "Town of BERRY Wards 1-2" 1636 466 352 0 0
2 DANE "Town of BLACK EARTH Ward 1" 732 203 163 0 0
2 DANE "Town of BLOOMING GROVE Wards 1-3" 2068 767 267 0 0
2 DANE "Town of BLUE MOUNDS Ward 1" 1252 383 243 0 0
2 DANE "Town of BRISTOL Wards 1-4" 5538 1424 1342 0 3
2 DANE "Town of BURKE Wards 1-4" 4156 1267 810 0 1
2 DANE "Town of CHRISTIANA Wards 1-2" 1552 412 362 0 2
2 DANE "Town of COTTAGE GROVE Wards 1-2,4-5,7" 3340 990 679 0 1
2 DANE "Town of COTTAGE GROVE Wards 3,6" 1930 627 338 0 0
2 DANE "Town of CROSS PLAINS Wards 1-2" 2148 617 456 0 1
2 DANE "Town of CROSS PLAINS Wards 3-4" 0 0 0 0 0
2 DANE "Town of DANE Ward 1" 1124 231 330 0 1
2 DANE "Town of DEERFIELD Wards 1-2" 2022 578 433 0 0
