COUNTY AREA TOTAL DEM REP CON LIB WGR IND1 IND2 IND3 IND4 IND5 IND6 IND7 IND8 IND9 IND10 IND11 SCATTERING
BARRON "TOWN OF ALMENA Ward 1-2" 483 148 306 4 21 1 0 0 0 3 0 0 0 0 0 0 0 0
BARRON "TOWN OF ARLAND Ward 1" 317 107 180 4 19 7 0 0 0 0 0 0 0 0 0 0 0 0
BARRON "TOWN OF BARRON Ward 1-2" 375 97 255 2 16 1 0 0 0 4 0 0 0 0 0 0 0 0
BARRON "TOWN OF BEAR LAKE Ward 1" 376 133 225 1 10 5 2 0 0 0 0 0 0 0 0 0 0 0
BARRON "TOWN OF CEDAR LAKE Ward 1" 696 210 470 1 11 4 0 0 0 0 0 0 0 0 0 0 0 0
BARRON "TOWN OF CHETEK Wards 1-2" 1054 375 650 0 22 6 0 1 0 0 0 0 0 0 0 0 0 0
BARRON "TOWN OF CLINTON Ward 1" 355 112 220 3 19 0 0 1 0 0 0 0 0 0 0 0 0 0
BARRON "TOWN OF CRYSTAL LAKE Ward 1" 411 137 266 2 2 0 1 0 0 3 0 0 0 0 0 0 0 0
BARRON "TOWN OF CUMBERLAND Ward 1" 464 166 269 2 22 0 0 0 0 0 0 0 0 0 0 0 0 5
BARRON "TOWN OF DALLAS Ward 1" 288 78 191 3 15 0 0 0 0 1 0 0 0 0 0 0 0 0
BARRON "TOWN OF DOVRE Ward 1" 385 138 231 2 11 2 0 0 0 0 0 0 0 0 0 0 0 1
BARRON "TOWN OF DOYLE Ward 1-2" 288 67 210 2 8 1 0 0 0 0 0 0 0 0 0 0 0 0
BARRON "TOWN OF LAKELAND Ward 1-2" 563 201 341 1 15 3 0 1 0 1 0 0 0 0 0 0 0 0
BARRON "TOWN OF MAPLE GROVE Ward 1-2" 485 110 342 4 23 2 1 0 0 0 0 0 0 0 0 0 0 3
BARRON "TOWN OF MAPLE PLAIN Ward 1" 480 207 257 1 9 4 0 0 0 1 0 0 0 0 0 0 0 1
BARRON "TOWN OF OAK GROVE Ward 1-2" 491 177 298 1 11 1 0 0 0 1 0 0 0 0 0 0 0 2
BARRON "TOWN OF PRAIRIE FARM Wards 1-2" 278 92 169 3 9 4 0 0 0 0 0 0 0 0 0 0 0 1
BARRON "TOWN OF PRAIRIE LAKE Ward 1-2" 851 261 555 5 25 5 0 0 0 0 0 0 0 0 0 0 0 0
BARRON "TOWN OF RICE LAKE Wards 1-4" 1602 580 946 3 32 12 0 1 0 7 0 0 0 1 0 0 0 20
BARRON "TOWN OF SIOUX CREEK Ward 1" 294 94 184 3 11 0 0 0 0 2 0 0 0 0 0 0 0 0
BARRON "TOWN OF STANFOLD Ward 1" 381 122 243 7 7 1 0 0 0 0 0 0 0 0 0 0 0 1
BARRON "TOWN OF STANLEY Ward 1-4" 1315 407 834 7 40 13 0 1 0 5 0 0 1 0 0 0 0 7
BARRON "TOWN OF SUMNER Ward 1" 392 128 249 0 10 1 0 0 0 2 0 0 0 0 0 0 0 2
BARRON "TOWN OF TURTLE LAKE Ward 1" 296 89 195 2 8 1 1 0 0 0 0 0 0 0 0 0 0 0
BARRON "TOWN OF VANCE CREEK Ward 1" 343 113 210 4 12 2 2 0 0 0 0 0 0 0 0 0 0 0
BARRON "VILLAGE OF ALMENA Ward 1" 303 74 209 1 11 6 1 1 0 0 0 0 0 0 0 0 0 0
BARRON "VILLAGE OF CAMERON Wards 1-3" 793 246 504 3 25 6 0 0 0 1 0 0 0 0 0 0 0 8
BARRON "VILLAGE OF DALLAS Ward 1" 180 60 113 1 5 0 0 1 0 0 0 0 0 0 0 0 0 0
BARRON "VILLAGE OF HAUGEN Ward 1" 159 65 85 3 2 1 0 0 0 2 0 0 0 0 0 0 0 1
BARRON "VILLAGE OF NEW AUBURN Ward 2" 10 2 5 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
BARRON "VILLAGE OF NEW AUBURN Ward 3" 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BARRON "VILLAGE OF PRAIRIE FARM Ward 1" 192 60 122 1 7 2 0 0 0 0 0 0 0 0 0 0 0 0
BARRON "VILLAGE OF TURTLE LAKE Ward 1" 376 129 220 1 17 6 1 0 1 0 0 0 0 0 0 0 0 1
BARRON "CITY OF BARRON Ward 1-7" 1350 506 757 10 46 15 2 2 0 0 0 0 0 0 0 0 0 12
BARRON "CITY OF CHETEK Wards 1-4" 1016 379 582 6 36 6 1 0 0 4 0 0 2 0 0 0 0 0
BARRON "CITY OF CUMBERLAND Ward 1-4" 1114 458 597 3 39 8 1 1 0 0 0 0 0 0 0 0 0 7
BARRON "CITY OF RICE LAKE Wards 1-13" 3885 1551 2114 20 148 43 3 1 0 5 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF BARKSDALE Ward 1" 474 233 220 4 8 7 0 0 0 2 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF BARNES Ward 1" 568 254 293 1 11 5 0 1 0 3 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF BAYFIELD Ward 1" 495 326 146 0 6 15 0 0 0 2 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF BAYVIEW Ward 1" 335 183 141 0 7 1 0 0 0 3 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF BELL Ward 1" 232 136 83 0 7 6 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF CABLE Ward 1" 512 193 299 2 16 2 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF CLOVER Ward 1" 174 86 76 0 6 5 0 0 0 1 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF DELTA Ward 1" 205 84 113 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF DRUMMOND Ward 1" 333 153 169 0 4 4 1 0 0 2 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF EILEEN Ward 1-2" 414 178 220 0 11 5 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF GRAND VIEW Ward 1" 292 131 147 0 6 6 0 1 0 1 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF HUGHES Ward 1" 299 130 163 0 3 2 1 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF IRON RIVER Ward 1-2" 731 322 384 2 15 8 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF KELLY Ward 1" 259 97 147 1 4 4 0 0 0 1 4 0 1 0 0 0 0 0
BAYFIELD "TOWN OF KEYSTONE Ward 1" 197 83 104 2 5 1 0 1 0 0 0 0 0 0 0 0 0 1
BAYFIELD "TOWN OF LINCOLN Ward 1" 182 65 103 2 3 6 0 1 0 1 0 0 0 0 0 0 0 1
BAYFIELD "TOWN OF MASON Ward 1" 165 74 89 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF NAMAKAGON Ward 1" 236 100 133 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF ORIENTA Ward 1" 90 39 46 0 1 4 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF OULU Ward 1" 336 148 166 3 10 9 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF PILSEN Ward 1" 139 74 59 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF PORT WING Ward 1" 262 146 109 0 4 1 0 0 0 0 0 0 0 0 0 0 0 2
BAYFIELD "TOWN OF RUSSELL Ward 1-2" 529 404 89 1 4 28 0 1 0 2 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF TRIPP Ward 1" 140 54 78 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "TOWN OF WASHBURN Ward 1" 341 196 130 0 7 8 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "VILLAGE OF MASON Ward 1" 41 20 18 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "CITY OF ASHLAND Ward 12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "CITY OF BAYFIELD Ward 1-4" 346 253 73 0 8 12 0 0 0 0 0 0 0 0 0 0 0 0
BAYFIELD "CITY OF WASHBURN Ward 1-4" 1202 792 327 3 31 39 2 1 0 7 0 0 0 0 0 0 0 0
BROWN "TOWN OF EATON Wards 1-2" 927 291 591 5 24 9 0 0 0 1 0 0 0 0 0 0 0 6
BROWN "TOWN OF GLENMORE Wards 1-2" 594 167 391 4 22 3 0 1 0 1 0 0 0 0 0 0 0 5
BROWN "TOWN OF GREEN BAY Wards 1-3" 1215 363 800 8 26 10 1 0 0 4 0 0 0 0 0 0 0 3
BROWN "TOWN OF HOLLAND Wards 1-2" 894 272 570 1 37 4 0 2 0 4 0 0 0 0 0 0 0 4
BROWN "TOWN OF HUMBOLDT Wards 1-2" 748 222 488 2 22 5 0 2 0 3 0 0 0 0 0 0 0 4
BROWN "TOWN OF LAWRENCE Wards 1-3" 1408 483 842 6 44 10 0 0 0 8 0 0 0 0 0 0 0 15
BROWN "TOWN OF LAWRENCE Wards 4-6" 1666 507 1065 4 63 11 0 0 0 4 0 0 0 0 0 0 0 12
BROWN "TOWN OF LEDGEVIEW Wards 1-3,8-10" 2318 851 1315 6 100 14 2 1 0 7 0 0 0 0 0 0 0 22
BROWN "TOWN OF LEDGEVIEW Wards 4-7" 2013 729 1154 4 87 19 0 1 0 3 0 0 0 0 0 0 0 16
BROWN "TOWN OF MORRISON Wards 1-2" 879 173 653 4 39 6 2 0 0 0 0 0 0 0 0 0 0 2
BROWN "TOWN OF NEW DENMARK Wards 1-3" 940 294 598 4 30 9 0 0 0 3 0 0 0 0 0 0 0 2
BROWN "TOWN OF PITTSFIELD Wards 1-3" 1645 480 1077 3 64 10 1 0 0 5 0 0 0 0 0 0 0 5
BROWN "TOWN OF ROCKLAND Wards 1-3" 1095 338 692 10 37 7 0 0 0 4 2 0 0 0 0 0 0 5
BROWN "TOWN OF SCOTT Wards 1-4" 2274 868 1294 8 58 18 1 2 0 0 0 0 0 0 0 0 0 25
BROWN "TOWN OF WRIGHTSTOWN Wards 1-3" 1250 365 820 4 39 9 0 0 0 3 1 0 0 0 0 0 0 9
BROWN "VILLAGE OF ALLOUEZ Ward 1-2" 2057 1013 857 11 106 35 0 1 0 12 0 0 0 0 0 0 0 22
BROWN "VILLAGE OF ALLOUEZ Ward 3-4" 1792 850 848 4 55 9 0 2 0 3 0 0 1 0 0 0 0 20
BROWN "VILLAGE OF ALLOUEZ Ward 5-6" 2277 988 1134 6 85 11 2 2 0 17 0 0 0 0 0 0 0 32
BROWN "VILLAGE OF ALLOUEZ Ward 7-9" 1849 801 926 3 64 19 2 2 0 13 0 0 0 0 0 0 0 19
BROWN "VILLAGE OF ALLOUEZ Ward 10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BROWN "VILLAGE OF ASHWAUBENON Wards 1-2" 1234 521 592 12 69 19 1 1 0 2 0 0 0 0 0 0 0 17
BROWN "VILLAGE OF ASHWAUBENON Wards 3-4" 1259 501 668 10 46 21 0 0 0 0 0 0 0 0 0 0 0 13
BROWN "VILLAGE OF ASHWAUBENON Wards 5-6" 1476 642 738 8 60 14 0 1 0 0 0 0 0 0 0 0 0 13
BROWN "VILLAGE OF ASHWAUBENON Wards 7-8" 1747 681 964 3 64 14 0 1 0 6 0 0 0 0 0 0 0 14
BROWN "VILLAGE OF ASHWAUBENON Wards 9-10" 1943 721 1106 5 74 16 0 0 0 5 0 0 0 0 0 0 0 16
BROWN "VILLAGE OF ASHWAUBENON Wards 11-12" 1647 735 804 3 62 16 0 1 0 7 0 0 0 0 0 0 0 19
BROWN "VILLAGE OF BELLEVUE Wards 1-6" 3726 1689 1816 15 137 36 1 1 0 2 0 0 0 0 0 0 0 29
BROWN "VILLAGE OF BELLEVUE Wards 7-10" 4261 1628 2406 15 145 27 1 0 0 0 3 0 0 0 0 0 0 36
BROWN "VILLAGE OF DENMARK Wards 1-3" 1067 361 645 1 38 11 0 2 0 4 0 0 0 0 0 0 0 5
BROWN "VILLAGE OF HOBART Wards 1-8" 4615 1701 2623 16 166 46 3 1 0 1 0 0 0 0 0 0 0 58
BROWN "VILLAGE OF HOBART Ward 9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BROWN "VILLAGE OF HOWARD Wards 1,12" 1108 399 640 5 38 11 1 1 0 2 0 0 0 0 0 0 0 11
BROWN "VILLAGE OF HOWARD Wards 2,8,11" 2487 944 1408 7 80 16 1 0 0 8 0 0 0 0 0 0 0 23
BROWN "VILLAGE OF HOWARD Wards 3-4,6" 1339 556 691 1 54 22 2 0 0 0 0 0 0 0 0 0 0 13
BROWN "VILLAGE OF HOWARD Ward 5" 379 129 229 0 15 2 0 0 0 0 0 0 0 0 0 0 0 4
BROWN "VILLAGE OF HOWARD Ward 7" 678 239 406 4 22 3 0 0 0 0 0 0 0 0 0 0 0 4
BROWN "VILLAGE OF HOWARD Wards 9-10,18" 1768 712 956 2 68 16 1 0 0 9 0 0 0 0 0 0 0 4
BROWN "VILLAGE OF HOWARD Wards 13-14" 1116 382 678 7 37 6 0 0 0 1 0 0 0 0 0 0 0 5
BROWN "VILLAGE OF HOWARD Wards 15-16" 1476 490 908 5 49 12 0 0 0 0 0 0 0 0 0 0 0 12
BROWN "VILLAGE OF PULASKI Wards 1-3,6" 1525 523 912 6 56 15 3 2 0 3 1 0 0 0 0 0 0 4
BROWN "VILLAGE OF SUAMICO Ward 1-4" 3351 959 2233 11 98 13 0 1 0 9 0 0 0 0 0 0 0 27
BROWN "VILLAGE OF SUAMICO Ward 5-8" 3980 1241 2515 10 161 19 1 0 0 8 2 0 0 0 0 0 0 23
BROWN "VILLAGE OF WRIGHTSTOWN Wards 1-3" 1374 448 836 5 61 12 1 1 0 6 0 0 0 0 0 0 0 4
BROWN "CITY OF DE PERE Wards 1-4" 3558 1645 1698 9 136 30 2 0 0 4 1 0 0 0 2 0 0 31
BROWN "CITY OF DE PERE Ward 5" 231 131 88 1 6 3 0 0 0 0 0 0 0 0 0 0 0 2
BROWN "CITY OF DE PERE Wards 6-8" 2511 1113 1189 13 120 36 1 2 0 8 0 0 0 0 0 0 0 29
BROWN "CITY OF DE PERE Wards 9,18" 645 285 312 1 25 9 0 0 0 5 0 0 0 0 0 0 0 8
BROWN "CITY OF DE PERE Wards 10-12" 3070 1348 1485 12 143 37 2 1 0 0 0 0 0 0 0 0 0 42
BROWN "CITY OF DE PERE Wards 13-15" 3220 1292 1712 12 136 22 0 8 0 11 0 0 0 0 0 0 0 27
BROWN "CITY OF DE PERE Wards 16-17" 7 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BROWN "CITY OF GREEN BAY Ward 1" 14 5 8 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
BROWN "CITY OF GREEN BAY Ward 2" 1226 511 641 3 45 8 0 0 0 4 0 0 0 0 0 0 0 14
BROWN "CITY OF GREEN BAY Ward 3" 1769 900 675 8 106 49 1 3 0 4 0 0 0 0 0 0 0 23
BROWN "CITY OF GREEN BAY Ward 4" 1857 760 963 8 77 18 0 2 0 1 0 0 0 0 0 0 0 28
BROWN "CITY OF GREEN BAY Ward 5" 745 311 389 4 28 2 0 0 0 2 0 0 0 0 0 0 0 9
BROWN "CITY OF GREEN BAY Ward 6" 1651 648 907 9 60 11 0 1 0 2 0 0 0 0 0 0 0 13
BROWN "CITY OF GREEN BAY Ward 7" 970 389 526 0 31 11 1 1 0 2 0 0 0 0 0 0 0 9
BROWN "CITY OF GREEN BAY Ward 8" 1598 710 810 2 42 12 0 0 0 5 0 0 0 0 0 0 0 17
BROWN "CITY OF GREEN BAY Ward 9" 637 318 258 3 35 11 1 0 0 3 0 0 0 0 0 0 0 8
BROWN "CITY OF GREEN BAY Ward 10" 690 353 297 3 23 6 0 2 0 3 0 0 0 0 0 0 0 3
BROWN "CITY OF GREEN BAY Ward 11" 711 295 359 3 40 7 0 1 0 3 0 0 0 0 0 0 0 3
BROWN "CITY OF GREEN BAY Ward 12" 614 308 269 3 22 8 0 0 0 1 0 0 0 0 0 0 0 3
BROWN "CITY OF GREEN BAY Ward 13" 723 427 218 1 38 28 2 1 0 0 0 0 0 0 0 0 0 8
BROWN "CITY OF GREEN BAY Ward 14" 728 372 303 3 37 7 0 0 0 0 0 0 0 0 0 0 0 6
BROWN "CITY OF GREEN BAY Ward 15" 1168 621 432 7 70 24 1 0 0 1 0 0 0 0 0 0 0 12
BROWN "CITY OF GREEN BAY Ward 16" 1002 606 304 7 39 31 0 1 0 3 0 0 0 0 0 0 0 11
BROWN "CITY OF GREEN BAY Ward 17" 881 536 301 5 22 11 0 0 0 0 1 0 0 0 0 0 0 5
BROWN "CITY OF GREEN BAY Ward 18" 861 446 361 3 32 7 0 1 0 3 0 0 0 0 0 0 0 8
BROWN "CITY OF GREEN BAY Ward 19" 679 356 269 2 37 10 0 0 0 0 0 0 0 0 0 0 0 5
BROWN "CITY OF GREEN BAY Ward 20" 753 416 281 2 33 8 1 0 0 2 0 0 0 0 0 0 0 10
BROWN "CITY OF GREEN BAY Ward 21" 650 401 207 2 26 9 0 1 0 0 0 0 0 0 0 0 0 4
BROWN "CITY OF GREEN BAY Ward 22" 358 192 134 0 20 6 1 0 0 1 0 0 0 0 0 0 0 4
BROWN "CITY OF GREEN BAY Ward 23" 688 360 269 3 35 13 0 2 0 0 0 0 0 0 0 0 0 6
BROWN "CITY OF GREEN BAY Ward 24" 869 485 328 5 34 8 2 0 0 0 0 0 0 0 0 0 0 7
BROWN "CITY OF GREEN BAY Ward 25" 797 370 347 8 46 13 1 0 0 1 0 0 0 0 0 0 0 11
BROWN "CITY OF GREEN BAY Ward 26" 753 453 222 4 42 23 0 0 0 1 0 0 0 0 0 0 0 8
BROWN "CITY OF GREEN BAY Ward 27" 300 200 77 0 4 10 0 0 0 0 1 0 0 0 0 0 0 8
BROWN "CITY OF GREEN BAY Ward 28" 839 478 283 5 32 25 1 1 0 0 0 0 0 0 0 0 0 14
BROWN "CITY OF GREEN BAY Ward 29" 1128 515 508 6 59 22 1 2 0 2 0 0 0 0 0 0 0 13
BROWN "CITY OF GREEN BAY Ward 30" 980 590 311 5 40 18 4 0 0 0 0 0 0 0 0 0 0 12
BROWN "CITY OF GREEN BAY Ward 31" 1048 497 465 4 51 15 0 2 0 4 0 0 0 0 0 0 0 10
BROWN "CITY OF GREEN BAY Ward 32" 942 469 400 3 43 14 0 0 0 1 0 0 0 0 0 0 0 12
BROWN "CITY OF GREEN BAY Ward 33" 625 302 275 4 31 6 1 1 0 1 0 0 0 0 0 0 0 4
BROWN "CITY OF GREEN BAY Ward 34" 1236 552 598 2 58 13 0 0 0 1 0 0 0 0 0 0 0 12
BROWN "CITY OF GREEN BAY Ward 35" 826 359 421 2 28 10 0 1 0 1 0 0 0 0 0 0 0 4
BROWN "CITY OF GREEN BAY Ward 36" 505 257 208 2 15 13 1 0 0 1 0 0 0 0 0 0 0 8
BROWN "CITY OF GREEN BAY Ward 37" 861 394 418 4 38 4 0 0 0 0 0 0 0 0 0 0 0 3
BROWN "CITY OF GREEN BAY Ward 38" 1083 526 486 5 35 25 1 0 0 0 0 0 0 0 0 0 0 5
BROWN "CITY OF GREEN BAY Ward 39" 1280 587 591 7 51 27 0 0 0 3 0 0 0 0 0 0 0 14
BROWN "CITY OF GREEN BAY Ward 40" 833 407 374 3 34 8 0 0 0 0 0 0 0 0 0 0 0 7
BROWN "CITY OF GREEN BAY Ward 41" 445 185 231 3 16 4 0 0 0 5 0 0 0 0 0 0 0 1
BROWN "CITY OF GREEN BAY Ward 42" 701 349 307 5 23 7 1 0 0 0 0 0 0 0 0 0 0 9
BROWN "CITY OF GREEN BAY Ward 43" 1199 526 608 5 31 16 0 0 0 1 0 0 0 0 0 0 0 12
BROWN "CITY OF GREEN BAY Ward 44" 1563 682 781 5 51 21 1 1 0 0 0 0 0 0 0 0 0 21
BROWN "CITY OF GREEN BAY Ward 45" 1770 675 1005 2 48 11 0 0 0 7 0 0 0 0 0 0 0 22
BROWN "CITY OF GREEN BAY Ward 46" 1294 627 576 6 50 18 0 1 0 2 0 0 0 0 0 0 0 14
BROWN "CITY OF GREEN BAY Ward 47" 1490 565 820 3 58 20 0 0 0 6 2 0 0 0 0 0 0 16
BUFFALO "TOWN OF ALMA Ward 1" 182 79 95 0 4 3 0 1 0 0 0 0 0 0 0 0 0 0
BUFFALO "TOWN OF BELVIDERE Ward 1" 255 94 149 1 6 1 0 0 0 0 0 0 0 0 0 0 0 4
BUFFALO "TOWN OF BUFFALO Ward 1" 398 151 225 3 9 6 0 1 0 1 0 0 0 0 0 0 0 2
BUFFALO "TOWN OF CANTON Ward 1" 141 53 80 0 3 4 1 0 0 0 0 0 0 0 0 0 0 0
BUFFALO "TOWN OF CROSS Ward 1" 202 58 132 0 7 4 0 0 0 0 0 0 0 0 0 0 0 1
BUFFALO "TOWN OF DOVER Ward 1" 223 84 130 2 3 2 0 0 0 0 0 0 0 0 0 0 0 2
BUFFALO "TOWN OF GILMANTON Ward 1" 203 62 128 0 10 3 0 0 0 0 0 0 0 0 0 0 0 0
BUFFALO "TOWN OF GLENCOE Ward 1" 232 64 165 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
BUFFALO "TOWN OF LINCOLN Ward 1" 124 40 78 0 5 0 0 0 0 0 0 0 0 0 0 0 0 1
BUFFALO "TOWN OF MAXVILLE Ward 1" 177 37 128 1 6 3 1 0 0 1 0 0 0 0 0 0 0 0
